0077.mom.	3600	in	ns	ns1cnb.name.com.
0077.mom.	3600	in	ns	ns2knz.name.com.
0077.mom.	3600	in	ns	ns3cna.name.com.
0077.mom.	3600	in	ns	ns4jnz.name.com.
0077.mom.	900	in	nsec	0077bet.mom. NS RRSIG NSEC
0077.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. oCloravsHtABkO2/PQ1J7yByS5jDTUocQJA9474fRnpmJT3KUgOSnlinVYx684/ola+pqttelXSZcb+RXs6lLg==
0077bet.mom.	3600	in	ns	chance.ns.cloudflare.com.
0077bet.mom.	3600	in	ns	dawn.ns.cloudflare.com.
0077bet.mom.	900	in	nsec	00852.mom. NS RRSIG NSEC
0077bet.mom.	900	in	rrsig	NSEC 13 2 900 20260214052037 20260115035037 34859 mom. rHu7yAH2gh5bGrzkAe085gSmKH3vs+o07yZ+h/oGieS30S/WCCzrNVszub0QozeqmwFvREhgcCUAsUJFy+OMEg==
00852.mom.	3600	in	ns	cass.ns.cloudflare.com.
00852.mom.	3600	in	ns	elliott.ns.cloudflare.com.
00852.mom.	900	in	nsec	00853.mom. NS RRSIG NSEC
00852.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. QRd2WQhlqimHzIjj+LYFkNYSQ0QUhWMrE+wWSeenpTvP8tXHqRbn/qbpviz1YWtw3MYmr9nFEpgepO2LAECAPw==
00853.mom.	3600	in	ns	ns69.domaincontrol.com.
00853.mom.	3600	in	ns	ns70.domaincontrol.com.
00853.mom.	900	in	nsec	00883.mom. NS RRSIG NSEC
00853.mom.	900	in	rrsig	NSEC 13 2 900 20260209060104 20260110043104 34859 mom. p8g2e8N4PeQNrISGzeBg+hJkzJe7t0f3zATQs//7c0XHW9prh2BJm3c8cidSW+HYG+Kt+/qauiTgGPKj7gidxQ==
00883.mom.	3600	in	ns	kehlani.ns.cloudflare.com.
00883.mom.	3600	in	ns	theo.ns.cloudflare.com.
00883.mom.	900	in	nsec	0088bet.mom. NS RRSIG NSEC
00883.mom.	900	in	rrsig	NSEC 13 2 900 20260209123104 20260110110104 34859 mom. jEGh4ese1F0DDEj4jIbwjunjj8KEAqr2LdRCCj97p/I+m6LlhhEyj4qb0TXgf6BVdqReNuTsMikulLLKqv30YA==
0088bet.mom.	3600	in	ns	chance.ns.cloudflare.com.
0088bet.mom.	3600	in	ns	dawn.ns.cloudflare.com.
0088bet.mom.	900	in	nsec	0099.mom. NS RRSIG NSEC
0088bet.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. BojMIwlyWbvTDmAji/vSD8erNbeczwa0xcxwCj0PAeaPkFAzuNC2f+b8lOBbvdSuG9FoG8y8PfknrPx5Eu8wyA==
0099.mom.	3600	in	ns	summer.ns.cloudflare.com.
0099.mom.	3600	in	ns	trey.ns.cloudflare.com.
0099.mom.	900	in	nsec	0099bet.mom. NS RRSIG NSEC
0099.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. 60M71UTnEzKQ+4XiVlB+xSGf5GSapbqQw+gX63C5es9AeQWX8a0+b3K/WaVRuxMDY7FHUNyQDoIxN0f4c0fjMA==
0099bet.mom.	3600	in	ns	chance.ns.cloudflare.com.
0099bet.mom.	3600	in	ns	dawn.ns.cloudflare.com.
0099bet.mom.	900	in	nsec	009casino.mom. NS RRSIG NSEC
0099bet.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. M/70IxG7y4IG2O7+pnVFVgPgFdG1yvdH0kwa94yxxyAEf2Sv0lAmdznrD+LtYctmM+liWJluBRt3P+P6LyGWvw==
009casino.mom.	3600	in	ns	felicity.ns.cloudflare.com.
009casino.mom.	3600	in	ns	jo.ns.cloudflare.com.
009casino.mom.	900	in	nsec	00mm.mom. NS RRSIG NSEC
