nexus.	21600	in	soa	ns-tld1.charlestonroadregistry.com. cloud-dns-hostmaster.google.com. 2026010509 21600 3600 259200 900
038oph7eanh17fuoc4tr4polv05rbji1.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 0398JI48608L2B1PPR7BMPFJ58U9HHCP NS
038oph7eanh17fuoc4tr4polv05rbji1.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. OgWtPJOW3uFdXxa8zB1ZgeVKDtcyp+B9PCsuqVyZo5hrIWqIWuRPQrRD6KDcobRXx1dNzdAZOdjpm2RF3NMhXSfRSWUnzzZJ/pCl7O9VkyQ3oV4huWfmr+aGzpU3wLSYHff100WqGfOiYBrP08EOqD+/6q4UgDII5TtTBSCxSX4=
0398ji48608l2b1ppr7bmpfj58u9hhcp.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 03GOJH89EFF6DF93IUPN4EBJRREU2OIH NS
0398ji48608l2b1ppr7bmpfj58u9hhcp.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. T3EGINUJkTbgU0r1cMa1F46QN9woxZPV3HOAMcn/aNxCeWRO+aftSuLnM5wPSqazwF5wo5xu/+WQBevx+CKwXKagUasYCP0nJlHote8UkEGStV+0qnFQO9ctG4ntompBl/aY720JbF6e3HILAGi9KTPOO4hZmFALAOyNPgJKt9s=
03gojh89eff6df93iupn4ebjrreu2oih.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 03M7LR3DITJSCP1RGD5RQ4NVG19MUG5S NS
03gojh89eff6df93iupn4ebjrreu2oih.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. Aa3oexwqzF9GxdDrm1nMHlRNFZ0v4kVLpUeYLZRN2usmFGHdtF+3ofuz71jKwqZ7twJzcakVZJnMNe8Ip9A0cHQ76dziRJCpSrZwfWEsCjqhpzjc5orz669mm9t3Hsq6GnVOHPyr01eX0rHTbghGEnnZFb+xTDZJhfOtqQNZ8Lo=
03m7lr3ditjscp1rgd5rq4nvg19mug5s.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 03OCPTKUD6EL6PEURO2PU254AA59S6LG NS
03m7lr3ditjscp1rgd5rq4nvg19mug5s.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. FvP6W8dZjFpLfVznvxuZOT03SeluRYMQpez+ie5iXxVeegU9CAaKAI9PQVbsR7iinhrLt92WmcXfTTVlNcl6fznvPGZE/JEeMc05XDjTnHOCfKNG66dSZfkuch/xY13FhO0cJtJ8fVlgeb3kBUJ7LtXf6g57LeRwsZENuZStvpw=
03ocptkud6el6peuro2pu254aa59s6lg.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 03S6N4Q49LTN8HNE8M0JEO4MHAR7U18D NS
03ocptkud6el6peuro2pu254aa59s6lg.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. hb9rTxZEVVieapuyYgsQkhcT6tyPDr3sUpxJXcgTu+5Z2YCKMQz3R9NPgdKzUDZuPu/eghscO6lxwgdhJHKQMFzpjjhHoCQ9U74w6Q90NAzCEjH6cuUjmqH6mda4Hk9xeHzZRtmKFly2jdHNSE3xhIeUcVG8FAFrTkDINqDErSI=
03s6n4q49ltn8hne8m0jeo4mhar7u18d.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 041CPD06N43E3CCJG53TF4BKV96AMDLI NS
03s6n4q49ltn8hne8m0jeo4mhar7u18d.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. EFF9HDgMkVmH2S8ZWLwPKS6EcuksQigw3z8G+YuB6PLYX8NzsYlaQef8OzF7AkzCHUCeT5ZcL4nTMQoZax28bdBxPvrmuyiqFKlf8iLK5dXlvCtCZjbnq9baAlqHDlbdVr2SZnQBGL0vVSQD+g6Rkoii53mb7yUC0piJo309RdY=
041cpd06n43e3ccjg53tf4bkv96amdli.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 045MGK9OMVK2OSKUG233MO1ILIUN7MOP NS
041cpd06n43e3ccjg53tf4bkv96amdli.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. SFASmcRZg6XKNTUi9nqWoY9yZ6yODM1uPhDW7bQAikyJdSa/4t/+zsN7DVXMwvyGcwCLio2bwesWh9ELPaItjr/5yup3MPQCbLoJpgvOOcl0DeFWnDjPu6a0/FTF3CExgL80YYOjAwTAbnmWPeDky0dT0780OSaVMWneHBaY1HQ=
045mgk9omvk2oskug233mo1iliun7mop.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 04MM4CN1FJCO4TUER9OG8BMCQNQQT1K1 NS DS RRSIG
045mgk9omvk2oskug233mo1iliun7mop.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. gvne9qc0OdvjYH3xmTkNJp4ZSlYdzxv7KhfgyPpZG2rvrgSq6nkJTs+SPZxYMuGIqo525HzNuGlj+rIUq08TzGjWePZOqBG3mFpIp1lW1ZLdghnRVZr5xY9H4SJhDiCocwoBu+ctfHqJ4+WYUkVhWicQoNzfpZhRTfv51ZKo784=
04mm4cn1fjco4tuer9og8bmcqnqqt1k1.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 0500OEE3MMLV49SICBEDRMVOHMUMTLRN NS
