0119364636522.beer.	3600	in	ns	launch2.spaceship.net.
0119364636522.beer.	3600	in	rrsig	DS 8 2 3600 20250915015101 20250901014808 21996 beer. bkHPEdWbd8adyd5R/+pMET5Vku/mvM85yZ4bplHTnqjgp4a3KHUsLgJ8bCt4t6DDB39dHzNFISCcuwmBVDeEW+J+zL2SPpsRKZrmmMtJjGSSChPnf1PdSOSgnmn24UEzEhE5SvqvqvI+qUSbDMXGztMO6FI3s1TA7KPa5sjynkOTfAxf3+XLqzB/xDJmG3TRTirku6avqCLl6p5cnbNdYg==
01216048.beer.	3600	in	ds	7110 13 2 F46A1311A2B10D0FC26EE93D999D1E03D3082D2D60AE82090720BFF7AA361A3C
01216048.beer.	3600	in	ns	launch1.spaceship.net.
01216048.beer.	3600	in	ns	launch2.spaceship.net.
01216048.beer.	3600	in	rrsig	DS 8 2 3600 20250913103439 20250830094846 21996 beer. 03hLyUh8JAh1f1Dix2z/HWFs9cy+SCd89tCuDhaQuPXPR5a3taHvWl6CpL/1VXyumZfUvjxGUWqxDwhDUUMk0N6t1bL4aYPY8xoVKy4RFrkyvy1ZF5GwpcN/KEToq8O9z+fHTObXTCOZBkMD2lwGkt8F8VBrYZcr8vfLGNPavwffcdMuMW8KTgC1BoHxu9e4C5us6m/LaVzxuWZvTckLTg==
0122735091.beer.	3600	in	ds	15434 13 2 0D9C9CB8EA758B9D632797C2F0A3F0725FF5197281A7FD8C638A9A090716B370
0122735091.beer.	3600	in	ns	launch1.spaceship.net.
0122735091.beer.	3600	in	ns	launch2.spaceship.net.
0122735091.beer.	3600	in	rrsig	DS 8 2 3600 20250916195057 20250902194751 21996 beer. GorWLRQrzrHQs/X/3HAD5ttParZRqdHMxxq6fnZ4YoRKl4tFSfQFLSV/T5BVoS64a6NaRUE2aMeTQ3/WWpWOJUiKE48DLGZBZZbkQ2D0TjqHobXKWgoxmQI3M7BKm4t9+i/XxYrjnesnD8DS2ivrCgEjsJl5AKRTZeuBIurE+CreKP9Jqic1TkEIak2aAz211g/bJoHs/Rk9BAoSP32SNQ==
0132364120.beer.	3600	in	ds	58178 13 2 EE712BF08611DBDE96AED1EC7C7D7392E14EC015E9D29280F3E947ABFFCC4EEB
0132364120.beer.	3600	in	ns	launch1.spaceship.net.
0132364120.beer.	3600	in	ns	launch2.spaceship.net.
0132364120.beer.	3600	in	rrsig	DS 8 2 3600 20250916195057 20250902194751 21996 beer. qXkXuZSaNIOUnFk1lfSpJiBoCNIS7GK926UAtKkoPzrPQAjC/i3gsRvXU2hznmjmm9QK8CZOtZ6ir+AihNZxSVy+Wz6tt3bzYdFR9tdAlQcbA9lmKdoVJZupc6iQGFTU9q/Dl3EB3FMGkq7DskhC2ZbYpQ6P96A6udn6U7FX53vXUZnZMJk7AvhkUrcc4CWaPAwyc5dHxzViMFphiDIWFQ==
01358383.beer.	3600	in	ds	40459 13 2 47CE2FD59C5B778AC76124F5BBC747B6EB99F0AA037B02620A6F84E258CA28BF
01358383.beer.	3600	in	ns	launch1.spaceship.net.
01358383.beer.	3600	in	ns	launch2.spaceship.net.
01358383.beer.	3600	in	rrsig	DS 8 2 3600 20250913103439 20250830094846 21996 beer. Zw3o8JdPXDy37uW66Nnenk4AbeB1TrX8Eq5APexSxYPajFamiJ5/ATOEIEyx5mvOfcyD5eU97wLcziU4O7hfY9wpxfYWbaPcGddpXX0KnjzyL0zk7IEZwYjoNd08HL71Nj1B1cG1iYnGjCv+shKilcUbTf4GRcKDzVlD+w9Pcl8j1gySnsFFhOQNZGm+7HUovx3nUZZPb0/tTmwj/ffERA==
0143148191.beer.	3600	in	ds	55868 13 2 682D1DB1B1C5F8C828FF1116F93D30CFCACE0E5CA8530FBE253D51BB7C0FFE11
0143148191.beer.	3600	in	ns	launch1.spaceship.net.
0143148191.beer.	3600	in	ns	launch2.spaceship.net.
0143148191.beer.	3600	in	rrsig	DS 8 2 3600 20250913063354 20250830060113 21996 beer. AnthADE6cohMWcZTetAplHs1iXeQLsbqwVIw4jFb2tOz2To08LuzU6D0SltZlKNZPpXrEi70BnqmDOdDPAp4MB2iVHXIC4MqgLLlm0zYUl9pF+yk0UcTUmURJ+5rakWFy/D9SUdGk1snHAIYMr8k6zdRCTxn2+dfcSTaSNbwp8Hy4mpfOQz3jJ4yiQ3FltQGh8fnla6GzZHC7FDT7Y059Q==
0152576834.beer.	3600	in	ds	29646 13 2 80E3C2D5F1E5E43ABBBCDE5EBD20364CBFC6C81697720F8B19268CA51482F49E
0152576834.beer.	3600	in	ns	launch1.spaceship.net.
0152576834.beer.	3600	in	ns	launch2.spaceship.net.
0152576834.beer.	3600	in	rrsig	DS 8 2 3600 20250913063354 20250830060113 21996 beer. qkO7bNu1CnJ05CaYusk7HBCHKSWcK4NdFpvB/7EMT4jRhb7mIW3egPqNgqntcCpgWQHgyWX6WgTf1jeoZDDR5PjsTyeydYGOReMNCR1R09kFJt0FcbMx+TFgoLTLHIkw4dDZC1xkQZsqFA5biBisZZdmh04l1UgUOKGBytMvEg8GRVHP7E7dMYNy3yrwiMiLZGS3MfQvBIqIpxqS4cmZiw==
0155040243.beer.	3600	in	ds	54647 13 2 611C822EFCB89F1D6E38484144F3B06D6652B98E59F5C8293DFB18755C8A47A4
0155040243.beer.	3600	in	ns	launch1.spaceship.net.
0155040243.beer.	3600	in	ns	launch2.spaceship.net.
0155040243.beer.	3600	in	rrsig	DS 8 2 3600 20250913063354 20250830060113 21996 beer. AwiWIdN2uO1vE/4wnaOVwNkDwMp3K0tFHQNXvEJqIR8LTsTYBxXjny222Ei0jtJyfuU0toqsTYdBziFxlm6IuLYKBdlwA+YQkBp6P4nvLLiY54a3p2JoS7HtYd7b1qWaZQiJxt4npt6Nm/PBkBX6XGtuNNxpiv5U444Llsryt+wpkvgD+8hIpYbbxiyiNT1dpFtK+C6DzQREsKH8iONHYg==
0155187834.beer.	3600	in	ds	18531 13 2 3A88961D9C2D87B0795D1A913A507E13898C311DF7768329A20FC463F8F6A531
0155187834.beer.	3600	in	ns	launch1.spaceship.net.
0155187834.beer.	3600	in	ns	launch2.spaceship.net.
0155187834.beer.	3600	in	rrsig	DS 8 2 3600 20250913154706 20250830154134 21996 beer. hjqjmZSVnHzBFtynd4gMRZKxPveFiLpmqwPi9tvuV7KzsNlM9jm5mZG0fO/oSytweGYY3NBGv0I4Z916vzentAOpwLsxNjYY2Xck8G9IIs8TvsgPBARcgVLy2+f7FO7Z/76lYfaLnp5Pn8OOkEEBQZlzxK+CpSlW1d+xCvDnjNU0gFIHML+6mUjLXoHboGJciVO/8KXhYvGpxusVEVCOWQ==
015mrodk6rssos3bsuesa6icg4qi3dud.beer.	900	in	nsec3	1 1 0 - 0161IC2JQUBH0CRHQUD452JQCTFFS0IO NS DS RRSIG
015mrodk6rssos3bsuesa6icg4qi3dud.beer.	900	in	rrsig	NSEC3 8 2 900 20250918235333 20250904225606 21996 beer. yKdh7e/f5S2wkbcoBpA1nEql9L9tkGrto4rbTdlCt007RpQfO8AkDqCRLxFP8LxG9T+Av6ctYRRROQUabOCbiATCQysWdOslkDJW2gmiw/9PshslFiXWm1q8Jn5pvpnB2v5DBBrXXFw7YmRQWOOBQmXBTTwHboLOxrNmTy8RYx2E22ndSWm7m3PuNz77ib1OGv0eHoWQ4Oqh8eP0S5jrIg==
0160222728102.beer.	3600	in	ds	5019 13 2 C09D6DC4261981EB44359268C4B35FAE36093888933A428896EFF11AA9A83368
0160222728102.beer.	3600	in	ns	launch1.spaceship.net.
0160222728102.beer.	3600	in	ns	launch2.spaceship.net.
0160222728102.beer.	3600	in	rrsig	DS 8 2 3600 20250918131335 20250904122507 21996 beer. JWo8pq5be2fmzsNJkaiYT02MdOo884Gjo+O6w6gPZ/D5RfYztFR1al+zu6a/ObXJItVqzwHIaTnKI/im2N21EizhASNagKF2Twu94FmDjC3360/0RCKS/MR8lOf8FmXL5t3evnhLiSeP9aKJ8i0ruHmvzLTtdyBvZRpMGELLeD7+BqC7yeQNPbHseSAsarcWcZUQXWUt88BD2AFRIQzJJw==
0161ic2jqubh0crhqud452jqctffs0io.beer.	900	in	nsec3	1 1 0 - 01A30ASTIFE9A7C24BDD6AV8EC54KT7T NS DS RRSIG
