mini.	900	in	soa	ns0.centralnic.net. hostmaster.centralnic.net. 2019130899 900 1800 6048000 3600
xn--niederlassung-gttingen-8hc.mini.	3600	in	ns	ns4.brandshelter.net.
xn--niederlassung-gttingen-8hc.mini.	3600	in	ns	ns5.brandshelter.us.
xn--nrnberg-n2a.mini.	3600	in	ns	ns1.brandshelter.com.
xn--nrnberg-n2a.mini.	3600	in	ns	ns2.brandshelter.de.
xn--nrnberg-n2a.mini.	3600	in	ns	ns3.brandshelter.info.
xn--nrnberg-n2a.mini.	3600	in	ns	ns4.brandshelter.net.
xn--nrnberg-n2a.mini.	3600	in	ns	ns5.brandshelter.us.
xn--saarbrcken-feb.mini.	3600	in	ns	ns1.brandshelter.com.
xn--saarbrcken-feb.mini.	3600	in	ns	ns2.brandshelter.de.
xn--saarbrcken-feb.mini.	3600	in	ns	ns3.brandshelter.info.
xn--saarbrcken-feb.mini.	3600	in	ns	ns4.brandshelter.net.
xn--saarbrcken-feb.mini.	3600	in	ns	ns5.brandshelter.us.
yourcustomised.mini.	3600	in	ns	ns1.brandshelter.com.
yourcustomised.mini.	3600	in	ns	ns2.brandshelter.de.
yourcustomised.mini.	3600	in	ns	ns3.brandshelter.info.
yourcustomised.mini.	3600	in	ns	ns4.brandshelter.net.
yourcustomised.mini.	3600	in	ns	ns5.brandshelter.us.
yours-customised.mini.	3600	in	ns	ns1.brandshelter.com.
yours-customised.mini.	3600	in	ns	ns2.brandshelter.de.
yours-customised.mini.	3600	in	ns	ns3.brandshelter.info.
yours-customised.mini.	3600	in	ns	ns4.brandshelter.net.
yours-customised.mini.	3600	in	ns	ns5.brandshelter.us.
yours-customized.mini.	3600	in	ns	ns1.brandshelter.com.
yours-customized.mini.	3600	in	ns	ns2.brandshelter.de.
yours-customized.mini.	3600	in	ns	ns3.brandshelter.info.
yours-customized.mini.	3600	in	ns	ns4.brandshelter.net.
yours-customized.mini.	3600	in	ns	ns5.brandshelter.us.
yourscustomized.mini.	3600	in	ns	ns1.brandshelter.com.
yourscustomized.mini.	3600	in	ns	ns2.brandshelter.de.
yourscustomized.mini.	3600	in	ns	ns3.brandshelter.info.
yourscustomized.mini.	3600	in	ns	ns4.brandshelter.net.
yourscustomized.mini.	3600	in	ns	ns5.brandshelter.us.
mini.	900	in	soa	ns0.centralnic.net. hostmaster.centralnic.net. 2019130899 900 1800 6048000 3600
