25379.xn--p1acf.	3600	in	ns	n1.xundns.com.
25379.xn--p1acf.	3600	in	ns	n2.xundns.com.
25736.xn--p1acf.	3600	in	ns	n1.xundns.com.
25736.xn--p1acf.	3600	in	ns	n2.xundns.com.
25782.xn--p1acf.	3600	in	ns	n1.xundns.com.
25782.xn--p1acf.	3600	in	ns	n2.xundns.com.
25943.xn--p1acf.	3600	in	ns	n1.xundns.com.
25943.xn--p1acf.	3600	in	ns	n2.xundns.com.
27436.xn--p1acf.	3600	in	ns	n1.xundns.com.
27436.xn--p1acf.	3600	in	ns	n2.xundns.com.
27483.xn--p1acf.	3600	in	ns	n1.xundns.com.
27483.xn--p1acf.	3600	in	ns	n2.xundns.com.
27931.xn--p1acf.	3600	in	ns	n1.xundns.com.
27931.xn--p1acf.	3600	in	ns	n2.xundns.com.
29438.xn--p1acf.	3600	in	ns	n1.xundns.com.
29438.xn--p1acf.	3600	in	ns	n2.xundns.com.
2f19mm09ucmefl9gae0pectm31mapcsn.xn--p1acf.	86400	in	nsec3	1 1 0 14FE6F55 8Q1KC0BPEFV8PCFVG5RVMH2C5GOR247E NS SOA RRSIG DNSKEY NSEC3PARAM
2f19mm09ucmefl9gae0pectm31mapcsn.xn--p1acf.	86400	in	rrsig	NSEC3 8 2 86400 20260111220000 20251225220000 45346 xn--p1acf. rtIxBsBfuOH9Pvmxj4etZNrT1s02qYCOSkFpxIMVAxPITSh0kfefA98lbgGD37J357kxRzZAp0n73e0gxVrxsi6toP0rVdF5UKXHDDxtlJb4gPntHXFTlEX4qjlBCIhU4Z+B0ysMtJfLzuypn2LLYOwm8ri4Y7jIA6f2ld+qKbwQZiSfIaGxfvwwBHaOfI9lZS0E+zWaJ88EjreuSpi0kn3iUxxYZHYwtzwm3iN1DvHe1sRar+NpxkChjX/9c9s0+axSiAXjPGi+Jk0+eRrfxa+6uO0GNZZtfVwSrgHEIWeoBNNjyugTJQCTWInYFpGINpPJiDwYuuwdcmOVDw8fiw==
3.xn--e1aogabhdboe.xn--p1acf.	3600	in	a	79.137.222.189
31247.xn--p1acf.	3600	in	ns	n1.xundns.com.
31247.xn--p1acf.	3600	in	ns	n2.xundns.com.
326871.xn--p1acf.	3600	in	ns	ns1.regery.net.
326871.xn--p1acf.	3600	in	ns	ns2.regery.net.
326871.xn--p1acf.	3600	in	ns	ns3.regery.net.
332233.xn--p1acf.	3600	in	ns	ns1.reg.ru.
332233.xn--p1acf.	3600	in	ns	ns2.reg.ru.
3355.xn--p1acf.	3600	in	ns	joan.ns.cloudflare.com.
3355.xn--p1acf.	3600	in	ns	sri.ns.cloudflare.com.
34054.xn--p1acf.	3600	in	ns	n1.xundns.com.
34054.xn--p1acf.	3600	in	ns	n2.xundns.com.
3498090.xn--p1acf.	3600	in	ns	ns3.nic.ru.
3498090.xn--p1acf.	3600	in	ns	ns4.nic.ru.
3498090.xn--p1acf.	3600	in	ns	ns8.nic.ru.
35147.xn--p1acf.	3600	in	ns	n1.xundns.com.
35147.xn--p1acf.	3600	in	ns	n2.xundns.com.
356436.xn--p1acf.	3600	in	ns	a.dnspod.com.
356436.xn--p1acf.	3600	in	ns	b.dnspod.com.
356436.xn--p1acf.	3600	in	ns	c.dnspod.com.
35794.xn--p1acf.	3600	in	ns	n1.xundns.com.
35794.xn--p1acf.	3600	in	ns	n2.xundns.com.
360074.xn--p1acf.	3600	in	ns	a.dnspod.com.
360074.xn--p1acf.	3600	in	ns	b.dnspod.com.
360074.xn--p1acf.	3600	in	ns	c.dnspod.com.
36429.xn--p1acf.	3600	in	ns	n1.xundns.com.
36429.xn--p1acf.	3600	in	ns	n2.xundns.com.
36592.xn--p1acf.	3600	in	ns	n1.xundns.com.
36592.xn--p1acf.	3600	in	ns	n2.xundns.com.
39421.xn--p1acf.	3600	in	ns	n1.xundns.com.
39421.xn--p1acf.	3600	in	ns	n2.xundns.com.
4040.xn--p1acf.	3600	in	ns	ns1.timeweb.ru.
4040.xn--p1acf.	3600	in	ns	ns2.timeweb.ru.
4040.xn--p1acf.	3600	in	ns	ns3.timeweb.org.
4040.xn--p1acf.	3600	in	ns	ns4.timeweb.org.
409296.xn--p1acf.	3600	in	ns	a.dnspod.com.
409296.xn--p1acf.	3600	in	ns	b.dnspod.com.
409296.xn--p1acf.	3600	in	ns	c.dnspod.com.
