3views.movie.	3600	in	ns	dns101.registrar-servers.com.
3views.movie.	3600	in	ns	dns102.registrar-servers.com.
4.movie.	3600	in	ns	ns31.domaincontrol.com.
4.movie.	3600	in	ns	ns32.domaincontrol.com.
40acresandamule.movie.	3600	in	ns	ns07.domaincontrol.com.
40acresandamule.movie.	3600	in	ns	ns08.domaincontrol.com.
420qff8fumk7q5maqan63utpg3b3akh5.movie.	3600	in	nsec3	1 1 0 73 425S9KHEVTFJVID5L902517R3B58ODNK NS DS RRSIG
420qff8fumk7q5maqan63utpg3b3akh5.movie.	3600	in	rrsig	NSEC3 8 2 3600 20260122155529 20260101145529 46980 movie. FP6XtLsoSAodm4+bmvLvbCmPv4x08jOUyetCE9U8YAta95khTYIMvOsjrkifzoW7/cvGELovXsqZ9k705flS2A33e4E9O0+5HAB3AFU3ZpNXf3lPBuDAeZD3AaK22gxEjqWqC/3Yg6a+30T8tKjiIJy8YFuUdFDuIwNlsMGikU8=
425s9khevtfjvid5l902517r3b58odnk.movie.	3600	in	nsec3	1 1 0 73 5AGRK23ITLLT0O96RIB887UMJMKCIUGK NS DS RRSIG
425s9khevtfjvid5l902517r3b58odnk.movie.	3600	in	rrsig	NSEC3 8 2 3600 20260122155529 20260101145529 46980 movie. trJVXtELpcFDC6Rw0zzGiVIwQ9e1Y88xU3co3kRZLfjxB8A71Sf0cGhOhtks4Q3667OWlCo/zwCaZYnlTv73VHbe9VU71yO9ArVRcPaTdWYcOO8BOt06OtGvZElOzkoaciEcwbxHILdV7iyCO8XOYAcEWtv+e3xzeUOx9gh1xr8=
430movie.movie.	3600	in	ns	ns23.domaincontrol.com.
430movie.movie.	3600	in	ns	ns24.domaincontrol.com.
478.movie.	3600	in	ns	udns1.cscdns.net.
478.movie.	3600	in	ns	udns2.cscdns.uk.
48hoursinvegas.movie.	3600	in	ns	udns1.cscdns.net.
48hoursinvegas.movie.	3600	in	ns	udns2.cscdns.uk.
4k.movie.	3600	in	ns	courtney.ns.cloudflare.com.
4k.movie.	3600	in	ns	elliott.ns.cloudflare.com.
5.movie.	3600	in	ns	vip7.alidns.com.
5.movie.	3600	in	ns	vip8.alidns.com.
5000blankets.movie.	3600	in	ns	ns16.ultradns2.com.
5000blankets.movie.	3600	in	ns	ns16.ultradns2.org.
5000blankets.movie.	3600	in	ns	pdns71.ultradns.biz.
5000blankets.movie.	3600	in	ns	pdns71.ultradns.co.uk.
5000blankets.movie.	3600	in	ns	pdns71.ultradns.com.
5000blankets.movie.	3600	in	ns	pdns71.ultradns.info.
5000blankets.movie.	3600	in	ns	pdns71.ultradns.net.
5000blankets.movie.	3600	in	ns	pdns71.ultradns.org.
555.movie.	3600	in	ns	ns77.domaincontrol.com.
555.movie.	3600	in	ns	ns78.domaincontrol.com.
58win.movie.	3600	in	ns	garrett.ns.cloudflare.com.
58win.movie.	3600	in	ns	lisa.ns.cloudflare.com.
5agrk23itllt0o96rib887umjmkciugk.movie.	3600	in	nsec3	1 1 0 73 62818N9KP9MSP7H5SFAMIF9GSAR1I6DC NS DS RRSIG
5agrk23itllt0o96rib887umjmkciugk.movie.	3600	in	rrsig	NSEC3 8 2 3600 20260122155529 20260101145529 46980 movie. B12Nq0XT06UnX5Ci42bvEzKs4F3X0uMpFdQXZd99c0V6qBDyNiWKvFA0d96Ctui1zAmsw7UfH0IxkyZXSGqsvUCR2iZn4iVZuTufoVNfCkhaq+NGrMiOW0fnj3marpolut4OFrBkblku2hX/uDVx2PKqcm7OIVxVY1cNGLI+diA=
5kblankets.movie.	3600	in	ns	ns16.ultradns2.com.
5kblankets.movie.	3600	in	ns	ns16.ultradns2.org.
5kblankets.movie.	3600	in	ns	pdns71.ultradns.biz.
5kblankets.movie.	3600	in	ns	pdns71.ultradns.co.uk.
5kblankets.movie.	3600	in	ns	pdns71.ultradns.com.
5kblankets.movie.	3600	in	ns	pdns71.ultradns.info.
5kblankets.movie.	3600	in	ns	pdns71.ultradns.net.
5kblankets.movie.	3600	in	ns	pdns71.ultradns.org.
5movierulz.movie.	3600	in	ns	dns101.registrar-servers.com.
5movierulz.movie.	3600	in	ns	dns102.registrar-servers.com.
5stardriver.movie.	3600	in	ns	ns19.domaincontrol.com.
5stardriver.movie.	3600	in	ns	ns20.domaincontrol.com.
6.movie.	3600	in	ns	cash.ns.cloudflare.com.
6.movie.	3600	in	ns	wally.ns.cloudflare.com.
62.movie.	3600	in	ns	dns1.registrar-servers.com.
62.movie.	3600	in	ns	dns2.registrar-servers.com.
62818n9kp9msp7h5sfamif9gsar1i6dc.movie.	3600	in	nsec3	1 1 0 73 6APF59C3R7S0VM9OOC6D9HUF2O0GFPP1 NS DS RRSIG
62818n9kp9msp7h5sfamif9gsar1i6dc.movie.	3600	in	rrsig	NSEC3 8 2 3600 20260122155529 20260101145529 46980 movie. SlHniQ3NTLoAsadLoMGw/VEQ+KdM7VBPlvSNZp9xyG+mdzIayGWJkMfTrWl0zse6kv9xt1Pcd7Dyp+YU+EUe5+hJ3Yes2elskV3OWcP+rukEjjqLoPEwa8m38EXF2RnTpwHeRo/WtrVIQXBiVklUbLaCumGH3r3nN6d6NaYYcMM=
65.movie.	3600	in	ns	ns16.ultradns2.com.
65.movie.	3600	in	ns	ns16.ultradns2.org.
65.movie.	3600	in	ns	pdns71.ultradns.biz.
65.movie.	3600	in	ns	pdns71.ultradns.co.uk.
65.movie.	3600	in	ns	pdns71.ultradns.com.
65.movie.	3600	in	ns	pdns71.ultradns.info.
65.movie.	3600	in	ns	pdns71.ultradns.net.
65.movie.	3600	in	ns	pdns71.ultradns.org.
69.movie.	3600	in	ns	ns1.afternic.com.
69.movie.	3600	in	ns	ns2.afternic.com.
69vn.movie.	3600	in	ds	28678 13 2 E172C623C6EE667643C1CB415D2D9F1CD7625623B43242484F63A9F86AA538E9
69vn.movie.	3600	in	ns	launch1.spaceship.net.
69vn.movie.	3600	in	ns	launch2.spaceship.net.
69vn.movie.	3600	in	rrsig	DS 8 2 3600 20260122155529 20260101145529 46980 movie. ka6H66pT/1Tfn4/0/e73ASNAJ2xpjvdQhInpAF+FU6qGYM18e3+m588eQ+pYyMOdDFyf0Cf60jSrlvjslH1ir7sVhnH4Bz94evRsr8GNIGrXSUmygXIa3hA4ifnAsVt64Ycx4duizu506yGy+vIcesS59rOUFTf2EpQzzz+/c30=
6apf59c3r7s0vm9ooc6d9huf2o0gfpp1.movie.	3600	in	nsec3	1 1 0 73 6EQRQ8DGUJ1AI5R9U4700CILS60T7S2D NS DS RRSIG
6apf59c3r7s0vm9ooc6d9huf2o0gfpp1.movie.	3600	in	rrsig	NSEC3 8 2 3600 20260122155529 20260101145529 46980 movie. E0GVQBHvXK20oIwgycN+tivxbjCzxlk4AvRf3V27xpj99Ao/Zifhue99KqZIXvbdafRMSluJ9Kj71cCl4NqW/N99o792bnWR3yqy8oTnXqkR47C2g1YFtBlboQzrXsEJqQdI8F6TImIbTh+fJhg554znAysRsIVVfcFt7scmTJ4=
6eqrq8dguj1ai5r9u4700cils60t7s2d.movie.	3600	in	nsec3	1 1 0 73 6IQVCVK5CAJPR0PVOMES8PLE91G019G8 NS DS RRSIG
6eqrq8dguj1ai5r9u4700cils60t7s2d.movie.	3600	in	rrsig	NSEC3 8 2 3600 20260122155529 20260101145529 46980 movie. EF+PxN27C9jZC52+KDdedYKadaE7BClcQmZ6cURuoMBekidYs+1GMgyYnRp0qM/3r3Iz+71orOFGgD7cUIvvMajUmjcykBJxIgMqkqmWKUkE3H4M2SnPbVjfwFU7jEL4uf9p5k/smzHtu1rmCOgvK0G6xsNkt21PfE0It8mTegc=
6iqvcvk5cajpr0pvomes8ple91g019g8.movie.	3600	in	nsec3	1 1 0 73 6N45GRRDAAJ7QKLR6921G7OI85981JPE NS DS RRSIG
6iqvcvk5cajpr0pvomes8ple91g019g8.movie.	3600	in	rrsig	NSEC3 8 2 3600 20260122155529 20260101145529 46980 movie. pPvZUOZloXJm7G38o00FpBRc5T0kKcjlyIlNJSPjZI7ASdgJwtpYuN6U0C5ICiEnRhujqFn6voi78SlfJv7CMX4thIhOCIl05EkDPPT4nTkoHFDPnF4LUhu2J4/IRplW5I1fojE/vRf5iEuHOYV3cqbukFYroAJ9Nok/jiDCyUc=
6n45grrdaaj7qklr6921g7oi85981jpe.movie.	3600	in	nsec3	1 1 0 73 76FR9J982GI1J6OA0RTIQAA7EUSM39US NS DS RRSIG
6n45grrdaaj7qklr6921g7oi85981jpe.movie.	3600	in	rrsig	NSEC3 8 2 3600 20260122155529 20260101145529 46980 movie. egKUcnRMrTL+pKXFofvXYhxPqj1s2MWH94s04MJ8AcMuJ5CSqyqRxYlG10VubYPvC6qJOOCTr643+JcXqpBteeyYzoG6mnoz071FHcf7rNYOFnwSG+uHvls9BfU/iE1SsubGcXdGH2xtDu7AIUuc8QUDLfQtSiUuKrGKqW4mSg8=
7.movie.	3600	in	ns	vip7.alidns.com.
7.movie.	3600	in	ns	vip8.alidns.com.
70tv.movie.	3600	in	ns	dylan.ns.cloudflare.com.
70tv.movie.	3600	in	ns	liberty.ns.cloudflare.com.
76fr9j982gi1j6oa0rtiqaa7eusm39us.movie.	3600	in	nsec3	1 1 0 73 76FVCAB1CM9L90R5U99OUD0MLA5T8705 NS DS RRSIG
