05213bn58u3krm7usp84qri7pnc62r67.okinawa.	3600	in	nsec3	1 0 0 - 058D40K0K6ITSH8L5T7DDAEDOK9JI51I NS
05213bn58u3krm7usp84qri7pnc62r67.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250917134501 20250910204937 10069 okinawa. mzlPA6NBwdNg21qqNRmidNbQHtJHlwDfR3G7qlFoYyn7EEPecLSCbh6c6JPRplISoYKkoQRJuVUaHnG5Yxgvgm3A1Pvl8VDWuuilermWIWleNGiHX5Yhh3edlTtg9UYwpq5tgQCSGoR4vBuUf+b/Bg184H67lIqiz4Ock856k9w=
058d40k0k6itsh8l5t7ddaedok9ji51i.okinawa.	3600	in	nsec3	1 0 0 - 05LE156U7BQBT14O3K2GL0VAG0MEJVEG NS
058d40k0k6itsh8l5t7ddaedok9ji51i.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250918014641 20250910204937 10069 okinawa. ifaJBzaxcouLHVU3qVR1ZzHIwYOgsqNVXGT4QV2HG2S20cc5iYWUelhYBKcPJjb/R7cKQkgJ/E26QfmPV5ZBYmgT4WQC1kfQqcQneuKE+XLKCzf5a/PrAyw6O9Z8Fq5kCiZzI7LLEjcQRLjJCL4YhC+8HscM35LjDOt5aw3G2dQ=
05le156u7bqbt14o3k2gl0vag0mejveg.okinawa.	3600	in	nsec3	1 0 0 - 05M9NGPNAI0D6S6J863K9K3DLN0995QP NS
05le156u7bqbt14o3k2gl0vag0mejveg.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250918075828 20250910204937 10069 okinawa. G2jk5PZlhf1b0O6cmfhjIw80/Dif/J6qWtCRXspQPsXgvMlhNFHdNTp/g9nFBWoGzkgLj3HW8ieXifBbekTkkVsIRKC20zwLB9t7WGf0h4Je7M47klslUkOJ7hcDuMY274pokn4Xbe7WVORxfJbnJYAfUSHDjxMgZShAPVzPK0Q=
05m9ngpnai0d6s6j863k9k3dln0995qp.okinawa.	3600	in	nsec3	1 0 0 - 05MIMT7KG2GQPD9JKP2RSKVFA6ETBP0A NS
05m9ngpnai0d6s6j863k9k3dln0995qp.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250918014915 20250910204937 10069 okinawa. MnUiQTC6/mK5bMWdldAnlY2merO1YtoRR30qOCLD74yHzcTpxRGIaUi/FHSvkNOKa112LLecqJaZoo/Ff2eEnpmYH1/5ac43dEoucDksB7oQ6/NaFtlXsjaWZkYolJcEy82NcnTCANjlpgPY/MkxxqXbQ0wqV5wc53Sca6yT4vg=
05mimt7kg2gqpd9jkp2rskvfa6etbp0a.okinawa.	3600	in	nsec3	1 0 0 - 05Q3KJOG5UVF0KUBD6B424RVT8FB8088 NS
05mimt7kg2gqpd9jkp2rskvfa6etbp0a.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250918005329 20250910204937 10069 okinawa. JNKbNGlLbUw+IfA3wcxi8ECuqH34rSNK1pWS+AIfEpP6uLyIHQ419XkcmSqMJzanFtGkTQg88Z8gX5Vmnh4buBbmFhkYLF7DnhJsXne6CAOQeCkHFdEfLHnmwDBRMzsYPEuCuj5v4U22jtYw2U69liZW6rsKVrQ3ScroEZYKBoU=
05q3kjog5uvf0kubd6b424rvt8fb8088.okinawa.	3600	in	nsec3	1 0 0 - 05UA3B65CE3G4DBAFN47NNE2C3STUE56 NS
05q3kjog5uvf0kubd6b424rvt8fb8088.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250917125831 20250910204937 10069 okinawa. JJvW5USJ+mSPIxwifLb3a6hE1ino7+X7aCMNsIkWsBR+mnwU2c9szRL14ie8ST+c1onFFrDiKEVuayjNJXGxc9OfBM8VSlvpD/WrnKKqku7cDxkGuRolug+FZhTWdge+/V37RE3b66Hyscm/fcBDsmzrly7mtAxKkH5oxGQX3WI=
05ua3b65ce3g4dbafn47nne2c3stue56.okinawa.	3600	in	nsec3	1 0 0 - 0604F6GOLDG4L8DKARBALFRCNUNCDLOJ NS
05ua3b65ce3g4dbafn47nne2c3stue56.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250918003708 20250910204937 10069 okinawa. rJ3kF9AerV9+lNGxzKr3q+I8GEQgQXtSh9hHkV65jmHcGaqLYpasutuf77hT8hyXMfG5rhEMk/IysB8XhXaP/6Dbj1cRhuizdQIptwl4cgWgtFkTjth/SchOv/FdxaEYJAkuIBfVGptynSR1jKmc2jmeXlJdk+nst8rG41QzRE0=
0604f6goldg4l8dkarbalfrcnuncdloj.okinawa.	3600	in	nsec3	1 0 0 - 069PTJEMAFDVN24Q3805SB4P31TKQ91S NS
0604f6goldg4l8dkarbalfrcnuncdloj.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250917165019 20250910204937 10069 okinawa. oX5s9SfruuOdjHlzR1i/aCFn/Sa7cz1eYcF7Jhl97a9mspPfqjdOnmGGkypmqrxxLV1yfesjpHw3NPE53+iXIW5GXUafHttcqmVwQql+qH9Kh3NyDqvKYEeXroH7hifqVkLyq7+fYFSSOSSUnVUswYRX9vgaYz7Vh2qS6JoFqHA=
069ptjemafdvn24q3805sb4p31tkq91s.okinawa.	3600	in	nsec3	1 0 0 - 06F114OO84GJN5M0BTEEAQK5LKF2LMCM NS
069ptjemafdvn24q3805sb4p31tkq91s.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250917233300 20250910204937 10069 okinawa. qJQ41XTgCYRlfapjZ47UbtRIpYrdLKM9Y0B+SXaEf7xS/7anJVcfeqNhRjtCh31LYSp6rr1uj9QRjo5DifYhHf+XSnEtQ8bjyTJ517dw3EEs7FUayGy9H0wbYTA3MVI3yYUlVBQeApq6Plq6e3lmPr3Xkki+tybw01f1yAroLPM=
06f114oo84gjn5m0bteeaqk5lkf2lmcm.okinawa.	3600	in	nsec3	1 0 0 - 06QQCUBT1BMNRFJIOUKO1ET2R75N8G4K NS
06f114oo84gjn5m0bteeaqk5lkf2lmcm.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250918030301 20250910204937 10069 okinawa. T/2WtMwK9+JBMWVN+DhjBXAIeC28D4pZ0JDzFUYjhpQHpgpTZqhmO+RF7saz8ecASSCrtM50nY+oIvV4yTdSWsKioKHs4N8RQY32fMGAvgAKNR9PnpHsi5iaJHETnr8MkZurCXHOFtlfR4F6ZIYG9OBEMWQQapoZ1xv0XqHenOY=
06qqcubt1bmnrfjiouko1et2r75n8g4k.okinawa.	3600	in	nsec3	1 0 0 - 06U0B0NQRJOUTEJ2UA1MQ6ACRA8OU57H NS
06qqcubt1bmnrfjiouko1et2r75n8g4k.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250918084523 20250910204937 10069 okinawa. IrzG9JkHFoka5G1DJsyMo3bB1MWJfR56xQ/t8wXXDZRKBLdsUFoE5fdHViFVQaP1Bb3zekG+WfkcEbbANWIw2oAhP+Axr2LBQGz++lznAVtXVGoP3eLmu89mtWqeDYAIZHauijAGhznvu/kD5bM4tqbjMbPmmw1EQ8kCOPYBUXk=
06u0b0nqrjoutej2ua1mq6acra8ou57h.okinawa.	3600	in	nsec3	1 0 0 - 06UAUN0M7T9LJK350UV5MJKG3FHMKKQJ NS
06u0b0nqrjoutej2ua1mq6acra8ou57h.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250917231537 20250910204937 10069 okinawa. hvQwaGcK4q7cZEoLMgNLNtjXuo9laieAqNr49DI5KR2NE25viHA/bj2rDOzUw3QJy4lkhfZekHRdd7mXo03Zm4hsGgngJiMJvNKnTMZay4UMtGbISYfEqjT6jYRmF8z5Wbsy1RwVurJ7/T1h0FTpi3rNeuuI2Xj+7Ue6K07wjyE=
06uaun0m7t9ljk350uv5mjkg3fhmkkqj.okinawa.	3600	in	nsec3	1 0 0 - 076LI62AJ657AU2QK7H1ERK42HFD7J7A NS
