7hpsq5b76tha50r548qinq60o0i45qip.condos.	3600	in	rrsig	NSEC3 8 2 3600 20250930152632 20250909142632 30993 condos. N/XPL6aiARQNGOKnHul68O9yI7duUiQVheZmMFdYbMYt+8vJJ+PHz3qR9Aupd8Spqm7LAP5e7hOl7sKINCv7YtagfoPDMWTITQkrjj87sB0ghh6lCz4C4MUuEULYdtvTa4UpQIxLbbPZODENfPI2plFIMnsx5nV6dGlsx3tkR2A=
7m6qipsdelrc6bgs4dvl21gmp717reel.condos.	3600	in	nsec3	1 1 0 73 7T4J9463K5DP32OB3227T399GM9I694E NS DS RRSIG
7m6qipsdelrc6bgs4dvl21gmp717reel.condos.	3600	in	rrsig	NSEC3 8 2 3600 20250930152632 20250909142632 30993 condos. AcIXMOfNjVst69BZH5aNtumnRa6IP1ZqLzpZHrp/MHGIxwV4sFtt4LySGwj2/xqOlHqt/BVPcgndDjsZWe2ob/oCQXg7YbtgrR91AJD/+F63eamLSM/TWDu9MANwYNTsn+h85D1809fGCwmcTkp1E2c3JDzSwHbtqqXZDs46ZVs=
7t4j9463k5dp32ob3227t399gm9i694e.condos.	3600	in	nsec3	1 1 0 73 839TV6N4E45LQJQ7DHFN2DLF866N0UEU NS DS RRSIG
7t4j9463k5dp32ob3227t399gm9i694e.condos.	3600	in	rrsig	NSEC3 8 2 3600 20250930152632 20250909142632 30993 condos. lWWYWq4iN24YsuSg8YeaaP2hYSjTFiiCIB+22PlTQxIl4s1W/2wFvQU4JGtHfU/ghV4bcRSqGRLM8b4T/fvZ7oKY78tV8/95wvSZLZgrUoMprP8e3poY4lLJcXQm7DU+89A+bkn0esuWu1E3WBQEoc/buN1PqjK8pbbBARG54NA=
810915.condos.	3600	in	ns	ns1.dyna-ns.net.
810915.condos.	3600	in	ns	ns2.dyna-ns.net.
839tv6n4e45lqjq7dhfn2dlf866n0ueu.condos.	3600	in	nsec3	1 1 0 73 977J1OAMEUKUJGNJ2Q6PTII6MM3GHULF NS DS RRSIG
839tv6n4e45lqjq7dhfn2dlf866n0ueu.condos.	3600	in	rrsig	NSEC3 8 2 3600 20250930152632 20250909142632 30993 condos. hwJ/oiY80K+uWyUXFhksIdTfkFI8goYfFsDhuQ4FlnKoSiWXJIE+8Am6tubyfeLsTjtPW7dphnhDoMdr2Vob/yQfbi71O5NVba9jNk1lctapV0ntS9yDOd02wtagJYK4leiM4EAxajhnQj1ebh7OawhRqW/EyrZFAUx8eyVcAGA=
888brickell.condos.	3600	in	ns	ns21.domaincontrol.com.
888brickell.condos.	3600	in	ns	ns22.domaincontrol.com.
88i.condos.	3600	in	ns	rosalie.ns.cloudflare.com.
88i.condos.	3600	in	ns	salvador.ns.cloudflare.com.
