187.jetzt.	3600	in	rrsig	DS 8 2 3600 20260207154830 20260117144830 19005 jetzt. XqTj7azwdvdqwmrV2ahx3E5sCBMKPoiLFuv1PiO3x8bT2YOkC9McTaRjgtM5rWYqb1ls2c3EvKzu97gO5LBkfgu/fzTafNYNkeT/aM/kljY9Wa2NuAOx9Fh89TYYBo5WzMNNUPQx8NorwOy4e+ZfU6DOiQKdyY12nRzy80ZBHCw=
188bet.jetzt.	3600	in	ns	hazel.ns.cloudflare.com.
188bet.jetzt.	3600	in	ns	maxim.ns.cloudflare.com.
1a-abnehmen.jetzt.	3600	in	ns	ns.udag.de.
1a-abnehmen.jetzt.	3600	in	ns	ns.udag.net.
1a-abnehmen.jetzt.	3600	in	ns	ns.udag.org.
1and1.jetzt.	3600	in	ns	ns-telco.ui-dns.biz.
1and1.jetzt.	3600	in	ns	ns-telco.ui-dns.com.
1and1.jetzt.	3600	in	ns	ns-telco.ui-dns.de.
1and1.jetzt.	3600	in	ns	ns-telco.ui-dns.org.
1as7v8jk58r0o9e6rto2bqdoo14q0pn8.jetzt.	3600	in	nsec3	1 1 0 73 1D1SQQPC1R34BIJ5UO5JVMNTIPR11EEM NS DS RRSIG
1as7v8jk58r0o9e6rto2bqdoo14q0pn8.jetzt.	3600	in	rrsig	NSEC3 8 2 3600 20260207154830 20260117144830 19005 jetzt. JqyWSt7vgCBw0Tkcbiban6IdVGQv++I7/SS98aI7IbRc5KN9/DVXhvOlFx88S7fl/TOL6grt5OjB7yVMfhZXuBUyt+EW+Yeb/vpK0yfZLewUBQVHV3ed1GBA8h6oW3IRZny2XBFkHOrlnj9l9wA2lPIiAihNXo5C1crTmluuOQo=
1d-lsd.jetzt.	3600	in	ns	ns.udag.de.
1d-lsd.jetzt.	3600	in	ns	ns.udag.net.
1d-lsd.jetzt.	3600	in	ns	ns.udag.org.
1d1sqqpc1r34bij5uo5jvmntipr11eem.jetzt.	3600	in	nsec3	1 1 0 73 1DBI2LHUD1SKTEHDGGCETCNNKC4OE1P6 NS DS RRSIG
