0ksioassgnvavmrn6bqdpbr2g2h17t4d.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. a9n7D+SWSIz4w3fKN2OlRUcpeLnN8MI5x5tOd07lFe44JN0U2fDgvgsRi+prp1nIzDghxKMoNhzUEPqozfmcM+HlGMWKGtn4YHpogN3CHZj/N2vOo7j/E1fTUqybY3oQtyccLGbONrjIkcAPA1q7k4T7TuORKszg1JZOnn+KeOA=
0m2875v0i8b082l7sr180t7f8hgckb22.dog.	3600	in	nsec3	1 1 0 73 0M9JTD9QV5L1HH1UR49NQMJ529RMG923 NS DS RRSIG
0m2875v0i8b082l7sr180t7f8hgckb22.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. vfXUK314GC7irUKDyKt893a45o4S09ldrVC2B0O7Tr/sSsi8XRbOGh+OMrn3qRlhJQBZoQIX7NvGtIH74jarZsnk0Nsyx9OX61n1qGvzsU2U6hAzEcGnVnJTz21pegtoHu12S4FEhEcR3t5JobRNwoDXVJNbh/OI+3CNvVQ9Nxk=
0m9jtd9qv5l1hh1ur49nqmj529rmg923.dog.	3600	in	nsec3	1 1 0 73 0MIJ7P3C5S5SE7SPVURCT5K691HSPRIE NS DS RRSIG
0m9jtd9qv5l1hh1ur49nqmj529rmg923.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. pdWTSD0EKUqxaZsoLY6FYi4Q+tbEvp8pC/rU330C/8oaWV8GGqW6OYxNi7ZdWwY46jf94XgENdLjQrE43HTVsiPxLTSdIkJPKaW0ZbfZPypHcyD3kMmdaI+DjPqHOBj3hpq+vOXHhPHWSOv/pwk+BB1vBy8BjMevBW0jz2FNC4Q=
0mij7p3c5s5se7spvurct5k691hsprie.dog.	3600	in	nsec3	1 1 0 73 0OCR1TVPFIR6B49PB6G3DH18HO8DP6O8 NS DS RRSIG
0mij7p3c5s5se7spvurct5k691hsprie.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. nZxKL6l573MwlCqzUWTg1jOBdtbeKmb+y4avOVlYWtRNkD2/zY2HwDjzcXReIwIbthtEKypUPGgjEPHB3EJw2MQ41dUtH5T9PI94nS2BK6KLm9Oti6tkFeDxnG6sE7/oJOu644B/fbnJUBvkVvV6KtvAp2oFccdKKVTW8/7yoCU=
0ocr1tvpfir6b49pb6g3dh18ho8dp6o8.dog.	3600	in	nsec3	1 1 0 73 0OT03O2RATS9NKD4V3RJSJTEU79UHJF9 NS DS RRSIG
0ocr1tvpfir6b49pb6g3dh18ho8dp6o8.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. T0uN8DlxXN5W9y+/9tUFKs95nsJUmn1ckHau6c6zh97AVBZTjnLAXWN7CvSs/aRk++YXRXbpAATNZaEwxoEsen4Q8eS9+zp7ohMkjKLnYr7ZQiU62Q/KSdUd3nSD3C5WKqI4aBhkzzlemrEIcVXxcPowjzryeHy51FAYxj7fDFY=
0ot03o2rats9nkd4v3rjsjteu79uhjf9.dog.	3600	in	nsec3	1 1 0 73 0P63S3OBK290HU2P46SAOI4RF38ABP60 NS DS RRSIG
0ot03o2rats9nkd4v3rjsjteu79uhjf9.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. lDO/MHTI+fIO+487aA64VYVJ2Lsr+wLYDxUelXsSnExTm1HGGX6rRu6fe8KPTq+9yWopk+2CM2Yt8RJqJcKW7p9SoKw4E28hOdAvCil69FTLOn8lyJ/Idh/qTpiUPlVFGPqGx+WZtrAlTbMwxITe1LX0mhmK20ACcBqmG9EEGUg=
0p63s3obk290hu2p46saoi4rf38abp60.dog.	3600	in	nsec3	1 1 0 73 0PPTS89BP3IGNHU9UJD0305UGBQBQCQD NS DS RRSIG
0p63s3obk290hu2p46saoi4rf38abp60.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. qVZAWKS1fAioUlOoJXBXB9zsPkWsIa519YS6Cpp9mfwQpergbOGi01fZMLMxNugmiJNvVs+OVQAbTgkOovXRb3T9UEsg87xU1zARcn5zhmMdpgbGnZHjxwVczk+nXryZlCz9P6ubapGlWMlATVpPXNlsArtVBNXX4JNLT+W+W2s=
0ppts89bp3ignhu9ujd0305ugbqbqcqd.dog.	3600	in	nsec3	1 1 0 73 0Q0G4QJU79Q1QNVMAMHALE6JGBTM4P7R NS DS RRSIG
0ppts89bp3ignhu9ujd0305ugbqbqcqd.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. ae0XMD1HyYDxXf4iOcOa1rB567+jVUFD07N/BjKe7JgSVkSCKSqUCg3ce+uvZ7cpa7Z5e2TbAbv6KXVbA7m5WUcQ4H9uQyu69S+Y3HbukQJAW4DUFWDaMz23xU43yjHEtylUhOGeo5br9Rsi6pq6MJoge/Y5DlRhBzfeQwZKiJ0=
0q0g4qju79q1qnvmamhale6jgbtm4p7r.dog.	3600	in	nsec3	1 1 0 73 0R5ULFTR5EPR5JR4HBCKC3F3VLORLENE NS DS RRSIG
0q0g4qju79q1qnvmamhale6jgbtm4p7r.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. bdrjJ/GmiyqImTleLN0M6k3Es8l7D9mBIGCEx0JGGQ+dXd8xu6PhnLjz8bpPg3Y+F3kNfYzzo/o6krtrMh4CzNi2BwT8zj/4ZqJ/yrrMo5YAaUSqXipdeJNbc6/rrZoaFE7K5A5GwC1Hxm2FtUj1/Fo8ITunqgYZzqiProPIXUI=
0qian.dog.	3600	in	ns	archer.ns.cloudflare.com.
0qian.dog.	3600	in	ns	frida.ns.cloudflare.com.
0qian1.dog.	3600	in	ns	a.dnspod.com.
0qian1.dog.	3600	in	ns	b.dnspod.com.
0qian1.dog.	3600	in	ns	c.dnspod.com.
0r5ulftr5epr5jr4hbckc3f3vlorlene.dog.	3600	in	nsec3	1 1 0 73 0U8KABAMOD24CUGVF2PN83SSFDASQUPL NS DS RRSIG
0r5ulftr5epr5jr4hbckc3f3vlorlene.dog.	3600	in	rrsig	NSEC3 8 2 3600 20251022153640 20251001143640 7023 dog. Sj+zU6gd+5SgnEtLpzIphCqPrBk6wbfPAcV5H6F2t6Boqi36NMj6V4EoO/wTPI+pKWHrnK0/paj7WMd4ZN0unTD1ZdteRHiB0Y80VWOPNt5w0s3/kTvFlQS4EYa7EH2U3mwjC+hzXnFz/5f1j/SbWtdxtyp5iLtGdc5kAIC0Iok=
0u8kabamod24cugvf2pn83ssfdasqupl.dog.	3600	in	nsec3	1 1 0 73 0V5I1PLL3RCE5LBRELH21KRI66SG6TQD NS DS RRSIG
