rich.	3600	in	soa	a0.nic.rich. hostmaster.donuts.email. 1756257213 7200 900 1209600 3600
metafacebook.rich.	3600	in	ns	a.ns.facebook.com.
metafacebook.rich.	3600	in	ns	b.ns.facebook.com.
metafacebook.rich.	3600	in	ns	c.ns.facebook.com.
metafacebook.rich.	3600	in	ns	d.ns.facebook.com.
metafb.rich.	3600	in	ns	a.ns.facebook.com.
metafb.rich.	3600	in	ns	b.ns.facebook.com.
metafb.rich.	3600	in	ns	c.ns.facebook.com.
metafb.rich.	3600	in	ns	d.ns.facebook.com.
metainstagram.rich.	3600	in	ns	a.ns.facebook.com.
metainstagram.rich.	3600	in	ns	b.ns.facebook.com.
metainstagram.rich.	3600	in	ns	c.ns.facebook.com.
metainstagram.rich.	3600	in	ns	d.ns.facebook.com.
metamessenger.rich.	3600	in	ns	a.ns.facebook.com.
metamessenger.rich.	3600	in	ns	b.ns.facebook.com.
metamessenger.rich.	3600	in	ns	c.ns.facebook.com.
metamessenger.rich.	3600	in	ns	d.ns.facebook.com.
metanovi.rich.	3600	in	ns	a.ns.facebook.com.
metanovi.rich.	3600	in	ns	b.ns.facebook.com.
metanovi.rich.	3600	in	ns	c.ns.facebook.com.
metanovi.rich.	3600	in	ns	d.ns.facebook.com.
metawhatsapp.rich.	3600	in	ns	a.ns.facebook.com.
metawhatsapp.rich.	3600	in	ns	b.ns.facebook.com.
metawhatsapp.rich.	3600	in	ns	c.ns.facebook.com.
metawhatsapp.rich.	3600	in	ns	d.ns.facebook.com.
metaworkplace.rich.	3600	in	ns	a.ns.facebook.com.
metaworkplace.rich.	3600	in	ns	b.ns.facebook.com.
metaworkplace.rich.	3600	in	ns	c.ns.facebook.com.
metaworkplace.rich.	3600	in	ns	d.ns.facebook.com.
microsoft.rich.	3600	in	ns	ns1-07.azure-dns.com.
microsoft.rich.	3600	in	ns	ns2-07.azure-dns.net.
microsoft.rich.	3600	in	ns	ns3-07.azure-dns.org.
microsoft.rich.	3600	in	ns	ns4-07.azure-dns.info.
mint.rich.	3600	in	ns	ns-1113.awsdns-11.org.
mint.rich.	3600	in	ns	ns-1726.awsdns-23.co.uk.
mint.rich.	3600	in	ns	ns-175.awsdns-21.com.
mint.rich.	3600	in	ns	ns-993.awsdns-60.net.
monolith.rich.	3600	in	ns	ns1.infinityfree.com.
monolith.rich.	3600	in	ns	ns2.infinityfree.com.
more.rich.	3600	in	ns	izabella.ns.cloudflare.com.
more.rich.	3600	in	ns	lennon.ns.cloudflare.com.
morris.rich.	3600	in	ns	dns.rebel.com.
morris.rich.	3600	in	ns	dns2.rebel.com.
mr.rich.	3600	in	ns	curitiba.ns.porkbun.com.
mr.rich.	3600	in	ns	fortaleza.ns.porkbun.com.
mr.rich.	3600	in	ns	maceio.ns.porkbun.com.
mr.rich.	3600	in	ns	salvador.ns.porkbun.com.
muslim.rich.	3600	in	ns	curitiba.ns.porkbun.com.
muslim.rich.	3600	in	ns	fortaleza.ns.porkbun.com.
muslim.rich.	3600	in	ns	maceio.ns.porkbun.com.
muslim.rich.	3600	in	ns	salvador.ns.porkbun.com.
muslims.rich.	3600	in	ns	curitiba.ns.porkbun.com.
muslims.rich.	3600	in	ns	fortaleza.ns.porkbun.com.
muslims.rich.	3600	in	ns	maceio.ns.porkbun.com.
muslims.rich.	3600	in	ns	salvador.ns.porkbun.com.
my.rich.	3600	in	ns	ns01.memail-dns.com.
my.rich.	3600	in	ns	ns02.memail-dns.net.
my.rich.	3600	in	ns	ns03.memail-dns.co.uk.
my.rich.	3600	in	ns	ns04.memail-dns.org.
mymail.rich.	3600	in	ns	ns01.memail-dns.com.
mymail.rich.	3600	in	ns	ns02.memail-dns.net.
mymail.rich.	3600	in	ns	ns03.memail-dns.co.uk.
mymail.rich.	3600	in	ns	ns04.memail-dns.org.
n.rich.	3600	in	ns	ns-1394.awsdns-46.org.
n.rich.	3600	in	ns	ns-1719.awsdns-22.co.uk.
n.rich.	3600	in	ns	ns-448.awsdns-56.com.
n.rich.	3600	in	ns	ns-972.awsdns-57.net.
newyou.rich.	3600	in	ns	ns31.domaincontrol.com.
newyou.rich.	3600	in	ns	ns32.domaincontrol.com.
next.rich.	3600	in	ns	ns1.dyna-ns.net.
next.rich.	3600	in	ns	ns2.dyna-ns.net.
nft.rich.	3600	in	ns	ns27.domaincontrol.com.
nft.rich.	3600	in	ns	ns28.domaincontrol.com.
nic.rich.	3600	in	ds	29373 8 2 183FD72FC26115B4987A689C79001CBB0DA5C631956CD626C4958BB8647D80A2
nic.rich.	3600	in	ns	a0.nic.rich.
nic.rich.	3600	in	ns	a2.nic.rich.
nic.rich.	3600	in	ns	b0.nic.rich.
nic.rich.	3600	in	ns	c0.nic.rich.
nic.rich.	3600	in	rrsig	DS 8 2 3600 20250916160320 20250826150320 12519 rich. dHqXTxk+z0SJ3oJ12iUm0RsDVRaBknIOmoeh9RchGrRixqtytayGab/gVe5FlEoDj52iWTGzSUq1ntbPklljRXs6mdScRuxiXM6Ok19FTjdGX3LWGptwPKkVLNKLcHCy217boB38nNjCei2bRsNBZbzvaCDkhgeo7oUOO3jOxaw=
oculus.rich.	3600	in	ns	a.ns.facebook.com.
