19782025.mba.	3600	in	ns	cornell.dnspod.net.
19782025.mba.	3600	in	ns	orangutan.dnspod.net.
1fuiiqpagid1e2hg7nlj76tr7on9h6bc.mba.	3600	in	nsec3	1 1 0 73 1MV9BBUJJQ5VP31NLE7BP1EAPDU4OISN NS DS RRSIG
1fuiiqpagid1e2hg7nlj76tr7on9h6bc.mba.	3600	in	rrsig	NSEC3 8 2 3600 20250922161245 20250901151245 14829 mba. yQdXaevWlCunUW+bFfD8OlF1E4+6JscLi1HGmyJnzk4icr6oPzVU/cadtD0gn4KM0uBNxIbk0nyMv2uZhISaEJbcPibUbXN9wHrEwrh3VLuMB0eEVS9K5BrvUTOwn1NBQiD5lrtLklSnBpiwyFSX0ss5F2cBMvB6ACwL7rptxXY=
1gom.mba.	3600	in	ns	hank.ns.cloudflare.com.
1gom.mba.	3600	in	ns	sky.ns.cloudflare.com.
1minute.mba.	3600	in	ns	ns-cloud-e1.googledomains.com.
1minute.mba.	3600	in	ns	ns-cloud-e2.googledomains.com.
1minute.mba.	3600	in	ns	ns-cloud-e3.googledomains.com.
1minute.mba.	3600	in	ns	ns-cloud-e4.googledomains.com.
1mv9bbujjq5vp31nle7bp1eapdu4oisn.mba.	3600	in	nsec3	1 1 0 73 1ORPHB3B219QKKM6AU2A7PRK6O6K294M NS DS RRSIG
1mv9bbujjq5vp31nle7bp1eapdu4oisn.mba.	3600	in	rrsig	NSEC3 8 2 3600 20250922161245 20250901151245 14829 mba. NA1FIZ0JT6Sa0/cXLZ6OKqxWJWAw1cgDUW5DqBp+h/+hgmOzLj4dobe3kmY2MdkNowcuV8OrHUtbDIbPgp2T5dvZ7hPSMTV8RMSvG8tNu535AATX6KLNJHrpr1k5wviwdB37zQ1BS/M11vXwBRbmXMDjJ1Wgfuw2Pv5Ng6IFSkU=
1orphb3b219qkkm6au2a7prk6o6k294m.mba.	3600	in	nsec3	1 1 0 73 1QNSPA8I2K3F1Q2J9QG80B246TE3RD1S NS DS RRSIG
1orphb3b219qkkm6au2a7prk6o6k294m.mba.	3600	in	rrsig	NSEC3 8 2 3600 20250922161245 20250901151245 14829 mba. ogZvLN5CGS5CMBrtcg70xfe4AIbw+EwfGLRP/tm7GWNijjqEBfQpAIhENAqRNsTj7eEJ+ETI9xW1WshpjBdDZO5X+N82pTPX1plrJJCY2Ah5R70j3iV34l2c4wR2k6p4d12i3Iw1/uwMC2J4ZxGqZUSvVsr6MHNKGXiueQHTg6U=
1percent.mba.	3600	in	ns	dns1.registrar-servers.com.
1percent.mba.	3600	in	ns	dns2.registrar-servers.com.
1qnspa8i2k3f1q2j9qg80b246te3rd1s.mba.	3600	in	nsec3	1 1 0 73 1TEQMIGK8E3RC1JTUV6NTCACEQMCCTF8 NS DS RRSIG
