1ra5m3dj7ncj4n57bkf3ppm94v4nd0hr.jewelry.	3600	in	rrsig	NSEC3 8 2 3600 20251022155527 20251001145527 65259 jewelry. kU02Lq4+aAjyJkpMeeKTaO/4jHXMM5AyeSxw2Fy5vF4zciwbSkV1k6vpfJkzPH2jfrBpryCR01CseNK3mR/M1H70GmpWZEzsu6tU2CB9Xl5PH5DRG7xO9xmeX+/veTpHEWZ2+iQd8auqZ4jEygFpwquDU7SKTxXFOnjvWu3vAmM=
1st.jewelry.	3600	in	ns	ns1.atom.com.
1st.jewelry.	3600	in	ns	ns2.atom.com.
1xbet.jewelry.	3600	in	ns	ns1.afternic.com.
1xbet.jewelry.	3600	in	ns	ns2.afternic.com.
1z.jewelry.	3600	in	ns	dns1.registrar-servers.com.
1z.jewelry.	3600	in	ns	dns2.registrar-servers.com.
21.jewelry.	3600	in	ns	ns69.domaincontrol.com.
21.jewelry.	3600	in	ns	ns70.domaincontrol.com.
210.jewelry.	3600	in	ns	ns-1302.awsdns-34.org.
210.jewelry.	3600	in	ns	ns-1682.awsdns-18.co.uk.
210.jewelry.	3600	in	ns	ns-195.awsdns-24.com.
210.jewelry.	3600	in	ns	ns-740.awsdns-28.net.
22k.jewelry.	3600	in	ns	pdns03.domaincontrol.com.
22k.jewelry.	3600	in	ns	pdns04.domaincontrol.com.
246rfk4n3idoe9db2oqk5mr63rp60hh6.jewelry.	3600	in	nsec3	1 1 0 73 26LIRB5353KQS7CT1EFC9VG48HOB8KO3 NS DS RRSIG
246rfk4n3idoe9db2oqk5mr63rp60hh6.jewelry.	3600	in	rrsig	NSEC3 8 2 3600 20251022155527 20251001145527 65259 jewelry. nuJIEGDmAdPiIQhhDJuHLuzpcE+JNMGvXF8+/3ZHpE8VmaO/KYS4913iZupVITaNCNzd/8YpuoSJCeDU2ZX8kNU9pMxiLZjJGZATgwA4EwOswYNQaskOkI8ttoAaeAn9qm3L1n7mPUt7ALUZzPbPqIjmB5ZPcYsbzWVRaZDevB4=
247.jewelry.	3600	in	ns	dns1.registrar-servers.com.
247.jewelry.	3600	in	ns	dns2.registrar-servers.com.
24k.jewelry.	3600	in	ns	pdns11.domaincontrol.com.
24k.jewelry.	3600	in	ns	pdns12.domaincontrol.com.
25karats.jewelry.	3600	in	ns	ns45.domaincontrol.com.
25karats.jewelry.	3600	in	ns	ns46.domaincontrol.com.
26lirb5353kqs7ct1efc9vg48hob8ko3.jewelry.	3600	in	nsec3	1 1 0 73 2HMDU21DKGS46K91T3UMLOEPOJ84BQ0E NS DS RRSIG
26lirb5353kqs7ct1efc9vg48hob8ko3.jewelry.	3600	in	rrsig	NSEC3 8 2 3600 20251022155527 20251001145527 65259 jewelry. Og95yy0o7gyEcDn7ieGcTsrbA7wDstIbXPrerVzi6Atkr5WFdSnDosSw8AChRA+taN3mIyPAi0YHaf/OQl9fPjvflPc0geaSfUBYGSW5TjLfbXOzRM+qCQ2sgbejommi83iH6GZLJHmfdlPcLyp7z4q3tWBkmeFRn/HF3NPgnHc=
2cgreen.jewelry.	3600	in	ns	ns-cloud-b1.googledomains.com.
2cgreen.jewelry.	3600	in	ns	ns-cloud-b2.googledomains.com.
2cgreen.jewelry.	3600	in	ns	ns-cloud-b3.googledomains.com.
2cgreen.jewelry.	3600	in	ns	ns-cloud-b4.googledomains.com.
