matlab.xn--1ck2e1b.	3600	in	ns	ns-855.awsdns-42.net.
maxvalu.xn--1ck2e1b.	3600	in	ns	rns1.rightsdns.com.
maxvalu.xn--1ck2e1b.	3600	in	ns	rns2.rightsdns.com.
naughty.xn--1ck2e1b.	3600	in	ns	ns1.101domain.com.
naughty.xn--1ck2e1b.	3600	in	ns	ns2.101domain.com.
naughty.xn--1ck2e1b.	3600	in	ns	ns5.101domain.com.
nic.xn--1ck2e1b.	3600	in	ds	25326 8 2 501E87ECA3CDA93152697D10D801E90EB5867FB7DA3F8EA49E3BA0FCC5AFF2A6
nic.xn--1ck2e1b.	3600	in	ns	v0n0.nic.xn--1ck2e1b.
nic.xn--1ck2e1b.	3600	in	ns	v0n1.nic.xn--1ck2e1b.
nic.xn--1ck2e1b.	3600	in	ns	v0n2.nic.xn--1ck2e1b.
nic.xn--1ck2e1b.	3600	in	ns	v0n3.nic.xn--1ck2e1b.
nic.xn--1ck2e1b.	3600	in	ns	v2n0.nic.xn--1ck2e1b.
nic.xn--1ck2e1b.	3600	in	ns	v2n1.nic.xn--1ck2e1b.
nic.xn--1ck2e1b.	3600	in	rrsig	DS 8 2 3600 20251022161919 20251001151919 38178 xn--1ck2e1b. DjXmYXX4tZTnb8S8FEoAH35WrJjvcrtjC5Cn9Xds6MSVNf2uFqPEieNyzJUjl8gXg4wf70dukW3peWSuzeXt6CFG2zqUekZNgFKhmIVQNZ206JMSJVjCufRj71yFoI/CdvV5VDjOqm0ElW2C3u+pzqR27l8JdVb8Ge3SrbpXVQY=
oculusrift.xn--1ck2e1b.	3600	in	ns	a.ns.facebook.com.
oculusrift.xn--1ck2e1b.	3600	in	ns	b.ns.facebook.com.
oculusrift.xn--1ck2e1b.	3600	in	ns	c.ns.facebook.com.
oculusrift.xn--1ck2e1b.	3600	in	ns	d.ns.facebook.com.
oculusvr.xn--1ck2e1b.	3600	in	ns	a.ns.facebook.com.
oculusvr.xn--1ck2e1b.	3600	in	ns	b.ns.facebook.com.
