188bet.builders.	3600	in	ns	launch2.spaceship.net.
188bet.builders.	3600	in	rrsig	DS 8 2 3600 20251022152537 20251001142537 50079 builders. IoS++XimfoDLU04Nc9Msf1SsL8unkBSvVGs60z/t/3WiC5yt+02+7X6EBLBcWdShbrp8obcGX6Hrh6iuGguMgib4DkRHAZGDumUY/k0s1wArJ4Z6w5A3tqmsy8krA9y8m9vAEkRl2HqXOUOmZbqwmHm4pZjfzqDZs+2u/xlYcKM=
19025.builders.	3600	in	ns	n1.xundns.com.
19025.builders.	3600	in	ns	n2.xundns.com.
1906.builders.	3600	in	ns	ns1.hover.com.
1906.builders.	3600	in	ns	ns2.hover.com.
1908.builders.	3600	in	ns	ns1.gfit.net.
1908.builders.	3600	in	ns	ns2.gfit.net.
1911.builders.	3600	in	ns	ns31.domaincontrol.com.
1911.builders.	3600	in	ns	ns32.domaincontrol.com.
19120.builders.	3600	in	ns	ns1.dnsip.com.
19120.builders.	3600	in	ns	ns2.dnsip.com.
19275.builders.	3600	in	ns	ns1.dnsip.com.
19275.builders.	3600	in	ns	ns2.dnsip.com.
19950.builders.	3600	in	ns	n1.xundns.com.
19950.builders.	3600	in	ns	n2.xundns.com.
19998.builders.	3600	in	ns	ns1.dnsip.com.
19998.builders.	3600	in	ns	ns2.dnsip.com.
1and1-ionos.builders.	3600	in	ns	ns-1and1.ui-dns.biz.
1and1-ionos.builders.	3600	in	ns	ns-1and1.ui-dns.com.
1and1-ionos.builders.	3600	in	ns	ns-1and1.ui-dns.de.
1and1-ionos.builders.	3600	in	ns	ns-1and1.ui-dns.org.
1b.builders.	3600	in	ns	ns03.domaincontrol.com.
1b.builders.	3600	in	ns	ns04.domaincontrol.com.
1bfg6pkckpa69u2kfh5hghtjmgb4e9gl.builders.	3600	in	nsec3	1 1 0 73 1EN9NIOKABRSOLLLA4A3FB7RMUVT9T96 NS SOA RRSIG DNSKEY NSEC3PARAM
1bfg6pkckpa69u2kfh5hghtjmgb4e9gl.builders.	3600	in	rrsig	NSEC3 8 2 3600 20251023010044 20251002000044 50079 builders. RGXWq2+qLL2JdmA5jtL1RnCHFQr+90KrOstMgyZYw3lJ+FcgKmoTe93eCqc/vSJl98UFUCfc6L9c20NEnKml8Lc1D2vteKJsLEvxiNG/Ew6sqLcUn8XXCdaH6J0NosJUN3lv0b+kzhRzI02gFzb+2hXnyXZGXfgHEH1DgF5WSQ4=
