1saqigl6iij06d6kc7e6nuugkq454aat.actor.	3600	in	rrsig	NSEC3 8 2 3600 20260207152300 20260117142300 36288 actor. chAqJvdBUa2oak0nCtKDahroHs2x5FVumGPLP6gFLc6q1VkW6Oat1ntrzsxCnbcwuDEaFJHGGSt7/EHKmUnwXjV+bPTs6Wdj5xFaPvZopvOuJW/duyUEX4XsIE3d4NBp6Mh0QWc+HOv8M9deAjUaORjaaLtDtFtsmlewWtcttdo=
1st.actor.	3600	in	ns	ns1.afternic.com.
1st.actor.	3600	in	ns	ns2.afternic.com.
1tamilyogi.actor.	3600	in	ns	irena.ns.cloudflare.com.
1tamilyogi.actor.	3600	in	ns	memphis.ns.cloudflare.com.
1xbetmovie.actor.	3600	in	ns	ns1.1domainregistry.com.
1xbetmovie.actor.	3600	in	ns	ns2.1domainregistry.com.
1xbetmovie.actor.	3600	in	ns	ns3.1domainregistry.com.
1xbetmovie.actor.	3600	in	ns	ns4.1domainregistry.com.
2-f.actor.	3600	in	ns	ns1.iwantmyname.net.
2-f.actor.	3600	in	ns	ns2.iwantmyname.net.
2-f.actor.	3600	in	ns	ns3.iwantmyname.net.
2-f.actor.	3600	in	ns	ns4.iwantmyname.net.
21oj7f6ge1f15np6cnv18b1cccl0meag.actor.	3600	in	nsec3	1 1 0 73 27U1U5EN22A2GETFIM8UJ12BMUUS2964 NS DS RRSIG
21oj7f6ge1f15np6cnv18b1cccl0meag.actor.	3600	in	rrsig	NSEC3 8 2 3600 20260207152300 20260117142300 36288 actor. nyV2wDAGGha2QbYrkThXNikYIzrxMVl5K3ZNDBSxFlawqMLzJRuILaLMJqJoGw1kL4EXAaaTsdSRs+Fg8ZqfLtupvr8JJlvkVT6Y6cH+dmD6kvV1oQlI8Uax1RFBrdL1wD0GnZWT95rlZmewCd9VBb5VLZJ1dzLOD/e91sX1MCw=
23win.actor.	3600	in	ns	ricardo.ns.cloudflare.com.
23win.actor.	3600	in	ns	summer.ns.cloudflare.com.
24.actor.	3600	in	ds	39035 13 2 43AFE13A3F66DEF78B069E496E92F281FB19894812823A9F42E20D1D006287FF
24.actor.	3600	in	ns	ns1.dorob.de.
24.actor.	3600	in	ns	ns2.dorob.de.
24.actor.	3600	in	ns	ns3.dorob.de.
24.actor.	3600	in	ns	ns4.dorob.de.
24.actor.	3600	in	ns	ns5.dorob.de.
