7r89lsm4dbaa43371pcbfkphav4d5m2s.vodka.	900	in	nsec3	1 1 0 - 8CCGFCCADNPCP14M5AGUEH4L7NLB7PA6 NS DS RRSIG
7r89lsm4dbaa43371pcbfkphav4d5m2s.vodka.	900	in	rrsig	NSEC3 8 2 900 20250923083200 20250909073753 38904 vodka. dc6B72mrY6UWhjWKYVSBiriZxVYzQ9tHFLKPwJ05AnOB2KNaLU0VMx+E/6QKhOsgVJQXVCyaoY+5knSCoVbTR00c03MWym9N4qm9R7y0npwMgrHGjmSJ67DSaxBsQI0NrziJJkhI9DSeOUebAWHxkm+WuEt94yYR1W93XSoD9dvwGtwKVIYCSmmYcdw5hYicyySjyNEjSNyHG94dZe568Q==
8.vodka.	3600	in	ns	ns3.afternic.com.
8.vodka.	3600	in	ns	ns4.afternic.com.
8848.vodka.	172800	in	ns	ns59.domaincontrol.com.
8848.vodka.	172800	in	ns	ns60.domaincontrol.com.
888.vodka.	3600	in	ns	ns1.sedoparking.com.
888.vodka.	3600	in	ns	ns2.sedoparking.com.
8888.vodka.	172800	in	ns	ns1.world4you.at.
8888.vodka.	172800	in	ns	ns2.world4you.at.
888b.vodka.	3600	in	ns	aria.ns.cloudflare.com.
888b.vodka.	3600	in	ns	cody.ns.cloudflare.com.
88clb.vodka.	3600	in	ns	gina.ns.cloudflare.com.
88clb.vodka.	3600	in	ns	jihoon.ns.cloudflare.com.
8ccgfccadnpcp14m5agueh4l7nlb7pa6.vodka.	900	in	nsec3	1 1 0 - 8I85FC4JQ6DTUFFA0PMV58K1P62UO7SV NS DS RRSIG
8ccgfccadnpcp14m5agueh4l7nlb7pa6.vodka.	900	in	rrsig	NSEC3 8 2 900 20250924200313 20250910191834 38904 vodka. d2XDdn500rCUOnYaeFxs6OsugrS/ueYy2K4SNBuMh+SoqxDyM7MTy7V4Mg/U3W2JDLQFDTxN4bqY1xoMZUov1SDC3YEW1gtmPYzrV6Z3LALtMgWDLiqskiwpZbGdNdWV3ihqCetoen/DyZJ403K9KJbO2xLsW1Gm1ij3UX1pCUFbHHzgxH1pN3HZmrtUbZMLyv6Fouoln4SSobYtahG4Vg==
8day.vodka.	3600	in	ns	aria.ns.cloudflare.com.
8day.vodka.	3600	in	ns	cody.ns.cloudflare.com.
8i85fc4jq6dtuffa0pmv58k1p62uo7sv.vodka.	900	in	nsec3	1 1 0 - 9BGQFBPN3DSR1OAK1G1E513RQJEITIAD NS DS RRSIG
8i85fc4jq6dtuffa0pmv58k1p62uo7sv.vodka.	900	in	rrsig	NSEC3 8 2 900 20250921042029 20250907041417 38904 vodka. Ipfpm96CvsV5N7NwZVaOB6vY6X4/g4NDr+Ko1leUZH2QJP/fpRwBi4spvt4vC9pwnn/SKn/EFaNt0b0TlP2aqhRBJgGhc1/OhMZJXpKt5fFZQW+J5v4fYzw1ITBvlRG45Zujl9tcn4auvp0O8J0i0COHUqyszsfiYvHSESsqGJTyo0djjtgYPmbU0+72ilQNT2qqAsyzP2UEPIOQqsZOBA==
8kbet.vodka.	3600	in	ns	bryce.ns.cloudflare.com.
8kbet.vodka.	3600	in	ns	margot.ns.cloudflare.com.
8live.vodka.	3600	in	ns	kay.ns.cloudflare.com.
8live.vodka.	3600	in	ns	kyrie.ns.cloudflare.com.
8xbet.vodka.	3600	in	ns	ns29.domaincontrol.com.
8xbet.vodka.	3600	in	ns	ns30.domaincontrol.com.
907.vodka.	172800	in	ns	ns31.domaincontrol.com.
907.vodka.	172800	in	ns	ns32.domaincontrol.com.
999.vodka.	3600	in	ns	ns1.e-ns.org.
999.vodka.	3600	in	ns	ns2.e-ns.org.
9bgqfbpn3dsr1oak1g1e513rqjeitiad.vodka.	900	in	nsec3	1 1 0 - ACG4FIF0VVSK6QGA8B6AKU24RE9PVGF3 NS DS RRSIG
9bgqfbpn3dsr1oak1g1e513rqjeitiad.vodka.	900	in	rrsig	NSEC3 8 2 900 20250920012713 20250906003128 38904 vodka. PU5bNEnfR9cXc/00ywIKOOXARjtM5JNbOBy8mkxeUiWu0lUZ/jkEd5hS2ZDuxPjyoa6W6rf6oShsFDBfS3ZHlmyUTBHOC41kDOVKjkgKy3PgosApG+glE6Rs5B1F52dD7m6GPIPt1VczsRdCtRP/uPxmGMmcrs92gdH2jMM/dY/KRxOzF6/Tv0dmVNafuns0hFBCCZrVj0thuJsgJTGtjw==
_forcedupdate.vodka.	300	in	rrsig	TXT 8 2 300 20250919212212 20250907133728 38904 vodka. h7kIjzSw8Bg9E0sDtBzXGBxnbwKJhFfhpCdzt4sT/Tyr0VhHb+/6p8jOheuAE/y4nkeE7h+VL0dktXSHw7P+g1iMlyX+nAhH2hyCEBYL2rv5Z7DA3a6tOgKSwM6G/AYYjad/xwK0a9LNmjiJm7kL0RB5tCnjCim9Xh86h8s4sWnkBN8ehd2KEoob3+z5hHoiXA8/7S3BzmPPzDAtfJb0ug==
_forcedupdate.vodka.	300	in	txt	"1757255848"
a.nic.vodka.	172800	in	a	37.209.192.10
a.nic.vodka.	172800	in	aaaa	2001:0dcd:0001:0000:0000:0000:0000:0010
a.vodka.	3600	in	ns	launch1.spaceship.net.
a.vodka.	3600	in	ns	launch2.spaceship.net.
a16z.vodka.	3600	in	ns	ns1.lexsynergy.net.
a16z.vodka.	3600	in	ns	ns2.lexsynergy.us.
a16z.vodka.	3600	in	ns	ns3.lexsynergy.info.
a1q.vodka.	3600	in	ns	denver.ns.cloudflare.com.
a1q.vodka.	3600	in	ns	hadlee.ns.cloudflare.com.
aaa.vodka.	3600	in	ns	ns1.openschool.cc.
aaa.vodka.	3600	in	ns	ns2.openschool.cc.
aaa.vodka.	3600	in	ns	ns3.openschool.cc.
abc8.vodka.	3600	in	ns	julian.ns.cloudflare.com.
abc8.vodka.	3600	in	ns	marissa.ns.cloudflare.com.
