6.ruhr.	900	in	rrsig	NSEC 10 2 900 20260222081917 20260123064917 4250 ruhr. HLKN9ZDssLo+arkRKMH++XvIMCERXPxQI+5cG7yVbwPAENfdI6Rr3PFP0enuNlRMbdx2rdTc56Asq64z04bLCssiW+zG7bquelejrYrEl2XSJwKZwcGA23qL9j+iTrivTKiGbkAYubUMJd4t0G2mkam8Hi+UlobVTqhkDSoQUS+mcZNivTlVCRecCvQ8jeK0wpbMvOvWbE2LWIfh9GF5oA==
60minuten.ruhr.	3600	in	ns	ns1018.ui-dns.de.
60minuten.ruhr.	3600	in	ns	ns1037.ui-dns.biz.
60minuten.ruhr.	3600	in	ns	ns1098.ui-dns.org.
60minuten.ruhr.	3600	in	ns	ns1105.ui-dns.com.
60minuten.ruhr.	900	in	nsec	6pm.ruhr. NS RRSIG NSEC
60minuten.ruhr.	900	in	rrsig	NSEC 10 2 900 20260222081917 20260123064917 4250 ruhr. OnBwY6c3lXx/mS2nHF7JL1JfDC4cGCv1mV47FfUmgKdD1DWXLjS94hPVk+1VWaVio3UmrpEeE7wn3tJLUtPGfvOUlu1EV/V3DfFzesJQxUB+gA9ynKi4esT4AY0zXta/KkTuN3gwVkcdLqRqg4eQTF9+RDqeT5cGj6VraP04ghd97aN4UhoVjLcAoX+Pcw5V6QMy1hRwJgKnSvxLhkDnNQ==
6pm.ruhr.	3600	in	ns	nsgbr.comlaude.co.uk.
6pm.ruhr.	3600	in	ns	nssui.comlaude.ch.
6pm.ruhr.	3600	in	ns	nsusa.comlaude.net.
6pm.ruhr.	900	in	nsec	780.ruhr. NS RRSIG NSEC
6pm.ruhr.	900	in	rrsig	NSEC 10 2 900 20260222081917 20260123064917 4250 ruhr. B6z7aEZLbgQkDxG3bDcPjHXUehBvvI0gF/6nPSxtnFwQEGtWi+quGJ597ernGQF8vzBJwGbRImD4Aws1P8OoBWMQldd3lgio9kkFy5jKefkZ22jrZu3NZlg9VrtEg5ooFVQyDC5R1qKnHtF/AED5EdO7BU/gc7Zs5EubWYiC6WiRgDZPuEsMadJUwPHEN4iCiT8siKlq0hGAFfEWMw+hYg==
780.ruhr.	3600	in	ns	ns-de.1and1-dns.biz.
780.ruhr.	3600	in	ns	ns-de.1and1-dns.com.
780.ruhr.	3600	in	ns	ns-de.1and1-dns.de.
780.ruhr.	3600	in	ns	ns-de.1and1-dns.org.
780.ruhr.	900	in	nsec	911.ruhr. NS RRSIG NSEC
780.ruhr.	900	in	rrsig	NSEC 10 2 900 20260222081917 20260123064917 4250 ruhr. gKB1yN9SRFY+ML/YF7hcWvY2g9tQw48pB3C77DseCehP86gjRM+CeiBiXkdwQIvbYrST2AJqdk5wxpFAbV/HH2td97E3wpacyruFNZa0B0BNqUqv3MADwuehgrHLRyZbTnPaVobUuJTyqLACoQdcbeArXMpLMmxYiDMPh3jDq46XTpH0rDMaFPbzPVV23KtpwiHjTinsfs5T6rmRVSMn0w==
911.ruhr.	3600	in	ns	ns1024.ui-dns.com.
911.ruhr.	3600	in	ns	ns1031.ui-dns.de.
911.ruhr.	3600	in	ns	ns1103.ui-dns.biz.
911.ruhr.	3600	in	ns	ns1109.ui-dns.org.
911.ruhr.	900	in	nsec	_operator-data.ruhr. NS RRSIG NSEC
911.ruhr.	900	in	rrsig	NSEC 10 2 900 20260222081917 20260123064917 4250 ruhr. nNiy6btk1atzXbTo5nqlQ5BbHlAVN/QVKwdDVNK7n4669Zh3U2+k43TM34DXXFCyWwd6MeZAoq7fyBrHhdmy6pDuQ5m1P6DgmkcAwsWlzpd0vL2tANloNEbo7YB1ZS2M/0oChmuVBI5g6kY6ftx+ZA5a9ieW2jH9cJSXEgcgyO3sX4a4hDeKf5r2AhlT7WpV3RGq3EWIZ7roEPoMRUV+UQ==
_operator-data.ruhr.	3600	in	rrsig	TXT 10 2 3600 20260222081917 20260123064917 4250 ruhr. rN6N8GClT7k5WWcUvbOZAc3h6+lpk5B6XOX/RB63IKT93IHiyT8Q1LEwMGXYT6IStFCPyncnXulEqJ4RI2W6MbXrGGicK/7Utx96pGyPGokRYQipuPSyvZserkDKCgvg+5sbKiQBM1I7teAx71s3zhcc4BSQFucmo20YnbvA3f5WwKnR5VV0gJamNeIiulHUPYnGCD69txXGCQm5kGZ+kQ==
_operator-data.ruhr.	3600	in	txt	"CentralNic Registry SRS BERO"
_operator-data.ruhr.	900	in	nsec	a.ruhr. TXT RRSIG NSEC
_operator-data.ruhr.	900	in	rrsig	NSEC 10 2 900 20260222081917 20260123064917 4250 ruhr. dLTnwRtxud+X1cJbBxrhkZokhCcwqhrAXpfaj7/7Uqtk/bWZdlvLNxqa2bHTSAjZtBv5Qa38LMSnRSW8XhCGrxEhhKJcD+YJt2b7RA2Q/vY8M5uNLTCAyjvtLmlLVW9LM/bu2J+4T13SMgoKcQLdc5WHfeghcRBv15v7mbRi6mQoQJ4ertIyUlwtA0dlazoMxFrOsG4KpIV6UPQNxYOVZw==
a.nic.ruhr.	3600	in	a	194.169.218.155
a.nic.ruhr.	3600	in	aaaa	2001:067c:13cc:0000:0000:0000:0001:0155
a.ns.ari.ruhr.	3600	in	a	89.238.69.83
a.ns.ari.ruhr.	3600	in	aaaa	2a00:1828:a008:6983:0000:0000:0000:0002
a.ns.bacterium.ruhr.	3600	in	a	89.238.69.83
a.ns.bacterium.ruhr.	3600	in	aaaa	2a00:1828:a008:6983:0000:0000:0000:0002
a.ns.eberhard.ruhr.	3600	in	a	89.238.69.83
a.ns.eberhard.ruhr.	3600	in	aaaa	2a00:1828:a008:6983:0000:0000:0000:0002
a.ns.labmed.ruhr.	3600	in	a	89.238.69.83
a.ns.labmed.ruhr.	3600	in	aaaa	2a00:1828:a008:6983:0000:0000:0000:0002
a.ns.labor.ruhr.	3600	in	a	89.238.69.83
a.ns.labor.ruhr.	3600	in	aaaa	2a00:1828:a008:6983:0000:0000:0000:0002
a.ns.mibi.ruhr.	3600	in	a	89.238.69.83
a.ns.mibi.ruhr.	3600	in	aaaa	2a00:1828:a008:6983:0000:0000:0000:0002
a.ruhr.	3600	in	ds	16421 8 1 4776A9CEE1282EE407CD5B65C50AF33435830136
a.ruhr.	3600	in	ds	16421 8 2 92B7D71C38E5C240027FFF6ACE388B21030A1A6A278F5FD7110625D00721ED8A
a.ruhr.	3600	in	ns	dns.globvill.de.
a.ruhr.	3600	in	ns	dns.globvill.ruhr.
a.ruhr.	3600	in	ns	dns.voerde.globvill.de.
a.ruhr.	3600	in	rrsig	DS 10 2 3600 20260222081917 20260123064917 4250 ruhr. VTFzaT8rLGHqJjavyNqdji296eQ8SFuXGQFGP/LtnCC2DZvB06C1ylvzD0wB6eFU8bCQb5QF9H2jTE15QeA0ga08jkuJjhOjjo47YW3AXwD55Q3ctI/uvq0bWu3MSMmEMn8mNuc1EmFXmZc1R37Ed6UTKoszvzDI9wxksLU/dFdimduYExx8avx70JkiybUDsgdIPeR6oCgX9y/u04QNew==
a.ruhr.	900	in	nsec	a16z.ruhr. NS DS RRSIG NSEC
