031213.christmas.	900	in	rrsig	NSEC 13 2 900 20260211083757 20260112070757 58362 christmas. engEbKoUBZZyGX/Vn7kxA+r0n+eOADhZwxdeHdTqKKc5sVieW0p1ensW/INTpRFFYnKvE/AQDLOtNhAcIZedBQ==
040932.christmas.	3600	in	ds	63711 13 2 AE7F183C889DD46D6EF2D664A393D355B1EC75F3F66039A1B7D6633698EE76C6
040932.christmas.	3600	in	ns	launch1.spaceship.net.
040932.christmas.	3600	in	ns	launch2.spaceship.net.
040932.christmas.	3600	in	rrsig	DS 13 2 3600 20260216142959 20260117125959 58362 christmas. yQjQzFDkzim8KIvkVnzZl3ve/gJGkbP+1i3A/MQXNfw3ij/3ZOQ2cc7hNxJV073+SIzaW0fpYyIH8QtMQp+YuA==
040932.christmas.	900	in	nsec	041700.christmas. NS DS RRSIG NSEC
040932.christmas.	900	in	rrsig	NSEC 13 2 900 20260216142959 20260117125959 58362 christmas. m+Uuz47QTXFjF+MnImZPYr7AgM68HiiX9WhWNFj4VzrfVAnVb2UzHygAue2mxbkyC4hyHoVJhw+8le+rm694sQ==
041700.christmas.	3600	in	ds	2649 13 2 BD6C0BFBEE17F88470EB82868F40700958E9B6DB7E518393AC15DA165379ECA0
041700.christmas.	3600	in	ns	launch1.spaceship.net.
041700.christmas.	3600	in	ns	launch2.spaceship.net.
041700.christmas.	3600	in	rrsig	DS 13 2 3600 20260216142959 20260117125959 58362 christmas. 7AbPQRUDnHl73H/FD2vFq/Kjeq6n5ZeRvftR+ZVizwP8OXOJ5/D5foTpU/oiArm4LVgaYG6jPQT460ilc9SMTA==
041700.christmas.	900	in	nsec	042396.christmas. NS DS RRSIG NSEC
041700.christmas.	900	in	rrsig	NSEC 13 2 900 20260216142959 20260117125959 58362 christmas. 6ODqs1hL/VQpE6a5RxZ5gdvn4qQyqFlMENmq4Nnkl1hjRYKMIXfqD0jptZUGe0NVFmtiDXw72t1f4+IQ/psoWw==
042396.christmas.	3600	in	ds	16829 13 2 46AEC8AF9C71B3859539ECDA09E201B0DE7EF477A7A0DF3FC48CD03698F0DF91
042396.christmas.	3600	in	ns	launch1.spaceship.net.
042396.christmas.	3600	in	ns	launch2.spaceship.net.
042396.christmas.	3600	in	rrsig	DS 13 2 3600 20260216142959 20260117125959 58362 christmas. v1+kL8KKnYPnJ17fyv6kFpkud5EHMQO4bHG6x5/RnfRPRX7T3O8fAD8Ud4acxuvRQ6loCtRmdGfH9oGl5hh+kw==
042396.christmas.	900	in	nsec	047630.christmas. NS DS RRSIG NSEC
042396.christmas.	900	in	rrsig	NSEC 13 2 900 20260216142959 20260117125959 58362 christmas. xNjq1cib1Oc6GHLGhqnJhyjUdqWFtLfLJP5khSQFFgZmziUKrOPAeItlS1jIfivX8ndolayMLcQ/wBTjP6z7nQ==
047630.christmas.	3600	in	ds	48613 13 2 3A619FE3035896EE72880858E3B462E43E79159B244BEE2B4AD5C53FD3F822FF
047630.christmas.	3600	in	ns	launch1.spaceship.net.
047630.christmas.	3600	in	ns	launch2.spaceship.net.
047630.christmas.	3600	in	rrsig	DS 13 2 3600 20260216142959 20260117125959 58362 christmas. cMLNrlHStXVt0sb1Nokj/6rpPXVrgF8tHnchRgjxV3IiXTkfLp74+TW7tp7ke9CQ3q2mzgwIIEzlSzqnhXatdw==
047630.christmas.	900	in	nsec	048002.christmas. NS DS RRSIG NSEC
047630.christmas.	900	in	rrsig	NSEC 13 2 900 20260216142959 20260117125959 58362 christmas. /QX7g+7AUikdUt2JTPBuG0l3q3Hvi9ArSTC+RDDsHgWBNltyYzsc5gcyuknPCcJobZE0XLcXeQbdbt9Lcz/yKQ==
048002.christmas.	3600	in	ds	48809 13 2 90402DC32A25E01E337C631CB90A8A42A7335A9B3EE8450DC02E9F4EF9500479
048002.christmas.	3600	in	ns	launch1.spaceship.net.
048002.christmas.	3600	in	ns	launch2.spaceship.net.
048002.christmas.	3600	in	rrsig	DS 13 2 3600 20260216142959 20260117125959 58362 christmas. ESsGWu3j500g3Wi3D5UZ1tg0nmX0bM0yxYWQXSBO8C6zycMZOvGUwrKuVV52K3L9qvpuWdfIJA/r47utaaDxTw==
048002.christmas.	900	in	nsec	050360.christmas. NS DS RRSIG NSEC
048002.christmas.	900	in	rrsig	NSEC 13 2 900 20260210072246 20260111055246 58362 christmas. y/xydLnKUSss/M93JjYd3MAMxww63MoFCwChRdsngFdgE6iYgI8a7wKoCBwxRXn7rlmUazy/F6xip+6hnA1RIA==
050360.christmas.	3600	in	ds	26124 13 2 F928A1A342D4392FC8D5B5AB782BF96291A103F77EB783D973DFEB73F814AECD
050360.christmas.	3600	in	ns	launch1.spaceship.net.
050360.christmas.	3600	in	ns	launch2.spaceship.net.
050360.christmas.	3600	in	rrsig	DS 13 2 3600 20260216142959 20260117125959 58362 christmas. /Th44jqUtX3mmtCzzfBoWd4mDu+UVzvgAMpSsElw+YIz+0Q5UR+sRI4Q6kfxAg3aUhnIioarAFL2g5vUCLnSbA==
050360.christmas.	900	in	nsec	050706.christmas. NS DS RRSIG NSEC
050360.christmas.	900	in	rrsig	NSEC 13 2 900 20260216142959 20260117125959 58362 christmas. J+kaTTI2zura/xZic/6k2trIky7OCjMJ/lt0R3Qv+jiV2Xe+4Vin54Ry61JLg+BiiEq0X1lr1loMMpIPIOHG/Q==
