0l0tf1icd9e8oo9hc9pmc12hqiu7gl4o.tips.	3600	in	nsec3	1 1 0 73 0LHQN3NA4OQSLK95DAF2QLANHA1ROUBC NS DS RRSIG
0l0tf1icd9e8oo9hc9pmc12hqiu7gl4o.tips.	3600	in	rrsig	NSEC3 8 2 3600 20250922152646 20250901142646 54429 tips. iCHcjw/BRiWwk9KvLs/Qj1G/FsF3SF2GpHI6Wa6N8Z+jEUNi/2197bjecgurqHdJfz8/+dTI8MV9NXIRv6eWceRLfq3KleYfl+1LUwqdjYTOF+d/OG1HTZXEPXv95hC7+SiJ/+Yn4AsQKmTGA4DMalPaYIhM/5D/uzK4QQbXeFg=
0lhqn3na4oqslk95daf2qlanha1roubc.tips.	3600	in	nsec3	1 1 0 73 0MLT7HCP7SUO0LP8VJS8DETBBS1KGMUC NS DS RRSIG
0lhqn3na4oqslk95daf2qlanha1roubc.tips.	3600	in	rrsig	NSEC3 8 2 3600 20250922152646 20250901142646 54429 tips. DPBRF42GeGm59ZHl7ml+FYe4GrtiyApX/r0NEfk4z1PmMW3SDJheZg4SsVVjzPAijHTdkO+aJFeV/XUbsPf9QQ4LrdDO3mWQXqaFAtjH89AYeW9RxmEW7FRSl0hXLZbluNujPHFJR+5XG78IkNYnaDMkjVGM8/cK63VND0npERE=
0mlt7hcp7suo0lp8vjs8detbbs1kgmuc.tips.	3600	in	nsec3	1 1 0 73 0MMOV3QM864M6S9TBUP86R0LTT4QV9RB NS DS RRSIG
0mlt7hcp7suo0lp8vjs8detbbs1kgmuc.tips.	3600	in	rrsig	NSEC3 8 2 3600 20250922152646 20250901142646 54429 tips. hM+Q8kL0zkwrhDjF1I7gQnJTLOqdPo3pE9DtJB+1IwhILHLSV7jq02FOBVrFsR9g/6dhNpl9V1TrVsSEbTmZ27ApIskX2nlzM+XFI3gocj1mU4LxRySXA0Yp1wxMhQH1ZVqxNVh5Ycbr3fMFdCLJ677qkhTeOIOG1LhsNWyDA6I=
0mmov3qm864m6s9tbup86r0ltt4qv9rb.tips.	3600	in	nsec3	1 1 0 73 0N6K7PCAIH63FNP5DH4F7U9U8R7GNHED NS DS RRSIG
0mmov3qm864m6s9tbup86r0ltt4qv9rb.tips.	3600	in	rrsig	NSEC3 8 2 3600 20250922152646 20250901142646 54429 tips. E4mmybfgJ5XHrR+NLBgCG1l5QTnS23YUUqsC2U4n/Bl6MAxYKCcbcS8q/6OCqiUziurtMB2kNSscNQpKvrDUM55TCzBaPQYYU1T0Wtos5mYSPkKidGvWWISNMJT1ugiMi0W4rQHHFeLH3E61Fu7bMY1rYjqLVN3W/+WCyb8sf7o=
0n6k7pcaih63fnp5dh4f7u9u8r7gnhed.tips.	3600	in	nsec3	1 1 0 73 0OTT1ERSAQU5KHJ9SK3UTS6LTLPJUO5O NS DS RRSIG
0n6k7pcaih63fnp5dh4f7u9u8r7gnhed.tips.	3600	in	rrsig	NSEC3 8 2 3600 20250922152646 20250901142646 54429 tips. j1reLSrr3DJb4goNBkyTyFiY775J/P9N+xuvIgAWSAxrq7/iRgvI73MyQG/nilpnTrCeL0swkk63tZMi7jGxkR3+IcyYXqQ2B0Gf5EsrH5AsHujOMK9XAne4R5kJ1ZNQsbMIvYFaqaovc/aBNJbAZqNDRVq5yb7i342mCGUMA8g=
0ott1ersaqu5khj9sk3uts6ltlpjuo5o.tips.	3600	in	nsec3	1 1 0 73 0PUQK6UTH8QLPHI9MFK8DDBV2LUD1D02 NS DS RRSIG
0ott1ersaqu5khj9sk3uts6ltlpjuo5o.tips.	3600	in	rrsig	NSEC3 8 2 3600 20250922152646 20250901142646 54429 tips. cXG/v7hzM8Yfv9gc2/79dFs4YGpTbUjU0UxYmi7u58TZ2VpWBtNJZ3DFBtfmGUHHn7Lk7CiCZTrMuO3Gh+UgzNDD9sOebbJSgDE8jrQutPkb1pdBnSQEznem4aJEs3464LLMYaODW/3wNjHlfD5QRFJNt31x9xXpFZ7DJaW1LeM=
0puqk6uth8qlphi9mfk8ddbv2lud1d02.tips.	3600	in	nsec3	1 1 0 73 0QUCTR5MVOVOGBBHAJM0IJMA0I2DHLF3 NS DS RRSIG
0puqk6uth8qlphi9mfk8ddbv2lud1d02.tips.	3600	in	rrsig	NSEC3 8 2 3600 20250922152646 20250901142646 54429 tips. js9neXIAAF5A+AQEDtg5JaNEDZ1+FOxvn3OQBk7OTEVllvxMWjoiNbnzenDxPeidr36zGdMkO11WQKYNIWUwA5/Ipf0Go4Q8iCw/ivyP2sRsBpj2Z7Y/7tWd2z9TPkQ7GhE+hOP/md022Vo3gQo2LkapO2TdP5xuT6IDBhKhD5M=
0quctr5mvovogbbhajm0ijma0i2dhlf3.tips.	3600	in	nsec3	1 1 0 73 0RGO2TS29S1CE2KHITKEVLTGH59KCS9P NS DS RRSIG
0quctr5mvovogbbhajm0ijma0i2dhlf3.tips.	3600	in	rrsig	NSEC3 8 2 3600 20250922152646 20250901142646 54429 tips. P2CqmBXFns6IXms3U2xfBgmYqslEs5VBpBLA9drVOUSwOxdIioyGl60zapJVbFpIK+5Paf6u8RLQ+VPcLxlmOrMrz6ZreoY/b7hATy2TfykEUCMbu/s8gP99bp75fVVEN2pBGZZkLheL+7iEv/tDZOV5ifAvlP+n1nfxfVmUbWk=
0rgo2ts29s1ce2khitkevltgh59kcs9p.tips.	3600	in	nsec3	1 1 0 73 0S9EL0M1EJLM5TP68G153P5B4JTN94E1 NS DS RRSIG
