0dcu49oeplq8gs2g2o5kii2o1aiu6pv4.bot.	60	in	rrsig	NSEC3 8 2 60 20251104213112 20250930204620 47949 bot. Vy7LDH2NJCjfyfm5NOPul2OPiiWWTXdICosrKjN/TiSwaBn2fUHj79KGfynOclIZflMs8Tx2XiMADK70M11bbLduA+UcB2Qg0VmUgpgzXuKMbc1RJJ0ySd6EFTrjX5gsVDMNROgpYmG7vUFzUECDn3A80mXiAacrlNnMKyNOb0SaHgVHz043smccdedBVRLOP3faB9NT060LHINXMO1Dw7J3sSgVz7t9JRo/CxGfbsPE7abuOgNNX2xAau7h690K11XnUj93rn4LzBIVr3F/sN6LRUS3LOHHBbgX6EIwF5J+WfXTM/GrmAh45pJGm6XuOa3jy93gbkv/0NgNxY1Zfw==
0dte.bot.	172800	in	ns	pdns05.domaincontrol.com.
0dte.bot.	172800	in	ns	pdns06.domaincontrol.com.
0fldmq7imisc0qc7fatv9ifi1pf3v7e0.bot.	60	in	nsec3	1 1 0 - 0FSVGMU47IDSU4VVCKRI7NPQL3O22ILB NS DS RRSIG
0fldmq7imisc0qc7fatv9ifi1pf3v7e0.bot.	60	in	rrsig	NSEC3 8 2 60 20251104213112 20250930204620 47949 bot. hcHLsf9hIG6+JBbcCe5cLn5ENIc5iLnfPxv5DvBlR1Q9fy/QasbYX1i2yzF8YDkxTRokyzLtIMkjRwsDFbT9vgUH0tBMujkcSCnJxiVWf58T1sMMdZagJ2D+kW5V6ZzYGzRe6X+H7ITHkMMmQ/A6vVtc/RRM0/0sT3MGOmmanQ6cR9XTd7qkG0CdGAkMJg6nNdbQOqJnd7gJce6d/Yim6h91SGnf9an4Aw+fCFFheVF1cmlOBFspmSX9X4ZR5rNuvr0CoVs6d5dQTu9QuPmQXDHTJyIHqOB4/kmn7kMs8n/yrVOqsP4fpHwq1zhSBLwBzkBb7Qq/MqqB65O45o6t/g==
0fsvgmu47idsu4vvckri7npql3o22ilb.bot.	60	in	nsec3	1 1 0 - 0J33QKOM799LIK81NK1NQTNCJBRROS7S NS DS RRSIG
0fsvgmu47idsu4vvckri7npql3o22ilb.bot.	60	in	rrsig	NSEC3 8 2 60 20251102231056 20251001071511 47949 bot. kLqvYj0z1LMoeyd38aj/ReF+qFhiZr7RoiVdXZkh9/cxNNpZ+snpgUyJcUeZz1bHkQ27N5dYmXIy7T3Jxj/pBGayl1UXd0HlCOX8ssFqEVB/NASwl6Z6fqrEVcNPctn4PqTLXb88P5qnpL9k3BqYLzkV1Cn78V5E+7AsBLE+ylUuHN44Tjj+afv9Rj54XpgD0w/lps5no15rcwThn8VvexKd5BwH2ERA7utPRXERbqY/3/QCBKaqYyB5bbemajCOLtoYnf/6YeTz8IzPpk0tBRdLoEQyQ9C4198cT/YdTp/O5vEdvIoFner8fb2s/GNGVVTayfDWZn1oMjFt4jePrA==
0j33qkom799lik81nk1nqtncjbrros7s.bot.	60	in	nsec3	1 1 0 - 0JGSKD7LCD9QTB66OPBTTDAOBM3CTGNV NS DS RRSIG
0j33qkom799lik81nk1nqtncjbrros7s.bot.	60	in	rrsig	NSEC3 8 2 60 20251104022110 20250930020135 47949 bot. Ac53TW4mh8an6j1/j/zRYxYmHoA63dbmUW4LscLD6o3FrP/8c3dEo/qr0fkT2zPO2g4vgbdmYtacYopSXsgOcnuLP1iGPcHOwtTf07baSjzH3pmnFjjKkUiPlA6Xd8Iij9FTL0b6fCQhvhldIoUqTV9LfHomAHuIh6c7MFbPLXRpi1siYxTAVvP5/Z39ke19H2yNpGlOOMDiyKSjOiTpVDaHCq/C04iPAPXk3lMh+TZle0Fy2TqL3JFqV5lRnhqtKisCAQLiELL2EWpt0ZFNpy44KplDSGI5OLudRISKpDWr1csNlLBI2vIhuPMBmbEYBo3CJBXCeDmse93rVX6njw==
0jgskd7lcd9qtb66opbttdaobm3ctgnv.bot.	60	in	nsec3	1 1 0 - 0JGT1JJ6L0UBI8QABRG1G3L6VOHO2QKT NS DS RRSIG
