02jadsf865g98ke4tvrbraslidq6gsn2.baby.	900	in	rrsig	NSEC3 8 2 900 20260127133719 20251228120719 55701 baby. TKtZWMVoZlKKDdFlve6w1OzPSeV2L/abgv11Drb5EoeayHWhs12u/bPAb9gaNYIJOH/UhYBAJDo/5ZECJ7jgapyi6GqWPwkgBrrb1DKTT4qrOR+Cd15o03U8G8L7G3c5NgvHEXsvo8M1OSnSU+5965ERah17vbpAygBxXjzkSyw=
02q3lgm73lcdlolr16bdulfb3ohbkhnk.baby.	900	in	nsec3	1 1 0 - 02SOQP20BJ7B2M2D3HF322J1PQIBQ7QE NS DS RRSIG
02q3lgm73lcdlolr16bdulfb3ohbkhnk.baby.	900	in	rrsig	NSEC3 8 2 900 20260127133719 20251228120719 55701 baby. Hcc15mv5ZIVgi3ueNjK6mWPH7lu1o5IIEj/0oGqxz6eebT5E4QjMPnlgN90nRon+MUYIxz5WFKPRi8a7qdXdEt5vBlROOjf9CASHff487KI78c3BNqVifI4VVrKyh5H2vRJ01v88AKbbU1xPAVoE+RL90gItV8xPqUPge1Ovnto=
02soqp20bj7b2m2d3hf322j1pqibq7qe.baby.	900	in	nsec3	1 1 0 - 032L9FMPDBC36LQP9LR58J6IBDGQ6JDM NS DS RRSIG
02soqp20bj7b2m2d3hf322j1pqibq7qe.baby.	900	in	rrsig	NSEC3 8 2 900 20260120110948 20251221093948 55701 baby. ylFxaEHPwKXjQFOymW4AJ3xs4YlLDhUTahQa70GMBLx9U+ym4sYBDkR7NIDwHKS3z+EL7Qs/NaCDX5cNvUYwQyp5QUu6YR7GWAt+1naG2szimMOK071doKaDaumAePlNaH5sQo+TH5D9J+ldgOXVMbBVCkfHlKbbhLNHuw/DB2Q=
031925552.baby.	3600	in	ds	46112 13 2 99D84B87AE34F77CB0074824D2CDFA17450CC15BED38F0AE03D22CBF4347068D
031925552.baby.	3600	in	ns	launch1.spaceship.net.
031925552.baby.	3600	in	ns	launch2.spaceship.net.
031925552.baby.	3600	in	rrsig	DS 8 2 3600 20260127133719 20251228120719 55701 baby. ZR7J4dWuF7C3D70jo2n28miGiFhUOid5q8Y4tz53F/t70+knymCpRRBHLdyv3VkN+2ymxCwAJrzFI8Op0StbGccPALYfQkNUaTEg6mx7yUznQb40KoWG6lR8j/jzGwrUPz8JVrhQaG+so6RnommjmzZXAynrOI6wQvCSSFz8qBs=
03289.baby.	3600	in	ns	ns1.dyna-ns.net.
03289.baby.	3600	in	ns	ns2.dyna-ns.net.
032l9fmpdbc36lqp9lr58j6ibdgq6jdm.baby.	900	in	nsec3	1 1 0 - 03AL18EG10KP4FTSOO4JEH35RB39HNKF NS DS RRSIG
032l9fmpdbc36lqp9lr58j6ibdgq6jdm.baby.	900	in	rrsig	NSEC3 8 2 900 20260117091806 20251218074806 55701 baby. DiT1dc4sfB7Iu4FWx9sw3vGChxcbrYV9/tbWTJpXYYy7V5bgcMjXqpw2tOBexT9NdVkPUXsuQafpnOygYBAFnSVin3rHxq0zA+NLS1zyiumUHq1UIJO0ykyv10kLhJdbHpskIMbFFOgJXzsxqCPBCJ5rNcp1/ay4uPC/SB4R2os=
033224085.baby.	3600	in	ds	45208 13 2 DC2638C76C6AACF4E9E599AFA05B3BCEF1E2665397D74D2C95AE3DC113447466
033224085.baby.	3600	in	ns	launch1.spaceship.net.
033224085.baby.	3600	in	ns	launch2.spaceship.net.
033224085.baby.	3600	in	rrsig	DS 8 2 3600 20260127133719 20251228120719 55701 baby. c4+fXDQAT1ZT5sdbqgcGsixwh1hfSHyDTfYOuJO4TSkjWz6TVqMZ66ZnzFx98W4Org9/BW+B8Oj0fUsB5+qynktuQKkkfrqLZKMZJP9WIAEDAKWskWnQLCtdVU6I3QJK9SEw9p6umWUFURW1iVF6InloTEZy8LiGXYSUETQWC9Q=
033631893.baby.	3600	in	ds	40712 13 2 863AE03C37CC19E645C4552D398275E6BB727CA3E32B00B2A25404329D153DCB
033631893.baby.	3600	in	ns	launch1.spaceship.net.
033631893.baby.	3600	in	ns	launch2.spaceship.net.
033631893.baby.	3600	in	rrsig	DS 8 2 3600 20260127133719 20251228120719 55701 baby. r3Glk1L6eMMt/knrYmv8qeVEdUIQFsTIKtachVk/3loU2isbhf1qK6YQWZZ/mMWeDXPEVuRAqoBFH8OPVKhaU4gegDmbXmY+SAhGL9s+llSC78wngkX1A3BhG2zE7XpxW1PhnaivMwmoC9iQjXskV8Sus2gQWVeE4GSoaHV1Ovk=
03384.baby.	3600	in	ns	ns1.dnsowl.com.
03384.baby.	3600	in	ns	ns2.dnsowl.com.
03384.baby.	3600	in	ns	ns3.dnsowl.com.
036894881.baby.	3600	in	ds	14052 13 2 67094412F0DDE717F5D64F69381E84707C961801847ADD318075FB0433CD5DF1
036894881.baby.	3600	in	ns	launch1.spaceship.net.
036894881.baby.	3600	in	ns	launch2.spaceship.net.
036894881.baby.	3600	in	rrsig	DS 8 2 3600 20260127133719 20251228120719 55701 baby. D7rWzZDAnF+nYrmuyvY8AD7p28UKu3imFnWoGNcRVScaLmc7PRF2MWkWRZG+Lyq1ZLWhNu694nsHmQLXkBxePB2dhSpkVIsDwzuAb0sWM5VpVdlAsZIr9L8lAxg73OEH9i0hfVnjaozMRFRdVKsPoiBXz32zJGncHvLgpkAdsVI=
0379.baby.	3600	in	ns	expirens3.hichina.com.
0379.baby.	3600	in	ns	expirens4.hichina.com.
03a.baby.	3600	in	ns	ns7.alidns.com.
03a.baby.	3600	in	ns	ns8.alidns.com.
03al18eg10kp4ftsoo4jeh35rb39hnkf.baby.	900	in	nsec3	1 1 0 - 03BCDMQ7ON3PTULEP39AEFQJDI5AHCVH NS DS RRSIG
03al18eg10kp4ftsoo4jeh35rb39hnkf.baby.	900	in	rrsig	NSEC3 8 2 900 20260127133719 20251228120719 55701 baby. Awhl6kwwtN34H6Elh3pBR2GrfCZRm5AtgteQuL5Qw53TSTRTzSWweJvjM6y5u9kRoklxGPw2/vzARvAQm3bqKrzkRSkZzpsU1jJvX6zd1ANIlP4qsUN9S8jjtGC2sYn9Ozr/JPwMWLGl1dqGejW0FRI7+PLtUVt1D/DhtdbgX8Y=
03b.baby.	3600	in	ns	ns7.alidns.com.
03b.baby.	3600	in	ns	ns8.alidns.com.
03bcdmq7on3ptulep39aefqjdi5ahcvh.baby.	900	in	nsec3	1 1 0 - 03OC87DJ2QQKJAPTGAFO98EF8M5DNMAO NS DS RRSIG
03bcdmq7on3ptulep39aefqjdi5ahcvh.baby.	900	in	rrsig	NSEC3 8 2 900 20260127133719 20251228120719 55701 baby. t6gzJkyv4VE9czDf77fcEMio3isbiVQbwp6l99BDfExnapVFrudWVmRZdczHb4yDo5QnkojgyCz5pMgXIZIiZUqXLM7cA+/qu95H1kAWabSBdZw5W1OlxlT2X9IlUWHXeQ/YOFSRw6sSCiS4YDIxJowogSrFcbEqb6brh/bWDnw=
03c.baby.	3600	in	ns	ns7.alidns.com.
03c.baby.	3600	in	ns	ns8.alidns.com.
03d.baby.	3600	in	ns	ns7.alidns.com.
03d.baby.	3600	in	ns	ns8.alidns.com.
03e.baby.	3600	in	ns	ns7.alidns.com.
03e.baby.	3600	in	ns	ns8.alidns.com.
03oc87dj2qqkjaptgafo98ef8m5dnmao.baby.	900	in	nsec3	1 1 0 - 050GEF1QBLUBD3OMIJKS95P19QF1AS39 NS DS RRSIG
03oc87dj2qqkjaptgafo98ef8m5dnmao.baby.	900	in	rrsig	NSEC3 8 2 900 20260111121123 20251212104123 55701 baby. BPWval5Llz+ngg3+GeQ3405YCGdUIKrnIAHXBkyryiPZeQFmV9vnb0Z/nx0h1GSB+qU9fTlekLPzQ3+ErS3oz5jXQ7OYx0KqeIFOOynjwgOtCfPOxdXnbawjet/QaNsdq+aVVc4i7j0c1Z7Nlr99LAa9W2BaeHLdovaWIix1Iyg=
040930705.baby.	3600	in	ds	55914 13 2 AA4D31901CA7EE5EEFD22DA340E3CC0C3D4C7733DE5D1C1B0E6380B24AEA7AF2
040930705.baby.	3600	in	ns	launch1.spaceship.net.
040930705.baby.	3600	in	ns	launch2.spaceship.net.
040930705.baby.	3600	in	rrsig	DS 8 2 3600 20260127133719 20251228120719 55701 baby. kG7/zaBk6177nUN/JRpcLtKWHzBzEOc/8XCsSVduI8NpzRipIYPRCpJG+UJUIcXvafKaGBR1iudGI51+07YwRWJ8nLfjyx1npFgtZb75PusQ8QRquUxvcUnSiICNtUyssZEaEmoEZVfhP6vxoxGHfDi36QjRJ2rS4ksY4U0FaDA=
043193311.baby.	3600	in	ds	11214 13 2 A50D4AF9737A43F20EC520A8C70510A23C49D2C62C9BC8740E21F432DB367E1B
043193311.baby.	3600	in	ns	launch1.spaceship.net.
043193311.baby.	3600	in	ns	launch2.spaceship.net.
043193311.baby.	3600	in	rrsig	DS 8 2 3600 20260127133719 20251228120719 55701 baby. YtHtvPfvDR73WKoOLvvQzzcAaPhHME8otVfVigkI2uMYn3tdeOBxGaenX2OgsyHT4iIGSktpqTTst8HlWiNbZhI0A3vJxBEQTpgvKvIGmOrYlojPe8iKWerdUQb53uz994rOhd5XrlOmDbXx8suitR5OxVCgUeuEWeaNB3JXRKw=
04369.baby.	3600	in	ns	ns1.dyna-ns.net.
04369.baby.	3600	in	ns	ns2.dyna-ns.net.
04378.baby.	3600	in	ns	ns1.dyna-ns.net.
04378.baby.	3600	in	ns	ns2.dyna-ns.net.
046079621.baby.	3600	in	ds	56460 13 2 E398506CEDA6C2B57B87A63A3A65143CDE7E356C5552368B641692377D9A61A1
046079621.baby.	3600	in	ns	launch1.spaceship.net.
046079621.baby.	3600	in	ns	launch2.spaceship.net.
046079621.baby.	3600	in	rrsig	DS 8 2 3600 20260127133719 20251228120719 55701 baby. fLRgiK1Oi0J4k6h+uTaQob0SRoQ4w5vqRbWBb6I9aBa/+WN5HH+tnRw56nhGEWSuE6WazQYH9Pj9HKVsv5LhEECqmaAlbEAilJz2RUcBqTbJG1rHbsV9T3ruLqy739DnXYb8egABTYmSZMoXWlXqCKcIPkr9KkZzEpEXiGCK9d4=
046o15r.baby.	3600	in	ns	katja.ns.cloudflare.com.
046o15r.baby.	3600	in	ns	konnor.ns.cloudflare.com.
