0r3ij4hjqhjae10keptfil7ikv7d4ql9.fund.	3600	in	rrsig	NSEC3 8 2 3600 20250930154121 20250909144121 29934 fund. i6Ezc4ibc/wlEGiefDcQ/4uMqiiume7h15UjuEPl+e3ZIL+iCNFq04Xu9bqB8GF72yOq75TyaIYHcbJVwyE+BQOlcEUnzVsMVJFtii8tI3JrF1rYURCEvd+KhQ61j/WmMp3mJ28GY7jGafGK8wIaEFuS5iYva1rxE8F4bCXB6YM=
0rvnfo60evptpv9p7ho0hfsd101jggif.fund.	3600	in	nsec3	1 1 0 73 0T3ATN1O849Q2QF2GB7848FCO3DEBGD1 NS DS RRSIG
0rvnfo60evptpv9p7ho0hfsd101jggif.fund.	3600	in	rrsig	NSEC3 8 2 3600 20250930154121 20250909144121 29934 fund. F0qUfVYPw8eBR4g7yTbQngdsXBRqOxbATJ/D228nQZ3Ja8Yi9fzi14Kj5XQ6uTAp8yyaiurMvGkpD3FK1heoOuqFjy6rzDe01SgHaXLaJSKqGQlvrtv9m+x+/CAeXeKVvSyIZlk9eoIGGbduQ1+t1TOk20BMWdhgOdyryozC30c=
0t3atn1o849q2qf2gb7848fco3debgd1.fund.	3600	in	nsec3	1 1 0 73 0U4II21BOQ649P8D6K4O77N85MMR3CAG NS DS RRSIG
0t3atn1o849q2qf2gb7848fco3debgd1.fund.	3600	in	rrsig	NSEC3 8 2 3600 20250930154121 20250909144121 29934 fund. CyqKAP/7SwfwJqstUqkfmftZ+egM3Fs3bQqWWfls+NRbtH/m+V7BK4wvUFros3mzllDijaaGFIdXHMTwWMh7ELKOETAOzDc5QN3in9G66oQDmr6/RT2hhm3RQUyyfQzPsIoCLHYLUcVaEM37KpExUAGZsckgf0Jp6R3ShZUhbDM=
0u4ii21boq649p8d6k4o77n85mmr3cag.fund.	3600	in	nsec3	1 1 0 73 0UB3CE1EQT8LLCP2P74QB78UFRSSJ7J0 NS DS RRSIG
0u4ii21boq649p8d6k4o77n85mmr3cag.fund.	3600	in	rrsig	NSEC3 8 2 3600 20250930154121 20250909144121 29934 fund. nZmaB4O72zvRrhMhHP8ToUwq9alg+zAmUA4O44jwuTG5+Pgvlcpgc8ILtBE6nhKn0V+qEdlWF/4ZWs/EeXpOm/7p8t8+YzMQRwC6sAML3SA9VIhxZB7159fY3vnJLbbi3O7EVnD5I8c7q2jslKbhDj4YLHZLifWAOsHuXn2EooA=
0ub3ce1eqt8llcp2p74qb78ufrssj7j0.fund.	3600	in	nsec3	1 1 0 73 0UCLIIL106LNG18QDUFN7A1Q8F8KJKKC NS DS RRSIG
0ub3ce1eqt8llcp2p74qb78ufrssj7j0.fund.	3600	in	rrsig	NSEC3 8 2 3600 20250930154121 20250909144121 29934 fund. xBsX9Fh6rLS2zNcIrNouaWpzn6aLuiv5IctnyAodlatnCOlGDjih7QqlcfoULQfBeFScplB+dybFgojNrN5ia9ekcxjXpCFiqok3YyguoojqcZsXNaX7iurI/YgzgAZOk2YSwgkC3rnOgvHwRYjCL5AQZUnDiCQq67ltk4p/vE4=
0ucliil106lng18qdufn7a1q8f8kjkkc.fund.	3600	in	nsec3	1 1 0 73 0UFTB08MUALR9OT679141ETT7SEK1492 NS DS RRSIG
0ucliil106lng18qdufn7a1q8f8kjkkc.fund.	3600	in	rrsig	NSEC3 8 2 3600 20250930154121 20250909144121 29934 fund. 2akgK+rFzSeapVypD35V7i4jCqU9onuwxwwwep6AimbJ3cDnuTZ3DlaLW0Uzp1vail+LwYineFqGOzmQUrIfsoSZ7j6aiM5CR/n62V58xrJH8NVkpDMO2Nc5EFPltR1rHo1TNqau0yTsS9F8VhX/cdebcQcNJ+mMUNc2JliMxYo=
0uftb08mualr9ot679141ett7sek1492.fund.	3600	in	nsec3	1 1 0 73 0UL4VUGO83IHS542U9G79389P6I6RFAG NS DS RRSIG
0uftb08mualr9ot679141ett7sek1492.fund.	3600	in	rrsig	NSEC3 8 2 3600 20250930154121 20250909144121 29934 fund. g5gGK4egi/qITiMlKxF2jooqxoreNbjntfy3xO1VExO2ygddmjBoqc23qvh6b2+J7QN0BTL0VLTpLbwcU1/+guhYwAzb8ZaQY+IZdNujJC6sHJGGMD4hfD11SkNE0nMUJSGYULZKjWGzes5gKWTknFd+hnhSs/UVUfE2oooNw4Q=
0ul4vugo83ihs542u9g79389p6i6rfag.fund.	3600	in	nsec3	1 1 0 73 0VBKF4L0CMV54L7JTIVCGKL0NCPB51SN NS DS RRSIG
0ul4vugo83ihs542u9g79389p6i6rfag.fund.	3600	in	rrsig	NSEC3 8 2 3600 20250930154121 20250909144121 29934 fund. oIhuFU0XMLcwQFOm+bcjIpEJ0chJkPiGvLl2A1S0VuFojXpVo62DXH26fDefN6/KpPieCdILeZzLk/QI9rmXfIut+8v6i2rKATR65CO7h/1Y/HofLL7DYsmTmgBSjVVG1AobPsWMO58NXnlnsch5d7D0tlXBLgfpXvjwCc8ZnyY=
0vbkf4l0cmv54l7jtivcgkl0ncpb51sn.fund.	3600	in	nsec3	1 1 0 73 109M9SCGFTPI9QF8LHN1701QT4FMUNJU NS DS RRSIG
0vbkf4l0cmv54l7jtivcgkl0ncpb51sn.fund.	3600	in	rrsig	NSEC3 8 2 3600 20250930154121 20250909144121 29934 fund. M7IG397dVnPatbwW2Qhi9YoeE7yBOB5C8GbqG6kFvc9drSqkP68VPDmSOxME6ba2zdACGjz+8Y0tWfkJxhtlPrzwizWINl4MtsfyPTTeZj6t3N5Hwtcllbxj8SkeBKllL0ttwdndZCJltDpWQzR/b6RCzRg/QrjBwdAlecfJLjE=
0x.fund.	3600	in	ns	dns1.registrar-servers.com.
0x.fund.	3600	in	ns	dns2.registrar-servers.com.
0x1.fund.	3600	in	ns	curitiba.ns.porkbun.com.
0x1.fund.	3600	in	ns	fortaleza.ns.porkbun.com.
0x1.fund.	3600	in	ns	maceio.ns.porkbun.com.
0x1.fund.	3600	in	ns	salvador.ns.porkbun.com.
1-t.fund.	3600	in	ns	ns23.domaincontrol.com.
1-t.fund.	3600	in	ns	ns24.domaincontrol.com.
1.boi.fund.	3600	in	a	216.239.32.21
1.boi.fund.	3600	in	a	216.239.34.21
1.boi.fund.	3600	in	a	216.239.36.21
1.boi.fund.	3600	in	a	216.239.38.21
1.fund.	3600	in	ns	ns1.afternic.com.
1.fund.	3600	in	ns	ns2.afternic.com.
100.fund.	3600	in	ns	crystal.ns.cloudflare.com.
100.fund.	3600	in	ns	harvey.ns.cloudflare.com.
1000.fund.	3600	in	ns	dns1.namecheaphosting.com.
1000.fund.	3600	in	ns	dns2.namecheaphosting.com.
10000.fund.	3600	in	ns	ns1.gxkjdns.com.
10000.fund.	3600	in	ns	ns2.gxkjdns.com.
10086.fund.	3600	in	ns	ns1.myhostadmin.net.
10086.fund.	3600	in	ns	ns2.myhostadmin.net.
10086.fund.	3600	in	ns	ns3.myhostadmin.net.
10086.fund.	3600	in	ns	ns4.myhostadmin.net.
10086.fund.	3600	in	ns	ns5.myhostadmin.net.
10086.fund.	3600	in	ns	ns6.myhostadmin.net.
100blackangelinvestors.fund.	3600	in	ns	ns1.brooklynwebhosts.com.
100blackangelinvestors.fund.	3600	in	ns	ns2.brooklynwebhosts.com.
100blackangels.fund.	3600	in	ns	ns1.brooklynwebhosts.com.
100blackangels.fund.	3600	in	ns	ns2.brooklynwebhosts.com.
100c.fund.	3600	in	ns	ns69.domaincontrol.com.
100c.fund.	3600	in	ns	ns70.domaincontrol.com.
100forcharity.fund.	3600	in	ns	ns19.domaincontrol.com.
100forcharity.fund.	3600	in	ns	ns20.domaincontrol.com.
100percent.fund.	3600	in	ns	pdns11.domaincontrol.com.
100percent.fund.	3600	in	ns	pdns12.domaincontrol.com.
100ventures.fund.	3600	in	ns	ns47.domaincontrol.com.
100ventures.fund.	3600	in	ns	ns48.domaincontrol.com.
100x.fund.	3600	in	ns	ns1kpv.name.com.
100x.fund.	3600	in	ns	ns2jrt.name.com.
100x.fund.	3600	in	ns	ns3dgj.name.com.
100x.fund.	3600	in	ns	ns4jnz.name.com.
100x10y.fund.	3600	in	ns	ns1kpv.name.com.
100x10y.fund.	3600	in	ns	ns2jrt.name.com.
100x10y.fund.	3600	in	ns	ns3dgj.name.com.
100x10y.fund.	3600	in	ns	ns4jnz.name.com.
100xhedge.fund.	3600	in	ns	dns1.registrar-servers.com.
100xhedge.fund.	3600	in	ns	dns2.registrar-servers.com.
101.fund.	3600	in	ns	ns23.domaincontrol.com.
101.fund.	3600	in	ns	ns24.domaincontrol.com.
