0e7qcg8r6q0o3p5teaafclsnijdt79v6.marketing.	3600	in	nsec3	1 1 0 73 0FIA6NCI59M2GPERD894HMQKESQBM8UN NS DS RRSIG
0e7qcg8r6q0o3p5teaafclsnijdt79v6.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. njy8aWQafzy4S3WqGCDs+Yib3zPmhUOYvelMhPBJLYFlx6dufLFH4bh4cN8XVyAN/ZR7UKs+CvQL+JTr9mgrhsguZaSZk5UvB12yi041vchyZvTLTo1SUi7TK3oAiXLYkQDeV3PmdHAMV0ilKYfGGzHp00UVNYMUUq5K2tQVOXE=
0fia6nci59m2gperd894hmqkesqbm8un.marketing.	3600	in	nsec3	1 1 0 73 0GCGNRT6AUS2S8P4QRFJAU9N7F89D42C NS DS RRSIG
0fia6nci59m2gperd894hmqkesqbm8un.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. Y+wVkzsR7EJlU0EkJ2J1JcrO8/Z7cj2MJs9lkHyykBxuwAy2CkmY+bwjCzNkH2Wktym7yjGnF1aKt2Ayg1pG7TmYx3FNwFX9pH2JLpYvHk4izWdHqlSIN8QnWDzfpVrVXpymgMIUuV65CCICKeVqgSoMCzhu+kV1zNzQrbR+34w=
0g.marketing.	3600	in	ns	ns-1460.awsdns-54.org.
0g.marketing.	3600	in	ns	ns-1939.awsdns-50.co.uk.
0g.marketing.	3600	in	ns	ns-410.awsdns-51.com.
0g.marketing.	3600	in	ns	ns-622.awsdns-13.net.
0gcgnrt6aus2s8p4qrfjau9n7f89d42c.marketing.	3600	in	nsec3	1 1 0 73 0GOQ04OP11NNH5JNF2JBQNJRFEASRCVT NS DS RRSIG
0gcgnrt6aus2s8p4qrfjau9n7f89d42c.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. 2415C1RoEkTp+ez7Rdb5eTbrvSv4qvz4QTLPAvAsZhv9T56t6IdAZPpCZS1fD3Z+N8IWFV3HI9rVDqUljrlZKjVvmCf8DXbzKgyDJP6NNmuMZj8FNl2owvNAmdXxcN+wj+FW+MmncVvIIKGRaFUTuPOLuOtBFYf8SIxnzQma+GY=
0goq04op11nnh5jnf2jbqnjrfeasrcvt.marketing.	3600	in	nsec3	1 1 0 73 0HRQQ0572D6UCC16DTRN0UQ2CKT4A67A NS DS RRSIG
