xn--mgbab2bd.	900	in	soa	anycast9.irondns.net. dnsmaster.corenic.org. 2601050032 7200 7200 604800 900
6pu77l7qmsl5aphhb7tct8ivp0tgu1fu.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 6QLM9BV0QJQ16K094MQ9BE4OCO9G4BB4 NS
6pu77l7qmsl5aphhb7tct8ivp0tgu1fu.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. l0BZp6oekPeNW1sFFM2/riL7AyxhfGVP/philS8hZsFwip9vHGhj4xOKregzcusZPPT314Dm1R4fuHpj7SKhu9ZxNvilnEbHxY5fZMlSboSCEDCBTjUGXihpAbQBk9Mf+v1zFk/dNoSGWQ0STl3pGdWd6GrOR5uXb50EWFP1ribsOaCGpCSCuD1GLbTipKo1wxGMRGy7bB8LXdwkHyBTpA==
6qlm9bv0qjq16k094mq9be4oco9g4bb4.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 6S7PF9LE3VIR3O89JUBPP339LNEB7A00 NS
6qlm9bv0qjq16k094mq9be4oco9g4bb4.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. kMNRY/pF4BIzUxewmKJvWYsX73FM8HiCadRfLJJCY3du2nxoPdjvTSKLtm0WmUFgiMLrFnHBW9vi/yYNItov7faW80s63h7pwVBP3WtlsArzu+mQn9oUCU2hageFr/9TMTNMUwni4Ml2f4D33YnrSiJa4H4MkV7cbMf08qzgEhTXkh8PkuwZbPAX6geqQ5iSAYCLk6mePWmcYvbgDEThCA==
6s7pf9le3vir3o89jubpp339lneb7a00.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 6SCH7DSK3LEFH0CTVEST69KU1NSDG2IA NS
6s7pf9le3vir3o89jubpp339lneb7a00.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. cUKBHVm/po3p6F5BOLoFx1B//Bil+ewGaPGOtPyjdLPXv8ZhSTGPDB8PzLhRnDlisYRJqI7nKyKfbb5ioeDtlMJ6jzJb4y00W+sBtqhf7B0GrTNOI/5qGM9v87aevhsRxmSWUzZaBkqnI1C5+lI3xVC3M6azQpRbgLej8mTOVwonR6ztdvLpSjHzw7aEOwMMpmUhEg6GO4qay0vUEgxzew==
6sch7dsk3lefh0ctvest69ku1nsdg2ia.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 6SOBQH94A3ED1C9NQ8L69FKNIIV3MKH8 NS DS RRSIG
6sch7dsk3lefh0ctvest69ku1nsdg2ia.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. A5y41A01fjojvht6nhDmNIEX/8Rp1cN0aGJ3uQoge7aGd0xgsnn7Zf7sslG9tGPuZNcKNHEGtf9QnkBIj8sLvrsytTTzJ5mW8o7Gomy7KoOcY222nGlNEfHBvRiS7NDfNNN4s/2YATVZmiNFmmkJx+RT46BmDDYTGXoFK+3gM9FV60Kxvchy9yO8Ypyt8RF/j9H0faC2/OG6J2sUiRrcug==
6sobqh94a3ed1c9nq8l69fkniiv3mkh8.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 6UMILNB09P4933P67K06HT6D7TKBR72A NS
6sobqh94a3ed1c9nq8l69fkniiv3mkh8.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. YafeEbfTZ4DNmgAFqPvq7KChIVJ2UctygtuGKwxNsJcLurIOEmWAtQ3XRzIoNLONg2tIRrL6pIa5HgnZ3NTg0ga2GcoZJH0cSiv5a9h59N94nwt7Fk0RWtqZG9egt/Kll9x0Covao6sTKlnXCI0I0Zd+NRZxtmsV48YOnVFRjwPKjd3sRSyjlAt+H0sDBzX3yIj7TLATz8fTRnX7ck6v+A==
6umilnb09p4933p67k06ht6d7tkbr72a.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 6UQAE4DDLTE6GECQ3OJIDQ6AE5N1788V NS
6umilnb09p4933p67k06ht6d7tkbr72a.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. 4Cyn36iWaT176Vob36RCHVZ1kQU8deXb14OC1Wb10Y8t3+bkQXf930H++za1o3TOXflCKql35CYc+ldx5aDr+H+4cPHAK5q7URiyS3TGnp0BgBGHUSMRWocNJ63IyglOgePQYS2bGoNGhP29KoBym9cUhF8Uc27o9N2gpoWLdt0xR1QRQ/dZ44GDssb7a5ywGXF6pk0mkTAzfzhSNlAezw==
6uqae4ddlte6gecq3ojidq6ae5n1788v.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 6VAV1KKMGI5EIELN5LHN9NAQI0EKD0IV NS
6uqae4ddlte6gecq3ojidq6ae5n1788v.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. HUfBC7x3d1t0ctjSvtxHm6JCzl73tQ7d++kZC5+vmJitnoeDFspltAVKKbCgMWePQ8L1RlcD+lVZcLsHXYzKh7onC8/OGCA6jseSsKQwGAKcRRQ3hXoTdexBSSsYQO45qcmWybPTf+J3U8yPEg4lWZ9CwRgrqWT6pEoToo+5j1K4nAi0C3/yVLHOn+sNsY7o5e/9C1uXNCS0VdxWXRLOkw==
6vav1kkmgi5eieln5lhn9naqi0ekd0iv.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 6VT0FRBH1APPFA3N20PMPVDJC5JC6G36 NS
6vav1kkmgi5eieln5lhn9naqi0ekd0iv.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. lq0HQWrQ5bEOQjIIK084k8XAPJ3GPsQoNHHvPanu3BPrmmv1x/ahDqpQL0tiAPLV1Oh4CdKcFlN8X7FSpLWdAIJRhbReaxXoYhMGv1qTW2P47IZMoQwc14vFOLIyMjnxfEKalOoRzLNLEygwaxpQM/gYmyNBJya8c1tsdeAekBXLEHpyOCofQRzElBPi5GFDw0F4/VvZXx92DTQTatyEUg==
6vt0frbh1appfa3n20pmpvdjc5jc6g36.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 71H6AGK2IL3NQQMVBR9QQB1V24579EQD NS
6vt0frbh1appfa3n20pmpvdjc5jc6g36.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. GgNkL0uIIDrsllB+HspAlBBrlUZYkFqUmipzMw1/y403ZZhta4w3PP9NwV4WU/bFpo9tGo26OweXP/jeNSldAUZa/lqLhzbTDuhlIx7xKcbFCL8f7uZsQScVvEtSI7wNqWAbVeknQ9r7cwd7jtzg4HKDiuSbV+pdS7ND7ucrzogsql/fsviJUSQI9274uhmhKZNfiaTU8KRBIzAbYn8YkA==
71h6agk2il3nqqmvbr9qqb1v24579eqd.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 74E85OL1G6IE6IALICQBUNC6ND6JAEHR NS
71h6agk2il3nqqmvbr9qqb1v24579eqd.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. ANdoDoUgYViSqCW3PhKg1eGwZyBnqovbTjiBfpqgzcDoieODKkpGW+rt6Ktafy9UOAt5F6LmtYT8ZT04hn7XcDKGqFeQaSr/M7NO7bFZ0tenb0jWaFr58Fa2i7s/UL4KiL409vJ0IUOGyXawAhRsHgTXirFl6BDDlPGFwoavHejXk3NfUa/9rzSzmBBrs872irLXWLrzY12BQ0qV7Od/Vg==
74e85ol1g6ie6ialicqbunc6nd6jaehr.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 75S95PQSO9TCGR0R6LQQOP95FK0O6V2J NS
74e85ol1g6ie6ialicqbunc6nd6jaehr.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. Hr31vLMUvqFYOeGcsWyFrD66MfQB8tTTd+gTvYHkGVEW7IPmD7ZgsOecVfJNAzWWjjq6Uj9vEcixX0HyvzMZjXGL7/0mAVGcfHplkbcfkk48JSeaB2+TZHbZdCvp1fOUuhca5uEgWc9atsk1vojOJVlzTxYdJgQUAXcOR68bSff3pzKQL/1kc6EFcl7RwcwQ0fYWqINutrv0FM4Yu3wbDg==
75s95pqso9tcgr0r6lqqop95fk0o6v2j.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 769KA6E0EQAJGUDEIP1D3IANTPUVML42 NS
75s95pqso9tcgr0r6lqqop95fk0o6v2j.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. bZE26FEtbezWHeidj/gB1/Cb83f0R90s9YT3ua14sAoxkHrEHIDUvyADxJEeZWTLWolBrlS4OR154O9z4j5ZWzMsY5GHHel8iKHCZrTtyI/ZW+7rI28jLugOlgE2fyZhT4yn0Bc5/EaMlrwjhlz2MTh0uR/mf5ZzAiXpKFafnvuoZszNMODr0Jc+0GoBEbtld8fHRE/JcXT9vVF1RX0iYQ==
769ka6e0eqajgudeip1d3iantpuvml42.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 7828VCQSFVJL7EVPS0PESQBE1BRM8HBE NS
769ka6e0eqajgudeip1d3iantpuvml42.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. egwz4ZZA2YITwnzKG5nyVVTAeU43YTm5xfAufvT12FsXkuKW+ZTc6e+DO2pt9J78Rjsho3ws9wz1mSTRJt16SDW/UvHAfY8JffRtF5Qfop7r5kzdaOHtM41QqdEZ+Re+A3Up0SFuQsChExmtaEdVDdcM5lm9qiaNVRLvi1pRxuFeMNFr80vBlTY7HvClfxIVi0tU2gK49aGBbdi2iLfMIQ==
7828vcqsfvjl7evps0pesqbe1brm8hbe.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 78N55LJ1SPK0MBST9EKVLLEACEG0O732 NS
7828vcqsfvjl7evps0pesqbe1brm8hbe.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. GncpV7Xn4r//OaLQtlQycfXBYqGurcmlKWByviVcdwxmMth2pYfAI6+tOp3JPO9W7r8eDTsDnB6rtVG+jlVCLhxZnA5U5RvRNX9I98PAYo0r48T+BNyd6xZdtpd8eLMqiZVujAfnYheQUHxtw9MZVkiV5Frx2wOu9a8nTqdYMogZr+xZjxJaCGyNNA9HC2E8B+JwQ93rhyVJUleMjA77jA==
78n55lj1spk0mbst9ekvlleaceg0o732.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 7C2K91J1UF56Q06I945L9PRHAVJMMKEL NS
78n55lj1spk0mbst9ekvlleaceg0o732.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. Q4azTr76BHzZLdCJLw4xeApBvVrl2BuFNiPEs2vYv3J+WirLvda4AOwShzvjMln08brf/SUSFH62BxfXjdu8a81sxFTiDvneZgP0yUfekTkEG9PQW4pRbK4q7O5quCpGMj6n0CHc1/m8wk8Dz9BSFnTznT2J6InDWD8y1SdoY8XoefCSgr8Rlyqr0QdheKME2O72NkrHNQ5KOqjd+USSzA==
7c2k91j1uf56q06i945l9prhavjmmkel.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 7FFUMNLGFP3JOF4KEGVQJU75JHUHTMD0 NS
7c2k91j1uf56q06i945l9prhavjmmkel.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. V2rmfBxgQXGxDZ8YKJK86XYmk5xwoX4tmQ68Ii9uDn2SwntIA1M3eOB89HSi0WLK248w1tW9rmCVjOwgZ6qxmJ6vDKsK+kAT1p6etF4cGtAxJoUZrOVUvNf+5k326woOfL/U1/HhRc/FEHi+6B1Y7d46sqmo6YnLyaiPH15PR/zem361HrfJPEoKnSa8VRZGFJC4g5mOm6NDuWFaXU9+lA==
7ffumnlgfp3jof4kegvqju75jhuhtmd0.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 7KQB2IB1TB7PBUDEFV9EUGUPJKMV8L52 NS
7ffumnlgfp3jof4kegvqju75jhuhtmd0.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. S/CghAmtZ5VacbFUBPShwHFuJMAWVOZjpaPHLV4vxtGt16cu3p2w/5C3MzOn0beGDnE/qZG98vsdnnHvF0L4tjlrf16EGNZ/i+DxmypYczXpw7k4CJ656TxgoBX3L4uYcdVnBr0fybocPpORzEtiszMt1TYpj7jnI8kNofH7lOmvQnGyLlBRCpXKodbbv/C58C+9z+FSVjroB8hoyEvDNA==
7kqb2ib1tb7pbudefv9eugupjkmv8l52.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 7LD5F68AJAM6GIIT1ILI0MQAL9K1KA6O NS
7kqb2ib1tb7pbudefv9eugupjkmv8l52.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. HhpcLduM3r5Q8mG3tWzLFg6QsHQWXNwvRapLA0NYCSAOtYqC5xM4ZQNmK6w3b9lvRAIIMhYt5MyhBKznWn1lHghqM8I1cAM7q2FYcSH+Ltl5n2As82dslUAaAtFvJjQUIGXkmHzPSxgQkUtJGR2HlaTmLxnaKFhYeBDxHcz30JxJoiOXlqPeBLz5tDCvPTrG/9Q7c/JVxwuoTJTHawdG+Q==
7ld5f68ajam6giit1ili0mqal9k1ka6o.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 7LOPGRCQS2OJSIAUCH7197PCDNJ8QUJ6 NS
7ld5f68ajam6giit1ili0mqal9k1ka6o.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. qb6PdrruyW54BoCaYYajEDh+Nj+YUhEdWOkE54/5V9W+MEYHnbUCoDcaAdScQm9W5Dw65scf+EPsxAgCeXut1f9TMeZelzk53No2xkQqc3bspMwId06AG2hrhXgXqVdTUGONVsY7ALqs9n3OTuoMvbm4i7uh4cOFjFMsVTHdFpFUVbGs5HQf8S6rvsAFdpDC2htnv8gGU2PAGPCO949Dgg==
7lopgrcqs2ojsiauch7197pcdnj8quj6.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 7NTJ61OFKIFA0MKV5292IQCH040955FP NS
7lopgrcqs2ojsiauch7197pcdnj8quj6.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. xFIA9mw1f/zHzLZOahFH7V2CVyM5ttPEXOhWimdO9482OKONy0bGnT5v3i8M9Yo7GuDPmgvsXgFdT+E2dBAbRMa4fHEj9tyz2hfvUIqAUupEE34c7Mlpj6wDjvwWLp++j+mvImWMBp4AbighW+kbFRNtqizs797KfkU+sBl75+nI5tkCE0+FNfSwPWuBl8FxWWca7HrDUFSMKzIIyDvxOQ==
7ntj61ofkifa0mkv5292iqch040955fp.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 7UD40VJ3AUQ1RP43R5L1EMIITKR8EVCE NS
7ntj61ofkifa0mkv5292iqch040955fp.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. qdH8k3HgOOgnzMR6l27vf82qenngl9pCNvEh73z6vl4qJJfJmTFfTSDlBWRWf7Q9YOwpr37uOYCt5lp+pnzVDdluWGCZe8jCqksJXT/a/VNCVHcDcXSvUeqRMOfYPXToqgdjbvarwj2rEQrbWN2zoSC15EkZryRQI3nOn1gyZwW3lTb5RRQAgxUwRo3vT+3cd2u9567xCYT5a3fjmD2CJA==
7ud40vj3auq1rp43r5l1emiitkr8evce.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 7V09S9RHM7P9HNHD3MLF61K39ADRCMJF NS
7ud40vj3auq1rp43r5l1emiitkr8evce.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. w1iHLRT8WCmLq7gnGOqMr+ihdBYJSVJsOuzf9J7wWH3HSn0aSUxVTNtLs7JPE5gBq9drkACrZ1D6ghXML/1GbAZzb5lZ5wYwRRxDMCk6MawnIDjahcaTKixLHcNoi1ZOQw0IKix3q9L0h7LNy5PCoDafnQzLcz7W8AJefQrI1x58UBzTGU517ihfnSBC39OZ4LJbBSF51bBOiLRoD2qrig==
7v09s9rhm7p9hnhd3mlf61k39adrcmjf.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 7VJK2UA2DRADJJHM21OD8DJNJT8NVTH9 NS
7v09s9rhm7p9hnhd3mlf61k39adrcmjf.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. MTO5fImoVX88XioMUsQuLYjAU1FiCctlkPaOJq4N66GK7ZXl6NjF6Fq1Oif0jdfWmOOAV6KOJAhbb8qIz/QPrD63GeS5JcKEBB17TpXNil7VI4SPvLubMNacjmDx9F0K8FwwVxt8x+uzZYU8WCbB2NXOqWTZLdkZJxd8+nEIvuGSq0ITGsq/8qnaVtvKw9YMnOm54nCv2s4XX+emnRtMug==
7vjk2ua2dradjjhm21od8djnjt8nvth9.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 801A4T9OT74T14ITAMFD0FOQAFJN3E5M NS
7vjk2ua2dradjjhm21od8djnjt8nvth9.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. BGlvE+iDxbrenrR6+g1pM2vhA2agqkc+phKP/JIysXxmRXKIfaARwzKMN99GK8niMXoDMvC7xXZSr3945eclcADxgv4/H54Jilb9MnAYvyzvXDUADIEeezSwOS/ZA5+Z2JeNneJISSqapuAzvcjoT7J/KcI3LsZ54hCkxtjvzcBKKeoRAq3fizg9eyXxQPtLeAhia5KrN1fZB6UGIF476A==
801a4t9ot74t14itamfd0foqafjn3e5m.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 815HBNV90US5REAKET9PD5LPBLDHUE1J NS
801a4t9ot74t14itamfd0foqafjn3e5m.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. preuW1TKiwZkB3gffrDs76shre9c8UH1LXGntQN4njCdes8k640Dn/j3xGndBhr0jen/QNPNhi20Qj8qxuovSg8Q+WhY8ZL/ymHrcj72fcQ3fQFIedwEdNtmnbu/A+CPMD3HJ1FNZPNaZ3IkZQt4jRbMyJRMr5egc32H9pmqIfiIvrKVQrLhayeajVmYBjJiXUTIr4w5+CVbJ9S0ju0guA==
815hbnv90us5reaket9pd5lpbldhue1j.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 81H7RGI0L4K9EDAF7AG57IFGPMMHBUNN NS
815hbnv90us5reaket9pd5lpbldhue1j.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. 2RlmNOwY4JrQUbzqT2o/Tg7IG0mKna30dCQ5bHfsXdoauppccH/xIL+k7I7tuelQ4ZyMG6lhrW1Tq1GfGWw9foVm/hdVuu0K6vpKO4Jod1uDkVSRmBRQdLIgH6Hu8RwGTr3Ie51Nldd8hQ4uoVZyHVCMYtE+0QhtlbGdkHrB91NyHjknPZGkGMBZBEguHTCpJ+nEEka7EIrGdrX8GB2aog==
81h7rgi0l4k9edaf7ag57ifgpmmhbunn.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 81JM4JTHU09PUG7BV62G262CMPN90JBO NS
81h7rgi0l4k9edaf7ag57ifgpmmhbunn.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. MojkzhNICLfl6n1st+3bQxMCqFMko98/qvWhOm/qi9lEu06QMXQilKGZVX/R1o6j4hfEaYIzi5WxvPZF4ZG/+vJd1FOTYu/w76n0XAZ4QSXZGxg73k7FZXwCtgUs2Wg3pHJZNMdlU39ZS0lWgqRVeq0wLooNYwkTNUXZ4iwLt6YvfQK/noLHhQ07/yXp0ssTRZEVSXScAzEgnn0GnR8XnA==
81jm4jthu09pug7bv62g262cmpn90jbo.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 824S5A2GAE1P8EI8P63N3E2CT2H7GMEO NS
81jm4jthu09pug7bv62g262cmpn90jbo.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. gtcGs4cZrF4Q3lSLDRDDzEljcqb/VKeHUfNv4xMlkuIAuSbVAjkhWbCn93965y9pfso/UPkL7X1m9zhcaXLA51TXHh0smE8yAO4vCxS0ZJHlCL6LRg8zUdOEbW6yvk3Bufd48l4TTdOL1jJT92geKxX4edglSOvlr3ojeoFvMMEKW3BEL1XsgERaxQZozq7mK3lgGEOaBhXrI+HlvgGg6w==
824s5a2gae1p8ei8p63n3e2ct2h7gmeo.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 82IBMVF0R5H1IBK2DN5R8OR5U4JER5RH NS
824s5a2gae1p8ei8p63n3e2ct2h7gmeo.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. AGtoapjvIsScsg6UlkZaBOd8FVo+pYUFuzx06seLfBLR1Jci+zaffyVxAOhzBuz0s0TG/DmDPuudWsCgctQSnj52KBrwKWKKz0S4FGNC9XeuuTrCx9WFlbnIPIDZIb2RUbEY3ttsBWAPSElXn9E5CApkmNW6x2qKZJbAf+7M/3VSK5rvDJvr4LcqXVNuOwGq2frBlJ39l1jDpsagtzdSFA==
82ibmvf0r5h1ibk2dn5r8or5u4jer5rh.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 84OJHRDGQGQF8UQCQ5GQL22PBK7EUUJE NS
82ibmvf0r5h1ibk2dn5r8or5u4jer5rh.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. 3ZnecAzC1OECxiFDYpSbggYT3dOD0hVrcvC4mstkQV82jjy12fDSSh+4i8awbZBe/x7cHHwBNkIT1r232zlwC1NAnHpbeqW4PxNCodllzn9NPE+BTpvIknwWmYj4TgRmwFx4HtoRCuyO7YxLSCMR8gL4vNW6rnBd3g3FhUNW93SRLGDkbBp6vqq4AITTZ3HnrTHykJpIx6RVnTBikHTUOQ==
84ojhrdgqgqf8uqcq5gql22pbk7euuje.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 84OOOEQK4P2QINHF81B4N9E74I81RCTG NS
84ojhrdgqgqf8uqcq5gql22pbk7euuje.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. M/gJUd8s2/XH2juXgHM+OWPDvK+dcSrnUCnAYZXj5/BnT6CwH9W+reeQ42GeiU5pBL2brKHSKJexJ/Le3RWcHFWdAyLkfL9iYiiabD+2/K7R3ygizAyCn2sqBsh7PH1X5T6bgOvzIp3ExQepSclpQ5t+gW4DzDS5IipThOzhdLyxdg38E8s+5ufOen32H2Lz1CQqbJnyR8zlMnT5s1DACQ==
84oooeqk4p2qinhf81b4n9e74i81rctg.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 86ELJ6V3SPE6QI0EV6PVA8D6P635GP31 NS
84oooeqk4p2qinhf81b4n9e74i81rctg.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. hMUxr1wWkjltEXZXe7UnnytqIUReknRqOnnssDWgwnQ8rJamwYUuf6ol9X5zKlrb1+fbiqRwwFX71ObAn7UKfew+zsX+j44UPXzXlyfU7rNo3EW/wGNO1/pBEzSdqVE/1UclKCzq7KPqV0oOSAeTRqcmO+Ox7ZCNcUm6vq99AFU5PNxcrk7J+mft0u0XQweOJXy0fafkEWvMUk6n9LgxtQ==
86elj6v3spe6qi0ev6pva8d6p635gp31.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 86P2BEJ764KEAGN6NQRHI0UP061U301Q NS
86elj6v3spe6qi0ev6pva8d6p635gp31.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. kc//jZDrqNzkd/Re+wXAo9/a5YzWFo4cs66JqY8jcOsq5KCkHz0OlMWQyeakjN1vAZ0lKxPtwqHPxzI/S+Z0ILWfS1aGo5J8qZ2hBbQxL/QrvPCY0jMopOV8/olKU/vdyRc+Oddn8Up9VOmsiHgnhSsKi+BZDDgbkePG91wQQvQZ8ej8a6rVSBAIQdVBrInLiIoWZEIpbpj/h9ubgV1OlQ==
86p2bej764keagn6nqrhi0up061u301q.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 8COHU7JGGQ1AR2U2VJP4LRFLV1VTDVNQ NS
86p2bej764keagn6nqrhi0up061u301q.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. Iah+QfJSWRyubHufb5o89HbgIvQJWO9DfrpVeXddvIuUYNoR4PChXRGe2biJVxjFEdBr0MLoNcFAqFxVxZsUKrZD32riQRi4yfYZ6mS9slLC6Xeug4iA4cfTqVn/4rup+WXgQ12F9d3T+p7Fn12a4iGwkOWm35EOKzM5ue67WLKEJ864GOmIrQ8Ru/Xosw2PZlrcOwkYOmg1vUoUnWdG2w==
8cohu7jggq1ar2u2vjp4lrflv1vtdvnq.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 8DMP5DI6KHGJJL178KIJBIDQALPFTM7P NS
8cohu7jggq1ar2u2vjp4lrflv1vtdvnq.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. MWNNMgfHvK+n6Z+GUOx02eTgyOofGVUBdtqTw7qsR5YiCnpjOkX+C63RDiTPZWevbr3bwmw9QfvGRKJNX+pqgLD+9BITDwJkowDVYJhbILlzNDVIrgDbOMC7XHrEO9pnRdg9HmnMw5vTQ+nN9wrFEs3ofJA2B8KGMvdh8MDRROR2kv51y9/+n/9Wk5iNmuJYBcMOLQMyyuZwhOqbgtRvPA==
8dmp5di6khgjjl178kijbidqalpftm7p.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 8EI3OTSJV0S3QH8PC1II7GNK7EUE6QN8 NS
8dmp5di6khgjjl178kijbidqalpftm7p.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. Agi23IklswfIYijxfI7PMs0Zhyw1Fb3HQieeY8iWquIXIxPG7S47pJUu9eeM68Do3+4A0aOBxZK/UXcidoeIoBj/H9Z3UM+AW0xVf8gK8B8abp2lRt5UyDUgO1QbpbZuDMUN/plwAj9ymrfWvjU96ADdmL8g1SxwcJlCSjmnQ/Cw5GUSYUR4aRkIy1Lr+eMlZdhn1MuL2mgRg3V4xA6Oeg==
8ei3otsjv0s3qh8pc1ii7gnk7eue6qn8.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 8ETUEFKN42679TJH1OQQ2AAGMPKS6NGM NS
