12hshpuu7sbq35pockt2qkm8g396po9c.restaurant.	3600	in	rrsig	NSEC3 8 2 3600 20260207160022 20260117150022 35283 restaurant. bP73ZS+mKC+1xnr6V4lteOetg0ooW8gIdy2XETbqpRghdYjTSE2nhjLmg2n5qpJrfkoq9hbnJvpHDf6mZpRDt+PezQUkRjocjhBKQy2wF4/lFRLo1PLZRHIbPYbnwiQb/x318bcqiueb99wddnd9tZSj2Aklgt81yD3nEDw/lPw=
12senses.restaurant.	3600	in	ns	pdns13.domaincontrol.com.
12senses.restaurant.	3600	in	ns	pdns14.domaincontrol.com.
13.restaurant.	3600	in	ns	ns73.domaincontrol.com.
13.restaurant.	3600	in	ns	ns74.domaincontrol.com.
1328.restaurant.	3600	in	ns	ns15.domaincontrol.com.
1328.restaurant.	3600	in	ns	ns16.domaincontrol.com.
1337.restaurant.	3600	in	ns	ns1.dns-redirect.com.
1337.restaurant.	3600	in	ns	ns2.dns-redirect.com.
142.restaurant.	3600	in	ns	ns1.nomeasy.com.
142.restaurant.	3600	in	ns	ns2.nomeasy.com.
156i6gr66dks0r9vkl87hr0gfqkga68a.restaurant.	3600	in	nsec3	1 1 0 73 15IBFJHG8MAKI7DFM9GQU1PTJNSTTSRF NS DS RRSIG
156i6gr66dks0r9vkl87hr0gfqkga68a.restaurant.	3600	in	rrsig	NSEC3 8 2 3600 20260207160022 20260117150022 35283 restaurant. Cyyr3lqa991CuUfFtgnXUoh2MQNF+Jj/PO3tkWYrEGX9iB7opc/voy3c5rPbQeSFk8noMpt3PbFZTCgCLE+sxNXxxhEhwGjRLsii5ikaTmB4jjJ7HR3j83VWLfx8/jRiUBWpeRdiQL7yR1IxOhjJ+xLJZuD5yZo+wVrEGtNiE1E=
15ibfjhg8maki7dfm9gqu1ptjnsttsrf.restaurant.	3600	in	nsec3	1 1 0 73 1C7E3N94OB15S2ULTR2CFK8MQH7KB8FQ NS DS RRSIG
15ibfjhg8maki7dfm9gqu1ptjnsttsrf.restaurant.	3600	in	rrsig	NSEC3 8 2 3600 20260207160022 20260117150022 35283 restaurant. phiu1pAQ/ljKzqBeJnPHP0CNQ2Dsy/GxhSYFigyH5biAIsR8Ir+nWKqnUDpzIRO9pVHI1ordnvgu1X6Fdtg837f4f6BshrzU3wNW2G/xYuFd0XjKIeG1739OD6++/CESdSgT+wDzTheBKMgmvd23xYC/QtbJIcVldsRrQfdOSSU=
1608.restaurant.	3600	in	ns	ns41.domaincontrol.com.
1608.restaurant.	3600	in	ns	ns42.domaincontrol.com.
160main.restaurant.	3600	in	ns	ns21.domaincontrol.com.
160main.restaurant.	3600	in	ns	ns22.domaincontrol.com.
1664.restaurant.	3600	in	ns	ns1.brandshelter.com.
1664.restaurant.	3600	in	ns	ns2.brandshelter.de.
1664.restaurant.	3600	in	ns	ns3.brandshelter.info.
1664.restaurant.	3600	in	ns	ns4.brandshelter.net.
1664.restaurant.	3600	in	ns	ns5.brandshelter.us.
1718.restaurant.	3600	in	ns	ns5.kasserver.com.
1718.restaurant.	3600	in	ns	ns6.kasserver.com.
1789.restaurant.	3600	in	ns	dns1.registrar-servers.com.
1789.restaurant.	3600	in	ns	dns2.registrar-servers.com.
180.restaurant.	3600	in	ns	ns.elkdata.ee.
180.restaurant.	3600	in	ns	ns2.elkdata.ee.
