147.kim.	3600	in	ns	dns10.hichina.com.
147.kim.	3600	in	ns	dns9.hichina.com.
151.kim.	3600	in	ns	dns29.hichina.com.
151.kim.	3600	in	ns	dns30.hichina.com.
15273.kim.	3600	in	ns	ns1.1233dns.com.
15273.kim.	3600	in	ns	ns2.951dns.com.
159.kim.	3600	in	ns	fine.dnspod.net.
159.kim.	3600	in	ns	rowan.dnspod.net.
15918.kim.	3600	in	ns	a.dnspod.com.
15918.kim.	3600	in	ns	b.dnspod.com.
15918.kim.	3600	in	ns	c.dnspod.com.
16163.kim.	3600	in	ns	n1.xundns.com.
16163.kim.	3600	in	ns	n2.xundns.com.
162.kim.	3600	in	ns	dns1.hichina.com.
162.kim.	3600	in	ns	dns2.hichina.com.
16562.kim.	3600	in	ns	a.dnspod.com.
16562.kim.	3600	in	ns	b.dnspod.com.
16562.kim.	3600	in	ns	c.dnspod.com.
16688.kim.	3600	in	ns	ns1.pomdns.com.
16688.kim.	3600	in	ns	ns2.pomdns.com.
16788.kim.	3600	in	ns	ns1.pomdns.com.
16788.kim.	3600	in	ns	ns2.pomdns.com.
168.kim.	3600	in	ns	n1.xundns.com.
168.kim.	3600	in	ns	n2.xundns.com.
1688.kim.	3600	in	ns	ns1.myhostadmin.net.
1688.kim.	3600	in	ns	ns2.myhostadmin.net.
1688.kim.	3600	in	ns	ns3.myhostadmin.net.
1688.kim.	3600	in	ns	ns4.myhostadmin.net.
1688.kim.	3600	in	ns	ns5.myhostadmin.net.
1688.kim.	3600	in	ns	ns6.myhostadmin.net.
169.kim.	3600	in	ns	dns17.hichina.com.
169.kim.	3600	in	ns	dns18.hichina.com.
17046.kim.	3600	in	ns	grannbo.ns.cloudflare.com.
17046.kim.	3600	in	ns	norm.ns.cloudflare.com.
173.kim.	3600	in	ns	ns1.dns-redirect.com.
173.kim.	3600	in	ns	ns2.dns-redirect.com.
17322.kim.	3600	in	ns	a.dnspod.com.
17322.kim.	3600	in	ns	b.dnspod.com.
17322.kim.	3600	in	ns	c.dnspod.com.
17644.kim.	3600	in	ns	ns1.dnsip.com.
17644.kim.	3600	in	ns	ns2.dnsip.com.
17822.kim.	3600	in	ns	a.dnspod.com.
17822.kim.	3600	in	ns	b.dnspod.com.
17822.kim.	3600	in	ns	c.dnspod.com.
17967.kim.	3600	in	ns	a.dnspod.com.
17967.kim.	3600	in	ns	b.dnspod.com.
17967.kim.	3600	in	ns	c.dnspod.com.
17go.kim.	3600	in	ns	dns3.hichina.com.
17go.kim.	3600	in	ns	dns4.hichina.com.
17go2e301aelg8c4gulbevq3mmcan9tv.kim.	3600	in	nsec3	1 1 0 73 19MKO2UP2189VI5O2FBFPQF8PEI6LSC9 NS DS RRSIG
17go2e301aelg8c4gulbevq3mmcan9tv.kim.	3600	in	rrsig	NSEC3 8 2 3600 20250922160903 20250901150903 64416 kim. Iwv3BTB/y7abaL5miXOLzkBFh5f4Jz9L9Ve/qRgQpomEENK9JMv3+/zvmNQlrFkcqaUVmFvBg+6B+aUGnY0Vqrz2aLSvce9YVl3oG8FMpgE7Z86R+IMCnmRo3IB+cVJzE6ZwwZD21BEHYu8p5jAi6VreUpR+LbxAZ4OlQcH3NRE=
17k.kim.	3600	in	ns	dns10.hichina.com.
17k.kim.	3600	in	ns	dns9.hichina.com.
180.kim.	3600	in	ns	ns1.dns-redirect.com.
180.kim.	3600	in	ns	ns2.dns-redirect.com.
18137.kim.	3600	in	ns	a.dnspod.com.
18137.kim.	3600	in	ns	b.dnspod.com.
18137.kim.	3600	in	ns	c.dnspod.com.
182.kim.	3600	in	ns	ns3.myhostadmin.net.
182.kim.	3600	in	ns	ns4.myhostadmin.net.
18244.kim.	3600	in	ns	ns1.dnsip.com.
18244.kim.	3600	in	ns	ns2.dnsip.com.
18281.kim.	3600	in	ns	a.dnspod.com.
18281.kim.	3600	in	ns	b.dnspod.com.
18281.kim.	3600	in	ns	c.dnspod.com.
183.kim.	3600	in	ns	ns1.myhostadmin.net.
183.kim.	3600	in	ns	ns2.myhostadmin.net.
18521.kim.	3600	in	ns	a.dnspod.com.
18521.kim.	3600	in	ns	b.dnspod.com.
18521.kim.	3600	in	ns	c.dnspod.com.
186.kim.	3600	in	ns	ns1.myhostadmin.net.
186.kim.	3600	in	ns	ns2.myhostadmin.net.
