1plea7sdhatt3mhm4l0qhn00p6dbm8la.wales.	3600	in	nsec3	1 1 0 - 1QVFKL07D3A3JJOU8053A4BMSTLFGMJD NS DS RRSIG
1plea7sdhatt3mhm4l0qhn00p6dbm8la.wales.	3600	in	rrsig	NSEC3 8 2 3600 20260227001041 20260122233942 5890 wales. LBLktL4I/Tir3du1tx1/ikH5zLtSm3+dCLw7ZiukAhSb9+Aq8Eq2nL4RX2e32uvZWYf/tSfU2p1R34kric7ltHktvU5wex9WzyDFcoxRvv+jtA1ccyHO1yvRYy9rS8Kr/MpH0wTULBdl0rQ5OCFHykj9W9VetlOxZ7XU4dPPnYdjpcyvbsDswbgaTDsX6ZaY1IYGDbR5fiHPeNT+pbIs6o4O2NKy29yD3+kpVwUeHXHd5UY36cHt0T6sanby2RjDc3OA8y7HDCkVOYG8MDcXe9tS/lsbD5chXy1R7G89ZH1za841hTxCoGe96skYV5i9z5x20vAh7vr2dE9CwH8raQ==
1qvfkl07d3a3jjou8053a4bmstlfgmjd.wales.	3600	in	nsec3	1 1 0 - 1T0NU4PK40BV0S8NGFCSS1G129BHBFEM NS DS RRSIG
1qvfkl07d3a3jjou8053a4bmstlfgmjd.wales.	3600	in	rrsig	NSEC3 8 2 3600 20260226230154 20260122221543 5890 wales. GUxBZmycfj7iGD1tb2QlB2ryRq5TbI77a8f/KCY7hYegB9DaN65wqp2Y7blq5TXkcvfp8r17WK+rKuzn1jGO/Gf7vDd+/yoHGNFpa+rh1Wjcu0Yr2xy8yJrg8qIp+msv+ZDbB1kQLTB/0lhAgoXy+/gEtFrFwmIARb64gkjzpJurMgQlhygH+S4br0AlQ7/Z1+oDpPMarWKCb0rUVcwLSurwKIJgRru3g+oqLQQse9Fdgve9P7Cuqbxz6BW/x4tOxAboApFf2XCKeZXwx5KW9dFk76tbSgRAU+PDwOKhTJWxwhabSsHo7Mt61Byb219X2vuhAoQn/KTyXE80/WGP5A==
1stclassdecoratingspecialists.wales.	172800	in	ns	ns-uk.1and1-dns.biz.
1stclassdecoratingspecialists.wales.	172800	in	ns	ns-uk.1and1-dns.co.uk.
1stclassdecoratingspecialists.wales.	172800	in	ns	ns-uk.1and1-dns.com.
1stclassdecoratingspecialists.wales.	172800	in	ns	ns-uk.1and1-dns.org.
1stllanedeyrnscouts.wales.	172800	in	ns	ns1.quick-hosts.com.
1stllanedeyrnscouts.wales.	172800	in	ns	ns2.quick-hosts.com.
1stllanedeyrnscouts.wales.	172800	in	ns	ns3.quick-hosts.com.
1t0nu4pk40bv0s8ngfcss1g129bhbfem.wales.	3600	in	nsec3	1 1 0 - 24BAVTEAQ0P2MU2FQDIT0D34KBPH5853 NS DS RRSIG
1t0nu4pk40bv0s8ngfcss1g129bhbfem.wales.	3600	in	rrsig	NSEC3 8 2 3600 20260224114658 20260120132539 5890 wales. BBbcgBlqcW7uVZztKhr1n0sTVDGl0CkzcvGoGswCnteuIQCP+hOpUHjaOXNK5mq94ZKkd5lY0IdCqOeFJTOqn7HMjJWAff0fvMw2jKIpkGCiKo0qBnRw18CwVoAZ+pj810WiU2xOBw5dcnW94F6Fxxxc79D4V6btmBHlm85j2yg8cxLEh3DKfsEEQvSboPV/AhrqfWkkNT3Asri3fHmN2PEWMtzSWc5QiKfXEiQV8h85v2MyMO7/IxxlHH8yZcZRpDQFi+hgufnzVxgStIxx3VYtuBMQXN1XmrXtQBDB/IZudBeRUO76RUxDi3R6Au2VwpaJbA7+qdcmsChNZ4Pl0A==
1tamilmv.wales.	172800	in	ns	dax.ns.cloudflare.com.
1tamilmv.wales.	172800	in	ns	zelda.ns.cloudflare.com.
1tamilyogi.wales.	172800	in	ns	aida.ns.cloudflare.com.
1tamilyogi.wales.	172800	in	ns	byron.ns.cloudflare.com.
1xbet.wales.	172800	in	ns	grannbo.ns.cloudflare.com.
1xbet.wales.	172800	in	ns	seth.ns.cloudflare.com.
2.wales.	172800	in	ns	ns1.dyna-ns.net.
2.wales.	172800	in	ns	ns2.dyna-ns.net.
2016.wales.	172800	in	ns	ns55.domaincontrol.com.
2016.wales.	172800	in	ns	ns56.domaincontrol.com.
2024worldcup.wales.	172800	in	ns	ns1.namecity.com.
2024worldcup.wales.	172800	in	ns	ns2.namecity.com.
20degrees.wales.	172800	in	ns	ns01.domaincontrol.com.
20degrees.wales.	172800	in	ns	ns02.domaincontrol.com.
20splentyfor.wales.	172800	in	ns	pdns01.domaincontrol.com.
20splentyfor.wales.	172800	in	ns	pdns02.domaincontrol.com.
20thcenturymodern.wales.	172800	in	ns	ns1.livedns.co.uk.
20thcenturymodern.wales.	172800	in	ns	ns2.livedns.co.uk.
20thcenturymodern.wales.	172800	in	ns	ns3.livedns.co.uk.
21cc.wales.	172800	in	ns	dns1.registrar-servers.com.
21cc.wales.	172800	in	ns	dns2.registrar-servers.com.
