143dx1.sale.	3600	in	ns	ruth.ns.cloudflare.com.
143dx2.sale.	3600	in	ns	algin.ns.cloudflare.com.
143dx2.sale.	3600	in	ns	ruth.ns.cloudflare.com.
143dx3.sale.	3600	in	ns	algin.ns.cloudflare.com.
143dx3.sale.	3600	in	ns	ruth.ns.cloudflare.com.
143dx4.sale.	3600	in	ns	algin.ns.cloudflare.com.
143dx4.sale.	3600	in	ns	ruth.ns.cloudflare.com.
143dx5.sale.	3600	in	ns	algin.ns.cloudflare.com.
143dx5.sale.	3600	in	ns	ruth.ns.cloudflare.com.
143dxa.sale.	3600	in	ns	algin.ns.cloudflare.com.
143dxa.sale.	3600	in	ns	ruth.ns.cloudflare.com.
14eifrl7tjsr359p1m7q2qee88neo45g.sale.	3600	in	nsec3	1 1 0 73 15996I4D83O37I10G4A2ER2HQC8JNMLF NS DS RRSIG
14eifrl7tjsr359p1m7q2qee88neo45g.sale.	3600	in	rrsig	NSEC3 8 2 3600 20260122160405 20260101150405 7596 sale. rBOIYCi/7MUWaBe3oJzEW+xzH212q3ceG0YsoJ4ni7PRv+fUANE+41wCwuDs4t/t0JWH23jmztsn4uH7ZNlShoshMLrBBxrv0t64bomkFaMfzvpVgzSIMDR90IInY7UeRazW8FzrdOzkfvPoFObPDOmBmU3TPyDiJ1htbtnwwQ8=
15996i4d83o37i10g4a2er2hqc8jnmlf.sale.	3600	in	nsec3	1 1 0 73 1C4CL470HNH166J4UQ1B2L7O3CKKT4PR NS DS RRSIG
15996i4d83o37i10g4a2er2hqc8jnmlf.sale.	3600	in	rrsig	NSEC3 8 2 3600 20260122160405 20260101150405 7596 sale. K9uBQUJeGrkMD5VKsJdkEI3Up6vRkSIyrlDsAeVvV79a6tw4pVApKTUw7m7kTSjzGyqHkHvmI4T4BtLLsFIruE8OSmFCktCQUtfaUgYUHgwd4IEccXtHZBxopyaOF0rRkYO5FOg5vxnKPtyIQ+9HXfaGyq9g9RwfgkbWHoycmOM=
1604.sale.	3600	in	ns	ns3.nic.ru.
1604.sale.	3600	in	ns	ns4.nic.ru.
1604.sale.	3600	in	ns	ns8.nic.ru.
163.sale.	3600	in	ns	ns3.myhostadmin.net.
163.sale.	3600	in	ns	ns4.myhostadmin.net.
166752.sale.	3600	in	ns	ns1.dnsowl.com.
166752.sale.	3600	in	ns	ns2.dnsowl.com.
166752.sale.	3600	in	ns	ns3.dnsowl.com.
166759.sale.	3600	in	ns	ns1.dnsowl.com.
166759.sale.	3600	in	ns	ns2.dnsowl.com.
166759.sale.	3600	in	ns	ns3.dnsowl.com.
168.sale.	3600	in	ns	ns-cloud-c1.googledomains.com.
168.sale.	3600	in	ns	ns-cloud-c2.googledomains.com.
168.sale.	3600	in	ns	ns-cloud-c3.googledomains.com.
168.sale.	3600	in	ns	ns-cloud-c4.googledomains.com.
1688.sale.	3600	in	ns	ns1.myhostadmin.net.
