2334ddbb699kvkjlohms1g9rkdc56kk5.football.	3600	in	nsec3	1 1 0 73 24VCH78V4ULOC30QBCBBTGF3B6043JQC NS DS RRSIG
2334ddbb699kvkjlohms1g9rkdc56kk5.football.	3600	in	rrsig	NSEC3 8 2 3600 20260122151937 20260101141937 41238 football. TXeWfRnQ+NFHjgs0/eDGJgm2InrNQJ8kApyz8leABw/Xsvl9LVXuFV34SGIqpqmrnZAeWt4oj78tN6ZZ9yv65+q71LtXvagQFCf58q0oL7R7ylIZCQQ+YmZPv2gzU6niIDa3UljP4uyzdn/ITM7KROPSLGWdKZhYrOXPhwII4ds=
23win.football.	3600	in	ns	garrett.ns.cloudflare.com.
23win.football.	3600	in	ns	lisa.ns.cloudflare.com.
247.football.	3600	in	ns	ns1.afternic.com.
247.football.	3600	in	ns	ns2.afternic.com.
247fanclub365.football.	3600	in	ns	ns1041.ui-dns.com.
247fanclub365.football.	3600	in	ns	ns1049.ui-dns.org.
247fanclub365.football.	3600	in	ns	ns1111.ui-dns.de.
247fanclub365.football.	3600	in	ns	ns1112.ui-dns.biz.
247sports.football.	3600	in	ns	dns1.p09.nsone.net.
247sports.football.	3600	in	ns	dns2.p09.nsone.net.
247sports.football.	3600	in	ns	dns3.p09.nsone.net.
247sports.football.	3600	in	ns	dns4.p09.nsone.net.
247sports.football.	3600	in	ns	ns0004.secondary.cloudflare.com.
247sports.football.	3600	in	ns	ns0243.secondary.cloudflare.com.
24hour.football.	3600	in	ns	ns1.diamondsites.co.uk.
24hour.football.	3600	in	ns	ns2.diamondsites.co.uk.
24vch78v4uloc30qbcbbtgf3b6043jqc.football.	3600	in	nsec3	1 1 0 73 2AHR094DKH40QGVHILGTQ893G0TJQR8L NS DS RRSIG
