xn----qmcm7an5gyakreub.xn--ngbc5azd.	3600	in	ns	nsusa.comlaude.net.
xn----qmcm7an7hiclcs1a.xn--ngbc5azd.	3600	in	ns	nsgbr.comlaude.co.uk.
xn----qmcm7an7hiclcs1a.xn--ngbc5azd.	3600	in	ns	nssui.comlaude.ch.
xn----qmcm7an7hiclcs1a.xn--ngbc5azd.	3600	in	ns	nsusa.comlaude.net.
xn----qmcm8bb6hjdhtdx.xn--ngbc5azd.	3600	in	ns	nsgbr.comlaude.co.uk.
xn----qmcm8bb6hjdhtdx.xn--ngbc5azd.	3600	in	ns	nssui.comlaude.ch.
xn----qmcm8bb6hjdhtdx.xn--ngbc5azd.	3600	in	ns	nsusa.comlaude.net.
xn----qmcm8bg4gqakrd.xn--ngbc5azd.	3600	in	ns	nsgbr.comlaude.co.uk.
xn----qmcm8bg4gqakrd.xn--ngbc5azd.	3600	in	ns	nssui.comlaude.ch.
xn----qmcm8bg4gqakrd.xn--ngbc5azd.	3600	in	ns	nsusa.comlaude.net.
xn----qmcmbe8ce4mgfv3a.xn--ngbc5azd.	3600	in	ns	nsgbr.comlaude.co.uk.
xn----qmcmbe8ce4mgfv3a.xn--ngbc5azd.	3600	in	ns	nssui.comlaude.ch.
xn----qmcmbe8ce4mgfv3a.xn--ngbc5azd.	3600	in	ns	nsusa.comlaude.net.
xn----qmcmben6cm9mfheu6a.xn--ngbc5azd.	3600	in	ns	nsgbr.comlaude.co.uk.
xn----qmcmben6cm9mfheu6a.xn--ngbc5azd.	3600	in	ns	nssui.comlaude.ch.
xn----qmcmben6cm9mfheu6a.xn--ngbc5azd.	3600	in	ns	nsusa.comlaude.net.
xn----qmcmf2ci5illtd.xn--ngbc5azd.	3600	in	ns	nsgbr.comlaude.co.uk.
xn----qmcmf2ci5illtd.xn--ngbc5azd.	3600	in	ns	nssui.comlaude.ch.
xn----qmcmf2ci5illtd.xn--ngbc5azd.	3600	in	ns	nsusa.comlaude.net.
xn----qmcmfk5be6j5amvey.xn--ngbc5azd.	3600	in	ns	nsgbr.comlaude.co.uk.
xn----qmcmfk5be6j5amvey.xn--ngbc5azd.	3600	in	ns	nssui.comlaude.ch.
xn----qmcmfk5be6j5amvey.xn--ngbc5azd.	3600	in	ns	nsusa.comlaude.net.
xn----qmcmn9adi4llte.xn--ngbc5azd.	3600	in	ns	nsgbr.comlaude.co.uk.
xn----qmcmn9adi4llte.xn--ngbc5azd.	3600	in	ns	nssui.comlaude.ch.
xn----qmcmn9adi4llte.xn--ngbc5azd.	3600	in	ns	nsusa.comlaude.net.
xn----qmcn0aoc0ar1lob.xn--ngbc5azd.	3600	in	ns	ns1.bodis.com.
xn----qmcn0aoc0ar1lob.xn--ngbc5azd.	3600	in	ns	ns2.bodis.com.
xn----qmcnj7bxgbddge6b.xn--ngbc5azd.	3600	in	ns	ns1.sedoparking.com.
xn----qmcnj7bxgbddge6b.xn--ngbc5azd.	3600	in	ns	ns2.sedoparking.com.
xn----qmcq2hoa3b.xn--ngbc5azd.	3600	in	ns	buck.ns.cloudflare.com.
xn----qmcq2hoa3b.xn--ngbc5azd.	3600	in	ns	eleanor.ns.cloudflare.com.
xn----rmckbgi2oqaco.xn--ngbc5azd.	3600	in	ns	ns1.101domain.com.
xn----rmckbgi2oqaco.xn--ngbc5azd.	3600	in	ns	ns2.101domain.com.
