3mnjuhmefarllt4r3l0cqdsc1u8npssa.hospital.	3600	in	nsec3	1 1 0 73 3O652ABAO8OCKPMCS611GSJRO8JV1LEL NS DS RRSIG
3mnjuhmefarllt4r3l0cqdsc1u8npssa.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. RnLrSjBI/vDVt1WOZlFJCbJd6PcNsrNTQ/WM2F3IH2QnR8fYoUtoavU6Ru7H44vfG5TQfYGpVviXMGGqBVi1IA+BoYOCcjzrpHS76+FQK0aqpGxJTW30B+KwvOUYgUNRimqJECDOwtrAE8i8jdHrelFPwsJol0vL10VpXpsopR0=
3o652abao8ockpmcs611gsjro8jv1lel.hospital.	3600	in	nsec3	1 1 0 73 3PGEKRJ2OUET883MDT0UHKSQN110P0M4 NS DS RRSIG
3o652abao8ockpmcs611gsjro8jv1lel.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. OAQv+686UrhjewpxHKA/tl/1XJYSXI3UJdnKi1j8YvIE1/OTeSkBsat6T5ytozgS8U1p16j7n7rqvBDn7doOXux7SSWirLdywC2h2M3z6ryD8WRBWXv5ga3yJnTsXThHoLVzoAK8haiTvUDSxHbpGb6dxKtOKz3w1zr9MzYTKUM=
3pgekrj2ouet883mdt0uhksqn110p0m4.hospital.	3600	in	nsec3	1 1 0 73 4C7PTC4LHQHVEPOHOLLM9UJGRNT1BH9H NS DS RRSIG
3pgekrj2ouet883mdt0uhksqn110p0m4.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. AMq3VrPH0LjJkOL1qz+jkcD24T/ZUkzkeSK7nMGOUFzwb3KPuiExkYDsnYdcCyc2Ltd0R3Te/gEDTZDDD35JBizaHiEyXzXpT46BNfHJjgJ4V6P6w+05PMRw3GqWTsyh/f1Mnu0nNHI8n2d9aXikHRtAp3RRVcNqTfD2HznwZOI=
4c7ptc4lhqhvepohollm9ujgrnt1bh9h.hospital.	3600	in	nsec3	1 1 0 73 5B5SCFBAVTUFA34N0N9E1A8AL8C3VIGU NS DS RRSIG
4c7ptc4lhqhvepohollm9ujgrnt1bh9h.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. iPssGOmJQmnFrC8cMzOg8R8BlWYZjJTTHZKZ6bZEWmcZQKmD4Y4EHtc4I1dXEDI2B2OGqAZiuRADXV2jSvqz7g38O88TqiVX3Ehq9jcon6MZBSGdCeDbgQA3GLvgeH+i+f7VJNi6o3WF5aPy7E1J7l+Iq9Klj68ufrkoBYYDrCo=
5b5scfbavtufa34n0n9e1a8al8c3vigu.hospital.	3600	in	nsec3	1 1 0 73 5DOEGGO6K9G8RRRM1KCCEHE46J16HMEB NS DS RRSIG
5b5scfbavtufa34n0n9e1a8al8c3vigu.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. eZ+0ruNC+HuK1vO+B6vsB2QaPuTdyXQNi8gBwe7rs6IklzpRLTB71dQgnxgVAOIXB+vZr+ong5XflMeGa55YgL02srczkCophnI/3bVAayTxbiImmLQA9DFfdC4KB/epf3XD8pU1ika/NOv2UTJmQS88ZuzIRrhJm8hUX9a+Te0=
5doeggo6k9g8rrrm1kccehe46j16hmeb.hospital.	3600	in	nsec3	1 1 0 73 5P3GRTK1C5P5MUGRVFVDB0HLF1AQVGGM NS DS RRSIG
5doeggo6k9g8rrrm1kccehe46j16hmeb.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. G8bzpfhOvYZGxdflUpEOt72eQAoqYFvjFK0HVI6VlvNaSgJFrjYRPCqDgzxy7au/R1+a36VmwKm5hAd+m2Z1TPE50c0ieVwdXhXwtSkSv6tStzZ9JFbuNFlk41QR7A+UAfT7Tn4kFX/VkfYJP25OEntPmnvZ2dqVB0Sqzx9SSp0=
5p3grtk1c5p5mugrvfvdb0hlf1aqvggm.hospital.	3600	in	nsec3	1 1 0 73 60T772PRQ8MIRU38UJBOMCU0UNCFED1V NS DS RRSIG
