91kuu9lpqkt1mdbjv9okup4ve5vjgn4b.capetown.	86400	in	rrsig	NSEC3 8 2 86400 20250910010016 20250826233016 56458 capetown. jvSvB7PEbv+49NdGpLMMrGi8jeQ7yyCCTW7dFInK5eNaZ4dAv+RO5Hbf37PFy5TWWBasNR918OEaqmacjE8tUODmyEZg4/ooXMuLOfKZzz8qdDU2K1yv+CWb5urMO+aC0EbNpfq8O289+BHNzJeDJP8rCM2JKaWeFk4wMXzCFy4=
97441.capetown.	7200	in	ns	a.dnspod.com.
97441.capetown.	7200	in	ns	b.dnspod.com.
97441.capetown.	7200	in	ns	c.dnspod.com.
98302.capetown.	7200	in	ns	a.dnspod.com.
98302.capetown.	7200	in	ns	b.dnspod.com.
98302.capetown.	7200	in	ns	c.dnspod.com.
9ubet.capetown.	7200	in	ns	ns1.host-ww.net.
9ubet.capetown.	7200	in	ns	ns2.host-ww.net.
a-b-t.capetown.	7200	in	ns	main.nameserver1.co.za.
a-b-t.capetown.	7200	in	ns	main.nameserver2.co.za.
a-b-t.capetown.	7200	in	ns	main.nameserver3.co.za.
a-b-t.capetown.	7200	in	ns	main.nameserver4.co.za.
a1m2rllrtlb4g9tqkirpssjg7jreg6im.capetown.	86400	in	nsec3	1 1 0 - D546BH7JVGTKL59LDKJEKN3ERSS13BLF NS DS RRSIG
a1m2rllrtlb4g9tqkirpssjg7jreg6im.capetown.	86400	in	rrsig	NSEC3 8 2 86400 20250910010016 20250826233016 56458 capetown. m63PvBcmUi4WdWJf3rmZLsz2bszRbMzQm2BxO8UK/lNBljaSHWSrPo1Eqs0QAe6sI/Mi6GUkUGXCsZgGb8RR2u4N1+HC3oBvtOuDjv5kAtRPJ3w6G9uKTB1lYyQVNuaL/4DO5jyXwgK0vX9KNEAtDGvK+J8gUyMn1m2pxLxQwnM=
aainteriors.capetown.	7200	in	ns	ns1.dns-h.com.
aainteriors.capetown.	7200	in	ns	ns1.host-h.net.
aainteriors.capetown.	7200	in	ns	ns2.dns-h.com.
aainteriors.capetown.	7200	in	ns	ns2.host-h.net.
abacus.capetown.	7200	in	ns	ns1.tld-ns.com.
abacus.capetown.	7200	in	ns	ns2.tld-ns.net.
abacus.capetown.	7200	in	ns	ns3.tld-ns.com.
abacus.capetown.	7200	in	ns	ns4.tld-ns.net.
abattoir.capetown.	7200	in	ns	ns1.hostednameservers.com.
abattoir.capetown.	7200	in	ns	ns2.hostednameservers.net.
abattoir.capetown.	7200	in	ns	ns3.hostednameservers.com.
abattoir.capetown.	7200	in	ns	ns4.hostednameservers.net.
abbeyroadinstitute.capetown.	7200	in	ns	ns-1338.awsdns-39.org.
abbeyroadinstitute.capetown.	7200	in	ns	ns-1567.awsdns-03.co.uk.
abbeyroadinstitute.capetown.	7200	in	ns	ns-463.awsdns-57.com.
abbeyroadinstitute.capetown.	7200	in	ns	ns-829.awsdns-39.net.
abdlaw.capetown.	7200	in	ns	ns1.s08.registerdomain.net.za.
abdlaw.capetown.	7200	in	ns	ns2.s08.registerdomain.net.za.
abortionclinic.capetown.	7200	in	ns	ns.dns1.co.za.
abortionclinic.capetown.	7200	in	ns	ns.dns2.co.za.
abortionclinic.capetown.	7200	in	ns	ns.otherdns.com.
abortionclinic.capetown.	7200	in	ns	ns.otherdns.net.
about.capetown.	7200	in	ns	ns1.dns-h.com.
about.capetown.	7200	in	ns	ns1.host-h.net.
about.capetown.	7200	in	ns	ns2.dns-h.com.
about.capetown.	7200	in	ns	ns2.host-h.net.
absa.capetown.	7200	in	ns	ns1.lexsynergy.net.
absa.capetown.	7200	in	ns	ns2.lexsynergy.us.
absa.capetown.	7200	in	ns	ns3.lexsynergy.info.
absafraudexp.capetown.	7200	in	ns	ns1.lexsynergy.net.
absafraudexp.capetown.	7200	in	ns	ns2.lexsynergy.us.
absafraudexp.capetown.	7200	in	ns	ns3.lexsynergy.info.
abseil.capetown.	7200	in	ns	ns1.tld-ns.net.
abseil.capetown.	7200	in	ns	ns2.tld-ns.com.
abseil.capetown.	7200	in	ns	ns3.tld-ns.net.
abseil.capetown.	7200	in	ns	ns4.tld-ns.com.
absko.capetown.	7200	in	ns	ns1.mywebserver.co.za.
absko.capetown.	7200	in	ns	ns2.mywebserver.co.za.
absko.capetown.	7200	in	ns	ns3.mywebserver.co.za.
absolutehost.capetown.	7200	in	ns	ns1.mydnscloud.com.
absolutehost.capetown.	7200	in	ns	ns2.mydnscloud.com.
absolutehost.capetown.	7200	in	ns	ns3.mydnscloud.com.
absolutehost.capetown.	7200	in	ns	ns4.mydnscloud.com.
absolutehosting.capetown.	7200	in	ns	ns1.mydnscloud.com.
absolutehosting.capetown.	7200	in	ns	ns2.mydnscloud.com.
absolutehosting.capetown.	7200	in	ns	ns3.mydnscloud.com.
absolutehosting.capetown.	7200	in	ns	ns4.mydnscloud.com.
absolutely.capetown.	7200	in	ns	ns1.hostserv.co.za.
absolutely.capetown.	7200	in	ns	ns2.hostserv.co.za.
abt-online.capetown.	7200	in	ns	main.nameserver1.co.za.
