alka.diet.	900	in	rrsig	NSEC 13 2 900 20260120134025 20251221121025 19886 diet. C12KUsPKlKBjbrCQyv+Ihr7Uj/hQtzOPQjrZ8e8G2HQxEa+uwkvXnwuSe8fP0SSHsF4xFQnRhZozhyMncPuoCQ==
allabout.diet.	3600	in	ns	ns35.domaincontrol.com.
allabout.diet.	3600	in	ns	ns36.domaincontrol.com.
allabout.diet.	900	in	nsec	allerhande.diet. NS RRSIG NSEC
allabout.diet.	900	in	rrsig	NSEC 13 2 900 20260120134025 20251221121025 19886 diet. /+4Ny1NVSd2rhnfoJw70aD5s5th5LEKfWX3LHnGg12kG0qUJTatgOpiR1yl6UESFK/4P1yZ/xc/366RfyKRT0g==
allerhande.diet.	3600	in	ns	a1-249.akam.net.
allerhande.diet.	3600	in	ns	a14-64.akam.net.
allerhande.diet.	3600	in	ns	a6-65.akam.net.
allerhande.diet.	3600	in	ns	a7-64.akam.net.
allerhande.diet.	3600	in	ns	a8-65.akam.net.
allerhande.diet.	3600	in	ns	a9-67.akam.net.
allerhande.diet.	900	in	nsec	almased.diet. NS RRSIG NSEC
allerhande.diet.	900	in	rrsig	NSEC 13 2 900 20260120134025 20251221121025 19886 diet. kT0p1TZ0txCZ28YLF34usOSe9DEG0PuYaDy7MNXJXjU7ObCc2jzWz8KRNzXd9WD4SzvGqytc6GIcP9HhJtHS4w==
almased.diet.	3600	in	ns	ns.inwx.de.
almased.diet.	3600	in	ns	ns2.inwx.de.
almased.diet.	3600	in	ns	ns3.inwx.eu.
almased.diet.	900	in	nsec	alpenliebe.diet. NS RRSIG NSEC
almased.diet.	900	in	rrsig	NSEC 13 2 900 20260120134025 20251221121025 19886 diet. AqYcsTseSCzeYsOCnlp5J7uH5pmoiIPGvnHUN3Q/qN4Rpx4cf9avNxLTTzYr0J4oAWeOEKoImdhqYBelg2/7vQ==
alpenliebe.diet.	3600	in	ns	ns1.barbero.zone.
alpenliebe.diet.	3600	in	ns	ns2.barbero.zone.
alpenliebe.diet.	900	in	nsec	alphabet.diet. NS RRSIG NSEC
alpenliebe.diet.	900	in	rrsig	NSEC 13 2 900 20260120134025 20251221121025 19886 diet. IIlsEXmZbgJySH8o40Ovbby85MQikkRcGWJkiMkjyhh4BJvjGkbv7H08ijE29DTivVqYbNjIpBq3N5+qadfNsQ==
alphabet.diet.	3600	in	ns	ns1.googledomains.com.
alphabet.diet.	3600	in	ns	ns2.googledomains.com.
alphabet.diet.	3600	in	ns	ns3.googledomains.com.
alphabet.diet.	3600	in	ns	ns4.googledomains.com.
