10x.game.	900	in	nsec	11.game. NS RRSIG NSEC
10x.game.	900	in	rrsig	NSEC 13 2 900 20250914125334 20250815112334 25267 game. DMC09nUXguuJdltKOMCxrXZ57erNpvdd0SK+PcLqQDqb122T2mP50glknnR4+dtkm1xc8U8d85pOYJmn185E/g==
11.game.	3600	in	ns	ns-1038.awsdns-01.org.
11.game.	3600	in	ns	ns-2038.awsdns-62.co.uk.
11.game.	3600	in	ns	ns-463.awsdns-57.com.
11.game.	3600	in	ns	ns-582.awsdns-08.net.
11.game.	900	in	nsec	111.game. NS RRSIG NSEC
11.game.	900	in	rrsig	NSEC 13 2 900 20250913102727 20250814085727 25267 game. 2np9Q6d0LN5mJpS3GxjzQMKgDN/ca4riCnvd/6pBSjC6gnYPJNTHryTyxm+NmbTkBQKm309YDtiYFhFZpnq5hw==
111.game.	3600	in	ns	edna.ns.cloudflare.com.
111.game.	3600	in	ns	wells.ns.cloudflare.com.
111.game.	900	in	nsec	1111.game. NS RRSIG NSEC
111.game.	900	in	rrsig	NSEC 13 2 900 20250919071258 20250820054258 25267 game. 60GneEqi3D53RO2cbxEB9CW48a2s4zohadbYS71LiLMviQPdVreMoegBoO4UHjf1GbtlGQhY9i40pK6XMidwWA==
1111.game.	3600	in	ns	ns1.4.cn.
1111.game.	3600	in	ns	ns2.4.cn.
1111.game.	900	in	nsec	1111bet.game. NS RRSIG NSEC
1111.game.	900	in	rrsig	NSEC 13 2 900 20250918070827 20250819053827 25267 game. uF3hncqYHpdrrKLY0OWsWohiDpSiqcLDtk0onCt4539R6jeySsT/HdgDGciLuHgmYR3W6FQH8hRVCH39Fg51Tw==
1111bet.game.	3600	in	ns	ns15.domaincontrol.com.
1111bet.game.	3600	in	ns	ns16.domaincontrol.com.
1111bet.game.	900	in	nsec	112.game. NS RRSIG NSEC
1111bet.game.	900	in	rrsig	NSEC 13 2 900 20250918070827 20250819053827 25267 game. Ckrr/hdfyUitY6lpdjGBmxPm9T/yt0S6TGUFCtUWFPukc+5sFeJX5hPrnAoqe6BCBanGq2P+ly99nm3Oo9uYOQ==
112.game.	3600	in	ns	nash.ns.cloudflare.com.
112.game.	3600	in	ns	tina.ns.cloudflare.com.
112.game.	900	in	nsec	115.game. NS RRSIG NSEC
112.game.	900	in	rrsig	NSEC 13 2 900 20250830091253 20250731074253 25267 game. n6M2f7B7DYq7W5Wl926kluXC6RfhiBXI9CSBWFWUGbIWVzGqgH59ehcZH/5vdkSspAXLk2J8C+b7oPw3nIj9Hw==
115.game.	3600	in	ns	ns-102.awsdns-12.com.
115.game.	3600	in	ns	ns-1459.awsdns-54.org.
