0aa657fiqistcbklr6mqcee45d8coft2.berlin.	3600	in	nsec3	1 1 0 - 0AR6USP7S4GILDNJ41BU70SEO3KISHOA NS DS RRSIG
0aa657fiqistcbklr6mqcee45d8coft2.berlin.	3600	in	rrsig	NSEC3 8 2 3600 20250909061526 20250902072010 10974 berlin. B6iYxXnso516SG39fxkR3mv5fQPfhcChYzxOmTSQIjgvU2eRAo07KxrFB74G2FL8iw9ScOqgyCpK/cEZx3Zj9Tmg7TYZ+Mo4XC9AtwaBQ+5rEvpMoQJcaoHonSC6AxUPZUWIfQstQVOqIuFZo1//ynQ4QgeRHkyn4tkTRAUbuzI=
0ar6usp7s4gildnj41bu70seo3kishoa.berlin.	3600	in	nsec3	1 1 0 - 0ATV44K2AA78QKH701KJEFOI3JOA3DG0 NS DS RRSIG
0ar6usp7s4gildnj41bu70seo3kishoa.berlin.	3600	in	rrsig	NSEC3 8 2 3600 20250909112413 20250902072010 10974 berlin. cGpJ+6ygUvYICd+/iDQ03lHTRg/ewHZ81+sDvp0t5cYQvJZ/bktyYxb62rkJRR6vHjeSWJ4sCAF2f1ERIr+ogR5Aans5fktz/uprqwBc1+LDy88w741Qh8B1X34GMhUcRXF9vD4xZ7y1hV05V02v/xq4/Awmx9aWRntroar73lE=
0atv44k2aa78qkh701kjefoi3joa3dg0.berlin.	3600	in	nsec3	1 1 0 - 0C0DBPFQ1FEKRBFGJRI6BSAIIALM1V4H NS DS RRSIG
0atv44k2aa78qkh701kjefoi3joa3dg0.berlin.	3600	in	rrsig	NSEC3 8 2 3600 20250909033816 20250902072010 10974 berlin. Q44vs6luSb/7NomVGOlwerbYgNhDTZ0NsawBY1qWgnH0MIyWIGwQrOd+o/b5I2NrlEgvQk3OzMfQDMX7oawrRgJ3tZxO1uuu/8YeI60Oa2/8CcGgIrenK409AepQ3HSMA9iww9qkPIeKd7hO+Oeh28sl45X36wpEs4eAzq5WX4c=
0c0dbpfq1fekrbfgjri6bsaiialm1v4h.berlin.	3600	in	nsec3	1 1 0 - 0G3BIGTSLMC757AL6UC0MH5MIFSFEVNR NS DS RRSIG
0c0dbpfq1fekrbfgjri6bsaiialm1v4h.berlin.	3600	in	rrsig	NSEC3 8 2 3600 20250908203040 20250902072010 10974 berlin. c9fow1xFrpUfQ+8+9otyN1rW3w9gXM2BLoWYKSou3PE3RPkFPXkKyHGB7sxelGXZUYvFsO7sixLrdyZrhcKaQDOqajjNmE2xY4/s+xpdqCwscEe7tzQF/Qlgp8XThuCSVK0AUuGsKlcf8xgw9MpyBazBOodnRWGroI9M1aNym3s=
0fg.berlin.	14400	in	ns	ns1052.ui-dns.org.
0fg.berlin.	14400	in	ns	ns1075.ui-dns.de.
0fg.berlin.	14400	in	ns	ns1115.ui-dns.biz.
0fg.berlin.	14400	in	ns	ns1117.ui-dns.com.
0fx.berlin.	14400	in	ns	docks17.rzone.de.
0fx.berlin.	14400	in	ns	shades14.rzone.de.
0g3bigtslmc757al6uc0mh5mifsfevnr.berlin.	3600	in	nsec3	1 1 0 - 0L8DQ10PM20OLUFBQL8TS0BUUDV5HR7K NS DS RRSIG
0g3bigtslmc757al6uc0mh5mifsfevnr.berlin.	3600	in	rrsig	NSEC3 8 2 3600 20250908235642 20250902072010 10974 berlin. S/xsYrJJpSbWTVN+0aR3DxhWwvx3GnVBFXi0nFe/2Eu90R88xOKIjbFNVFlzop/PQX5eT7X5Y6pvRvlXDTYo1h5tOPdMwMLSPfS4SP73xgDXun8XU5fGN0R5zkN8OSiPAnDBjC9pLZdKCecclrjjfvCInKJzQLxWRsPvw9q1wQM=
0l8dq10pm20olufbql8ts0buudv5hr7k.berlin.	3600	in	nsec3	1 1 0 - 0MQBE24J8IE8IH8E2KV1JC6J3LJOHJQJ NS DS RRSIG
0l8dq10pm20olufbql8ts0buudv5hr7k.berlin.	3600	in	rrsig	NSEC3 8 2 3600 20250909160129 20250902072010 10974 berlin. oczTVwyZxMJaS+ntdArAV8wQ6vam7FGKyV/+6uX5ibYmRHBvB9/4R8p5uhBatoElZQay1fCA8BUOCZCVsMSLckzNZxazTr4OwTtqJmLeHbRIb4w8/tjA3W6+RDC0vFF6cQOFDCrZEWedcldEcotB4bGJ2vuIDvLS/sDsibdTlFY=
0mqbe24j8ie8ih8e2kv1jc6j3ljohjqj.berlin.	3600	in	nsec3	1 1 0 - 0ONJKGUM6345MH2VC4A5LJC8C9I13EDM NS DS RRSIG
0mqbe24j8ie8ih8e2kv1jc6j3ljohjqj.berlin.	3600	in	rrsig	NSEC3 8 2 3600 20250909014230 20250902072010 10974 berlin. RPaZr7iLsPlVV9zp1Yx7RymCHpY3EhjLsX3cN4VP4UQTEeG1tpCelkI+k7zgrJOO3WnAtQ0iaj6dWQFNXWWUisndwKRznqTDnsh8XY76VCp1eCzxRNp8x/OyQuBr+AiWv1jg7ulxk96EIzgPcSESwYzoPaMzbTYRr5pWu4QmGWw=
0onjkgum6345mh2vc4a5ljc8c9i13edm.berlin.	3600	in	nsec3	1 1 0 - 0UQ6QDT5KLD7PROKQGSMTED45RA043LU NS DS RRSIG
0onjkgum6345mh2vc4a5ljc8c9i13edm.berlin.	3600	in	rrsig	NSEC3 8 2 3600 20250909200650 20250902072010 10974 berlin. V1UgMNzjNNVLRjJQCPqtfcNCgqKf5Ykwvo8eYVNOvozHw1k2sfmURmjgMcLVqRZ+3Uy32Fg32jqI2J5zPuh7IoRrP1EfC3/39nSzq9127eyUhlRDCfXpmFut5Shbvx0Llam4xxfJXLYSx6UOk/JRlhsZq6EQ1S/zdpgxlB1f2Xs=
0uq6qdt5kld7prokqgsmted45ra043lu.berlin.	3600	in	nsec3	1 1 0 - 1183B27FRC0DM9EGIJL5BIMEDRK6RQ56 NS DS RRSIG
0uq6qdt5kld7prokqgsmted45ra043lu.berlin.	3600	in	rrsig	NSEC3 8 2 3600 20250909122151 20250902072010 10974 berlin. lP4YX2iWy5O1+i20zKwonpk4Yaw2pXbaypqaiKQXsW237fEWNCZ3nuu0bIqUZvG7+I9KWviVDQrXiJaKrQFGOFcZPY3RS/0GZfQqDUXxvGqeKCM/hYu247e/386eNShEhmn2QcXpDYj09vskWumN8E87uO8P9yHfHjFFlQh77iU=
1-2-3.berlin.	14400	in	ns	ns1032.ui-dns.de.
1-2-3.berlin.	14400	in	ns	ns1050.ui-dns.biz.
1-2-3.berlin.	14400	in	ns	ns1088.ui-dns.com.
1-2-3.berlin.	14400	in	ns	ns1107.ui-dns.org.
