getintotech.sky.	172800	in	ns	dns4.comlaude-dns.eu.
globalops.sky.	172800	in	ns	edns1.ultradns.biz.
globalops.sky.	172800	in	ns	edns1.ultradns.com.
globalops.sky.	172800	in	ns	edns1.ultradns.net.
globalops.sky.	172800	in	ns	edns1.ultradns.org.
globalops.sky.	172800	in	ns	ns0.isp.sky.com.
globalops.sky.	172800	in	ns	ns1.isp.sky.com.
globalreliability.sky.	172800	in	ns	edns1.ultradns.biz.
globalreliability.sky.	172800	in	ns	edns1.ultradns.com.
globalreliability.sky.	172800	in	ns	edns1.ultradns.net.
globalreliability.sky.	172800	in	ns	edns1.ultradns.org.
globalreliability.sky.	172800	in	ns	ns0.isp.sky.com.
globalreliability.sky.	172800	in	ns	ns1.isp.sky.com.
go.sky.	172800	in	ns	nsgbr.comlaude.co.uk.
go.sky.	172800	in	ns	nssui.comlaude.ch.
go.sky.	172800	in	ns	nsusa.comlaude.net.
gpdevops.sky.	172800	in	ns	edns1.ultradns.biz.
gpdevops.sky.	172800	in	ns	edns1.ultradns.com.
gpdevops.sky.	172800	in	ns	edns1.ultradns.net.
gpdevops.sky.	172800	in	ns	edns1.ultradns.org.
gpdevops.sky.	172800	in	ns	ns0.isp.sky.com.
gpdevops.sky.	172800	in	ns	ns1.isp.sky.com.
gpo.sky.	172800	in	ns	edns1.ultradns.biz.
gpo.sky.	172800	in	ns	edns1.ultradns.com.
gpo.sky.	172800	in	ns	edns1.ultradns.net.
gpo.sky.	172800	in	ns	edns1.ultradns.org.
gpo.sky.	172800	in	ns	ns0.isp.sky.com.
gpo.sky.	172800	in	ns	ns1.isp.sky.com.
greentree.sky.	172800	in	ns	ns0.isp.sky.com.
greentree.sky.	172800	in	ns	ns1.isp.sky.com.
greentree.sky.	172800	in	ns	nsusa.comlaude.net.
greypath.sky.	172800	in	ns	ns0.isp.sky.com.
greypath.sky.	172800	in	ns	ns1.isp.sky.com.
greypath.sky.	172800	in	ns	nsusa.comlaude.net.
groupscms.sky.	172800	in	ns	ns-1008.awsdns-62.net.
groupscms.sky.	172800	in	ns	ns-1277.awsdns-31.org.
groupscms.sky.	172800	in	ns	ns-1601.awsdns-08.co.uk.
groupscms.sky.	172800	in	ns	ns-379.awsdns-47.com.
gvea.sky.	172800	in	ns	edns1.ultradns.biz.
gvea.sky.	172800	in	ns	edns1.ultradns.com.
gvea.sky.	172800	in	ns	edns1.ultradns.net.
gvea.sky.	172800	in	ns	edns1.ultradns.org.
gvea.sky.	172800	in	ns	ns0.isp.sky.com.
gvea.sky.	172800	in	ns	ns1.isp.sky.com.
hairandbeauty.sky.	172800	in	ns	edns1.ultradns.biz.
hairandbeauty.sky.	172800	in	ns	edns1.ultradns.com.
hairandbeauty.sky.	172800	in	ns	edns1.ultradns.net.
hairandbeauty.sky.	172800	in	ns	edns1.ultradns.org.
hairandbeauty.sky.	172800	in	ns	ns0.isp.sky.com.
hairandbeauty.sky.	172800	in	ns	ns1.isp.sky.com.
halo.sky.	172800	in	ns	ns-1311.awsdns-35.org.
halo.sky.	172800	in	ns	ns-2036.awsdns-62.co.uk.
halo.sky.	172800	in	ns	ns-443.awsdns-55.com.
halo.sky.	172800	in	ns	ns-867.awsdns-44.net.
help.sky.	172800	in	ns	nsgbr.comlaude.co.uk.
help.sky.	172800	in	ns	nssui.comlaude.ch.
help.sky.	172800	in	ns	nsusa.comlaude.net.
home.sky.	172800	in	ns	nsgbr.comlaude.co.uk.
home.sky.	172800	in	ns	nssui.comlaude.ch.
home.sky.	172800	in	ns	nsusa.comlaude.net.
id.sky.	172800	in	ns	asia2.akam.net.
id.sky.	172800	in	ns	asia3.akam.net.
id.sky.	172800	in	ns	eur6.akam.net.
id.sky.	172800	in	ns	ns1-156.akam.net.
id.sky.	172800	in	ns	ns1-42.akam.net.
id.sky.	172800	in	ns	use1.akam.net.
id.sky.	172800	in	ns	use2.akam.net.
id.sky.	172800	in	ns	use9.akam.net.
imp.sky.	172800	in	ns	ns1.imp.sky.com.
imp.sky.	172800	in	ns	ns2.imp.sky.com.
imp.sky.	172800	in	ns	ns3.imp.sky.com.
imp.sky.	172800	in	ns	ns4.imp.sky.com.
intranet.sky.	172800	in	ns	edns1.ultradns.biz.
intranet.sky.	172800	in	ns	edns1.ultradns.com.
intranet.sky.	172800	in	ns	edns1.ultradns.net.
intranet.sky.	172800	in	ns	edns1.ultradns.org.
intranet.sky.	172800	in	ns	ns0.isp.sky.com.
intranet.sky.	172800	in	ns	ns1.isp.sky.com.
isp.sky.	172800	in	ns	edns1.ultradns.biz.
isp.sky.	172800	in	ns	edns1.ultradns.com.
isp.sky.	172800	in	ns	edns1.ultradns.net.
isp.sky.	172800	in	ns	edns1.ultradns.org.
isp.sky.	172800	in	ns	ns0.isp.sky.com.
isp.sky.	172800	in	ns	ns1.isp.sky.com.
ixd.sky.	172800	in	ns	ns-1157.awsdns-16.org.
ixd.sky.	172800	in	ns	ns-1677.awsdns-17.co.uk.
ixd.sky.	172800	in	ns	ns-241.awsdns-30.com.
ixd.sky.	172800	in	ns	ns-834.awsdns-40.net.
mailquarantine.sky.	172800	in	ns	ns0.isp.sky.com.
mailquarantine.sky.	172800	in	ns	ns1.isp.sky.com.
middleware.sky.	172800	in	ns	edns1.ultradns.biz.
middleware.sky.	172800	in	ns	edns1.ultradns.com.
middleware.sky.	172800	in	ns	edns1.ultradns.net.
middleware.sky.	172800	in	ns	edns1.ultradns.org.
middleware.sky.	172800	in	ns	ns0.isp.sky.com.
middleware.sky.	172800	in	ns	ns1.isp.sky.com.
monitor-nominet.sky.	172800	in	a	127.0.0.1
monitor-nominet.sky.	172800	in	rrsig	A 8 2 172800 20251015224438 20250910214455 11725 sky. GlCNo6ubCBR/4d/BSZaa7BsSPbBF4FDrEmqwerdyLuyQCl5ycHLrx21ld3aOjXllr0Xd8BUiaj+aHHeVlaJYn9paaLojZrc8P5seaHvPeWqFBd51XVnvHNED8/A30I87bCmWFfRseTPLkoWJKwH0GH3uNsGL5FYfjIgrbInw0M+pZ83Oa7OFlfTEk0TSyCuPV7h6W5FfoBQqNQbQgJZVG+sTDfKgXp30wCTcg2bbawkZxXK7xJizZFYyS0ZQwPZawIESCw31X26EC0o+smpyz+eHP6+SL1YF6TALorTyXgZ4fdIZ0TSq+D77AARyd2lJR1rh8ZnbsnRjw12AWlKapA==
monitoringsolutions.sky.	172800	in	ns	edns1.ultradns.biz.
