mma.	3600	in	soa	a.nic.fr. dnsmaster.afnic.fr. 2222893344 3600 1800 1209600 600
cannes-festival.mma.	3600	in	ns	ns4.iptwins.com.
cannes-la-bocca.mma.	3600	in	ns	ns1.iptwins.net.
cannes-la-bocca.mma.	3600	in	ns	ns2.iptwins.net.
cannes-la-bocca.mma.	3600	in	ns	ns3.iptwins.com.
cannes-la-bocca.mma.	3600	in	ns	ns4.iptwins.com.
capbreton.mma.	3600	in	ns	ns1.iptwins.net.
capbreton.mma.	3600	in	ns	ns2.iptwins.net.
capbreton.mma.	3600	in	ns	ns3.iptwins.com.
capbreton.mma.	3600	in	ns	ns4.iptwins.com.
capdenac-gare.mma.	3600	in	ns	ns1.iptwins.net.
capdenac-gare.mma.	3600	in	ns	ns2.iptwins.net.
capdenac-gare.mma.	3600	in	ns	ns3.iptwins.com.
capdenac-gare.mma.	3600	in	ns	ns4.iptwins.com.
carcassonne-gambetta.mma.	3600	in	ns	ns1.iptwins.net.
carcassonne-gambetta.mma.	3600	in	ns	ns2.iptwins.net.
carcassonne-gambetta.mma.	3600	in	ns	ns3.iptwins.com.
carcassonne-gambetta.mma.	3600	in	ns	ns4.iptwins.com.
carentan-les-marais.mma.	3600	in	ns	ns1.iptwins.net.
carentan-les-marais.mma.	3600	in	ns	ns2.iptwins.net.
carentan-les-marais.mma.	3600	in	ns	ns3.iptwins.com.
carentan-les-marais.mma.	3600	in	ns	ns4.iptwins.com.
carhaix-plouguer.mma.	3600	in	ns	ns1.iptwins.net.
carhaix-plouguer.mma.	3600	in	ns	ns2.iptwins.net.
carhaix-plouguer.mma.	3600	in	ns	ns3.iptwins.com.
carhaix-plouguer.mma.	3600	in	ns	ns4.iptwins.com.
carignan.mma.	3600	in	ns	ns1.iptwins.net.
carignan.mma.	3600	in	ns	ns2.iptwins.net.
carignan.mma.	3600	in	ns	ns3.iptwins.com.
carignan.mma.	3600	in	ns	ns4.iptwins.com.
carpentras-croisieres.mma.	3600	in	ns	ns1.iptwins.net.
carpentras-croisieres.mma.	3600	in	ns	ns2.iptwins.net.
carpentras-croisieres.mma.	3600	in	ns	ns3.iptwins.com.
carpentras-croisieres.mma.	3600	in	ns	ns4.iptwins.com.
carpentras-observance.mma.	3600	in	ns	ns1.iptwins.net.
carpentras-observance.mma.	3600	in	ns	ns2.iptwins.net.
carpentras-observance.mma.	3600	in	ns	ns3.iptwins.com.
carpentras-observance.mma.	3600	in	ns	ns4.iptwins.com.
carquefou.mma.	3600	in	ns	ns1.iptwins.net.
carquefou.mma.	3600	in	ns	ns2.iptwins.net.
carquefou.mma.	3600	in	ns	ns3.iptwins.com.
carquefou.mma.	3600	in	ns	ns4.iptwins.com.
carrouges.mma.	3600	in	ns	ns1.iptwins.net.
carrouges.mma.	3600	in	ns	ns2.iptwins.net.
carrouges.mma.	3600	in	ns	ns3.iptwins.com.
carrouges.mma.	3600	in	ns	ns4.iptwins.com.
carvin.mma.	3600	in	ns	ns1.iptwins.net.
carvin.mma.	3600	in	ns	ns2.iptwins.net.
carvin.mma.	3600	in	ns	ns3.iptwins.com.
carvin.mma.	3600	in	ns	ns4.iptwins.com.
castanet-tolosan.mma.	3600	in	ns	ns1.iptwins.net.
castanet-tolosan.mma.	3600	in	ns	ns2.iptwins.net.
castanet-tolosan.mma.	3600	in	ns	ns3.iptwins.com.
castanet-tolosan.mma.	3600	in	ns	ns4.iptwins.com.
castelnaudary.mma.	3600	in	ns	ns1.iptwins.net.
castelnaudary.mma.	3600	in	ns	ns2.iptwins.net.
castelnaudary.mma.	3600	in	ns	ns3.iptwins.com.
castelnaudary.mma.	3600	in	ns	ns4.iptwins.com.
castillon-la-bataille.mma.	3600	in	ns	ns1.iptwins.net.
castillon-la-bataille.mma.	3600	in	ns	ns2.iptwins.net.
castillon-la-bataille.mma.	3600	in	ns	ns3.iptwins.com.
castillon-la-bataille.mma.	3600	in	ns	ns4.iptwins.com.
castres-jean-jaures.mma.	3600	in	ns	ns1.iptwins.net.
castres-jean-jaures.mma.	3600	in	ns	ns2.iptwins.net.
castres-jean-jaures.mma.	3600	in	ns	ns3.iptwins.com.
castres-jean-jaures.mma.	3600	in	ns	ns4.iptwins.com.
caudry.mma.	3600	in	ns	ns1.iptwins.net.
caudry.mma.	3600	in	ns	ns2.iptwins.net.
caudry.mma.	3600	in	ns	ns3.iptwins.com.
caudry.mma.	3600	in	ns	ns4.iptwins.com.
caussade.mma.	3600	in	ns	ns1.iptwins.net.
caussade.mma.	3600	in	ns	ns2.iptwins.net.
caussade.mma.	3600	in	ns	ns3.iptwins.com.
caussade.mma.	3600	in	ns	ns4.iptwins.com.
cavaillon.mma.	3600	in	ns	ns1.iptwins.net.
cavaillon.mma.	3600	in	ns	ns2.iptwins.net.
cavaillon.mma.	3600	in	ns	ns3.iptwins.com.
cavaillon.mma.	3600	in	ns	ns4.iptwins.com.
cazeres.mma.	3600	in	ns	ns1.iptwins.net.
cazeres.mma.	3600	in	ns	ns2.iptwins.net.
cazeres.mma.	3600	in	ns	ns3.iptwins.com.
cazeres.mma.	3600	in	ns	ns4.iptwins.com.
cebazat.mma.	3600	in	ns	ns1.iptwins.net.
cebazat.mma.	3600	in	ns	ns2.iptwins.net.
cebazat.mma.	3600	in	ns	ns3.iptwins.com.
cebazat.mma.	3600	in	ns	ns4.iptwins.com.
cenon.mma.	3600	in	ns	ns1.iptwins.net.
cenon.mma.	3600	in	ns	ns2.iptwins.net.
cenon.mma.	3600	in	ns	ns3.iptwins.com.
cenon.mma.	3600	in	ns	ns4.iptwins.com.
cercy-la-tour.mma.	3600	in	ns	ns1.iptwins.net.
cercy-la-tour.mma.	3600	in	ns	ns2.iptwins.net.
cercy-la-tour.mma.	3600	in	ns	ns3.iptwins.com.
cercy-la-tour.mma.	3600	in	ns	ns4.iptwins.com.
cergy.mma.	3600	in	ns	ns1.iptwins.net.
cergy.mma.	3600	in	ns	ns2.iptwins.net.
cergy.mma.	3600	in	ns	ns3.iptwins.com.
cergy.mma.	3600	in	ns	ns4.iptwins.com.
cerizay.mma.	3600	in	ns	ns1.iptwins.net.
cerizay.mma.	3600	in	ns	ns2.iptwins.net.
cerizay.mma.	3600	in	ns	ns3.iptwins.com.
cerizay.mma.	3600	in	ns	ns4.iptwins.com.
cernay.mma.	3600	in	ns	ns1.iptwins.net.
cernay.mma.	3600	in	ns	ns2.iptwins.net.
cernay.mma.	3600	in	ns	ns3.iptwins.com.
cernay.mma.	3600	in	ns	ns4.iptwins.com.
cesson-sevigne.mma.	3600	in	ns	ns1.iptwins.net.
cesson-sevigne.mma.	3600	in	ns	ns2.iptwins.net.
cesson-sevigne.mma.	3600	in	ns	ns3.iptwins.com.
cesson-sevigne.mma.	3600	in	ns	ns4.iptwins.com.
ceton.mma.	3600	in	ns	ns1.iptwins.net.
ceton.mma.	3600	in	ns	ns2.iptwins.net.
ceton.mma.	3600	in	ns	ns3.iptwins.com.
ceton.mma.	3600	in	ns	ns4.iptwins.com.
chabris.mma.	3600	in	ns	ns1.iptwins.net.
chabris.mma.	3600	in	ns	ns2.iptwins.net.
chabris.mma.	3600	in	ns	ns3.iptwins.com.
chabris.mma.	3600	in	ns	ns4.iptwins.com.
chagny.mma.	3600	in	ns	ns1.iptwins.net.
chagny.mma.	3600	in	ns	ns2.iptwins.net.
chagny.mma.	3600	in	ns	ns3.iptwins.com.
chagny.mma.	3600	in	ns	ns4.iptwins.com.
chalais.mma.	3600	in	ns	ns1.iptwins.net.
chalais.mma.	3600	in	ns	ns2.iptwins.net.
chalais.mma.	3600	in	ns	ns3.iptwins.com.
chalais.mma.	3600	in	ns	ns4.iptwins.com.
challans-activ-ocean.mma.	3600	in	ns	ns1.iptwins.net.
challans-activ-ocean.mma.	3600	in	ns	ns2.iptwins.net.
challans-activ-ocean.mma.	3600	in	ns	ns3.iptwins.com.
challans-activ-ocean.mma.	3600	in	ns	ns4.iptwins.com.
challans-rue-de-nantes.mma.	3600	in	ns	ns1.iptwins.net.
challans-rue-de-nantes.mma.	3600	in	ns	ns2.iptwins.net.
challans-rue-de-nantes.mma.	3600	in	ns	ns3.iptwins.com.
challans-rue-de-nantes.mma.	3600	in	ns	ns4.iptwins.com.
challes-les-eaux.mma.	3600	in	ns	ns1.iptwins.net.
challes-les-eaux.mma.	3600	in	ns	ns2.iptwins.net.
challes-les-eaux.mma.	3600	in	ns	ns3.iptwins.com.
challes-les-eaux.mma.	3600	in	ns	ns4.iptwins.com.
chalon-sur-saone-citadelle.mma.	3600	in	ns	ns1.iptwins.net.
chalon-sur-saone-citadelle.mma.	3600	in	ns	ns2.iptwins.net.
chalon-sur-saone-citadelle.mma.	3600	in	ns	ns3.iptwins.com.
chalon-sur-saone-citadelle.mma.	3600	in	ns	ns4.iptwins.com.
chalon-sur-saone-colisee.mma.	3600	in	ns	ns1.iptwins.net.
chalon-sur-saone-colisee.mma.	3600	in	ns	ns2.iptwins.net.
chalon-sur-saone-colisee.mma.	3600	in	ns	ns3.iptwins.com.
chalon-sur-saone-colisee.mma.	3600	in	ns	ns4.iptwins.com.
chalon-sur-saone-republique.mma.	3600	in	ns	ns1.iptwins.net.
chalon-sur-saone-republique.mma.	3600	in	ns	ns2.iptwins.net.
chalon-sur-saone-republique.mma.	3600	in	ns	ns3.iptwins.com.
chalon-sur-saone-republique.mma.	3600	in	ns	ns4.iptwins.com.
chalonnes-sur-loire.mma.	3600	in	ns	ns1.iptwins.net.
chalonnes-sur-loire.mma.	3600	in	ns	ns2.iptwins.net.
chalonnes-sur-loire.mma.	3600	in	ns	ns3.iptwins.com.
chalonnes-sur-loire.mma.	3600	in	ns	ns4.iptwins.com.
chalons-en-champagne-l-bourgeois.mma.	3600	in	ns	ns1.iptwins.net.
chalons-en-champagne-l-bourgeois.mma.	3600	in	ns	ns2.iptwins.net.
chalons-en-champagne-l-bourgeois.mma.	3600	in	ns	ns3.iptwins.com.
chalons-en-champagne-l-bourgeois.mma.	3600	in	ns	ns4.iptwins.com.
chalons-en-champagne-les-halles.mma.	3600	in	ns	ns1.iptwins.net.
chalons-en-champagne-les-halles.mma.	3600	in	ns	ns2.iptwins.net.
chalons-en-champagne-les-halles.mma.	3600	in	ns	ns3.iptwins.com.
chalons-en-champagne-les-halles.mma.	3600	in	ns	ns4.iptwins.com.
chalus.mma.	3600	in	ns	ns1.iptwins.net.
chalus.mma.	3600	in	ns	ns2.iptwins.net.
chalus.mma.	3600	in	ns	ns3.iptwins.com.
chalus.mma.	3600	in	ns	ns4.iptwins.com.
chamalieres.mma.	3600	in	ns	ns1.iptwins.net.
chamalieres.mma.	3600	in	ns	ns2.iptwins.net.
chamalieres.mma.	3600	in	ns	ns3.iptwins.com.
chamalieres.mma.	3600	in	ns	ns4.iptwins.com.
chambery-agence-du-palais.mma.	3600	in	ns	ns1.iptwins.net.
chambery-agence-du-palais.mma.	3600	in	ns	ns2.iptwins.net.
chambery-agence-du-palais.mma.	3600	in	ns	ns3.iptwins.com.
chambery-agence-du-palais.mma.	3600	in	ns	ns4.iptwins.com.
chambery-grand-verger.mma.	3600	in	ns	ns1.iptwins.net.
chambery-grand-verger.mma.	3600	in	ns	ns2.iptwins.net.
chambery-grand-verger.mma.	3600	in	ns	ns3.iptwins.com.
chambery-grand-verger.mma.	3600	in	ns	ns4.iptwins.com.
chamonix-mont-blanc.mma.	3600	in	ns	ns1.iptwins.net.
chamonix-mont-blanc.mma.	3600	in	ns	ns2.iptwins.net.
chamonix-mont-blanc.mma.	3600	in	ns	ns3.iptwins.com.
chamonix-mont-blanc.mma.	3600	in	ns	ns4.iptwins.com.
champagne-sur-seine.mma.	3600	in	ns	ns1.iptwins.net.
champagne-sur-seine.mma.	3600	in	ns	ns2.iptwins.net.
champagne-sur-seine.mma.	3600	in	ns	ns3.iptwins.com.
champagne-sur-seine.mma.	3600	in	ns	ns4.iptwins.com.
champagnole.mma.	3600	in	ns	ns1.iptwins.net.
champagnole.mma.	3600	in	ns	ns2.iptwins.net.
champagnole.mma.	3600	in	ns	ns3.iptwins.com.
champagnole.mma.	3600	in	ns	ns4.iptwins.com.
champigny-sur-marne.mma.	3600	in	ns	ns1.iptwins.net.
champigny-sur-marne.mma.	3600	in	ns	ns2.iptwins.net.
champigny-sur-marne.mma.	3600	in	ns	ns3.iptwins.com.
champigny-sur-marne.mma.	3600	in	ns	ns4.iptwins.com.
chantilly.mma.	3600	in	ns	ns1.iptwins.net.
chantilly.mma.	3600	in	ns	ns2.iptwins.net.
chantilly.mma.	3600	in	ns	ns3.iptwins.com.
chantilly.mma.	3600	in	ns	ns4.iptwins.com.
chantonnay.mma.	3600	in	ns	ns1.iptwins.net.
chantonnay.mma.	3600	in	ns	ns2.iptwins.net.
chantonnay.mma.	3600	in	ns	ns3.iptwins.com.
chantonnay.mma.	3600	in	ns	ns4.iptwins.com.
chaource.mma.	3600	in	ns	ns1.iptwins.net.
chaource.mma.	3600	in	ns	ns2.iptwins.net.
chaource.mma.	3600	in	ns	ns3.iptwins.com.
chaource.mma.	3600	in	ns	ns4.iptwins.com.
charenton-le-pont-liberte.mma.	3600	in	ns	ns1.iptwins.net.
charenton-le-pont-liberte.mma.	3600	in	ns	ns2.iptwins.net.
charenton-le-pont-liberte.mma.	3600	in	ns	ns3.iptwins.com.
charenton-le-pont-liberte.mma.	3600	in	ns	ns4.iptwins.com.
charenton-le-pont-tassigny.mma.	3600	in	ns	ns1.iptwins.net.
charenton-le-pont-tassigny.mma.	3600	in	ns	ns2.iptwins.net.
charenton-le-pont-tassigny.mma.	3600	in	ns	ns3.iptwins.com.
charenton-le-pont-tassigny.mma.	3600	in	ns	ns4.iptwins.com.
charleval.mma.	3600	in	ns	ns1.iptwins.net.
charleval.mma.	3600	in	ns	ns2.iptwins.net.
charleval.mma.	3600	in	ns	ns3.iptwins.com.
charleval.mma.	3600	in	ns	ns4.iptwins.com.
charleville-arches.mma.	3600	in	ns	ns1.iptwins.net.
charleville-arches.mma.	3600	in	ns	ns2.iptwins.net.
charleville-arches.mma.	3600	in	ns	ns3.iptwins.com.
charleville-arches.mma.	3600	in	ns	ns4.iptwins.com.
charleville-theatre.mma.	3600	in	ns	ns1.iptwins.net.
charleville-theatre.mma.	3600	in	ns	ns2.iptwins.net.
charleville-theatre.mma.	3600	in	ns	ns3.iptwins.com.
charleville-theatre.mma.	3600	in	ns	ns4.iptwins.com.
charlieu.mma.	3600	in	ns	ns1.iptwins.net.
charlieu.mma.	3600	in	ns	ns2.iptwins.net.
charlieu.mma.	3600	in	ns	ns3.iptwins.com.
charlieu.mma.	3600	in	ns	ns4.iptwins.com.
charmes.mma.	3600	in	ns	ns1.iptwins.net.
charmes.mma.	3600	in	ns	ns2.iptwins.net.
charmes.mma.	3600	in	ns	ns3.iptwins.com.
charmes.mma.	3600	in	ns	ns4.iptwins.com.
charte-emailing.mma.	3600	in	ns	dns105.ovh.net.
charte-emailing.mma.	3600	in	ns	ns105.ovh.net.
chartres-coeur-de-ville.mma.	3600	in	ns	ns1.iptwins.net.
chartres-coeur-de-ville.mma.	3600	in	ns	ns2.iptwins.net.
chartres-coeur-de-ville.mma.	3600	in	ns	ns3.iptwins.com.
chartres-coeur-de-ville.mma.	3600	in	ns	ns4.iptwins.com.
chartres-epars.mma.	3600	in	ns	ns1.iptwins.net.
chartres-epars.mma.	3600	in	ns	ns2.iptwins.net.
chartres-epars.mma.	3600	in	ns	ns3.iptwins.com.
chartres-epars.mma.	3600	in	ns	ns4.iptwins.com.
chasseneuil-du-poitou.mma.	3600	in	ns	ns1.iptwins.net.
chasseneuil-du-poitou.mma.	3600	in	ns	ns2.iptwins.net.
chasseneuil-du-poitou.mma.	3600	in	ns	ns3.iptwins.com.
chasseneuil-du-poitou.mma.	3600	in	ns	ns4.iptwins.com.
chateau-chinon.mma.	3600	in	ns	ns1.iptwins.net.
chateau-chinon.mma.	3600	in	ns	ns2.iptwins.net.
chateau-chinon.mma.	3600	in	ns	ns3.iptwins.com.
chateau-chinon.mma.	3600	in	ns	ns4.iptwins.com.
chateau-gontier-sur-mayenne.mma.	3600	in	ns	ns1.iptwins.net.
chateau-gontier-sur-mayenne.mma.	3600	in	ns	ns2.iptwins.net.
chateau-gontier-sur-mayenne.mma.	3600	in	ns	ns3.iptwins.com.
chateau-gontier-sur-mayenne.mma.	3600	in	ns	ns4.iptwins.com.
chateau-la-valliere.mma.	3600	in	ns	ns1.iptwins.net.
chateau-la-valliere.mma.	3600	in	ns	ns2.iptwins.net.
chateau-la-valliere.mma.	3600	in	ns	ns3.iptwins.com.
chateau-la-valliere.mma.	3600	in	ns	ns4.iptwins.com.
chateau-renault.mma.	3600	in	ns	ns1.iptwins.net.
chateau-renault.mma.	3600	in	ns	ns2.iptwins.net.
chateau-renault.mma.	3600	in	ns	ns3.iptwins.com.
chateau-renault.mma.	3600	in	ns	ns4.iptwins.com.
chateau-salins.mma.	3600	in	ns	ns1.iptwins.net.
chateau-salins.mma.	3600	in	ns	ns2.iptwins.net.
chateau-salins.mma.	3600	in	ns	ns3.iptwins.com.
chateau-salins.mma.	3600	in	ns	ns4.iptwins.com.
chateau-thierry.mma.	3600	in	ns	ns1.iptwins.net.
chateau-thierry.mma.	3600	in	ns	ns2.iptwins.net.
chateau-thierry.mma.	3600	in	ns	ns3.iptwins.com.
chateau-thierry.mma.	3600	in	ns	ns4.iptwins.com.
chateaubourg.mma.	3600	in	ns	ns1.iptwins.net.
chateaubourg.mma.	3600	in	ns	ns2.iptwins.net.
chateaubourg.mma.	3600	in	ns	ns3.iptwins.com.
chateaubourg.mma.	3600	in	ns	ns4.iptwins.com.
chateaubriant.mma.	3600	in	ns	ns1.iptwins.net.
chateaubriant.mma.	3600	in	ns	ns2.iptwins.net.
chateaubriant.mma.	3600	in	ns	ns3.iptwins.com.
chateaubriant.mma.	3600	in	ns	ns4.iptwins.com.
chateaudun-jean-moulin.mma.	3600	in	ns	ns1.iptwins.net.
chateaudun-jean-moulin.mma.	3600	in	ns	ns2.iptwins.net.
chateaudun-jean-moulin.mma.	3600	in	ns	ns3.iptwins.com.
chateaudun-jean-moulin.mma.	3600	in	ns	ns4.iptwins.com.
chateaudun-republique.mma.	3600	in	ns	ns1.iptwins.net.
chateaudun-republique.mma.	3600	in	ns	ns2.iptwins.net.
chateaudun-republique.mma.	3600	in	ns	ns3.iptwins.com.
chateaudun-republique.mma.	3600	in	ns	ns4.iptwins.com.
chateaugiron.mma.	3600	in	ns	ns1.iptwins.net.
chateaugiron.mma.	3600	in	ns	ns2.iptwins.net.
chateaugiron.mma.	3600	in	ns	ns3.iptwins.com.
chateaugiron.mma.	3600	in	ns	ns4.iptwins.com.
chateaulin.mma.	3600	in	ns	ns1.iptwins.net.
chateaulin.mma.	3600	in	ns	ns2.iptwins.net.
chateaulin.mma.	3600	in	ns	ns3.iptwins.com.
chateaulin.mma.	3600	in	ns	ns4.iptwins.com.
chateauneuf-du-faou.mma.	3600	in	ns	ns1.iptwins.net.
chateauneuf-du-faou.mma.	3600	in	ns	ns2.iptwins.net.
chateauneuf-du-faou.mma.	3600	in	ns	ns3.iptwins.com.
chateauneuf-du-faou.mma.	3600	in	ns	ns4.iptwins.com.
chateauneuf-en-thymerais.mma.	3600	in	ns	ns1.iptwins.net.
chateauneuf-en-thymerais.mma.	3600	in	ns	ns2.iptwins.net.
chateauneuf-en-thymerais.mma.	3600	in	ns	ns3.iptwins.com.
chateauneuf-en-thymerais.mma.	3600	in	ns	ns4.iptwins.com.
chateauneuf-sur-loire.mma.	3600	in	ns	ns1.iptwins.net.
chateauneuf-sur-loire.mma.	3600	in	ns	ns2.iptwins.net.
chateauneuf-sur-loire.mma.	3600	in	ns	ns3.iptwins.com.
chateauneuf-sur-loire.mma.	3600	in	ns	ns4.iptwins.com.
chateaurenard-genevet.mma.	3600	in	ns	ns1.iptwins.net.
chateaurenard-genevet.mma.	3600	in	ns	ns2.iptwins.net.
chateaurenard-genevet.mma.	3600	in	ns	ns3.iptwins.com.
chateaurenard-genevet.mma.	3600	in	ns	ns4.iptwins.com.
chateaurenard-parc-des-baumes.mma.	3600	in	ns	ns1.iptwins.net.
chateaurenard-parc-des-baumes.mma.	3600	in	ns	ns2.iptwins.net.
chateaurenard-parc-des-baumes.mma.	3600	in	ns	ns3.iptwins.com.
chateaurenard-parc-des-baumes.mma.	3600	in	ns	ns4.iptwins.com.
chateauroux-mairie.mma.	3600	in	ns	ns1.iptwins.net.
chateauroux-mairie.mma.	3600	in	ns	ns2.iptwins.net.
chateauroux-mairie.mma.	3600	in	ns	ns3.iptwins.com.
chateauroux-mairie.mma.	3600	in	ns	ns4.iptwins.com.
chatellerault.mma.	3600	in	ns	ns1.iptwins.net.
chatellerault.mma.	3600	in	ns	ns2.iptwins.net.
chatellerault.mma.	3600	in	ns	ns3.iptwins.com.
chatellerault.mma.	3600	in	ns	ns4.iptwins.com.
chatillon-sur-chalaronne.mma.	3600	in	ns	ns1.iptwins.net.
chatillon-sur-chalaronne.mma.	3600	in	ns	ns2.iptwins.net.
chatillon-sur-chalaronne.mma.	3600	in	ns	ns3.iptwins.com.
chatillon-sur-chalaronne.mma.	3600	in	ns	ns4.iptwins.com.
chatillon-sur-indre.mma.	3600	in	ns	ns1.iptwins.net.
chatillon-sur-indre.mma.	3600	in	ns	ns2.iptwins.net.
chatillon-sur-indre.mma.	3600	in	ns	ns3.iptwins.com.
chatillon-sur-indre.mma.	3600	in	ns	ns4.iptwins.com.
chatillon-sur-seine.mma.	3600	in	ns	ns1.iptwins.net.
chatillon-sur-seine.mma.	3600	in	ns	ns2.iptwins.net.
chatillon-sur-seine.mma.	3600	in	ns	ns3.iptwins.com.
chatillon-sur-seine.mma.	3600	in	ns	ns4.iptwins.com.
chatou.mma.	3600	in	ns	ns1.iptwins.net.
chatou.mma.	3600	in	ns	ns2.iptwins.net.
chatou.mma.	3600	in	ns	ns3.iptwins.com.
chatou.mma.	3600	in	ns	ns4.iptwins.com.
chauffailles.mma.	3600	in	ns	ns1.iptwins.net.
chauffailles.mma.	3600	in	ns	ns2.iptwins.net.
chauffailles.mma.	3600	in	ns	ns3.iptwins.com.
chauffailles.mma.	3600	in	ns	ns4.iptwins.com.
chaumes-en-retz.mma.	3600	in	ns	ns1.iptwins.net.
chaumes-en-retz.mma.	3600	in	ns	ns2.iptwins.net.
chaumes-en-retz.mma.	3600	in	ns	ns3.iptwins.com.
chaumes-en-retz.mma.	3600	in	ns	ns4.iptwins.com.
chaumont-bd-thiers.mma.	3600	in	ns	ns1.iptwins.net.
chaumont-bd-thiers.mma.	3600	in	ns	ns2.iptwins.net.
chaumont-bd-thiers.mma.	3600	in	ns	ns3.iptwins.com.
chaumont-bd-thiers.mma.	3600	in	ns	ns4.iptwins.com.
chaumont-en-vexin.mma.	3600	in	ns	ns1.iptwins.net.
chaumont-en-vexin.mma.	3600	in	ns	ns2.iptwins.net.
chaumont-en-vexin.mma.	3600	in	ns	ns3.iptwins.com.
chaumont-en-vexin.mma.	3600	in	ns	ns4.iptwins.com.
chaumont-prefecture.mma.	3600	in	ns	ns1.iptwins.net.
chaumont-prefecture.mma.	3600	in	ns	ns2.iptwins.net.
chaumont-prefecture.mma.	3600	in	ns	ns3.iptwins.com.
chaumont-prefecture.mma.	3600	in	ns	ns4.iptwins.com.
chauny.mma.	3600	in	ns	ns1.iptwins.net.
chauny.mma.	3600	in	ns	ns2.iptwins.net.
chauny.mma.	3600	in	ns	ns3.iptwins.com.
chauny.mma.	3600	in	ns	ns4.iptwins.com.
chaussin.mma.	3600	in	ns	ns1.iptwins.net.
chaussin.mma.	3600	in	ns	ns2.iptwins.net.
chaussin.mma.	3600	in	ns	ns3.iptwins.com.
chaussin.mma.	3600	in	ns	ns4.iptwins.com.
chavanay.mma.	3600	in	ns	ns1.iptwins.net.
chavanay.mma.	3600	in	ns	ns2.iptwins.net.
chavanay.mma.	3600	in	ns	ns3.iptwins.com.
chavanay.mma.	3600	in	ns	ns4.iptwins.com.
chelles.mma.	3600	in	ns	ns1.iptwins.net.
chelles.mma.	3600	in	ns	ns2.iptwins.net.
chelles.mma.	3600	in	ns	ns3.iptwins.com.
chelles.mma.	3600	in	ns	ns4.iptwins.com.
chemille-en-anjou.mma.	3600	in	ns	ns1.iptwins.net.
chemille-en-anjou.mma.	3600	in	ns	ns2.iptwins.net.
chemille-en-anjou.mma.	3600	in	ns	ns3.iptwins.com.
chemille-en-anjou.mma.	3600	in	ns	ns4.iptwins.com.
chenove-marsannay.mma.	3600	in	ns	ns1.iptwins.net.
chenove-marsannay.mma.	3600	in	ns	ns2.iptwins.net.
chenove-marsannay.mma.	3600	in	ns	ns3.iptwins.com.
chenove-marsannay.mma.	3600	in	ns	ns4.iptwins.com.
cherbourg-en-cotentin.mma.	3600	in	ns	ns1.iptwins.net.
cherbourg-en-cotentin.mma.	3600	in	ns	ns2.iptwins.net.
cherbourg-en-cotentin.mma.	3600	in	ns	ns3.iptwins.com.
cherbourg-en-cotentin.mma.	3600	in	ns	ns4.iptwins.com.
cherre-au.mma.	3600	in	ns	ns1.iptwins.net.
cherre-au.mma.	3600	in	ns	ns2.iptwins.net.
cherre-au.mma.	3600	in	ns	ns3.iptwins.com.
cherre-au.mma.	3600	in	ns	ns4.iptwins.com.
chevreuse.mma.	3600	in	ns	ns1.iptwins.net.
chevreuse.mma.	3600	in	ns	ns2.iptwins.net.
chevreuse.mma.	3600	in	ns	ns3.iptwins.com.
chevreuse.mma.	3600	in	ns	ns4.iptwins.com.
chinon.mma.	3600	in	ns	ns1.iptwins.net.
chinon.mma.	3600	in	ns	ns2.iptwins.net.
chinon.mma.	3600	in	ns	ns3.iptwins.com.
chinon.mma.	3600	in	ns	ns4.iptwins.com.
cholet-leclerc.mma.	3600	in	ns	ns1.iptwins.net.
cholet-leclerc.mma.	3600	in	ns	ns2.iptwins.net.
cholet-leclerc.mma.	3600	in	ns	ns3.iptwins.com.
cholet-leclerc.mma.	3600	in	ns	ns4.iptwins.com.
cholet-mauriac.mma.	3600	in	ns	ns1.iptwins.net.
cholet-mauriac.mma.	3600	in	ns	ns2.iptwins.net.
cholet-mauriac.mma.	3600	in	ns	ns3.iptwins.com.
cholet-mauriac.mma.	3600	in	ns	ns4.iptwins.com.
cholet-saint-pierre.mma.	3600	in	ns	ns1.iptwins.net.
cholet-saint-pierre.mma.	3600	in	ns	ns2.iptwins.net.
cholet-saint-pierre.mma.	3600	in	ns	ns3.iptwins.com.
cholet-saint-pierre.mma.	3600	in	ns	ns4.iptwins.com.
cires-les-mello.mma.	3600	in	ns	ns1.iptwins.net.
cires-les-mello.mma.	3600	in	ns	ns2.iptwins.net.
cires-les-mello.mma.	3600	in	ns	ns3.iptwins.com.
cires-les-mello.mma.	3600	in	ns	ns4.iptwins.com.
civray-la-lune.mma.	3600	in	ns	ns1.iptwins.net.
civray-la-lune.mma.	3600	in	ns	ns2.iptwins.net.
civray-la-lune.mma.	3600	in	ns	ns3.iptwins.com.
civray-la-lune.mma.	3600	in	ns	ns4.iptwins.com.
clairvaux-les-lacs.mma.	3600	in	ns	ns1.iptwins.net.
clairvaux-les-lacs.mma.	3600	in	ns	ns2.iptwins.net.
clairvaux-les-lacs.mma.	3600	in	ns	ns3.iptwins.com.
clairvaux-les-lacs.mma.	3600	in	ns	ns4.iptwins.com.
clamart.mma.	3600	in	ns	ns1.iptwins.net.
clamart.mma.	3600	in	ns	ns2.iptwins.net.
clamart.mma.	3600	in	ns	ns3.iptwins.com.
clamart.mma.	3600	in	ns	ns4.iptwins.com.
claye-souilly.mma.	3600	in	ns	ns1.iptwins.net.
claye-souilly.mma.	3600	in	ns	ns2.iptwins.net.
claye-souilly.mma.	3600	in	ns	ns3.iptwins.com.
