03ipbrsmb41eee935u5apshp46o0mq97.sport.	43200	in	rrsig	NSEC3 10 2 43200 20260203042040 20260120042040 43332 sport. GybNT3MoQHuSG8qQIK/6c1Nz1qIhW03mVNfcOxzzS2AaGndJUs6O/lanedG2QCwLPC9xUhgQIvg213x4TVPgBytFFJfgfPhh7s2s3TRLXO7ilkPpyBA9j7hPeE5BFcF69dRB5qonLzjyFozs29z5H2PFLFttHV4JHN1EOJCZM0+EFon72HiFqc93CGRYX/jUCGiqIdii16GheXvn1tJRDQ==
03tnilqp4n40rjkmc1kvbt85a43qfacu.sport.	43200	in	nsec3	1 0 0 - 047QCB7CAMQBJH6BV14RHVG0556IFIIH NS
03tnilqp4n40rjkmc1kvbt85a43qfacu.sport.	43200	in	rrsig	NSEC3 10 2 43200 20260203042040 20260120042040 43332 sport. jV2HrjMbNC2xWZIPiGcUxAhXVyV3AWKwV1SJ6nwgAadfIpbueRaE5ZnibN00LgXU8CDi3EYyuEkvq9uuiUxJBr66oc/ylJcJC574ugGo99yMZVgbRslaWWL8l4Z1AtEw86wxA3oTuBr0ncZk6XphajOkch+CjjfjkmwQy5qEhioHM0wlpWMH3204isuRM/gABknkB950wWMlxfC3bEj2Ow==
047qcb7camqbjh6bv14rhvg0556ifiih.sport.	43200	in	nsec3	1 0 0 - 049EJ2LA7EMC8JT9A5AJC0ROSBQEP66C NS
047qcb7camqbjh6bv14rhvg0556ifiih.sport.	43200	in	rrsig	NSEC3 10 2 43200 20260203042040 20260120042040 43332 sport. RAbhFJue3P67mSI3KukgBo8OfSb0wj85PLqOe7Rr0jb1QsoErAJmakAxsVOzqY5dkVgmUwdA/K3wlv09e9UD/qRvYodU51zOdPdZiJvsOlEIwK0hQ0V8wvlJxTKxEKPgB9fSrNcCiTV16cwExE927LPjZU/qBH8rXMhpQkXDNaSWXM4JGHGXTi7x5ishpXV5TabR0h7AlFctpuje2anmYA==
049ej2la7emc8jt9a5ajc0rosbqep66c.sport.	43200	in	nsec3	1 0 0 - 04BKQ0M873E5811P26LJL4A5N31GGUBJ NS
049ej2la7emc8jt9a5ajc0rosbqep66c.sport.	43200	in	rrsig	NSEC3 10 2 43200 20260203042040 20260120042040 43332 sport. q8zr3Ks0qzdnr6mnVVd6UcjFSx0Ot0rU0dnuXK2CMDz700Ls7Vl4O0m+ijJi4LOJFdG9jOxBrlvwUO0lEDI57cgk8CGR9OwFipjfHiMmsFkxAtfT1weY0VTk+eDZQbLW9gaS1eiDTP12laV1NhkFUcHE4dl9icvi74Lu0v4nVhPns97lEswQGyfmqiBoXMEDLdg5qD0x/MTYquOWLR04Mg==
04bkq0m873e5811p26ljl4a5n31ggubj.sport.	43200	in	nsec3	1 0 0 - 04C8HTINVAFHA6NLGJOGBND8VSK6NO6F NS
04bkq0m873e5811p26ljl4a5n31ggubj.sport.	43200	in	rrsig	NSEC3 10 2 43200 20260203042040 20260120042040 43332 sport. QpVllDXW9XHRYnLpr/C7Zd+SphJmDz/FQrg+RDslAYoGlCKSv5zEe7VZDZbHuKyn5f8DiDC27VHCpeghnzULlCpfIMYrOXo1DYlU8d4E+Gi0RdoaQVDM6RGcGxDqxagHmGmMM3lorD+uM6lFT5oFYNPHfM0afbxhha1/SIi0P0Sro0jqnHb8z9RRmZeFV3QlQLkV92mDCcT3dBbYVEXw8g==
04c8htinvafha6nlgjogbnd8vsk6no6f.sport.	43200	in	nsec3	1 0 0 - 04FKQE0UERV2263D9CGR99DSDRGH5BGM NS
04c8htinvafha6nlgjogbnd8vsk6no6f.sport.	43200	in	rrsig	NSEC3 10 2 43200 20260203042040 20260120042040 43332 sport. pBeKPUfBW60N2rDiwsywpYxFkUcOHDp6H2vuehlxPHMYEOHkEDbTK4cIp37qcgiirSs6j7ildo5/gx1esf8rjST+Tnnvx6Twe97G3qChqICStoGKBIbOi0v2A5cBvxHTfo7O6oB93hCAQC45BUP60CJnMD5yWgDZe5uFn21lYtAYVmrYWLoC4f2fCkl43OlXzbJoAaPM+KGFIZbvo0lR8A==
04fkqe0uerv2263d9cgr99dsdrgh5bgm.sport.	43200	in	nsec3	1 0 0 - 04L8VVUS9F59M6C03U1QJDAG7DEJJ573 NS
04fkqe0uerv2263d9cgr99dsdrgh5bgm.sport.	43200	in	rrsig	NSEC3 10 2 43200 20260203042040 20260120042040 43332 sport. UFBOKRwPFXLkyIa/TsExAEVIEW7X7GCz4LRT4u83CxO2cLVLEFagst+KXE7cABvTdJwBUjpB/2rk655CPAURik4oL/AGEy2Bxc9lD+OZSARDq2OGv7nbnQiolsW0OyT98j3mVt6kb98w3svio689/atDCuzJ7+fW38AjGl9prjNLKOXNylLlmJU7PbdJuRuVilMVnz5+Sqnru+13BHHjUw==
04l8vvus9f59m6c03u1qjdag7dejj573.sport.	43200	in	nsec3	1 0 0 - 05CT3P6MD2TMMV3OM6RRK5RQTOMU4K79 NS
