5to95s9k22a5iqacpdksun2jh9ojogpg.ngo.	3600	in	rrsig	NSEC3 8 2 3600 20251022151902 20251001141902 39648 ngo. nHXmNxVwIJHyOCeCQtPFwsS7EGc3tUvrhPWgKM6TnltubZmACcyMO2JOY4P/4mClIMIZ6bHLQhS0Si7BdueOVx+JTsG5LDvYFrRJypurii6V/Dv5EDUa/CWtZfz2WHTRcYZ9hPNwqz6j4IOKaf7i9DoLNZ64TBXQdzYJn7mn/kY=
5urksi587k8u30fs0umcl9ajb83p6m4q.ngo.	3600	in	nsec3	1 1 0 332539EE7F95C32A 674L79T8A5ILADAG7EQ70I4SBINV6DCS NS DS RRSIG
5urksi587k8u30fs0umcl9ajb83p6m4q.ngo.	3600	in	rrsig	NSEC3 8 2 3600 20251022151902 20251001141902 39648 ngo. Y77vnynTVgReUPMSaBknLX4bSML7qQ34Mb6GQDbpg9L4b6B7kdvQ/7Ye2xGKyVFY2Vz+6AbsC5jc8X7oi1mElJOE1zpsA6nS2q+QGICXMwqCbEsKr4LYR4JJJd5qoxS2SCn8FRUQwzk22BmjHMvurw1TZnzGI3d2jBSb9Hb904w=
674l79t8a5iladag7eq70i4sbinv6dcs.ngo.	3600	in	nsec3	1 1 0 332539EE7F95C32A 6CQ6PKL1TA2AJMUC9Q8U85IODTT2473U NS DS RRSIG
674l79t8a5iladag7eq70i4sbinv6dcs.ngo.	3600	in	rrsig	NSEC3 8 2 3600 20251022151902 20251001141902 39648 ngo. iULCUakNEa5Pw0zpiZGrLHDDEmhvik07UqVypvxJcOMzz6Q7mBxEBnNbmxYTJKt4RLzCKV4faDZKg5gSpbm2LK6npFp3HTXVxRPJUGRTPafawltkV9BGNj8RAu7Kzk2Y5b09zLSs7T4vT8P8EZOYSSdLTzBvS7tVG3+LF6mc6wY=
69vn.ngo.	3600	in	ns	pola.ns.cloudflare.com.
69vn.ngo.	3600	in	ns	wells.ns.cloudflare.com.
6cq6pkl1ta2ajmuc9q8u85iodtt2473u.ngo.	3600	in	nsec3	1 1 0 332539EE7F95C32A 6KETNNUEUU1NG4JT1VPOHS8AHFON583F NS DS RRSIG
6cq6pkl1ta2ajmuc9q8u85iodtt2473u.ngo.	3600	in	rrsig	NSEC3 8 2 3600 20251022151902 20251001141902 39648 ngo. rjNrqpYzwX4IYnthAtypKZEqLIG97//WeS6Auj7RZue4R6akNxYqDqQ5vmCwbSlCULFFYKonU5dRR96ZpsTuO2X8cApk21DChEYEr/lmG967EibpsyliiTwIXXg+umRzXg/ZfDnPrD/aHqTJYG2FzAv3/N6+sCOkwY3YNFNOIYo=
6ketnnueuu1ng4jt1vpohs8ahfon583f.ngo.	3600	in	nsec3	1 1 0 332539EE7F95C32A 6QH911BJ2KA051HGRUF8H0OUGKRSFDS6 NS DS RRSIG
6ketnnueuu1ng4jt1vpohs8ahfon583f.ngo.	3600	in	rrsig	NSEC3 8 2 3600 20251022151902 20251001141902 39648 ngo. i+/AhK1eLCBkEmYj+2b0RKwonx8hoDGz4ND7Wyj0scHINLSuMrRWtDI2o172bKeH4iZLVr+5s0WW8Gi7/PIA9BeVdP8NeZ61b+jVocKf2j54zXTOX9i1mW/9NWzId4MN1dl2sYL5RMe1OnwlXXHXb5dExBCtIcudazy6g6o7Hv0=
6qh911bj2ka051hgruf8h0ougkrsfds6.ngo.	3600	in	nsec3	1 1 0 332539EE7F95C32A 70HG86JQ4UNTO2DMFNLQIHB9NNTJQAST NS DS RRSIG
