009dl.beauty.	3600	in	ns	yichun.ns.cloudflare.com.
00g5042eoq054psi1ioueeu9gnr017mh.beauty.	900	in	nsec3	1 1 0 - 014Q7QH00KSO2EBJM4B2QB5QRP3BJR5E NS DS RRSIG
00g5042eoq054psi1ioueeu9gnr017mh.beauty.	900	in	rrsig	NSEC3 8 2 900 20251031150712 20251001133712 39090 beauty. jKt1/2CiEo7gqLOnVLhrUKas1it/T0dCfCx4OF/iE8Mj78G9/pAswVm2TqrQvGPxPlY4/Enb5/Ruct7gTy7wG3wnqeq2gk7VDH7D8VWuekad6w97PqcyGoWSruINR5Tgw0c+s9xGTtUPnFWcdCTnDqd/oCJpDwt2WB/wYM1MXbPtGGLuK26+cXCZ+bZjowpN88hqt/5d9hLMNt8UhJiofw==
01-02tp.beauty.	3600	in	ns	dns1.registrar-servers.com.
01-02tp.beauty.	3600	in	ns	dns2.registrar-servers.com.
0101.beauty.	3600	in	ns	burt.ns.cloudflare.com.
0101.beauty.	3600	in	ns	cheryl.ns.cloudflare.com.
0134552083.beauty.	3600	in	ds	23009 13 2 D82902618E93C2CD82ECFD334FF8D643F7C426F28C83775792CA9C6B73B22B7B
0134552083.beauty.	3600	in	ns	launch1.spaceship.net.
0134552083.beauty.	3600	in	ns	launch2.spaceship.net.
0134552083.beauty.	3600	in	rrsig	DS 8 2 3600 20251031150712 20251001133712 39090 beauty. qUJB/2ccEbX9TapG5DNZROLbKnH0d+U+rynY2caBOynEFw7P980GMyH4mZgpABdDvj4xonmhOwBU3M6BzEQaFIt6I/c35KLEiaDVMX9hCuYduiXoAt7YJF/Uz4ac1v7bVbDrvfT8w1qITR0Vx3B8CbuCWPnSGR2Is33QmARuIPMYZnmrkTp2z69l/IjXXbYupHNtq1mRhmIpaGYXdt5yvg==
0139617586.beauty.	3600	in	ds	27131 13 2 7D3F2F8418F940E37869EA2F0431A80E02E2F1E1F48B6BC5EB9D0442E20D4B68
0139617586.beauty.	3600	in	ns	launch1.spaceship.net.
0139617586.beauty.	3600	in	ns	launch2.spaceship.net.
0139617586.beauty.	3600	in	rrsig	DS 8 2 3600 20251031150712 20251001133712 39090 beauty. ZvrjAj6eyx/G1Nu/iPPxGy9+jTYzKOzfi+D/cXXb0yjKckeNg0Qd0xm17JMGLVWszQCFEKSc9sFD3q3Hi9dp4Od8y2sMD9GhIjwKTQD7JYvqx/GoUfUMVHFzjyN7S+bikvyNm3Ay+8HSQoE4oHJ8B96CvKh7LZ8Or+zB5NkqB/KV8RMLgn+i8BTw84Mx/0SoR1j5sp/BAUbM70Ll63Nzsg==
014q7qh00kso2ebjm4b2qb5qrp3bjr5e.beauty.	900	in	nsec3	1 1 0 - 01UJ7MNLJ6H5O2C3UVJ8A525JFCMSHQD NS DS RRSIG
014q7qh00kso2ebjm4b2qb5qrp3bjr5e.beauty.	900	in	rrsig	NSEC3 8 2 900 20251031150712 20251001133712 39090 beauty. m8qQgcn9eOQau4gGQ+KFluChUkqJdfoAUAUy01deSkpxztlQ4kNvRuW5INLT58ZkA9EzEjpzAfmGVMUsGXLM8Pp9yp9S/SDeM5+z9C0y2Ly09a947XmbsTtgNoQbGEAXVPlZdrbTCLypZTiqDpNpChg8fvYJ76Gkei4w11UwSQJMCIymi6lozf+Rpvh2pekElAbreL8M6Pad+VPbv9C25A==
0152438470.beauty.	3600	in	ds	64498 13 2 FACEDF1216687CD8240F8A69BA17B708EE0B56AB7A59372F1372B05235EA3509
0152438470.beauty.	3600	in	ns	launch1.spaceship.net.
0152438470.beauty.	3600	in	ns	launch2.spaceship.net.
0152438470.beauty.	3600	in	rrsig	DS 8 2 3600 20251031150712 20251001133712 39090 beauty. Rwm/0zZS2UyG7/AOeeGRAG3x7RuACcPj/0Q2fV05a9ZQru4RB0PsvIslMhYL3utEm9Zt6cIE7STcaYS+QOZD+b9mTwGhX9CGoIR3IZxW2oywia2U8JU/KODIzpRZTyuoyUIlZoVmQMZFs/+PhsNkGtYSASTE0YeveElN8kMRhsuMzfBDOAp7fXwGEl8gKJm9t4dKxCzK7PH353ZN37CPTQ==
0154287530.beauty.	3600	in	ds	25326 13 2 E57EC3917FA696B582ACFF39800A869760D4EA9015D146DDC7A8C7CE6C3D0A10
0154287530.beauty.	3600	in	ns	launch1.spaceship.net.
0154287530.beauty.	3600	in	ns	launch2.spaceship.net.
