amsterdam.	1800	in	soa	ns1.dns.amsterdam. dns.sidn.nl. 2026012502 1800 600 1209600 600
02nuckicms5si565h7u5hupfl9l4ecg3.amsterdam.	600	in	nsec3	1 0 0 - 02R8MIN4UNIFLM2IOLDM8FL5Q1TIQ9GR NS
02nuckicms5si565h7u5hupfl9l4ecg3.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220163048 20260123093210 48007 amsterdam. 2F2fuUZwyQxPd3ojZAPd577uxOzUKN20Cdr9qIAj1HeUhapuD+spp1RyZYlPhX4QGGr6D0sTnr3FTsT9J/KJKw==
02r8min4uniflm2ioldm8fl5q1tiq9gr.amsterdam.	600	in	nsec3	1 0 0 - 02T9QDG4TJVLS0LP86FNADKT6FTITJFG NS DS RRSIG
02r8min4uniflm2ioldm8fl5q1tiq9gr.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220194538 20260123093210 48007 amsterdam. +mg1cuqdtf2Dt/44Im21qoamoOgM/u2hLqSeIlg5zP9RJP+nh5lGL4mKs6MgKS1Gk/Aag0S1SIivrb6C+8JyAg==
02t9qdg4tjvls0lp86fnadkt6ftitjfg.amsterdam.	600	in	nsec3	1 0 0 - 02V2OUIFVS9I1LSLDQC0M4LCFHPP5R9G NS
02t9qdg4tjvls0lp86fnadkt6ftitjfg.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220184809 20260123093210 48007 amsterdam. JRnRpP0yzxqTIo66HDPf2A9mroElfFKCzqIaw+9f9jsgYOcPXME7D54eWEaFpsSVSqaCJp5ux5uwwk+4uk+Q0Q==
02v2ouifvs9i1lsldqc0m4lcfhpp5r9g.amsterdam.	600	in	nsec3	1 0 0 - 02VV9P6QDBN0ERCLGBSTIAUV8AST7L3U NS DS RRSIG
02v2ouifvs9i1lsldqc0m4lcfhpp5r9g.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220054833 20260123093210 48007 amsterdam. FnDA7PsgdvAxoy2sjNqfLHtEH51gaN6yoJUa/g2zC5i9jhwFUdOtW6RwYMYP367xvdmT41bPp+fLbz28CtGBxw==
02vv9p6qdbn0erclgbstiauv8ast7l3u.amsterdam.	600	in	nsec3	1 0 0 - 0308JC19LKA4NE8R6ASCHTV2LI6E2F17 NS
02vv9p6qdbn0erclgbstiauv8ast7l3u.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220093008 20260123093210 48007 amsterdam. 8zTf6ACZrZgdUveJH7EwOwujQi60+EHH0D2CXNLjTBnv1ofllQ6mxs70twbqeNBMHdOAcLyVkYxDtt1Qyr0Eww==
0308jc19lka4ne8r6aschtv2li6e2f17.amsterdam.	600	in	nsec3	1 0 0 - 0311FVC1L2G8EHM8R3RUHF9GFVOFOT61 NS
0308jc19lka4ne8r6aschtv2li6e2f17.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220183619 20260123093210 48007 amsterdam. OWqRwyPAKVUjTlrpX48N5wwbNnF0EhoIpddzpO3g2IOD+SBBgo0bOb1bSJaokIwCkdzi2LfrepEOrTjarFC/uA==
0311fvc1l2g8ehm8r3ruhf9gfvofot61.amsterdam.	600	in	nsec3	1 0 0 - 031CE5RELOV05C57BQFGPL26ID7GK69F NS
0311fvc1l2g8ehm8r3ruhf9gfvofot61.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220191954 20260123093210 48007 amsterdam. Fwxi3qreoHNPF1+zrFLCH+n8uXOIcFGiitqj0ZAkYTxKGtI63LRaOdhXFcHbI6dBcy01pFPYmxxOpB1OAcn80g==
031ce5relov05c57bqfgpl26id7gk69f.amsterdam.	600	in	nsec3	1 0 0 - 0373VG9U5T0VU12ACL25GJND0G80JMD1 NS DS RRSIG
031ce5relov05c57bqfgpl26id7gk69f.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220032458 20260123093210 48007 amsterdam. xwbue6v4hn4grMEATFUDUg63EuPs/9gZwijV9zNAYp9CwRg/eUDyY+iupJZZjTxyCRfiaf/HKaMqVVRw9l8UZA==
0373vg9u5t0vu12acl25gjnd0g80jmd1.amsterdam.	600	in	nsec3	1 0 0 - 03BE9SIK0TLGI87F2OBHC8JIVJTBR3AB NS
0373vg9u5t0vu12acl25gjnd0g80jmd1.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220230653 20260123093210 48007 amsterdam. +DGJn0cgtGWxwWDrWKt5SH8L8Uv9NoMndMkmbAhgMoLEO5le6qK94PwnwOh/BSFOr0iu/V0LOSu6W6nfQATrLA==
03be9sik0tlgi87f2obhc8jivjtbr3ab.amsterdam.	600	in	nsec3	1 0 0 - 03CDGH7H8SRUG45OR1BTC3RBF21IVT5R NS
03be9sik0tlgi87f2obhc8jivjtbr3ab.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220115930 20260123093210 48007 amsterdam. duvFW9us5vEFvqUBDb1IQFX1Sz04CcGFIJkfcldCRJoGwYmWZd0XJqmC+pJw7mVb5JlhYJenGEhYMUIjqfp9KQ==
03cdgh7h8srug45or1btc3rbf21ivt5r.amsterdam.	600	in	nsec3	1 0 0 - 03D2KR2FIE9FKUT6Q316V025CKDMJKN5 NS
03cdgh7h8srug45or1btc3rbf21ivt5r.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220202126 20260123093210 48007 amsterdam. 3oaK9IC7K6ecrvS6G7F4uXo6Ye5dDbh4NxP+1h8W8v8JBWa1KnFTtMf1p4khuiVDLP5l5WeIITqI0T7gUvtQFw==
03d2kr2fie9fkut6q316v025ckdmjkn5.amsterdam.	600	in	nsec3	1 0 0 - 03DMT84AKITL8L8R5FBD8QKBT495484M NS DS RRSIG
03d2kr2fie9fkut6q316v025ckdmjkn5.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220121455 20260123093210 48007 amsterdam. KleYuApz2y1GrJVclsmBXjy3pXpd3sKBIw5axRFWoGUS4IEmDSMj5W51QyGlCMQpRT/k8UAeZgCtuszBI+54OA==
03dmt84akitl8l8r5fbd8qkbt495484m.amsterdam.	600	in	nsec3	1 0 0 - 03HEJ0LE1P91VDJM9HB0AETBCUIIN8FI NS
03dmt84akitl8l8r5fbd8qkbt495484m.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220071727 20260123093210 48007 amsterdam. xtG9q3OtDIciCdPiqVAZWVET6c4iKSKI7TgDjFmMW+/0e6O/rwtm57oVYsCg/zlCaREWr502jRFuGKkEZX+2fw==
03hej0le1p91vdjm9hb0aetbcuiin8fi.amsterdam.	600	in	nsec3	1 0 0 - 03MKFBUHH1H40HK6UVQF6L0NS6V0U113 NS
03hej0le1p91vdjm9hb0aetbcuiin8fi.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220133951 20260123093210 48007 amsterdam. fLHGkWGpx0QaearnRTS9QaxmpcCrbXbBJfC2gZ5UVxRIDIxAE+k7M++Kt+lFyzHeU5wT56kFyq0HREmDOGtGRw==
03mkfbuhh1h40hk6uvqf6l0ns6v0u113.amsterdam.	600	in	nsec3	1 0 0 - 03N55L0RSKG5V75RESEQMNJT1VJ72204 NS
03mkfbuhh1h40hk6uvqf6l0ns6v0u113.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220194513 20260123093210 48007 amsterdam. nfwBbeNaeeDblbduktJP6lRCivLoBltT8Zd0bAxyieR86pALtcg71FTklSzPfnSI70CVPK2zLdO22ukmrReXyg==
03n55l0rskg5v75reseqmnjt1vj72204.amsterdam.	600	in	nsec3	1 0 0 - 03PLPFO6VB68LCRG50DC56POFH4J846A NS
03n55l0rskg5v75reseqmnjt1vj72204.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220183858 20260123093210 48007 amsterdam. uJj0qluyR2ozQq6PoFb9uaCB7kugriG7Mx6Qn8T+/406XS8eo8AkXGKCC8gA8cSMwJEx6f/aLvYBkqgmES7/nQ==
03plpfo6vb68lcrg50dc56pofh4j846a.amsterdam.	600	in	nsec3	1 0 0 - 03UF69CFGJT72I4HNLCLQTLND6I2SDM3 NS DS RRSIG
