toray.	86400	in	soa	a.gmoregistry.net. noc.gmoregistry.net. 1769302941 1800 900 604800 3600
carbonmagic.toray.	86400	in	ns	a12-66.akam.net.
carbonmagic.toray.	86400	in	ns	a14-65.akam.net.
carbonmagic.toray.	86400	in	ns	a4-66.akam.net.
carbonmagic.toray.	86400	in	ns	a5-66.akam.net.
carbonmagic.toray.	86400	in	ns	a7-65.akam.net.
cejfgqd5qtojlbu6s72cp65icogi3vqs.toray.	3600	in	nsec3	1 0 0 - D3T31FSDSEAD95BJHNH3OCELDHLFSNJB NS DS RRSIG
cejfgqd5qtojlbu6s72cp65icogi3vqs.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260128185240 20260121214909 35650 toray. YNZfqXsZuKCnNBICMENXZOg253EYFWPMk34nqlD5WGwmWmfZzvOC6jrlQ1pj1sQsZZ52b/Nw2ZHIflWAgtg40q3uIliOabDDQqPkikCjeJS5BnlEiLFNrjKZFMAl2qweLG/bij27Dl3UOKz2kMATGQI6dkYYhu9rtm04T4hgauk=
cf-composites.toray.	3600	in	ds	3151 13 2 3A5BE0F2D2B9D534565F956B7E79CD1E8270BAD727D4B25B374CED303EB97E09
cf-composites.toray.	3600	in	rrsig	DS 8 2 3600 20260127124340 20260120223312 35650 toray. CMchnQTlDgFCR8bdPuSLnaj8b09yKhJ5N4eIQ7tGvEnnNTJO41r3i7XHP4bOKAB5C27Wbv4htphH3ZiXH4cnM+sBfRZY2JZ1CfOrm/dkwdEOZt7gHpPzA/fTfzFv32TqFdAhA8yu8i56eZ0Q8HgwgDWfG3fMGF53k4Xyt3Won2A=
cf-composites.toray.	86400	in	ns	a1-184.akam.net.
cf-composites.toray.	86400	in	ns	a12-66.akam.net.
cf-composites.toray.	86400	in	ns	a14-65.akam.net.
cf-composites.toray.	86400	in	ns	a4-66.akam.net.
cf-composites.toray.	86400	in	ns	a5-66.akam.net.
cf-composites.toray.	86400	in	ns	a7-65.akam.net.
circular.toray.	3600	in	ds	2766 13 2 A1BA788ECCD9A71A8BCFF38254809E33D1E7170C577C69228A6675709D71681D
circular.toray.	3600	in	rrsig	DS 8 2 3600 20260128034809 20260121123112 35650 toray. QgMdixs8FcWqmRtAcLxS6FplGHrg4XaRlj9XTDXYTZX481IkYP2fAIIOqmaxVbGeS0PN8DZ1+VyG19ZGtWfay8xj59mxLLhNuzw81u8AXOc97FhemvEC9d91k4VY+WxGnj6uYlKWZBJxQgOju6qUo2T4lRInhjd54s4G3hf2A6Y=
circular.toray.	86400	in	ns	a1-184.akam.net.
circular.toray.	86400	in	ns	a12-66.akam.net.
circular.toray.	86400	in	ns	a14-65.akam.net.
circular.toray.	86400	in	ns	a4-66.akam.net.
circular.toray.	86400	in	ns	a5-66.akam.net.
circular.toray.	86400	in	ns	a7-65.akam.net.
cit.toray.	3600	in	ds	57796 13 2 4AE2A9848A190A7FF354073B81D1BE1B56780A991DA66C202A71D6CE5E7568CC
cit.toray.	3600	in	rrsig	DS 8 2 3600 20260127180259 20260120161608 35650 toray. ZC345HRSbWFx4ypbZ7IaDkJv+rkA6ZZesecGKzGpStpStnyJUJTAun0wtCjHYdIt51fUi2sZEKwQ1qosMGiWP/hHMjGJKX3/eX8qoqXGq5FW/B9DkClKT4mqQdlwAVfB4MkThbmPEaXQs8lMFUx1rk8qRoeBwal9JYYa1nEGenI=
cit.toray.	86400	in	ns	a1-184.akam.net.
cit.toray.	86400	in	ns	a12-66.akam.net.
cit.toray.	86400	in	ns	a14-65.akam.net.
cit.toray.	86400	in	ns	a4-66.akam.net.
cit.toray.	86400	in	ns	a5-66.akam.net.
cit.toray.	86400	in	ns	a7-65.akam.net.
coms.toray.	3600	in	ds	60244 13 2 09CD90DDC85E4206FDF192C4A8FF5BBA6ED712F85D2BA945EC7E9ADEAFA5F0A3
coms.toray.	3600	in	rrsig	DS 8 2 3600 20260129123521 20260122013415 35650 toray. XY/xdhaQ5qEMFW5QLl6wXud+lcYw6kWuZGmBqtLZR5quQfW7+xdKuezFYtemHJkhvpInR8hYI6V04xHIS+lczWsyMT9pCqfps9T3rB69lP/zboBOKMVuR3+GfjB/WdFCBCilqjqdYR90EkbfBcIlKAL8u3k7yILvr/dWphl1y3M=
coms.toray.	86400	in	ns	a1-184.akam.net.
coms.toray.	86400	in	ns	a12-66.akam.net.
coms.toray.	86400	in	ns	a14-65.akam.net.
coms.toray.	86400	in	ns	a4-66.akam.net.
coms.toray.	86400	in	ns	a5-66.akam.net.
coms.toray.	86400	in	ns	a7-65.akam.net.
contact.toray.	3600	in	ds	16959 13 2 208460E9C5E7586B42EFF07A7CA6E005730EA25D3BA9C77235801A3E1927B690
contact.toray.	3600	in	rrsig	DS 8 2 3600 20260130180317 20260123212409 35650 toray. s9a3HSSp/lbOPR7XIp28WzjLu4H/cN9hWIIv8Qqohgksp5RZkmIJGlFzsPrD4+wxWqnW8Grjs/teh3OR+Ovg5PGAahWvNEGTdJEAwP9t5GpZHstPIkfhOx8JD4W1YlMqtb7B+qLBGCon257ekuwstiuNHiW+N5Jnm9VYURDtov0=
contact.toray.	86400	in	ns	a1-184.akam.net.
contact.toray.	86400	in	ns	a12-66.akam.net.
contact.toray.	86400	in	ns	a14-65.akam.net.
contact.toray.	86400	in	ns	a4-66.akam.net.
contact.toray.	86400	in	ns	a5-66.akam.net.
contact.toray.	86400	in	ns	a7-65.akam.net.
csr-supply.toray.	3600	in	ds	22981 13 2 530CF31D70E3847E18502186DF56401C210649774186F7C4883C3C3610630DC8
csr-supply.toray.	3600	in	rrsig	DS 8 2 3600 20260130203442 20260123171912 35650 toray. i0VgH92RhUrnGcMCriG2PcjvTf4Wg8OGxfUM4TUSt49ThGS13qAWW5qmN3oGfrDXPRndmEBhEkhPQuKXmw34NW0NiYRl8S2nu1cIwUEFyCsuDOBPVqck1h97KRF7nYHMt65Qmow1ocwx0Ls8ke/4I4enQ3xViyVsUcITAj83tCs=
csr-supply.toray.	86400	in	ns	a1-184.akam.net.
csr-supply.toray.	86400	in	ns	a12-66.akam.net.
csr-supply.toray.	86400	in	ns	a14-65.akam.net.
csr-supply.toray.	86400	in	ns	a4-66.akam.net.
csr-supply.toray.	86400	in	ns	a5-66.akam.net.
csr-supply.toray.	86400	in	ns	a7-65.akam.net.
customerportal.toray.	86400	in	ns	a1-184.akam.net.
customerportal.toray.	86400	in	ns	a12-66.akam.net.
customerportal.toray.	86400	in	ns	a14-65.akam.net.
customerportal.toray.	86400	in	ns	a4-66.akam.net.
customerportal.toray.	86400	in	ns	a5-66.akam.net.
customerportal.toray.	86400	in	ns	a7-65.akam.net.
d3t31fsdsead95bjhnh3oceldhlfsnjb.toray.	3600	in	nsec3	1 0 0 - DMAEMSN9VTVQGILFGHMTGPD8MDA4T3J0 NS DS RRSIG
d3t31fsdsead95bjhnh3oceldhlfsnjb.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260130100928 20260123103627 35650 toray. qCRKtGmVqQDtEDF0BBNHQOBFzyHYHXGZWm5xeiDvqwIYIN5ZUjf2G+w7LQJqiAzclLq1+4VjSfvo3vCdfwWzskkG5jZ5KyC2noLXRIpKj2gxx1sKmPXH2I/ohHahGXBmi8Ouovk/Q+QoiLgIAlFQ6DcV19+DTYQCkWSzlPpFpv0=
delta.toray.	3600	in	ds	38723 13 2 7B7CFFEDE49C978571E2466B82693F06222E1CAA553190F336B7A5CF8E33B2D2
delta.toray.	3600	in	rrsig	DS 8 2 3600 20260129170905 20260122044626 35650 toray. prLE/31TFvhKhdqwXPYoLwh6zv0kOKWHKrrOl+t8N2Hjvvu+pLkVIFopKH6EatsGjfm9yo45Oc83axRWhqFooUupSuCcylhSPTyUehILk4qBFtCYKxf+c2+YLgEvjT3IrLMlfIiTiWvkK1cttuChvvYep3GCs7/nRqAQ2IyQKvA=
delta.toray.	86400	in	ns	a1-184.akam.net.
delta.toray.	86400	in	ns	a12-66.akam.net.
delta.toray.	86400	in	ns	a14-65.akam.net.
delta.toray.	86400	in	ns	a4-66.akam.net.
delta.toray.	86400	in	ns	a5-66.akam.net.
delta.toray.	86400	in	ns	a7-65.akam.net.
dermizax.toray.	3600	in	ds	11428 13 2 0249D7C876DEA33FA3946229C184558B531C85263D6E99DF238B5E3BD7611649
dermizax.toray.	3600	in	rrsig	DS 8 2 3600 20260127212945 20260120221409 35650 toray. uiEIYIfgQp09i0RlRRZjb+cylLBNB8owSgbjBxZkHsXd2TBu69UsGO7akbfMYfAWTssl200/YUnj+2baHCd9HQb8hnM7xnamt887buiYvw2lSXCHdKeVtSHKI0zv5A5OM9f2co/fy2WHwbZmy8T1hNlMmpy93pE3IGTJv7QEzdg=
dermizax.toray.	86400	in	ns	a1-184.akam.net.
dermizax.toray.	86400	in	ns	a12-66.akam.net.
dermizax.toray.	86400	in	ns	a14-65.akam.net.
dermizax.toray.	86400	in	ns	a4-66.akam.net.
dermizax.toray.	86400	in	ns	a5-66.akam.net.
dermizax.toray.	86400	in	ns	a7-65.akam.net.
dmaemsn9vtvqgilfghmtgpd8mda4t3j0.toray.	3600	in	nsec3	1 0 0 - DRMSSUH11Q4NG9LR8PQDCL8IVUHVRHVU NS DS RRSIG
dmaemsn9vtvqgilfghmtgpd8mda4t3j0.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260129153006 20260123005214 35650 toray. dKylDlmoSgO+skZEe4e3uxqEyL0J4ZIohChkYTAx58axTkFW7vKdiaNdwZ6ZPHeJn0UUo88WajLQuGU3t7K5UJZjRo8ltd6nEo60Jzmjgb7yYWkSqxKiyPtu9AB/6a1MadWu6EDAvHi7BhC2RWxjyAz74IEtCPdWRvT/CqYnihY=
drmssuh11q4ng9lr8pqdcl8ivuhvrhvu.toray.	3600	in	nsec3	1 0 0 - ELKKRPOD847RDIVJ7B7Q3LNTGM1ICJT1 NS
drmssuh11q4ng9lr8pqdcl8ivuhvrhvu.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260131000313 20260123140713 35650 toray. s+Gp7ihTwDdI+k/bu4MJz2wUhhjdkXlx+QH8nBzl/4lRmJiPyaWfIiNxRVnx1J6Ds5ZuPRcDdPMrJ28bRKea7QNMu44hiCsmq+OczCW0g9Dmci1wyzcwY+eM2BEMp7nWgua4BmkWep1nRVt5rwxL7rnEX79RBrTenNUThiUNoWI=
e-order.toray.	3600	in	ds	64857 13 2 B7D376996233E547FF9CE989710A1DD8E9EF274FFB4E409BDE5EAF4055D2A732
e-order.toray.	3600	in	rrsig	DS 8 2 3600 20260127203722 20260120235310 35650 toray. hjJXDjb7xrscv6h7hU7tnIEP9fnqGp2TltFOP9z0jxYlSUZrP+v2N/M9Iyime/zqOV0Muzw2Bxx3HcCmlIL06eENHq7bz9p66XZTqWb6yLz2oJ6MoIRj/b7k4gQci9W/k74Uw+dbNq5k5CrwTMuvv7rWjEQjKR0OQ/hbFWDNMUg=
e-order.toray.	86400	in	ns	a1-184.akam.net.
e-order.toray.	86400	in	ns	a12-66.akam.net.
e-order.toray.	86400	in	ns	a14-65.akam.net.
e-order.toray.	86400	in	ns	a4-66.akam.net.
e-order.toray.	86400	in	ns	a5-66.akam.net.
e-order.toray.	86400	in	ns	a7-65.akam.net.
e-report.toray.	3600	in	ds	16609 13 2 742F870A5770F515D223E1C3A4AFE2985EA31D86E722413089D16EFFEF942A33
e-report.toray.	3600	in	rrsig	DS 8 2 3600 20260127031827 20260120000413 35650 toray. Rm2ghQwcm5F813mEEJMv0ODXQ8P5cpypVIk9Uu7wDUYekFwQL5bTe/iZvtwktjf3lH+W8hcfvoZHBjfHQo39c19xDXogoYQLckMuPhplgqG6Ws3CvDM9VM2kyzTZhy4kYB2YkXkLzk5MtO8rtn3i16CSUaEho8wJ8j1yBbaXZfg=
e-report.toray.	86400	in	ns	a1-184.akam.net.
e-report.toray.	86400	in	ns	a12-66.akam.net.
e-report.toray.	86400	in	ns	a14-65.akam.net.
e-report.toray.	86400	in	ns	a4-66.akam.net.
e-report.toray.	86400	in	ns	a5-66.akam.net.
e-report.toray.	86400	in	ns	a7-65.akam.net.
earlyguard.toray.	3600	in	ds	14030 13 2 F0A2B6FEE53E65E3728FABAE71A938AC72228C22373680F2D7967906E65903BF
earlyguard.toray.	3600	in	rrsig	DS 8 2 3600 20260128172145 20260121205611 35650 toray. Zv5SZJ/xOsM7+6JHsofsGWFI3KRfEFKMYsT6CSRFt7vMbUPvt3GELmPb2tyg6Dm3g9jZGP+R1m6iNuzkTjksr8VIB9KeyPKRF+PKVLGyFIeZIttuuVy9bxk+V9qELksGNL3MlcUrkY2rj0ZwSLjPmok1FLiFnTNzdy0OHMr1Zl4=
earlyguard.toray.	86400	in	ns	a1-184.akam.net.
earlyguard.toray.	86400	in	ns	a12-66.akam.net.
earlyguard.toray.	86400	in	ns	a14-65.akam.net.
earlyguard.toray.	86400	in	ns	a4-66.akam.net.
earlyguard.toray.	86400	in	ns	a5-66.akam.net.
earlyguard.toray.	86400	in	ns	a7-65.akam.net.
electronics.toray.	3600	in	ds	31955 13 2 07CC5A3A7239A126CD3170B6BA6115EAC4C9CD7737431E5955CBBA2983E61E89
electronics.toray.	3600	in	rrsig	DS 8 2 3600 20260127235802 20260121015811 35650 toray. XxZIedR1gICNgHsioOYzaZFgeOCUoH93u2gjNJcYbaEupSW/uEUdvcOKl32F6jdmoDlyXRGGcoR78XbsZSBon0+oqitKcSF6JQxgEqJKRJ+0dxqZTMToM8G9hDuPxg7QrXJ20CKfaZfV1kJtZ+f5cSXV7faoqmrZxIPWg8dn6JM=
electronics.toray.	86400	in	ns	a1-184.akam.net.
electronics.toray.	86400	in	ns	a12-66.akam.net.
electronics.toray.	86400	in	ns	a14-65.akam.net.
electronics.toray.	86400	in	ns	a4-66.akam.net.
electronics.toray.	86400	in	ns	a5-66.akam.net.
electronics.toray.	86400	in	ns	a7-65.akam.net.
elkkrpod847rdivj7b7q3lntgm1icjt1.toray.	3600	in	nsec3	1 0 0 - FDF09P4PEBG7I5AK8OOHSM8RKQR8UQ6G NS DS RRSIG
elkkrpod847rdivj7b7q3lntgm1icjt1.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260129062050 20260122053512 35650 toray. q6WvcoyKA3Uupf8UBpDxNuVW6LgVTCDVwOznhKT1VKgAYZs4o5EL4Y+fbIw1S7cXwcEWbVHdJCXz9JSulkflY0Ly1SjvU6BjMOy4ewMTMMfRh4gOEkrH8PMCOG3fQNwU4trumVC7GV3+aluHK8x5OGUk2mZ42JIAkU5p5b3tKP0=
europe.toray.	86400	in	ns	a1-184.akam.net.
europe.toray.	86400	in	ns	a12-66.akam.net.
europe.toray.	86400	in	ns	a14-65.akam.net.
europe.toray.	86400	in	ns	a4-66.akam.net.
europe.toray.	86400	in	ns	a5-66.akam.net.
europe.toray.	86400	in	ns	a7-65.akam.net.
fdf09p4pebg7i5ak8oohsm8rkqr8uq6g.toray.	3600	in	nsec3	1 0 0 - FIAVUPPMDV5J0ADUNAFTETG54K268R3U NS DS RRSIG
fdf09p4pebg7i5ak8oohsm8rkqr8uq6g.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260129132431 20260122041626 35650 toray. Jrfgb1hnLwO6YGXxqoAMPUEluGH9/dzlB2JJ2AGM5pcDfXIQ0H7nHliUBgXpW4TZoA1UUQL6qMHRkhMWy2QuVvA2wL8rVw3srOf92c8g6jrR17ehmS3gq0zugCrHDvD0jXRAbUiG8W28/YLiIM3IDDdM2p5bgeBrF5/IVXa+dps=
fiavuppmdv5j0adunaftetg54k268r3u.toray.	3600	in	nsec3	1 0 0 - FJB3M7GAGSJ2QI2BT84845ST60TJM9HO NS DS RRSIG
fiavuppmdv5j0adunaftetg54k268r3u.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260128023003 20260121011311 35650 toray. Rd68BM9zIaWDNDkFQycLYqFvoMNY40tgCJ+6tQKzmnhuvcrDO6JzJxhn5i8dikUk8sA2lBYSvAeq0oLWcWhzc8sZ4eUXk2jJklPM6H1RHJs6nirAD0AEje1S4IPDzKKcaIXVH6UwFx5/UTyGfZUvkyaPTmROCop2tePD/ylKpfE=
films.toray.	3600	in	ds	54329 13 2 2AA5431AE0809D58D8DB745198B4DEF6F178AB5E566DC4C3742D668A836E36FD
films.toray.	3600	in	rrsig	DS 8 2 3600 20260130142426 20260123160016 35650 toray. gqAqQYForL67kuFd+sl6+gdA1DduTiXzV7m2nxJv4C82dEq/ALC//Ceeb2a6VyBczFqGsW8OMih+K0sY8/Jn/LQ4xPe61MXfcFybelY7PrScSM+j9AeTy47OkRlyobWsE0YrEy3LADN1nFHw8B8B2+XLO0KX0qGFoPrO+88ekMQ=
films.toray.	86400	in	ns	a1-184.akam.net.
films.toray.	86400	in	ns	a12-66.akam.net.
films.toray.	86400	in	ns	a14-65.akam.net.
films.toray.	86400	in	ns	a4-66.akam.net.
films.toray.	86400	in	ns	a5-66.akam.net.
films.toray.	86400	in	ns	a7-65.akam.net.
fishing-labo.toray.	86400	in	ns	ns-1426.awsdns-50.org.
fishing-labo.toray.	86400	in	ns	ns-2032.awsdns-62.co.uk.
fishing-labo.toray.	86400	in	ns	ns-488.awsdns-61.com.
fishing-labo.toray.	86400	in	ns	ns-671.awsdns-19.net.
fjb3m7gagsj2qi2bt84845st60tjm9ho.toray.	3600	in	nsec3	1 0 0 - FPRQBG8155KE2P29PUKQVO7NM3UI0JSP NS
fjb3m7gagsj2qi2bt84845st60tjm9ho.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260128185259 20260121170609 35650 toray. J0C3aYGYWwFTsglpBJLDHnp/Ap+1vGx+BO9kT/H2jXLkBNHlnuSOsu87A1bDTKTGNrgZbi15tq/XKTmH6WvkJQ6Z4lWJqNty13XUEiJH2P4LY/ZSnR2mCae0TJ2rBSpImKx2gKxYWNH43IV0g08Tyk8c1Z4XQ51/Erypc9PSFlY=
fprqbg8155ke2p29pukqvo7nm3ui0jsp.toray.	3600	in	nsec3	1 0 0 - GJI771RK944OCTJKUBIT17ORTFITF8EG NS DS RRSIG
fprqbg8155ke2p29pukqvo7nm3ui0jsp.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260129083318 20260121204111 35650 toray. Qj7J4TtWHFAXZKmh1jyEo9Lp0p5cgTijfnFJwuKMkkMQ4XY9n6TxI92Krspab96PHDptmBWODpVTRFP/sdO04lVleLxTeE5kI2KqojBPH+yD0cuwB1UDs8hk4b/YN6XolIHubd16nmwq1HX1OqtJjuvHRyJ0J+4DsUcgE7sTT/w=
fukushikai.toray.	86400	in	ns	ns1.xbiz.ne.jp.
fukushikai.toray.	86400	in	ns	ns2.xbiz.ne.jp.
fukushikai.toray.	86400	in	ns	ns3.xbiz.ne.jp.
gji771rk944octjkubit17ortfitf8eg.toray.	3600	in	nsec3	1 0 0 - GVM6RUD0Q8DC547597R0J7LT2BN5E7HE NS DS RRSIG
gji771rk944octjkubit17ortfitf8eg.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260128070509 20260120224812 35650 toray. GStUlKtgFHYQ3Fspyf6UCeTec1VCuYraAVgXCUyK5yedBFy9LvNkyb/nAkXo8WpU3/x9LyvVf+ohVAcu6DXkxcOLj6slivwxQxVkwiqA2QHMl5WSUPFCS4jAx+NOxkgT1JuMSkHX1cF/nNygGEVeUqf4gVmZoojJNPavAbgMSJc=
global.toray.	3600	in	ds	10429 13 2 8293F6247279B15AC84316EEC17EEDD2327A281A19DE1DC63AB02EDF100E2ED9
global.toray.	3600	in	rrsig	DS 8 2 3600 20260131145418 20260124022220 35650 toray. XQzrWzfxnmBt5u1iTXR2Z/Z4VAixzU6bbPGN+n9VnXEHhWlhq99Rm8x3TySq8zvp67kG306Z3LcD5qPwVaumnn8rELyg9PeAyP5Us3Bv5ixU0Kc0DXnKqRzUJVRHsZnahB/IJCuXQ31U/nEalt/bsJrtqrWH1FdJCSz6/sfeylw=
global.toray.	86400	in	ns	a1-184.akam.net.
global.toray.	86400	in	ns	a12-66.akam.net.
global.toray.	86400	in	ns	a14-65.akam.net.
global.toray.	86400	in	ns	a4-66.akam.net.
global.toray.	86400	in	ns	a5-66.akam.net.
global.toray.	86400	in	ns	a7-65.akam.net.
guest.toray.	3600	in	ds	21420 13 2 BCA94B8CA9D8BA6D638E804AA2D8B18A46A0127D44A758536208930947C9E40D
guest.toray.	3600	in	rrsig	DS 8 2 3600 20260128214102 20260121202611 35650 toray. a0Si0RUukaPC1H62EYvzGDE9mJ2gr3Hv+a1AMIbdgXubF8eFicOKijOELIXfK2+W/PVjLEDi/lqKQscC8r8R6HhyrKNC1LKwBUH2FgDnBUzdmjQnQmBmQoGdLS9TlA04C8DZNyT+d/7TGYkqkobbt/fU4WIBSoanLIKJxE0IOfc=
guest.toray.	86400	in	ns	a1-184.akam.net.
guest.toray.	86400	in	ns	a12-66.akam.net.
guest.toray.	86400	in	ns	a14-65.akam.net.
guest.toray.	86400	in	ns	a4-66.akam.net.
guest.toray.	86400	in	ns	a5-66.akam.net.
guest.toray.	86400	in	ns	a7-65.akam.net.
gvm6rud0q8dc547597r0j7lt2bn5e7he.toray.	3600	in	nsec3	1 0 0 - H899HFP6G8VJJ18P0V446P09HMK7F4L3 NS DS RRSIG
gvm6rud0q8dc547597r0j7lt2bn5e7he.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260128100019 20260121095310 35650 toray. sb2OGduuQJERQcTiKREBcNj1royevze7rs5JrumWqXS1mBSleERG93hJt9HsL2Hg6HWWGLiW8dcIw9GJFv0YrLj/NFaxNrYMRDw77gTLKY4aJYW1ZA0zLVkRxqR61UgX4UsCBUEgFJBjHP4J9v18k8yG4c9iIW/NYNFYBvxEUH8=
h899hfp6g8vjj18p0v446p09hmk7f4l3.toray.	3600	in	nsec3	1 0 0 - HB11V3B4VDASOEHT5U7LTCH5JGGHTF16 NS DS RRSIG
h899hfp6g8vjj18p0v446p09hmk7f4l3.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260127183932 20260120114119 35650 toray. KAqnQp6N8KGhkcbIgwcoTbpvRwifeT7DRF1HjBiX063rjDluTBZ5H3DQFwHHRr5ASCE+sHgPRzgAcg2YW0TTlxBzALyKU+1D8N9G8cFUksB1S2I9/PAOLx4k5m2XaTr1RtHaDg/Y5ep3lLQKooczfcL2PPU0yB0dEpdqvsLKHeQ=
hb11v3b4vdasoeht5u7ltch5jgghtf16.toray.	3600	in	nsec3	1 0 0 - HF17N03KP8V758CSTNDI44AMRSRCILS3 NS DS RRSIG
hb11v3b4vdasoeht5u7ltch5jgghtf16.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260128205759 20260122043126 35650 toray. NLO1EfWSAd10j0KSHNsxXM+/5lnhVsmI/YW2e54CPUU29D4ssKF4PqBI2bEj7bZV8bYQnioZhgWQESTjj+k6AX0bJBldSMNuuEulP8JDNCIVdpCX1neb/0HESHxk2a7pfN6ZEWieBxIQBuDR+HEi2EFSJZHFyC7S99I2Mx+PFQ0=
hf17n03kp8v758cstndi44amrsrcils3.toray.	3600	in	nsec3	1 0 0 - HG07125B934TTHTH4RP50433962BA5E3 NS SOA RRSIG DNSKEY NSEC3PARAM
hf17n03kp8v758cstndi44amrsrcils3.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260130025750 20260122231017 35650 toray. JzeFFoSdtaCV9VW8QHgBZm/QOIH8jYYYyu8gUGW2+YF68vo2fkFQbxftdvQi3NvEaO275Dk+ru5ZBLZEiENVLlt6tXghiRDBikA3D6jbX9iEE1beg6nnNSokhmWyXc9t5g6v2o/otY8VELMsUhOaVKCER1cZS8/N9HZ3w0GYE0g=
hg07125b934tthth4rp50433962ba5e3.toray.	3600	in	nsec3	1 0 0 - HTQ3B7UOR9D2ISDVOFSFUU335OR5L4NK NS DS RRSIG
hg07125b934tthth4rp50433962ba5e3.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260128015029 20260121060547 35650 toray. pvh591iYK86xPF9Z29puidVs3Qk6bdMKImbMDxS68LhBf6Uiup77GTl4ETJcWU3sEBsyXbcUONWyAD+wbKHUwRU+HRRTgilXwgFVW5A0oSp2XxiQAxXusei9298uola2xn6UgSKLVyYWHnBdSUoxTZvDcFEgo9E1LIANdpEUzYw=
hitoe.toray.	3600	in	ds	8874 13 2 B615A4B81A15AB6BD2A378C42223F975B0D68D5F003E9B8DB8243E99525716A2
hitoe.toray.	3600	in	rrsig	DS 8 2 3600 20260131115319 20260124053018 35650 toray. ralZOVqZd0Q+KW2lbGEa0CRU7W69WVRhG/iUHl6i32i9O8SHvHYYNroNVAhJhvnnkbcUd4XZoShPEHct4M1AH+N8ckHPLBpJcb6F/Ohy1ln/8o7VfXIF4J/TGXU/Jtd8TA37HmzCuD4VEJUAQYWAfrxtZwX9tPg7xqgWiuKG+EM=
hitoe.toray.	86400	in	ns	a1-184.akam.net.
hitoe.toray.	86400	in	ns	a12-66.akam.net.
hitoe.toray.	86400	in	ns	a14-65.akam.net.
hitoe.toray.	86400	in	ns	a4-66.akam.net.
hitoe.toray.	86400	in	ns	a5-66.akam.net.
hitoe.toray.	86400	in	ns	a7-65.akam.net.
houi.toray.	3600	in	ds	23741 13 2 A537CD21A53C679454D5EF1BBF6CF6285113B3BD641CE1073ABA43C4BEF6BE6F
houi.toray.	3600	in	rrsig	DS 8 2 3600 20260131081417 20260123205018 35650 toray. hWqqEaZEzaxf7NLN8PnADKdr1RzkjlhG3cG+aoZ9QhthQbz9W6efUw1aepfsEnh5amO1HQY9cw/01VrjvjCLBPaq3MESsF6LOOVW1zykEQYI2cw/9sNYjbb1SVq6Z5/DFnNWezyU5kXNcIxwqOCRpb/bqXbdXw0Va0M9JeRTais=
houi.toray.	86400	in	ns	a1-184.akam.net.
houi.toray.	86400	in	ns	a12-66.akam.net.
houi.toray.	86400	in	ns	a14-65.akam.net.
houi.toray.	86400	in	ns	a4-66.akam.net.
houi.toray.	86400	in	ns	a5-66.akam.net.
houi.toray.	86400	in	ns	a7-65.akam.net.
htq3b7uor9d2isdvofsfuu335or5l4nk.toray.	3600	in	nsec3	1 0 0 - IJ630JGBBHJ9H6FH7L8MHH56RP6L6C2J NS DS RRSIG
htq3b7uor9d2isdvofsfuu335or5l4nk.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260127042524 20260119180210 35650 toray. Csv5cTfZDNvx/9eSjWzPMBY0OoqX5YIijIL5vWR9xuw38eU2UEj+xoFG1Lw0H9TIEkMFrC1b7UTwhUWM+hYDUjJkg5AomZtisqG7+kH4pL/EexyI2EoE9w/IRfCFs4SO2NdnZLGpSrfZCh45KhcCbuS8ZegQ0dBpwRQzl3bT/eU=
ij630jgbbhj9h6fh7l8mhh56rp6l6c2j.toray.	3600	in	nsec3	1 0 0 - IJKETJC8JQFJI0QO8MQDONU64RNK21KS NS DS RRSIG
ij630jgbbhj9h6fh7l8mhh56rp6l6c2j.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260130032147 20260122203219 35650 toray. GX0k4NeemMXXGGU3OTWnOTqOydpH1aPT9pmdxiCDDU7WTyoRFmisAZNU+EEpLsmUARccc2FZ2QzAzCmJVoKxdFDgi3PKtBZECoh+fkBkow2vSgvNcfaJItkuFajWAx1T4IJLQvL8TkAUhqTKZ+ExTgfJQ/PN/6cc9WGzNENqsrA=
ijketjc8jqfji0qo8mqdonu64rnk21ks.toray.	3600	in	nsec3	1 0 0 - ILUJHA025P6M70QBNBRTFE3U4KNRK65P NS DS RRSIG
