gent.	900	in	soa	ns0.centralnic.net. hostmaster.centralnic.net. 159316 900 1800 6048000 3600
0uteom3lkmcv1pg3u57kj40pl7hcrmjv.gent.	900	in	rrsig	NSEC3 13 2 900 20260120121308 20251221104308 48473 gent. 4nV3g0FcSr2pUvKwyWRrV6CnD0qdeSeKlEvhJ0fkAiBkShyEMjkIGOIhc6tNFC3ENXll70+oRyVb/q+hWjaFDg==
100i50ufp7bpp9o4m0eg5md6bb32aq1q.gent.	900	in	nsec3	1 1 0 - 10EOE2I47BU9GS9NCR6652JSETUBSLOL NS DS RRSIG
100i50ufp7bpp9o4m0eg5md6bb32aq1q.gent.	900	in	rrsig	NSEC3 13 2 900 20260120121308 20251221104308 48473 gent. tY8mS0mYV5ukJaTLED8yfZn3LLjR5Hfsdtmwc0rqtB05YptDQgB1PRHZ81fGGjJxSsELQwHNdgQUWvAFWOFEwQ==
101.gent.	3600	in	ds	18453 13 2 45F80E650C0CDFB00A8F184D55063C7AC01CF4946E05E2B1BE43F34DDEECDFEE
101.gent.	3600	in	ns	ns1.combell.eu.
101.gent.	3600	in	ns	ns3.combell.net.
101.gent.	3600	in	ns	ns4.combell.net.
101.gent.	3600	in	rrsig	DS 13 2 3600 20260120121308 20251221104308 48473 gent. y/dsaI4GHVphdqS/8Qa8uOF8GtTi84a00yJiuGwJLT6nPgNvZ3y7EuO8h34fTeKX+SpSVQ0hDZCe9anoyDQvJg==
1010.gent.	3600	in	ds	63873 13 2 36B0C81AC47D385445BEE5B2D7427556767AB6598FDB978B06741AA1392FB5CF
1010.gent.	3600	in	ns	ns1.combell.eu.
1010.gent.	3600	in	ns	ns3.combell.net.
1010.gent.	3600	in	ns	ns4.combell.net.
1010.gent.	3600	in	rrsig	DS 13 2 3600 20260120121308 20251221104308 48473 gent. qY13ixU56f3s+Ky3zhLtOo6/LcPaWQTh5ViNMnc4Y1enLBYDdNSwu+YMeZ5ZGfkWx5zCpJ8g0tkt74GMSLovEQ==
10eoe2i47bu9gs9ncr6652jsetubslol.gent.	900	in	nsec3	1 1 0 - 10K8S6EQNBRSGIEIFRR4T89JGFO72AJH NS DS RRSIG
10eoe2i47bu9gs9ncr6652jsetubslol.gent.	900	in	rrsig	NSEC3 13 2 900 20260120121308 20251221104308 48473 gent. Ae+cQzMuXkCbMrAEUMh8+zSKQGQUbzm4I5/wiAGjV2u0KmQNLUtfXMMc4cmPCA14HZXUS+8oTmPh+rB9gRpuTg==
10k8s6eqnbrsgieifrr4t89jgfo72ajh.gent.	900	in	nsec3	1 1 0 - 10QR371T2GP8NB0UH9CU9CSADFMOASNQ NS DS RRSIG
10k8s6eqnbrsgieifrr4t89jgfo72ajh.gent.	900	in	rrsig	NSEC3 13 2 900 20260120121308 20251221104308 48473 gent. eSzpnZJLw+gG71Grd1Jz+hNnmec4sVyP28k8Hv+aolrZYlB44AuVleKi8aHuMeWAXjy9J5lKh+QGAhQnzpEkRw==
10miles.gent.	3600	in	ds	43281 13 1 7975BF174068F9033AF35686D55D32587E6A3675
10miles.gent.	3600	in	ns	ns1.combell.eu.
10miles.gent.	3600	in	ns	ns3.combell.net.
10miles.gent.	3600	in	ns	ns4.combell.net.
10miles.gent.	3600	in	rrsig	DS 13 2 3600 20260120121308 20251221104308 48473 gent. 089JFJq4E8sQ6TsA+NlFb4TuBc1vmEaPRoBGHlhNRgPjEnF7WjQG2MLokAx+62+bK1yzdJY7kuTJ3j4zrKhg4A==
10qr371t2gp8nb0uh9cu9csadfmoasnq.gent.	900	in	nsec3	1 1 0 - 11K96FO1UNOUHCDOEQ10GQU8Q0DB4OPT NS DS RRSIG
10qr371t2gp8nb0uh9cu9csadfmoasnq.gent.	900	in	rrsig	NSEC3 13 2 900 20260120121308 20251221104308 48473 gent. +FB4Owz0YwxJuteZPr/9PxUhexmNbo4m2DxSzxZSza5s/meim2nb42BoDucfj404wMsiGt4I2rj0xGq1+mbFUg==
111.gent.	3600	in	ds	6419 13 2 3A959F228FBFE8A03AD83F802AA049881BA59B81D772A0BA4FD3376E80643345
111.gent.	3600	in	ns	ns1.combell.eu.
111.gent.	3600	in	ns	ns3.combell.net.
111.gent.	3600	in	ns	ns4.combell.net.
