00gomklb0nt0g86kpj4g6qi73ohrdnlv.hair.	900	in	rrsig	NSEC3 8 2 900 20260120154643 20251221141643 35808 hair. AxmbUIy2yEuRQdrrAi3HJG0DuYpv/8XdAH0JQa2nTZoyP8wnkx4kZfsCe+pWQjjwa5Phj/4zDSoj7DiSHu7Oq4PsbuM8jz0vXpXXwOnqSIlunpsnf8BZ9tlbrp7+jgJIB7SV7RUvkxjgfXmc7UiJ4Q+82wqNsSlUmEE7KlAqaezpGhHgTYg7w4emJp8zYnQqU4tBW6+sbVRNvCScxU6uCg==
00lk3kv75vlsccaojmdfu9vaahpmcf1d.hair.	900	in	nsec3	1 1 0 - 00U78QC7VADAFVUOQHP4SCRPIRP0L3IR NS DS RRSIG
00lk3kv75vlsccaojmdfu9vaahpmcf1d.hair.	900	in	rrsig	NSEC3 8 2 900 20260120154643 20251221141643 35808 hair. H2WdEPzW9SXViAyVmvNVFVT+/q8tburK2CkljaprXqdWTKWPrNPSvwFx1jVarokztx5VVmby252Ds/Acua3MTn+7BhXOEC7R61SFPcED3XZTg/b4jYk40MCAwwZitVwqQOwora9V/FVrtSd/wbKcNiMdVp4rLDjIF2IhvXiiMmdaS4C8TfJ8hoN2CaMH+qsR8A3FL84uOrf3AU0ss3y/gA==
00pws4.hair.	3600	in	ds	65198 13 2 87E360D07D4882F37AF077A6F1463CF3FABE744EBD98F851F30BC382A6B48BD8
00pws4.hair.	3600	in	ns	launch1.spaceship.net.
00pws4.hair.	3600	in	ns	launch2.spaceship.net.
00pws4.hair.	3600	in	rrsig	DS 8 2 3600 20260120154643 20251221141643 35808 hair. awcgCSP0iSl5tvvt9xOwg7h3gZBf89eW5YZp1rRD36UpSQmu5SvQLDl+mik/y+yYc1f6PfU9tNTgtOmlRD6ufj9ky4UpIXuQmIWaywYIfpom6qLOXw4sZ5uFujM88M4ozhTe7NxF/3Egvg27DVVH9IVXUOVqz1PamlQDGi7MPC06EDeLawZeB7uYe1reYt68N1F+w7Z7jsYqgpp5jRW8ug==
00u78qc7vadafvuoqhp4scrpirp0l3ir.hair.	900	in	nsec3	1 1 0 - 01S9FMJ2OLGREM6QHSONPGUB29I3VT9C NS DS RRSIG
00u78qc7vadafvuoqhp4scrpirp0l3ir.hair.	900	in	rrsig	NSEC3 8 2 900 20260120001134 20251220224134 35808 hair. joZJnUUo/Qx6vcJsn8vtw7MYDNN8PX6QKxZV2Rs0DTDP9n/+4TgM9EKsYaWiZTNF0hJ+J68loYJIn7FL3So0s1TQcGG10zT1MDax68inB5CZUyzCeHU6JKBnyh3l+lTcFLW08rXBNU5rfnmxL7b/stt+NvUHlO5O6IcDD3JZBYOxhhQ/IuejpvObl5x6y0oNlllnbdSYe2mVpWMzwwb/xg==
00video.hair.	3600	in	ns	ns1.afternic.com.
00video.hair.	3600	in	ns	ns2.afternic.com.
01-02tp.hair.	3600	in	ns	dns1.registrar-servers.com.
01-02tp.hair.	3600	in	ns	dns2.registrar-servers.com.
01.hair.	3600	in	ns	curitiba.ns.porkbun.com.
01.hair.	3600	in	ns	fortaleza.ns.porkbun.com.
01.hair.	3600	in	ns	maceio.ns.porkbun.com.
01.hair.	3600	in	ns	salvador.ns.porkbun.com.
011dl.hair.	3600	in	ns	erin.ns.cloudflare.com.
011dl.hair.	3600	in	ns	houston.ns.cloudflare.com.
012dl.hair.	3600	in	ns	erin.ns.cloudflare.com.
012dl.hair.	3600	in	ns	houston.ns.cloudflare.com.
013dl.hair.	3600	in	ns	erin.ns.cloudflare.com.
013dl.hair.	3600	in	ns	houston.ns.cloudflare.com.
01536767.hair.	3600	in	ds	42955 13 2 C51CCAAC8806A83AC5172C9737FC70E01BF82789038F3B911E98C36E99E1E9B3
01536767.hair.	3600	in	ns	launch1.spaceship.net.
01536767.hair.	3600	in	ns	launch2.spaceship.net.
01536767.hair.	3600	in	rrsig	DS 8 2 3600 20260120154643 20251221141643 35808 hair. pyLLBtsHHdagsn9UUlQWJUGu/npzcrY69rmqNR090d+CWli0m+lSMLW5WhFnqbV6jJIBa1yDxHuYVburzfeAwkdxVRHfZ1OPnNJ6dkTcSBSGRrAQIjTj+Zr6pMO3nrzUqbPiqIbB9S9WE71Tn8jqELyAUOq6dJNfW7Vd0+ynjWq8ojK185aaYlQxDusW4HIAMmd3KflFgR0gI3sjNt/i1Q==
015dl.hair.	3600	in	ns	erin.ns.cloudflare.com.
015dl.hair.	3600	in	ns	houston.ns.cloudflare.com.
016dl.hair.	3600	in	ns	erin.ns.cloudflare.com.
016dl.hair.	3600	in	ns	houston.ns.cloudflare.com.
017dl.hair.	3600	in	ns	erin.ns.cloudflare.com.
017dl.hair.	3600	in	ns	houston.ns.cloudflare.com.
018dl.hair.	3600	in	ns	erin.ns.cloudflare.com.
018dl.hair.	3600	in	ns	houston.ns.cloudflare.com.
01dibb.hair.	3600	in	ds	43422 13 2 AE2ECD00F9CA3640B7CBB46F6AE55326461BDC6CDBC083DE7056558FDB1D0D9E
01dibb.hair.	3600	in	ns	launch1.spaceship.net.
01dibb.hair.	3600	in	ns	launch2.spaceship.net.
01dibb.hair.	3600	in	rrsig	DS 8 2 3600 20260120154643 20251221141643 35808 hair. OcWZFXzVM5BgHABxbUYxaqGa/cmaDZEw3FwyyQ7ssp6iZZB3z+TH7mcWr6sxN3el87cbQfnmUwA+k8HFdt4UPxhAZvnjisOJG5SRZYyZ1izegO9c2uzkENvswM7pa5S7ZPhiCmYRNQy30M7w6Dgd1aj6c6mIuGHOfrH7hjyppWkDTG94a9AKUkrZG84zZfXapLsmxoBtgFh4aa44iOQh5w==
01s9fmj2olgrem6qhsonpgub29i3vt9c.hair.	900	in	nsec3	1 1 0 - 02CM4AP7RRHKT5MPFLVMVE2HOOS4UFQ0 NS DS RRSIG
01s9fmj2olgrem6qhsonpgub29i3vt9c.hair.	900	in	rrsig	NSEC3 8 2 900 20260122161132 20251223144132 35808 hair. T5fzFnVTZ8typXFqoHpf/87FdFiQvuhmQRW+DmZTxl/uUM6cHVnB7FYrk5ILzPwpg88pH2PI1vTu1uZY6BCgh13tPTY81scmpgPQEshBkFot9rPRpJRbL1WzmhrDKEsoDt9T8WftJNkedoqm59dSBdEkZZnSAsdpckRvcjPgDD+0/jryX3IvHAADk0K2qQBs3jlGu+Q93Stqp/Mia0BYrg==
02.hair.	3600	in	ns	curitiba.ns.porkbun.com.
02.hair.	3600	in	ns	fortaleza.ns.porkbun.com.
02.hair.	3600	in	ns	maceio.ns.porkbun.com.
02.hair.	3600	in	ns	salvador.ns.porkbun.com.
020312.hair.	3600	in	ds	35736 13 2 07AD7515E13AF325C39B83C55F9DAEFBF85B6631C3F72ADFE4501D5762EF224F
020312.hair.	3600	in	ns	launch1.spaceship.net.
020312.hair.	3600	in	ns	launch2.spaceship.net.
020312.hair.	3600	in	rrsig	DS 8 2 3600 20260120154643 20251221141643 35808 hair. VTY4URe9vDrKbYxWXwnRlZVVIUfMIYZnxvStLKCOqxjl44yRyYHbPjoMd8y2uFDanAPTmAuK6v1bpsQuLzjPgCCldmgrkFtiNr69ufBQls4dvpIsNpsbjyXzvcYsqaf2Umm+rACis6c96w9++67JJvZYD39jI08s3+97HQVPyRXqIBPPloSTmiTydE+jy9b2xRMrMqYoDB8l20yj4nRsAw==
0209.hair.	3600	in	ns	bethany.ns.cloudflare.com.
0209.hair.	3600	in	ns	rob.ns.cloudflare.com.
020dl.hair.	3600	in	ns	erin.ns.cloudflare.com.
020dl.hair.	3600	in	ns	houston.ns.cloudflare.com.
021t.hair.	3600	in	ns	curitiba.ns.porkbun.com.
021t.hair.	3600	in	ns	fortaleza.ns.porkbun.com.
021t.hair.	3600	in	ns	maceio.ns.porkbun.com.
021t.hair.	3600	in	ns	salvador.ns.porkbun.com.
0225.hair.	3600	in	ns	bethany.ns.cloudflare.com.
0225.hair.	3600	in	ns	rob.ns.cloudflare.com.
023956.hair.	3600	in	ds	16498 13 2 DA443ABE61994829717D1AC2406263BC12161292C4240A82F04C4109F65FE540
023956.hair.	3600	in	ns	launch1.spaceship.net.
023956.hair.	3600	in	ns	launch2.spaceship.net.
