025v51.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0261618.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0261618.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
026310655.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
026310655.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
02640901.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
02640901.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
02643989.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
02643989.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
02644531.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
02644531.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
02651792.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
02651792.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
026763862.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
026763862.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
026859835.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
026859835.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0269732944.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0269732944.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
027087603.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
027087603.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0271053814.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0271053814.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
02772468.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
02772468.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
02772765.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
02772765.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
027944472.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
027944472.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
027qct.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
027qct.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0280008.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0280008.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
02926375.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
02926375.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0293391806.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0293391806.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0295765079.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0295765079.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
02lsg1a.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
02lsg1a.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
02pc0j.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
02pc0j.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
02qc62.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
02qc62.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
030008140.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
030008140.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0301.xn--t60b56a.	172800	in	ns	ns1.hosting.co.kr.
0301.xn--t60b56a.	172800	in	ns	ns2.hosting.co.kr.
0308946594.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0308946594.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
03101566.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
03101566.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
03107141.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
03107141.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
031314842.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
031314842.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0316280242.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0316280242.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
031698854.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
031698854.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0317718832.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0317718832.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
03215652.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
03215652.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0321679997.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0321679997.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
032329431.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
032329431.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
03257924.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
03257924.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
03271943.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
03271943.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
033005882.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
033005882.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
03325132.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
03325132.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0335991637.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0335991637.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0336734641.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0336734641.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
033676523.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
033676523.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
033811049.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
033811049.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0339183397.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0339183397.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0340647678.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0340647678.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0341372780.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0341372780.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0343868694.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0343868694.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0344991484.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0344991484.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
03475487.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
03475487.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
034871058.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
034871058.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
034957g.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
034957g.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
03528092.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
03528092.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0356046.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0356046.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
03567645.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
03567645.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
035815338.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
035815338.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
03588749.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
03588749.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0359508.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0359508.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
036040363.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
036040363.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0360665310.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0360665310.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
036149948.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
036149948.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0361676494.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0361676494.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
036308762.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
036308762.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
03697326.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
03697326.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0375892662.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0375892662.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
03762362.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
03762362.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
037qka.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
037qka.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
03835257.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
03835257.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0385216.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0385216.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0385621011.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0385621011.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
03910282.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
03910282.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0391855234.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0391855234.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0393719538.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0393719538.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
039430908.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
039430908.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
03h2pw.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
03h2pw.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
03hbi0ci.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
03hbi0ci.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
03iuy99.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
03iuy99.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
03myef.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
03myef.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
03n55h.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
03n55h.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
03ol0p.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
03ol0p.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
03puqs5.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
03puqs5.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
04026933.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
04026933.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0403669485.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0403669485.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0405.xn--t60b56a.	172800	in	ns	ns1.hosting.co.kr.
0405.xn--t60b56a.	172800	in	ns	ns2.hosting.co.kr.
