02989.mov.	10800	in	ns	n2.xundns.com.
02atdmqt24j06rq3vdkjh3je7aqfcpea.mov.	900	in	nsec3	1 0 1 5230C18414B3894A 02CDFQ6CFKBOCBH6GIB2HR00IFPKVRF0 NS
02atdmqt24j06rq3vdkjh3je7aqfcpea.mov.	900	in	rrsig	NSEC3 8 2 900 20251001024148 20250909024148 6535 mov. KzBVDxUPRM8TgPpgU955vX+527NRxnoQb0L+PIA7iyyqJoAAFgYD1Lb1dNPKOTs75hbWOfEkbHZMYWR/awyOQ5In6k2kcS5xOzK2Do6CvMKAbidQxBc1h7enT1roFsOatSTfZhBTLHXuB52W2HNF/HaXttS8ZqNbEDV/skZK7iE=
02cdfq6cfkbocbh6gib2hr00ifpkvrf0.mov.	900	in	nsec3	1 0 1 5230C18414B3894A 02IN6LE1VGLCRNLAN41D0M0AMN42E9DN NS
02cdfq6cfkbocbh6gib2hr00ifpkvrf0.mov.	900	in	rrsig	NSEC3 8 2 900 20251001024148 20250909024148 6535 mov. Jbz8TT43az6YyoDXOCwypbgCQTYjh4q4U0vAgAP9UTCs9tEZP4tqVhc6n8CmqNXu4vcsNdQ3ahqAONXCeQyLLekwWFGR9Ubv2c57lrpFPm9XiEU1GiEZY2XlHWXUs5BkQvChbf9kCp0SDR/k9i4bfvDnMpDElGm9bv1SXGFFtOc=
02in6le1vglcrnlan41d0m0amn42e9dn.mov.	900	in	nsec3	1 0 1 5230C18414B3894A 02J8J4V3J70BH3245PSJF60L3PRA5M9A NS
02in6le1vglcrnlan41d0m0amn42e9dn.mov.	900	in	rrsig	NSEC3 8 2 900 20251001024148 20250909024148 6535 mov. D9tEYnN/qhCSvCJpAeOtL3mzBVKV0skTmjH/Lsyo5n0ZMLKXUt2s2WSkCwsU53pc+62bMjUIgW6wYVMKoMyV5NgltSFmF/iZbn/RxfbvPzyD1TtCeE32d2GLawh+m5zfPCQRamws1xoxWD2WDKPTqRwLDHNg+ZvVyJJ1oDLTR0g=
02j8j4v3j70bh3245psjf60l3pra5m9a.mov.	900	in	nsec3	1 0 1 5230C18414B3894A 02VJ1PH8U7LEA8UPEM4K4ETSOS4V2T9O NS
02j8j4v3j70bh3245psjf60l3pra5m9a.mov.	900	in	rrsig	NSEC3 8 2 900 20251001024148 20250909024148 6535 mov. ImOUSQiS7pr8huLgz9O0Ml6s6XJ+I2jzTeW3/6MNEBHzDWw2V3c/kWy7VZA4/Yk2CGdU23t7Le4JDGau44tYhsZDMCf25zyYrgFrwl0uIjx07dJA6N3tUQ5bVK7WK5TOboxZe8S9LSdbEKtdZI4OXMyicyM5iXZ2LpwLxP1B0s8=
02vj1ph8u7lea8upem4k4etsos4v2t9o.mov.	900	in	nsec3	1 0 1 5230C18414B3894A 035RG0D6O3QL6GLKN2UI6EVF5BF7OAP2 NS
02vj1ph8u7lea8upem4k4etsos4v2t9o.mov.	900	in	rrsig	NSEC3 8 2 900 20251001024148 20250909024148 6535 mov. QRvQSmc68l4exH3h0+ipzJ5sCVfQ0FwAu5IW0QlMpfvq7BgNhfHn5EA7Mtubl03GxMnC1PspD7ES2Rv0+FEGVYVY1szSWaZpa2b9qOt+tCr9ykRj5HqS24ZsCrQk1Krz7++tQNwHtSH5pdtXiWUdFLn3laBFCz1aUDT+vtDASzk=
03251.mov.	10800	in	ns	ns1.dnsip.com.
03251.mov.	10800	in	ns	ns2.dnsip.com.
035rg0d6o3ql6glkn2ui6evf5bf7oap2.mov.	900	in	nsec3	1 0 1 5230C18414B3894A 03DJP0TO61PH5BH1NQ5FDEE99F33HS2B NS
035rg0d6o3ql6glkn2ui6evf5bf7oap2.mov.	900	in	rrsig	NSEC3 8 2 900 20251001024148 20250909024148 6535 mov. CzAQJZvqzwzwhlxFe5VNxkkeHv62KAPtMCjtsh5vG7GawE43ec4HayeJvHl0Q2ZT2gljYMo+dbIHpUOMwMs1ikBarnyce29gRR5XN0udjSUjI0N/2t0X550TMrgICp5FAXwPvi23c7JSmcuPZnrzbgdf348r1SGHq9BgKU+6juo=
03749.mov.	10800	in	ns	n1.xundns.com.
03749.mov.	10800	in	ns	n2.xundns.com.
03784.mov.	10800	in	ns	a.dnspod.com.
03784.mov.	10800	in	ns	b.dnspod.com.
03784.mov.	10800	in	ns	c.dnspod.com.
03945.mov.	10800	in	ns	a.dnspod.com.
03945.mov.	10800	in	ns	b.dnspod.com.
03945.mov.	10800	in	ns	c.dnspod.com.
03970.mov.	10800	in	ns	a.dnspod.com.
03970.mov.	10800	in	ns	b.dnspod.com.
03970.mov.	10800	in	ns	c.dnspod.com.
03djp0to61ph5bh1nq5fdee99f33hs2b.mov.	900	in	nsec3	1 0 1 5230C18414B3894A 03IIS08JTGK1DO8SDQH1CP60A526MTO8 NS
03djp0to61ph5bh1nq5fdee99f33hs2b.mov.	900	in	rrsig	NSEC3 8 2 900 20251001024148 20250909024148 6535 mov. TRaT6SnO0NPqZdPd1RWuabzUB/MfegZfOcc0OhmOHrf3PCEooSmtJq6VApGCOSxAHymrrRlbATk83X21nNaVkq7dEV53bqunktskTYw6QEBFH90ZWRfAslQYf1oQZGeNKbgsNYE5oHazWkj7dnRUHtTRHRb1KsQt2CzJxIlD6Sw=
03iis08jtgk1do8sdqh1cp60a526mto8.mov.	900	in	nsec3	1 0 1 5230C18414B3894A 03NJ87DG3TRF7APB946D2S84HFINL5CS NS
03iis08jtgk1do8sdqh1cp60a526mto8.mov.	900	in	rrsig	NSEC3 8 2 900 20251001024148 20250909024148 6535 mov. WB0UZkqWtuBT5PTy/PW03bMjcKwZQ8vgXVUySw397Ta1DNB0jcb4JtUKR5TdfwntUvIDTVOfiCq5q6n9x9iajoJ4SjU5H7xeAiQLW8Ygo7qb9y5tdcVrAL1vcdS4F56JiZxkejkbCvYIaJmoRXiNzTP+O/FICATre+kwENhyB7g=
03nj87dg3trf7apb946d2s84hfinl5cs.mov.	900	in	nsec3	1 0 1 5230C18414B3894A 043K7RSH26AP0QVRFFGRQ4QU57CU0KSD NS
03nj87dg3trf7apb946d2s84hfinl5cs.mov.	900	in	rrsig	NSEC3 8 2 900 20251001024148 20250909024148 6535 mov. MNBfd5lvKwDBJqAhmq24/bKeMLlXn6N+5ZlHRH4QmLxgTsTDen0QDnvCtg4z+eiDvebYtiEYvjcZF21mxbAXu750OTK/rbmy5nUgdTbyD6aARxsBNIwd4KzhT8i8zTbDFWmYMjTxGp6GQ4sQ1rFjYZ8xl7La7N/OnW9aYZHZo/U=
04039.mov.	10800	in	ns	ns1.dnsip.com.
04039.mov.	10800	in	ns	ns2.dnsip.com.
04156.mov.	10800	in	ns	n1.xundns.com.
04156.mov.	10800	in	ns	n2.xundns.com.
04190.mov.	10800	in	ns	n1.xundns.com.
04190.mov.	10800	in	ns	n2.xundns.com.
04195.mov.	10800	in	ns	a.dnspod.com.
04195.mov.	10800	in	ns	b.dnspod.com.
04195.mov.	10800	in	ns	c.dnspod.com.
04205.mov.	10800	in	ns	ns1.dnsip.com.
04205.mov.	10800	in	ns	ns2.dnsip.com.
04327.mov.	10800	in	ns	n1.xundns.com.
04327.mov.	10800	in	ns	n2.xundns.com.
043k7rsh26ap0qvrffgrq4qu57cu0ksd.mov.	900	in	nsec3	1 0 1 5230C18414B3894A 04H35NT995T0ET5KFQECF9EADO0E3BOD NS
