6ypl49mwmfbri.hockey.	3600	in	ns	ns2.dyna-ns.net.
789bet.hockey.	3600	in	ns	kai.ns.cloudflare.com.
789bet.hockey.	3600	in	ns	wren.ns.cloudflare.com.
789club.hockey.	3600	in	ns	ace.ns.cloudflare.com.
789club.hockey.	3600	in	ns	betty.ns.cloudflare.com.
7b.hockey.	3600	in	ns	ns1.bdm.microsoftonline.com.
7b.hockey.	3600	in	ns	ns2.bdm.microsoftonline.com.
7b.hockey.	3600	in	ns	ns3.bdm.microsoftonline.com.
7b.hockey.	3600	in	ns	ns4.bdm.microsoftonline.com.
7r10d6jv14874p5em1avu5qq05t1a83s.hockey.	3600	in	nsec3	1 1 0 73 80NIT3TEUMBROP1ML8OMCJOS5HPCD0TJ NS DS RRSIG
7r10d6jv14874p5em1avu5qq05t1a83s.hockey.	3600	in	rrsig	NSEC3 8 2 3600 20250930152657 20250909142657 2526 hockey. Dc0NTH4UQfHi0po0pQYGtFIQycFw1Osj49d0e+kkYj+aVxnNGfDCfDw7e/6M882++2s1hJyrvkByg4cmU+gFz/tr++hPwIwqbT7tTcWxFfEgz63DhEwMbhB1Z34OO7vG6iuK5PZK8OfkLltfjlUc47HQ94iy/v5/0PLwUny79SU=
7starhd.hockey.	3600	in	ns	sara.ns.cloudflare.com.
7starhd.hockey.	3600	in	ns	wilson.ns.cloudflare.com.
80nit3teumbrop1ml8omcjos5hpcd0tj.hockey.	3600	in	nsec3	1 1 0 73 8DA4G80KOTQNOEGOJE19UJ7MRIS6D9QO NS DS RRSIG
80nit3teumbrop1ml8omcjos5hpcd0tj.hockey.	3600	in	rrsig	NSEC3 8 2 3600 20250930152657 20250909142657 2526 hockey. SFikK1x702mLrXflaBpxvrqPDafbk9H5YtGP3FiIMFkXXzWQk23UxeWVsDQX8uKLHIj7/XavR+5gy7KPExMk1/CkRZkFca094EDW6uADL4LGfwPCUuZIsgzoHyxiudzVkIEL89GSSpL0tJ8qplWtQwPar+2DzshWypkOzOAoE2U=
888.hockey.	3600	in	ns	dns1.idp365.net.
888.hockey.	3600	in	ns	dns2.idp365.net.
888.hockey.	3600	in	ns	dns3.idp365.net.
888sport.hockey.	3600	in	ns	dns1.idp365.net.
888sport.hockey.	3600	in	ns	dns2.idp365.net.
888sport.hockey.	3600	in	ns	dns3.idp365.net.
888starz.hockey.	3600	in	ns	dns1.registrar-servers.com.
888starz.hockey.	3600	in	ns	dns2.registrar-servers.com.
88clb.hockey.	3600	in	ns	celeste.ns.cloudflare.com.
88clb.hockey.	3600	in	ns	ruben.ns.cloudflare.com.
8da4g80kotqnoegoje19uj7mris6d9qo.hockey.	3600	in	nsec3	1 1 0 73 8FE167U43V2MP9E090VE2HNG8BNCPD4B NS DS RRSIG
8da4g80kotqnoegoje19uj7mris6d9qo.hockey.	3600	in	rrsig	NSEC3 8 2 3600 20250930152657 20250909142657 2526 hockey. 2ODY7xEiPZC3quzymLhJ+IXvq2sDmtkWW4R81bDMGMdIJZXbnVLycwEEz4hHc90St2TGaNFWutCZl574LAroZBqGgPC/bxFfY7Cu9RmdYT/Le+FRlWXc7ZIgVDqpzmt/zzHFRGPP9Yk8huRZWgVMQW9EDT8oMe5cksIqnndUqj4=
8fe167u43v2mp9e090ve2hng8bncpd4b.hockey.	3600	in	nsec3	1 1 0 73 92VGV3PUL4RLOPSSTAFN0BG2PUK2MFU6 NS DS RRSIG
