089.partners.	3600	in	ns	ns2.checkdomain.de.
089capital.partners.	3600	in	ns	ns.checkdomain.de.
089capital.partners.	3600	in	ns	ns2.checkdomain.de.
08o0hau5peujc9cmca5olpn9sun4tos4.partners.	3600	in	nsec3	1 1 0 73 08PD7LVJ6T5R7RPITVAC6OKM140D6TDE NS DS RRSIG
08o0hau5peujc9cmca5olpn9sun4tos4.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. i882Ad97fM0Iluq5yydzRPvyRvGtDNGbp6Mj7UgVU5nCebYZK39Qv5lmxGEFDCJC3WxmshTwljCCyljSzWcZhZmgKFQ1D0U0PqNghj5Su6hS5qwqP97w74Ekx9vv4GZqjzP4gLSNMbOvm6xrv3o0yteSR5f1KF28m+J8mmdZ6g8=
08pd7lvj6t5r7rpitvac6okm140d6tde.partners.	3600	in	nsec3	1 1 0 73 0A5SGH822L7Q41VJ93013L8LPI1AVPJ8 NS DS RRSIG
08pd7lvj6t5r7rpitvac6okm140d6tde.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. FNdCMBOSis143c0/xQf+j6NmBAJba+s/4GZFn8R2mTypzJq7iDZC1WLvgYn0l8HwrBdoF8Z5JDfe88tt7FJ/aMhgmC6+/uAhNjv1nDHk5t/+HuiyCCqLq/4cUVObC99/dwriukY39u4M3qMk4y9RdNbyfPhI9ZUlj+9dVtvHmUU=
0a5sgh822l7q41vj93013l8lpi1avpj8.partners.	3600	in	nsec3	1 1 0 73 0AC1C8OH3DFI9AK87F0C532N7PHJMK58 NS DS RRSIG
0a5sgh822l7q41vj93013l8lpi1avpj8.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. Srn8SIzbw/1OB+h3CS7Zvyok3+if97dfwj3qRqQ6v/F00fko9+tQkmXdpLDm6hUmMv2Vb8guWV/EkbPZvracYgLaPDz2KiS1ji2HMFQvHoMiwNuwvO7fsRfvy+lhPKvhfh90mzGBSPRVwc43DTLntM+Bnu9wgJ9I4PwxEpmuj3U=
0ac1c8oh3dfi9ak87f0c532n7phjmk58.partners.	3600	in	nsec3	1 1 0 73 0B9HKMIPQOTS5IQ0DN703IQMC6FQS39G NS DS RRSIG
0ac1c8oh3dfi9ak87f0c532n7phjmk58.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. W/O+MGnvndgJlPziQZ9ZckHi2Q8KhPBBx+XDfJw/OltV03df4cbruhSltLcw5rIp3S8oJQavnzsOZZZwZzaTMW0XOOLPn9mwmT7J2Uf142bQFSnjpO6Aso3S7hPJlHaNc8DywReOMN0s1sGQPBoRD499RINgbduzswm3Ib3PewE=
0b9hkmipqots5iq0dn703iqmc6fqs39g.partners.	3600	in	nsec3	1 1 0 73 0BT1UPVO1IVLGO16J97B6AC30MM85C2O NS DS RRSIG
