spe2019.weir.	3600	in	ns	dns2.cscdns.net.
splunk.weir.	3600	in	ns	dns1.cscdns.net.
splunk.weir.	3600	in	ns	dns2.cscdns.net.
spm.weir.	3600	in	ns	dns1.cscdns.net.
spm.weir.	3600	in	ns	dns2.cscdns.net.
spmexl.weir.	3600	in	ns	dns1.cscdns.net.
spmexl.weir.	3600	in	ns	dns2.cscdns.net.
spmvalveandseat.weir.	3600	in	ns	dns1.cscdns.net.
spmvalveandseat.weir.	3600	in	ns	dns2.cscdns.net.
staging.weir.	3600	in	ns	dns1.cscdns.net.
staging.weir.	3600	in	ns	dns2.cscdns.net.
stampede.weir.	3600	in	ns	dns1.cscdns.net.
stampede.weir.	3600	in	ns	dns2.cscdns.net.
suppliers.weir.	3600	in	ns	dns1.cscdns.net.
suppliers.weir.	3600	in	ns	dns2.cscdns.net.
sustainability.weir.	3600	in	ns	dns1.cscdns.net.
sustainability.weir.	3600	in	ns	dns2.cscdns.net.
synertexpp.weir.	3600	in	ns	ns1-08.azure-dns.com.
synertexpp.weir.	3600	in	ns	ns2-08.azure-dns.net.
synertexpp.weir.	3600	in	ns	ns3-08.azure-dns.org.
synertexpp.weir.	3600	in	ns	ns4-08.azure-dns.info.
synertrex-e.weir.	3600	in	ns	dns1.cscdns.net.
synertrex-e.weir.	3600	in	ns	dns2.cscdns.net.
synertrex-f.weir.	3600	in	ns	dns1.cscdns.net.
synertrex-f.weir.	3600	in	ns	dns2.cscdns.net.
synertrex-s.weir.	3600	in	ns	dns1.cscdns.net.
synertrex-s.weir.	3600	in	ns	dns2.cscdns.net.
synertrex-u.weir.	3600	in	ns	dns1.cscdns.net.
synertrex-u.weir.	3600	in	ns	dns2.cscdns.net.
synertrex.weir.	3600	in	ns	dns1.cscdns.net.
synertrex.weir.	3600	in	ns	dns2.cscdns.net.
synertrexintelli-dev.weir.	3600	in	ns	ns1-04.azure-dns.com.
synertrexintelli-dev.weir.	3600	in	ns	ns2-04.azure-dns.net.
synertrexintelli-dev.weir.	3600	in	ns	ns3-04.azure-dns.org.
synertrexintelli-dev.weir.	3600	in	ns	ns4-04.azure-dns.info.
synertrexintelli-development.weir.	3600	in	ns	ns1-06.azure-dns.com.
synertrexintelli-development.weir.	3600	in	ns	ns2-06.azure-dns.net.
synertrexintelli-development.weir.	3600	in	ns	ns3-06.azure-dns.org.
synertrexintelli-development.weir.	3600	in	ns	ns4-06.azure-dns.info.
synertrexintelli-pp.weir.	3600	in	ns	ns1-08.azure-dns.com.
synertrexintelli-pp.weir.	3600	in	ns	ns2-08.azure-dns.net.
synertrexintelli-pp.weir.	3600	in	ns	ns3-08.azure-dns.org.
synertrexintelli-pp.weir.	3600	in	ns	ns4-08.azure-dns.info.
synertrexintelli.weir.	3600	in	ns	ns1-08.azure-dns.com.
synertrexintelli.weir.	3600	in	ns	ns2-08.azure-dns.net.
synertrexintelli.weir.	3600	in	ns	ns3-08.azure-dns.org.
synertrexintelli.weir.	3600	in	ns	ns4-08.azure-dns.info.
synertrexiq.weir.	3600	in	ns	ns1-04.azure-dns.com.
synertrexiq.weir.	3600	in	ns	ns2-04.azure-dns.net.
synertrexiq.weir.	3600	in	ns	ns3-04.azure-dns.org.
synertrexiq.weir.	3600	in	ns	ns4-04.azure-dns.info.
synertrexiqpp.weir.	3600	in	ns	ns1-08.azure-dns.com.
synertrexiqpp.weir.	3600	in	ns	ns2-08.azure-dns.net.
synertrexiqpp.weir.	3600	in	ns	ns3-08.azure-dns.org.
synertrexiqpp.weir.	3600	in	ns	ns4-08.azure-dns.info.
synertrexpp.weir.	3600	in	ns	ns1-08.azure-dns.com.
synertrexpp.weir.	3600	in	ns	ns2-08.azure-dns.net.
synertrexpp.weir.	3600	in	ns	ns3-08.azure-dns.org.
synertrexpp.weir.	3600	in	ns	ns4-08.azure-dns.info.
synertrexv2dev.weir.	3600	in	ns	ns1-35.azure-dns.com.
synertrexv2dev.weir.	3600	in	ns	ns2-35.azure-dns.net.
synertrexv2dev.weir.	3600	in	ns	ns3-35.azure-dns.org.
synertrexv2dev.weir.	3600	in	ns	ns4-35.azure-dns.info.
tailings.weir.	3600	in	ns	dns1.cscdns.net.
tailings.weir.	3600	in	ns	dns2.cscdns.net.
takecontrol.weir.	3600	in	ns	dns1.cscdns.net.
takecontrol.weir.	3600	in	ns	dns2.cscdns.net.
theanswer.weir.	3600	in	ns	dns1.cscdns.net.
theanswer.weir.	3600	in	ns	dns2.cscdns.net.
toothtek.weir.	3600	in	ns	dns1.cscdns.net.
toothtek.weir.	3600	in	ns	dns2.cscdns.net.
totalassetmanagement.weir.	3600	in	ns	dns1.cscdns.net.
totalassetmanagement.weir.	3600	in	ns	dns2.cscdns.net.
trackpro.weir.	3600	in	ns	dns1.cscdns.net.
trackpro.weir.	3600	in	ns	dns2.cscdns.net.
tricentric.weir.	3600	in	ns	dns1.cscdns.net.
tricentric.weir.	3600	in	ns	dns2.cscdns.net.
trio.weir.	3600	in	ns	dns1.cscdns.net.
trio.weir.	3600	in	ns	dns2.cscdns.net.
ulr.weir.	3600	in	ns	dns1.cscdns.net.
ulr.weir.	3600	in	ns	dns2.cscdns.net.
us.weir.	3600	in	ns	dns1.cscdns.net.
us.weir.	3600	in	ns	dns2.cscdns.net.
ux.weir.	3600	in	ns	dns1.cscdns.net.
ux.weir.	3600	in	ns	dns2.cscdns.net.
valves-and-controls-uk.weir.	3600	in	ns	dns1.cscdns.net.
valves-and-controls-uk.weir.	3600	in	ns	dns2.cscdns.net.
valves-and-controls-us.weir.	3600	in	ns	dns1.cscdns.net.
valves-and-controls-us.weir.	3600	in	ns	dns2.cscdns.net.
valveworldexpo.weir.	3600	in	ns	dns1.cscdns.net.
valveworldexpo.weir.	3600	in	ns	dns2.cscdns.net.
venloop.weir.	3600	in	ns	dns1.cscdns.net.
venloop.weir.	3600	in	ns	dns2.cscdns.net.
vulco.weir.	3600	in	ns	dns1.cscdns.net.
vulco.weir.	3600	in	ns	dns2.cscdns.net.
vulcor67rubber.weir.	3600	in	ns	dns1.cscdns.net.
vulcor67rubber.weir.	3600	in	ns	dns2.cscdns.net.
warman.weir.	3600	in	ns	dns1.cscdns.net.
warman.weir.	3600	in	ns	dns2.cscdns.net.
warmanpumpsuccess.weir.	3600	in	ns	dns1.cscdns.net.
warmanpumpsuccess.weir.	3600	in	ns	dns2.cscdns.net.
webcast.weir.	3600	in	ns	dns1.cscdns.net.
webcast.weir.	3600	in	ns	dns2.cscdns.net.
webselector.weir.	3600	in	ns	dns1.cscdns.net.
webselector.weir.	3600	in	ns	dns2.cscdns.net.
weir-africa-cloud.weir.	3600	in	ns	dns1.cscdns.net.
weir-africa-cloud.weir.	3600	in	ns	dns2.cscdns.net.
