11bet.download.	3600	in	ns	darl.ns.cloudflare.com.
11bet.download.	3600	in	ns	jessica.ns.cloudflare.com.
11winner.download.	3600	in	ns	destiny.ns.cloudflare.com.
11winner.download.	3600	in	ns	mark.ns.cloudflare.com.
11winneraviator.download.	3600	in	ns	heather.ns.cloudflare.com.
11winneraviator.download.	3600	in	ns	javon.ns.cloudflare.com.
11winnercom.download.	3600	in	ns	heather.ns.cloudflare.com.
11winnercom.download.	3600	in	ns	javon.ns.cloudflare.com.
11winnergame.download.	3600	in	ns	heather.ns.cloudflare.com.
11winnergame.download.	3600	in	ns	javon.ns.cloudflare.com.
120ddnuq.download.	3600	in	ns	ns1.dnsowl.com.
120ddnuq.download.	3600	in	ns	ns2.dnsowl.com.
120ddnuq.download.	3600	in	ns	ns3.dnsowl.com.
120yyrva.download.	3600	in	ns	ns1.dnsowl.com.
120yyrva.download.	3600	in	ns	ns2.dnsowl.com.
120yyrva.download.	3600	in	ns	ns3.dnsowl.com.
1234.download.	3600	in	ns	ns1.dyna-ns.net.
1234.download.	3600	in	ns	ns2.dyna-ns.net.
123456.download.	3600	in	ns	q.ns.arvancdn.ir.
123456.download.	3600	in	ns	y.ns.arvancdn.ir.
123b.download.	3600	in	ns	arely.ns.cloudflare.com.
123b.download.	3600	in	ns	zahir.ns.cloudflare.com.
123mkv.download.	3600	in	ns	ns1.dyna-ns.net.
123mkv.download.	3600	in	ns	ns2.dyna-ns.net.
123movies.download.	3600	in	ns	ali.ns.cloudflare.com.
123movies.download.	3600	in	ns	art.ns.cloudflare.com.
1337x.download.	3600	in	ns	ns1.dyna-ns.net.
1337x.download.	3600	in	ns	ns2.dyna-ns.net.
136betapp.download.	3600	in	ns	heather.ns.cloudflare.com.
136betapp.download.	3600	in	ns	javon.ns.cloudflare.com.
14npv9r8k9buqf91rmp2i41f1u7g44es.download.	900	in	nsec3	1 1 0 - 16OAGEG1UKK14SECEGAER42EH26B8574 NS DS RRSIG
14npv9r8k9buqf91rmp2i41f1u7g44es.download.	900	in	rrsig	NSEC3 8 2 900 20250925050421 20250911040659 59883 download. JTtqQ0aUJXHZEXT70qVbfu4MxKhXwEmqeRgVaMSBDfFt+Tx+nvYZi1je835g/geICWgPULov0P/MMqf2Mal09ptLkjHmGkK6Qql7qZJoustxOHfFjRLj4+cP2ASjBPX8Wjk2RXOOpPa/kx3+JkAAkbwU5BFIOPwc77c+PoP7wzLli013XE3DodEUONq0328q+jVPbhJa2M7vgzNTADQysw==
15xbet.download.	3600	in	ns	heather.ns.cloudflare.com.
15xbet.download.	3600	in	ns	javon.ns.cloudflare.com.
163.download.	3600	in	ns	ns3.myhostadmin.net.
163.download.	3600	in	ns	ns4.myhostadmin.net.
168topgame.download.	3600	in	ns	ns1hwy.name.com.
168topgame.download.	3600	in	ns	ns2lns.name.com.
168topgame.download.	3600	in	ns	ns3dgr.name.com.
168topgame.download.	3600	in	ns	ns4lrt.name.com.
16oageg1ukk14secegaer42eh26b8574.download.	900	in	nsec3	1 1 0 - 185R79JKQ8GJN560HBO5O84J4K4KC8IP NS DS RRSIG
16oageg1ukk14secegaer42eh26b8574.download.	900	in	rrsig	NSEC3 8 2 900 20250924202923 20250910202650 59883 download. my0Q8KYVtOtgIgyhYTCLmred2wjvIPxTvvW5HZ1j5ffuu545ewvw79H/p4Z7jDFHsNYr1BmjKE9F3c+NZRgSMAGgBn/t1XkQXM4BIxWH58Ml/45mWBh3Y0k50CzWQ0wFtxivu9+HBA6bWTtPvc9rDzMO/CBOO23hUmaSw28NHroU7ULQhw9Q+6WkVmhIiqUQw5YPeaSR9iEuoIjjGU7Mbg==
