allianzsanlam.joburg.	7200	in	ns	ns2.lexsynergy.us.
allianzsanlam.joburg.	7200	in	ns	ns3.lexsynergy.info.
allianzsanlamassurance.joburg.	7200	in	ns	ns1.lexsynergy.net.
allianzsanlamassurance.joburg.	7200	in	ns	ns2.lexsynergy.us.
allianzsanlamassurance.joburg.	7200	in	ns	ns3.lexsynergy.info.
allianzsanlamgeneralinsurance.joburg.	7200	in	ns	ns1.lexsynergy.net.
allianzsanlamgeneralinsurance.joburg.	7200	in	ns	ns2.lexsynergy.us.
allianzsanlamgeneralinsurance.joburg.	7200	in	ns	ns3.lexsynergy.info.
allmag.joburg.	7200	in	ns	ns1.dns-h.com.
allmag.joburg.	7200	in	ns	ns1.host-h.net.
allmag.joburg.	7200	in	ns	ns2.dns-h.com.
allmag.joburg.	7200	in	ns	ns2.host-h.net.
allmagindustries.joburg.	7200	in	ns	ns1.dns-h.com.
allmagindustries.joburg.	7200	in	ns	ns1.host-h.net.
allmagindustries.joburg.	7200	in	ns	ns2.dns-h.com.
allmagindustries.joburg.	7200	in	ns	ns2.host-h.net.
allsolar.joburg.	7200	in	ns	ns1.dns-h.com.
allsolar.joburg.	7200	in	ns	ns1.host-h.net.
allsolar.joburg.	7200	in	ns	ns2.dns-h.com.
allsolar.joburg.	7200	in	ns	ns2.host-h.net.
alphabet.joburg.	7200	in	ns	ns1.googledomains.com.
alphabet.joburg.	7200	in	ns	ns2.googledomains.com.
alphabet.joburg.	7200	in	ns	ns3.googledomains.com.
alphabet.joburg.	7200	in	ns	ns4.googledomains.com.
alsysco.joburg.	7200	in	ns	ns1.hostserv.co.za.
alsysco.joburg.	7200	in	ns	ns2.hostserv.co.za.
alt.joburg.	7200	in	ns	1-you.njalla.no.
alt.joburg.	7200	in	ns	2-can.njalla.in.
alt.joburg.	7200	in	ns	3-get.njalla.fo.
altair.joburg.	7200	in	ns	ns1.dns-h.com.
altair.joburg.	7200	in	ns	ns1.host-h.net.
altair.joburg.	7200	in	ns	ns2.dns-h.com.
altair.joburg.	7200	in	ns	ns2.host-h.net.
alternativenergy.joburg.	7200	in	ns	ns1.hostednameservers.com.
alternativenergy.joburg.	7200	in	ns	ns2.hostednameservers.net.
alternativenergy.joburg.	7200	in	ns	ns3.hostednameservers.com.
alternativenergy.joburg.	7200	in	ns	ns4.hostednameservers.net.
amat.joburg.	7200	in	ns	udns1.cscdns.net.
amat.joburg.	7200	in	ns	udns2.cscdns.uk.
amazing.joburg.	7200	in	ns	demeter.is.co.za.
amazing.joburg.	7200	in	ns	jupiter.is.co.za.
amazing.joburg.	7200	in	ns	titan.is.co.za.
amazon.joburg.	7200	in	ns	nsgbr.comlaude.co.uk.
amazon.joburg.	7200	in	ns	nssui.comlaude.ch.
amazon.joburg.	7200	in	ns	nsusa.comlaude.net.
ambrose.joburg.	7200	in	ns	ns1.dns-h.com.
ambrose.joburg.	7200	in	ns	ns1.host-h.net.
ambrose.joburg.	7200	in	ns	ns2.dns-h.com.
ambrose.joburg.	7200	in	ns	ns2.host-h.net.
ambulance.joburg.	7200	in	ns	ns.dns1.co.za.
ambulance.joburg.	7200	in	ns	ns.dns2.co.za.
ambulance.joburg.	7200	in	ns	ns.otherdns.com.
ambulance.joburg.	7200	in	ns	ns.otherdns.net.
ameblo.joburg.	7200	in	ns	ns1.regery.net.
ameblo.joburg.	7200	in	ns	ns2.regery.net.
ameblo.joburg.	7200	in	ns	ns3.regery.net.
americanembassy.joburg.	7200	in	ns	ns1.hostednameservers.com.
americanembassy.joburg.	7200	in	ns	ns2.hostednameservers.net.
americanembassy.joburg.	7200	in	ns	ns3.hostednameservers.com.
americanembassy.joburg.	7200	in	ns	ns4.hostednameservers.net.
amheq1plvkg45rn3ir9e6500o8ef74ng.joburg.	86400	in	nsec3	1 1 0 - BS4VVEN7K339AO3MJABKQ0KAVABM901U NS DS RRSIG
amheq1plvkg45rn3ir9e6500o8ef74ng.joburg.	86400	in	rrsig	NSEC3 8 2 86400 20250910010328 20250826233328 21865 joburg. YfIdSUsShwT/3Gq9AjuZlKF2UpvZMX7r+DB/m45xSWKB5c+zRGYWYp2hQ79vo/a1t4RDuF0BsqHnWwuu/kzPN9yvjDekXK5SwDc4TS9NItL+6RFAGlIKlDRpQGqb2AEprJRWzpYv/yrgaMc0l4HpFUAN95m0cFhN/nKCpA5nBtg=
