1877drchewy.healthcare.	3600	in	ns	dns2.p01.nsone.net.
1877drchewy.healthcare.	3600	in	ns	dns3.p01.nsone.net.
1877drchewy.healthcare.	3600	in	ns	dns4.p01.nsone.net.
1a9k7nhnvnibn96pcjsagcrd5hbbb596.healthcare.	3600	in	nsec3	1 1 0 73 1B3AEHSF9R5VTNMO0ATFB3LNDK5FG2P5 NS DS RRSIG
1a9k7nhnvnibn96pcjsagcrd5hbbb596.healthcare.	3600	in	rrsig	NSEC3 8 2 3600 20260207154707 20260117144707 45603 healthcare. WCe4eMDtBNhvOpxiKzHtzWKjOiWwQ/DjRVY7vDxJgBYKMiABatAe5WHIbxzOhYCK+ckPQcXhTUB9gvld8eORkS9GuAMGPmpmqOhmgS5R5knluTQU5sVPyMXalW7urpurvqvstWB9HnE/iRPdYH+eboujDoD0fE3t8Gquc85XHQY=
1aster.healthcare.	3600	in	ns	cleo.ns.cloudflare.com.
1aster.healthcare.	3600	in	ns	laura.ns.cloudflare.com.
1b3aehsf9r5vtnmo0atfb3lndk5fg2p5.healthcare.	3600	in	nsec3	1 1 0 73 1D4QUA930PTPH5K39ORJ9AO5BTEJE77H NS DS RRSIG
1b3aehsf9r5vtnmo0atfb3lndk5fg2p5.healthcare.	3600	in	rrsig	NSEC3 8 2 3600 20260207154707 20260117144707 45603 healthcare. nBd5VqEgkULCsLHG6b4pHPMMOqWosR6q3hgQwiG6L1lp5xBV89K21oc4F+N+CHSbubyjjPjceT85W3DKfo2XcfRGAAk26msDreil8pl+qxMRGo+SO1ulFurmYrDVaqTCq5ZkGPTle6mk/twNxplJArdjCk+Z1jD8ZNKuuxwtOsc=
1d4qua930ptph5k39orj9ao5bteje77h.healthcare.	3600	in	nsec3	1 1 0 73 1F6H8HJSU23F2VQVDU0B49H54BCVASM0 NS DS RRSIG
1d4qua930ptph5k39orj9ao5bteje77h.healthcare.	3600	in	rrsig	NSEC3 8 2 3600 20260207154707 20260117144707 45603 healthcare. ZBiBMxhNXw1CWYXInXlWSkW6FdN1rNUWwCifwqhP+81lOECOiyKdS4Tma6l2cLR08jUtagSO43ey4xKBojvvkx8dyK1N8gDEeyhl5e8nkdl7YgucaGSuRbsTcxKZTPjouXO3nDqasu2578YEMd5evH7DTs8QOHjnUb/qnAmanss=
1f6h8hjsu23f2vqvdu0b49h54bcvasm0.healthcare.	3600	in	nsec3	1 1 0 73 1GC3R77KTA819S0DGSNC2E7J4F903C0J NS DS RRSIG
1f6h8hjsu23f2vqvdu0b49h54bcvasm0.healthcare.	3600	in	rrsig	NSEC3 8 2 3600 20260207154707 20260117144707 45603 healthcare. SjzswCSQcnBXTx469jgPWkIdx4jlHPvhknKHS3ZTZ718ZtWG57lXqT+suJy51hKo/fHt3T12UEtwkfBbfOUDmivgTOmINUSAa85Bh5OMl+Z/ERGv64nrsdgkC3J6Dc0JRiYL8zmUtNnem0lU4LCCwzQe0ogM70VaVbMFYDg6ojU=
1gc3r77kta819s0dgsnc2e7j4f903c0j.healthcare.	3600	in	nsec3	1 1 0 73 1JPKGIHJF5581TMLV5JR7M9FD7UNLSMT NS DS RRSIG
1gc3r77kta819s0dgsnc2e7j4f903c0j.healthcare.	3600	in	rrsig	NSEC3 8 2 3600 20260207154707 20260117144707 45603 healthcare. x46ud0DgfKVhxiwjIa1f8pfRIyEGFE/NwWlc0lPO7j858FetNW6orzmWegHxfPt6Z7mDAs5K9Ew0EwXRnuRDSXzGX9NMmePy91nDGO/iyFC+57sfrGjE8c34c9naoYl9iWkSsiFhlCWwkdNb6RXPPH84aivvSr2FROM81oX0rR0=
1jpkgihjf5581tmlv5jr7m9fd7unlsmt.healthcare.	3600	in	nsec3	1 1 0 73 1P42MIGRI93OP58TCO1EUOTS4DARDBF4 NS DS RRSIG
1jpkgihjf5581tmlv5jr7m9fd7unlsmt.healthcare.	3600	in	rrsig	NSEC3 8 2 3600 20260207154707 20260117144707 45603 healthcare. wFUfzF/rkRWuWi+6atv3M5d7vbBC9mD59q+Un5BnBjTMvBUT9eJVmOJNaCsj9hvQdLmc+FtCF1M6Z+CLHwUpwPlP7EZtGOqt7tB+kHw2B+VGDHmHw2YnrX/PLgDpSnCx1v7mu9qu1qH7MNAO9uJ1HF8OympdSARfbV21k+wj8S0=
1life.healthcare.	3600	in	ns	dns1.registrar-servers.com.
1life.healthcare.	3600	in	ns	dns2.registrar-servers.com.
1method.healthcare.	3600	in	ns	ns51.domaincontrol.com.
1method.healthcare.	3600	in	ns	ns52.domaincontrol.com.
1ne.healthcare.	3600	in	ns	ns25.domaincontrol.com.
1ne.healthcare.	3600	in	ns	ns26.domaincontrol.com.
1p42migri93op58tco1euots4dardbf4.healthcare.	3600	in	nsec3	1 1 0 73 1PB1IDPK2KQSU0RDLUCNEQ45AF5LA5V4 NS DS RRSIG
1p42migri93op58tco1euots4dardbf4.healthcare.	3600	in	rrsig	NSEC3 8 2 3600 20260207154707 20260117144707 45603 healthcare. SkMAH7eKGyDawc2FjxaWZJTdB2NZ+V4y1dMVAgZl0vueXQcchmy11lqVDqBJC4xRe1Az3tezqHMsZiv90GG/ZdFoNUbSurx/puLPg8z4KwA3eD6cbqy2TRMH+kGrefx0dabsL8Pue1lhXmuCgfy6z/qpbxWlf08cYzQLc4c/p9Y=
1pb1idpk2kqsu0rdlucneq45af5la5v4.healthcare.	3600	in	nsec3	1 1 0 73 1SOLBB6QMAM6GD49F58O57E0LNUVEI5V NS DS RRSIG
