011313.pizza.	3600	in	ns	ns2.951dns.com.
011344.pizza.	3600	in	ns	n1.xundns.com.
011344.pizza.	3600	in	ns	n2.xundns.com.
01141.pizza.	3600	in	ns	ns1.dnsip.com.
01141.pizza.	3600	in	ns	ns2.dnsip.com.
011544.pizza.	3600	in	ns	n1.xundns.com.
011544.pizza.	3600	in	ns	n2.xundns.com.
01158.pizza.	3600	in	ns	ns1.dns.com.
01158.pizza.	3600	in	ns	ns2.dns.com.
01163.pizza.	3600	in	ns	ns1.dnsip.com.
01163.pizza.	3600	in	ns	ns2.dnsip.com.
011644.pizza.	3600	in	ns	n1.xundns.com.
011644.pizza.	3600	in	ns	n2.xundns.com.
01188.pizza.	3600	in	ns	ns1.dnsip.com.
01188.pizza.	3600	in	ns	ns2.dnsip.com.
01190.pizza.	3600	in	ns	n1.xundns.com.
01190.pizza.	3600	in	ns	n2.xundns.com.
012.pizza.	3600	in	ns	ns1.dyna-ns.net.
012.pizza.	3600	in	ns	ns2.dyna-ns.net.
012039.pizza.	3600	in	ns	ns1.1233dns.com.
012039.pizza.	3600	in	ns	ns2.951dns.com.
01224.pizza.	3600	in	ns	n1.xundns.com.
01224.pizza.	3600	in	ns	n2.xundns.com.
01235.pizza.	3600	in	ns	ns7.alidns.com.
01235.pizza.	3600	in	ns	ns8.alidns.com.
01244.pizza.	3600	in	ns	a.dnspod.com.
01244.pizza.	3600	in	ns	b.dnspod.com.
01244.pizza.	3600	in	ns	c.dnspod.com.
01266.pizza.	3600	in	ns	dolly.ns.cloudflare.com.
01266.pizza.	3600	in	ns	oswald.ns.cloudflare.com.
01280.pizza.	3600	in	ns	ns1.dnsip.com.
01280.pizza.	3600	in	ns	ns2.dnsip.com.
01285.pizza.	3600	in	ns	ns1.1233dns.com.
01285.pizza.	3600	in	ns	ns2.951dns.com.
01288.pizza.	3600	in	ns	ns1.dnsip.com.
01288.pizza.	3600	in	ns	ns2.dnsip.com.
01293.pizza.	3600	in	ns	ns1.dnsip.com.
01293.pizza.	3600	in	ns	ns2.dnsip.com.
013.pizza.	3600	in	ns	ns1.dyna-ns.net.
013.pizza.	3600	in	ns	ns2.dyna-ns.net.
013025.pizza.	3600	in	ns	ns1.1233dns.com.
013025.pizza.	3600	in	ns	ns2.951dns.com.
01304.pizza.	3600	in	ns	n1.xundns.com.
01304.pizza.	3600	in	ns	n2.xundns.com.
01309.pizza.	3600	in	ns	ns1.dns.com.
01309.pizza.	3600	in	ns	ns2.dns.com.
01310.pizza.	3600	in	ns	n1.xundns.com.
01310.pizza.	3600	in	ns	n2.xundns.com.
01312.pizza.	3600	in	ns	n1.xundns.com.
01312.pizza.	3600	in	ns	n2.xundns.com.
013392.pizza.	3600	in	ns	ns1.1233dns.com.
013392.pizza.	3600	in	ns	ns2.951dns.com.
01356.pizza.	3600	in	ns	ns1.dnsip.com.
01356.pizza.	3600	in	ns	ns2.dnsip.com.
01360.pizza.	3600	in	ns	a.dnspod.com.
01360.pizza.	3600	in	ns	b.dnspod.com.
01360.pizza.	3600	in	ns	c.dnspod.com.
01365.pizza.	3600	in	ns	ns7.alidns.com.
01365.pizza.	3600	in	ns	ns8.alidns.com.
01380.pizza.	3600	in	ns	ns1.1233dns.com.
01380.pizza.	3600	in	ns	ns2.951dns.com.
01381.pizza.	3600	in	ns	ns1.dnsip.com.
01381.pizza.	3600	in	ns	ns2.dnsip.com.
01388.pizza.	3600	in	ns	ns1.dnsip.com.
01388.pizza.	3600	in	ns	ns2.dnsip.com.
014.pizza.	3600	in	ns	ns1.dyna-ns.net.
014.pizza.	3600	in	ns	ns2.dyna-ns.net.
01405.pizza.	3600	in	ns	n1.xundns.com.
01405.pizza.	3600	in	ns	n2.xundns.com.
01430.pizza.	3600	in	ns	n1.xundns.com.
01430.pizza.	3600	in	ns	n2.xundns.com.
01434.pizza.	3600	in	ns	a.dnspod.com.
01434.pizza.	3600	in	ns	b.dnspod.com.
01434.pizza.	3600	in	ns	c.dnspod.com.
01435.pizza.	3600	in	ns	ns1.dyna-ns.net.
01435.pizza.	3600	in	ns	ns2.dyna-ns.net.
01436.pizza.	3600	in	ns	n1.xundns.com.
01436.pizza.	3600	in	ns	n2.xundns.com.
01439.pizza.	3600	in	ns	ns7.alidns.com.
01439.pizza.	3600	in	ns	ns8.alidns.com.
01440.pizza.	3600	in	ns	a.dnspod.com.
