01580.lgbt.	3600	in	ns	ns1.dnsip.com.
01580.lgbt.	3600	in	ns	ns2.dnsip.com.
016060.lgbt.	3600	in	ns	ns1.1233dns.com.
016060.lgbt.	3600	in	ns	ns2.951dns.com.
01608.lgbt.	3600	in	ns	n1.xundns.com.
01608.lgbt.	3600	in	ns	n2.xundns.com.
01632.lgbt.	3600	in	ns	n1.xundns.com.
01632.lgbt.	3600	in	ns	n2.xundns.com.
01655.lgbt.	3600	in	ns	n1.xundns.com.
01655.lgbt.	3600	in	ns	n2.xundns.com.
01666.lgbt.	3600	in	ns	ns1.dnsip.com.
01666.lgbt.	3600	in	ns	ns2.dnsip.com.
01667.lgbt.	3600	in	ns	n1.xundns.com.
01667.lgbt.	3600	in	ns	n2.xundns.com.
01678.lgbt.	3600	in	ns	ns1.1233dns.com.
01678.lgbt.	3600	in	ns	ns2.951dns.com.
01682.lgbt.	3600	in	ns	ns1.dnsip.com.
01682.lgbt.	3600	in	ns	ns2.dnsip.com.
01687.lgbt.	3600	in	ns	n1.xundns.com.
01687.lgbt.	3600	in	ns	n2.xundns.com.
01688.lgbt.	3600	in	ns	ns1.dnsip.com.
01688.lgbt.	3600	in	ns	ns2.dnsip.com.
01697.lgbt.	3600	in	ns	ns39.domaincontrol.com.
01697.lgbt.	3600	in	ns	ns40.domaincontrol.com.
01701.lgbt.	3600	in	ns	ns1.dnsip.com.
01701.lgbt.	3600	in	ns	ns2.dnsip.com.
01703.lgbt.	3600	in	ns	n1.xundns.com.
01703.lgbt.	3600	in	ns	n2.xundns.com.
01734.lgbt.	3600	in	ns	ns1.dns.com.
01734.lgbt.	3600	in	ns	ns2.dns.com.
01750.lgbt.	3600	in	ns	ns1.dnsip.com.
01750.lgbt.	3600	in	ns	ns2.dnsip.com.
01751.lgbt.	3600	in	ns	ns1.dnsip.com.
01751.lgbt.	3600	in	ns	ns2.dnsip.com.
01761.lgbt.	3600	in	ns	ns1.dnsip.com.
01761.lgbt.	3600	in	ns	ns2.dnsip.com.
018317.lgbt.	3600	in	ns	ns1.1233dns.com.
018317.lgbt.	3600	in	ns	ns2.951dns.com.
01842.lgbt.	3600	in	ns	ns1.dnsip.com.
01842.lgbt.	3600	in	ns	ns2.dnsip.com.
01858.lgbt.	3600	in	ns	n1.xundns.com.
01858.lgbt.	3600	in	ns	n2.xundns.com.
01861.lgbt.	3600	in	ns	n1.xundns.com.
01861.lgbt.	3600	in	ns	n2.xundns.com.
01885.lgbt.	3600	in	ns	n1.xundns.com.
01885.lgbt.	3600	in	ns	n2.xundns.com.
01886.lgbt.	3600	in	ns	ns1.dns.com.
01886.lgbt.	3600	in	ns	ns2.dns.com.
01902.lgbt.	3600	in	ns	a.dnspod.com.
01902.lgbt.	3600	in	ns	b.dnspod.com.
01902.lgbt.	3600	in	ns	c.dnspod.com.
01954.lgbt.	3600	in	ns	ns1.dyna-ns.net.
01954.lgbt.	3600	in	ns	ns2.dyna-ns.net.
01972.lgbt.	3600	in	ns	ns1.dnsip.com.
01972.lgbt.	3600	in	ns	ns2.dnsip.com.
01977.lgbt.	3600	in	ns	ns1.dnsip.com.
01977.lgbt.	3600	in	ns	ns2.dnsip.com.
01989.lgbt.	3600	in	ns	ns7.alidns.com.
01989.lgbt.	3600	in	ns	ns8.alidns.com.
02005.lgbt.	3600	in	ns	ns1.dnsip.com.
02005.lgbt.	3600	in	ns	ns2.dnsip.com.
020050.lgbt.	3600	in	ns	n1.xundns.com.
020050.lgbt.	3600	in	ns	n2.xundns.com.
02023.lgbt.	3600	in	ns	n1.xundns.com.
02023.lgbt.	3600	in	ns	n2.xundns.com.
02051.lgbt.	3600	in	ns	n1.xundns.com.
02051.lgbt.	3600	in	ns	n2.xundns.com.
02068.lgbt.	3600	in	ns	ns1.dnsip.com.
02068.lgbt.	3600	in	ns	ns2.dnsip.com.
02071.lgbt.	3600	in	ns	ns1.dnsip.com.
02071.lgbt.	3600	in	ns	ns2.dnsip.com.
02073.lgbt.	3600	in	ns	n1.xundns.com.
02073.lgbt.	3600	in	ns	n2.xundns.com.
02099.lgbt.	3600	in	ns	n1.xundns.com.
02099.lgbt.	3600	in	ns	n2.xundns.com.
02131.lgbt.	3600	in	ns	ns1.dnsip.com.
02131.lgbt.	3600	in	ns	ns2.dnsip.com.
02134.lgbt.	3600	in	ns	n1.xundns.com.
02134.lgbt.	3600	in	ns	n2.xundns.com.
02152.lgbt.	3600	in	ns	ns1.dnsip.com.
02152.lgbt.	3600	in	ns	ns2.dnsip.com.
02158.lgbt.	3600	in	ns	n1.xundns.com.
02158.lgbt.	3600	in	ns	n2.xundns.com.
02163.lgbt.	3600	in	ns	n1.xundns.com.
02163.lgbt.	3600	in	ns	n2.xundns.com.
02183.lgbt.	3600	in	ns	a.dnspod.com.
02183.lgbt.	3600	in	ns	b.dnspod.com.
02183.lgbt.	3600	in	ns	c.dnspod.com.
022252.lgbt.	3600	in	ns	n1.xundns.com.
022252.lgbt.	3600	in	ns	n2.xundns.com.
02229.lgbt.	3600	in	ns	n1.xundns.com.
02229.lgbt.	3600	in	ns	n2.xundns.com.
02236.lgbt.	3600	in	ns	ns1.dnsip.com.
02236.lgbt.	3600	in	ns	ns2.dnsip.com.
