7eiep84bpm8cj3jvs0h93gs2it3sm20n.surgery.	3600	in	rrsig	NSEC3 8 2 3600 20260122161027 20260101151027 19869 surgery. CDKv1vYUg4KQX5Z3ADgfCesINipi8osegyj1S9a+IcL90lX/M1DGFCSQT6jRhIAXXOqQ1+Uk3PT1MN61wH6yW+/WmNcFRJTOjkttiD+VUkBDIqRa7giD4gfUeOpjt8sRxPoGQBv5GLYzP7ObO2ULprRRqwJurGe7dckB2FtEnDw=
82uaip4ksi58j24mo90gidk79ga1u0mm.surgery.	3600	in	nsec3	1 1 0 73 8EQLGIVVA8RKHGM8DJT1GK3M5SDHGRQL NS DS RRSIG
82uaip4ksi58j24mo90gidk79ga1u0mm.surgery.	3600	in	rrsig	NSEC3 8 2 3600 20260122161027 20260101151027 19869 surgery. sDiXHaGjqCMJUUjIyptuivZ4WfMdCZFzeXY47GtcowsG107ANjMKnLigZS61ZTLLwlU/eAPa/kbO96aPVsJu+wx6KTImOEyrBfBl3RjzfIHSMsEMvEV2JE90Dgr2udC5YlzB+92iVb/5xi5GAp9qe3Yg/Z99h4dEsdPfcUHANFo=
8eqlgivva8rkhgm8djt1gk3m5sdhgrql.surgery.	3600	in	nsec3	1 1 0 73 91ETDB7N3T3PVQAPCUCBLT4FQ1OD2BHP NS DS RRSIG
8eqlgivva8rkhgm8djt1gk3m5sdhgrql.surgery.	3600	in	rrsig	NSEC3 8 2 3600 20260122161027 20260101151027 19869 surgery. pyGyhq0lpDAJv3Sa/DgbKSbXc6ONcHczHZKegdh5VSSNxkp2jX9njeA9ePIwC7qt2xECeGT3Sf4jYXSAr2cRO0ZrlkbUIVs1RWdjLvuqAOJNhIu99c8I4dIxIECWvjLW5bKpGTvjiVG6tSWw0yld131y0FVUMcwmzQ6fdxQQByM=
8xbet.surgery.	3600	in	ns	boyd.ns.cloudflare.com.
8xbet.surgery.	3600	in	ns	tani.ns.cloudflare.com.
91dyin.surgery.	3600	in	ns	grace.ns.cloudflare.com.
91dyin.surgery.	3600	in	ns	marty.ns.cloudflare.com.
91etdb7n3t3pvqapcucblt4fq1od2bhp.surgery.	3600	in	nsec3	1 1 0 73 9CC3ERL5BFEANK5UPQKKN9DD6HC26JKV NS DS RRSIG
