39n1p1bq6qcpqhb9uvn3nb953s6bitrb.mortgage.	3600	in	nsec3	1 1 0 73 3JUCHVSD8FPC29O6SU1375O5851H0UM1 NS DS RRSIG
39n1p1bq6qcpqhb9uvn3nb953s6bitrb.mortgage.	3600	in	rrsig	NSEC3 8 2 3600 20250916155344 20250826145344 61134 mortgage. HAXN+fNXW4kaH44PC2PkbtwSZib7CmgCRP2d6MDFgK5pvEKxjhAWkZItMJJhQUnwISoV7xNmKVFy6DOBApIqiozFO1jijrH3FUDAfCskNXcaDuHQCvy/JLdVdJ4D4Kynf3OFAbFvhnS5rc4OtZHzCRzmIzUAIUj2Lha2jlsSbZ0=
3d.mortgage.	3600	in	ns	edns2.ultradns.biz.
3d.mortgage.	3600	in	ns	edns2.ultradns.com.
3d.mortgage.	3600	in	ns	edns2.ultradns.net.
3d.mortgage.	3600	in	ns	edns2.ultradns.org.
3juchvsd8fpc29o6su1375o5851h0um1.mortgage.	3600	in	nsec3	1 1 0 73 3OVQRCGHR1GRK6B7KLH8QF15D1KJ9Q5Q NS DS RRSIG
3juchvsd8fpc29o6su1375o5851h0um1.mortgage.	3600	in	rrsig	NSEC3 8 2 3600 20250916155344 20250826145344 61134 mortgage. nMa3iZKRMkiWX32Mb/K4KqvP00/dZdJ6lhKx26+LEyuh2oA1UUSu9GedywSKOyppekJthgYkpKQkB30frqjUN5HCdb4QOMGPsAaA51gP7+nLat9Km2FzC/fNiAN0gHBvXF0k1EhTMW9beymqdaYa4UlEu1Oy3T2xQfZuGtuIH1M=
3ovqrcghr1grk6b7klh8qf15d1kj9q5q.mortgage.	3600	in	nsec3	1 1 0 73 45AJ4T08PKMMLETD6USIFAV8SJPE4P2D NS DS RRSIG
3ovqrcghr1grk6b7klh8qf15d1kj9q5q.mortgage.	3600	in	rrsig	NSEC3 8 2 3600 20250916155344 20250826145344 61134 mortgage. w5fAC4JVEgU+PJXPruZ5qx5RfyIZF7s2mhnggzBqvGbdrXYolZ16I1oPXgwL311SpZphBAxgxGs6Z/em6VU1GOOq/RktghvnJVbWBo9blS5LQbVlsiCwc7L6qxxFrr12Q5ET9UkeDlAOlA02jmEfuCkuhMqNvSc7uE03JU8JBQg=
407.mortgage.	3600	in	ds	39140 8 2 DBF7C43C4E5391A0E35F1145E813A75B083C756829F690E44516E6D258A5F348
407.mortgage.	3600	in	ns	ns-cloud-c1.googledomains.com.
407.mortgage.	3600	in	ns	ns-cloud-c2.googledomains.com.
407.mortgage.	3600	in	ns	ns-cloud-c3.googledomains.com.
407.mortgage.	3600	in	ns	ns-cloud-c4.googledomains.com.
