049.ooo.	3600	in	ns	ns-cloud-a1.googledomains.com.
049.ooo.	3600	in	ns	ns-cloud-a2.googledomains.com.
049.ooo.	3600	in	ns	ns-cloud-a3.googledomains.com.
049.ooo.	3600	in	ns	ns-cloud-a4.googledomains.com.
049.ooo.	3600	in	rrsig	DS 8 2 3600 20260216161246 20260117144246 1930 ooo. LTbYa7O0LKn8ZpPeTREp8S9X/5ff7IIcPus2ezGZueG/vZzywS59Ee03vmYCY4LuSahlhNxa7iHyJgGFt6V19YXxsLCHXSpS+P6p93ET4TKjw/U8F/2hiYEqar4uj1eWYFTrHP3whOR9qBfROphpSTHB8ai1zWMYbzoB1WQfZG0=
04bpi0iveijaf0nora719j704ho9rsh7.ooo.	900	in	nsec3	1 1 0 - 050J0MNPTAAL82URRIUG1LINSOKJCBEG NS DS RRSIG
04bpi0iveijaf0nora719j704ho9rsh7.ooo.	900	in	rrsig	NSEC3 8 2 900 20260216161246 20260117144246 1930 ooo. Ca47sEfbf01kN72HvBtzXBP19rmkeXkfgSm+dIyZSvACfT+8zuNrSoboSOGUxUaNxdw3nBOE+8n0Mb+opnKGWhHSy48ECb87gT8j2DGwtYvGex+bVgYB75REgIp0RYZVqz0REuZv0vNZbSDoeOZwODAexZugA7rSRmMRW3Ev/+E=
050j0mnptaal82urriug1linsokjcbeg.ooo.	900	in	nsec3	1 1 0 - 05KFK0S1GM4LVCV7QJ7FENKDDS9BSG5G NS DS RRSIG
050j0mnptaal82urriug1linsokjcbeg.ooo.	900	in	rrsig	NSEC3 8 2 900 20260216161246 20260117144246 1930 ooo. XswW0ufiyLlQs3WGY4GjuYzWgRTEtyCLVifsxif3USeIuJCK0f3sSXdDCCPrCjvbSZB57aQ/+895e4u8TGpq3RWvDqin1fBQA+k+i62OG0VE8KGH9ZuXvGu2qspqRPHLO9CVRM21X/JYyHc8vnDtoSv/rAiadkqnbN82uRMmtI0=
05175.ooo.	3600	in	ns	n1.xundns.com.
05175.ooo.	3600	in	ns	n2.xundns.com.
05330.ooo.	3600	in	ns	ns1.dnsip.com.
05330.ooo.	3600	in	ns	ns2.dnsip.com.
05558.ooo.	3600	in	ns	faye.ns.cloudflare.com.
05558.ooo.	3600	in	ns	rocky.ns.cloudflare.com.
05670.ooo.	3600	in	ns	a2.share-dns.com.
05670.ooo.	3600	in	ns	b2.share-dns.net.
0580.ooo.	3600	in	ns	ns1.netsto.net.
0580.ooo.	3600	in	ns	ns2.netsto.net.
05kfk0s1gm4lvcv7qj7fenkdds9bsg5g.ooo.	900	in	nsec3	1 1 0 - 063SMQG3UHR1A3N4ILGVRT6OJEH74DCI NS DS RRSIG
05kfk0s1gm4lvcv7qj7fenkdds9bsg5g.ooo.	900	in	rrsig	NSEC3 8 2 900 20260216161246 20260117144246 1930 ooo. nuu8J1AD2V2eQ3wtP79ZadCfp9JSFOIPZcPoKjJIKY8yH5n1+u9U2gVkCn9NfvvinPN2kNDpHAvnPITEevbuxZ2heEf0g1ADHEelq87bLfrTloB3NYRUJhJIyhoCVi8DLiXDmFYocCwM+8rEZlUZZJW8VEJjUBhCBxcfn8LEojo=
06084.ooo.	3600	in	ns	n1.xundns.com.
06084.ooo.	3600	in	ns	n2.xundns.com.
06114.ooo.	3600	in	ns	ns1.dnsip.com.
06114.ooo.	3600	in	ns	ns2.dnsip.com.
063smqg3uhr1a3n4ilgvrt6ojeh74dci.ooo.	900	in	nsec3	1 1 0 - 06SQ6TIB76GOSVDT6E7923SG996DALRE NS DS RRSIG
063smqg3uhr1a3n4ilgvrt6ojeh74dci.ooo.	900	in	rrsig	NSEC3 8 2 900 20260216161246 20260117144246 1930 ooo. TWXjf1ayVdJ+yCoEXeXPrz/DgQDAMxdOD7HsKeRY63c98ig+RcnyOx/SZ8pztrt3AsdDelsP9znYIb+sO2n9Bi4nS7/vAymyBSUa9mtWwX796+du4lP4OcGFFUORAnFrSpFXVP2Nk6owXIuQqkX/v6pYtniNTMyHlOmsC5mD6FA=
06638.ooo.	3600	in	ns	n1.xundns.com.
06638.ooo.	3600	in	ns	n2.xundns.com.
06744.ooo.	3600	in	ns	ns1.dnsip.com.
06744.ooo.	3600	in	ns	ns2.dnsip.com.
06772.ooo.	3600	in	ns	ns7.alidns.com.
06772.ooo.	3600	in	ns	ns8.alidns.com.
068814.ooo.	3600	in	ns	ns1.1233dns.com.
068814.ooo.	3600	in	ns	ns2.951dns.com.
06931.ooo.	3600	in	ns	ns1.dyna-ns.net.
06931.ooo.	3600	in	ns	ns2.dyna-ns.net.
06a.ooo.	3600	in	ns	ns1.dnsip.com.
06a.ooo.	3600	in	ns	ns2.dnsip.com.
06sq6tib76gosvdt6e7923sg996dalre.ooo.	900	in	nsec3	1 1 0 - 0716D8N0UEAREPVDS94VDBJE4RR7MSC8 NS DS RRSIG
06sq6tib76gosvdt6e7923sg996dalre.ooo.	900	in	rrsig	NSEC3 8 2 900 20260216161246 20260117144246 1930 ooo. Nyk35B76mFcPSfXTJkBBGwdfNtls6UJwbV7bwyHMmGaImNWUHYJ+IRpowOKrRmBA4aaVJMHBLIIvsEIvWkK/MWdhO8JFRaFanfxxnF5FRlfY8Y3J/PyeksvydFy2HHnhUgNCggyzgxshkwf2/tZYLSWJqHkREEQMluvApjBNgsI=
07085.ooo.	3600	in	ns	ns1.dnsip.com.
07085.ooo.	3600	in	ns	ns2.dnsip.com.
07087.ooo.	3600	in	ns	ns1.dnsip.com.
07087.ooo.	3600	in	ns	ns2.dnsip.com.
0716d8n0uearepvds94vdbje4rr7msc8.ooo.	900	in	nsec3	1 1 0 - 07FHSSK9ELOE6L54GSQT03PNJMF5HSH8 NS DS RRSIG
0716d8n0uearepvds94vdbje4rr7msc8.ooo.	900	in	rrsig	NSEC3 8 2 900 20260216161246 20260117144246 1930 ooo. FepJ71xvT4allhYwg73N9179C0FVQjhlFC27HDJz39a546sDGVpIDpW29SKZxpSdL1OMOAnhB2IIvQ5HfxoTiHxCprlxotOP7abMcj4WRbZ3zzgE6Rz1E+SaSPT50L+1wCUE259d6HoXWQXgdlCo4gq+EH1kaIbBFtW5PF36ZPU=
0721.ooo.	3600	in	ds	2371 13 2 9645CD11A7E00DBC32BEA6D00E908091DB31FE13E01B9504823E482E7C06495E
0721.ooo.	3600	in	ns	frida.ns.cloudflare.com.
0721.ooo.	3600	in	ns	quentin.ns.cloudflare.com.
0721.ooo.	3600	in	rrsig	DS 8 2 3600 20260216161246 20260117144246 1930 ooo. ECSfGCf3LEtO/k2pK1NncU+raI+ioOnYJZ8GrGFfnrEp5G6UkFdl6ORGOpuFWlHFlXty7Cn0TpaceqgY9EfngR3wHv07LnEtBOPICARQvfYdBqVXCRd7GYo037Aw024AxZCKIAMpRJGOIxz7//pkLB2TssWMzFoh/GB2Vs06ztQ=
07305.ooo.	3600	in	ns	ns1.dnsip.com.
07305.ooo.	3600	in	ns	ns2.dnsip.com.
074919.ooo.	3600	in	ns	ns1.dnsip.com.
074919.ooo.	3600	in	ns	ns2.dnsip.com.
07576.ooo.	3600	in	ns	ns1.dnsip.com.
07576.ooo.	3600	in	ns	ns2.dnsip.com.
077277.ooo.	3600	in	ns	ns1.dnsip.com.
077277.ooo.	3600	in	ns	ns2.dnsip.com.
07751.ooo.	3600	in	ns	bethany.ns.cloudflare.com.
07751.ooo.	3600	in	ns	rob.ns.cloudflare.com.
07752.ooo.	3600	in	ns	bethany.ns.cloudflare.com.
07752.ooo.	3600	in	ns	rob.ns.cloudflare.com.
07754.ooo.	3600	in	ns	bethany.ns.cloudflare.com.
07754.ooo.	3600	in	ns	rob.ns.cloudflare.com.
077886.ooo.	3600	in	ns	carioca.ns.cloudflare.com.
077886.ooo.	3600	in	ns	joel.ns.cloudflare.com.
07829.ooo.	3600	in	ns	n1.xundns.com.
07829.ooo.	3600	in	ns	n2.xundns.com.
07878.ooo.	3600	in	ns	jill.ns.cloudflare.com.
07878.ooo.	3600	in	ns	roman.ns.cloudflare.com.
07ce9.ooo.	3600	in	ds	44569 8 2 67F8DCA2F7967B5611CE8BC6B8CCBFCE2DB1A69DFCB8FFC244FDA3FDFEE49C27
07ce9.ooo.	3600	in	ns	ns-cloud-e1.googledomains.com.
07ce9.ooo.	3600	in	ns	ns-cloud-e2.googledomains.com.
07ce9.ooo.	3600	in	ns	ns-cloud-e3.googledomains.com.
07ce9.ooo.	3600	in	ns	ns-cloud-e4.googledomains.com.
07ce9.ooo.	3600	in	rrsig	DS 8 2 3600 20260216161246 20260117144246 1930 ooo. HGjc6bkJIcuDpS7KL7wn+Jv3VUQhN/sq5qTrfwtur8ihEc4Y38etCR2kOoxnsFuaDXFFQP5ZKJD/01hSDW38cZdM6e+8hUGOdYyfHuVsVxcOtoXOyArny8T2yFHBfY9LTV3oJ8hn/hyRiwwRzH9PANniXsXue0JDlMsL2pEWXdg=
07fhssk9eloe6l54gsqt03pnjmf5hsh8.ooo.	900	in	nsec3	1 1 0 - 07HL43I3KVLB6KLHI4DQLMCN2T4E2QHK NS DS RRSIG
