1800baskets.fail.	3600	in	ns	dns1.cscdns.net.
1800baskets.fail.	3600	in	ns	dns2.cscdns.net.
188bet.fail.	3600	in	ns	emely.ns.cloudflare.com.
188bet.fail.	3600	in	ns	jarred.ns.cloudflare.com.
1cko9cms2gah169t48mgo2r7vegmrllm.fail.	3600	in	nsec3	1 1 0 73 1G0FJLHABC6OU7P6FUH5OA7CT95GK3SU NS DS RRSIG
1cko9cms2gah169t48mgo2r7vegmrllm.fail.	3600	in	rrsig	NSEC3 8 2 3600 20260207152638 20260117142638 37773 fail. OVSegp/DLko0bvv6PI347YuiNCK1gAcL1OHD1tOBc9VMAdC2RtJ6/EbZn8QzbreKgtyPzky0t4ymOzeSGg7T7eGwLCsTRX80S5PapKHnVgr0mivdqR5jjPvO7UzUYd6wTjjfbM9LLZa2AgIoOv0mqqmWbOMrXCXku1t97kZMQAc=
1cs.fail.	3600	in	ns	bayan.ns.cloudflare.com.
1cs.fail.	3600	in	ns	nia.ns.cloudflare.com.
1fbusa.fail.	3600	in	ns	ns43.worldnic.com.
1fbusa.fail.	3600	in	ns	ns44.worldnic.com.
1g0fjlhabc6ou7p6fuh5oa7ct95gk3su.fail.	3600	in	nsec3	1 1 0 73 1I1G0UPOL422DPB6VUO0TKOFP802LASG NS DS RRSIG
1g0fjlhabc6ou7p6fuh5oa7ct95gk3su.fail.	3600	in	rrsig	NSEC3 8 2 3600 20260207152638 20260117142638 37773 fail. CfBcsp2tGofxxn5VlSBXwW+bVFxhceVWIgVn5rEf2caRdTd0XmiTPVX2LIDoiIE7O4DzlePyiPe8QCmEyF3x6oRf33qx8An/zM9kVXhvFsNPPuCO3+NKynlSzR7A6OU0QB51n9FcDiPq95PQEaHmaTVsA9EdKEdxenrIi+nbCBk=
1i1g0upol422dpb6vuo0tkofp802lasg.fail.	3600	in	nsec3	1 1 0 73 1OBTK2ODE8PCM28752ALO39U51D46IMM NS DS RRSIG
