12f4q892m5gc88n2osc0ids0lg80ssda.parts.	3600	in	rrsig	NSEC3 8 2 3600 20250916160709 20250826150709 39855 parts. GVua6VVtVCJNqVJXzoAvJvxcnOitNVyX52Ye3JJlXRbe4IizweTRo9ooh2+OPM8Teqd8otz4n+A67onCzwfL0X9yeTV8lmTyKKAtfjJPU7XTz35/DrY8zqFJ492O+gxiTnAZjmCFQp2GZEkGCtuMpj9QBGWJgRwUeZt1Lg/7QjM=
12ga.parts.	3600	in	ns	ns17.domaincontrol.com.
12ga.parts.	3600	in	ns	ns18.domaincontrol.com.
12hecqhbldo3nqv1c2a2ljsdih183p4i.parts.	3600	in	nsec3	1 1 0 73 15K9QV849JUDJD5UIVSJH22ER0LHJ99Q NS DS RRSIG
12hecqhbldo3nqv1c2a2ljsdih183p4i.parts.	3600	in	rrsig	NSEC3 8 2 3600 20250916160709 20250826150709 39855 parts. a0b89yJyM//fvAYrLXe8XXVFC4U/4rW4c9iv1OB5xEgS2mRtoaqK3CIfbf2feEqFdQRXK4jrphTksymu5JArg6H+lbh9MHIyLtZ9vbFkjOIERqkKKqbBezGb6nWe0z1spdquRcq4Ch6qEi25UnGjNuI/wT2srB9ihsAj0/UndZk=
1320.parts.	3600	in	ns	ns1.hobohost.com.
1320.parts.	3600	in	ns	ns2.hobohost.com.
1337.parts.	3600	in	ns	ns1.dns-redirect.com.
1337.parts.	3600	in	ns	ns2.dns-redirect.com.
15k9qv849judjd5uivsjh22er0lhj99q.parts.	3600	in	nsec3	1 1 0 73 15RH5H0H5H57RCDOKHHH9E63E6QHUS8H NS DS RRSIG
15k9qv849judjd5uivsjh22er0lhj99q.parts.	3600	in	rrsig	NSEC3 8 2 3600 20250916160709 20250826150709 39855 parts. crLCL3Cp3m++KO/Py+CNL4B6LhIcXyWHymQ9mK/hC2axCZiZOIEbM/x6PXB44LEHugQmoHIay/BMiFCXRB+PvIuz4kMFSehETaThaW5KZiijJhSvVZAOP+GZ/Wir80MF3dV7vuuNRKbK1cM30ZQSy1UOGlKoU8tWYvgZTKqmudk=
15rh5h0h5h57rcdokhhh9e63e6qhus8h.parts.	3600	in	nsec3	1 1 0 73 19LO89RJLSKKRU4PJTO9R0PDHECQMNEI NS DS RRSIG
15rh5h0h5h57rcdokhhh9e63e6qhus8h.parts.	3600	in	rrsig	NSEC3 8 2 3600 20250916160709 20250826150709 39855 parts. K8NxlwS0MvS+sHTGhwCAYNsjWJtS5UbZ35ADubVpT2gI1OU6Oo8eJdN/CR0n1aM/fbnQCb4XZS/8bxgfPIN/lw8e+ZshJasUvZ5Y0W8aW3CytIph2frHUeuhuQBEMl9I9ewtyuYGgNIan/149g8+g5vbI9XiG2emxuDe0NGY/8M=
1688.parts.	3600	in	ns	ns1.timeweb.ru.
1688.parts.	3600	in	ns	ns2.timeweb.ru.
1688.parts.	3600	in	ns	ns3.timeweb.org.
1688.parts.	3600	in	ns	ns4.timeweb.org.
17.parts.	3600	in	ns	ns1.name.com.
17.parts.	3600	in	ns	ns2.name.com.
17.parts.	3600	in	ns	ns3.name.com.
17.parts.	3600	in	ns	ns4.name.com.
1800.parts.	3600	in	ns	ns07.gcd-dns.com.
1800.parts.	3600	in	ns	ns08.gcd-dns.com.
1800radiator.parts.	3600	in	ns	ns07.gcd-dns.com.
1800radiator.parts.	3600	in	ns	ns08.gcd-dns.com.
18828.parts.	3600	in	ns	expire1.gname-dns.com.
18828.parts.	3600	in	ns	expire2.gname-dns.com.
18wheel.parts.	3600	in	ns	ns57.domaincontrol.com.
18wheel.parts.	3600	in	ns	ns58.domaincontrol.com.
1911.parts.	3600	in	ns	ns1hwy.name.com.
1911.parts.	3600	in	ns	ns2clp.name.com.
1911.parts.	3600	in	ns	ns3nrz.name.com.
1911.parts.	3600	in	ns	ns4bht.name.com.
1917.parts.	3600	in	ns	ns1.dnsowl.com.
1917.parts.	3600	in	ns	ns2.dnsowl.com.
1917.parts.	3600	in	ns	ns3.dnsowl.com.
1917a1.parts.	3600	in	ns	ns1.dnsowl.com.
1917a1.parts.	3600	in	ns	ns2.dnsowl.com.
1917a1.parts.	3600	in	ns	ns3.dnsowl.com.
1918.parts.	3600	in	ns	ns1.dnsowl.com.
1918.parts.	3600	in	ns	ns2.dnsowl.com.
1918.parts.	3600	in	ns	ns3.dnsowl.com.
1919.parts.	3600	in	ns	ns1.dnsowl.com.
1919.parts.	3600	in	ns	ns2.dnsowl.com.
1919.parts.	3600	in	ns	ns3.dnsowl.com.
1919a4.parts.	3600	in	ns	ns1.dnsowl.com.
1919a4.parts.	3600	in	ns	ns2.dnsowl.com.
1919a4.parts.	3600	in	ns	ns3.dnsowl.com.
19lo89rjlskkru4pjto9r0pdhecqmnei.parts.	3600	in	nsec3	1 1 0 73 1A721FN98KFOA56LUVT7R7TBR3LOKKBO NS DS RRSIG
19lo89rjlskkru4pjto9r0pdhecqmnei.parts.	3600	in	rrsig	NSEC3 8 2 3600 20250916160709 20250826150709 39855 parts. bbd+Cg3cNW1fYIDfjOUQQenGM4iTblf5dC1B+bFBi1ZUwSwVYPfPRvHZvQwdG5VZWpJU4CIyKb7PlA/4MXoKhyF//3qPG/ETlt1j+pu+PBzsbbGEcpy4JeokVxJov+G2L0nO0Wc7cQYqKkxsda1y/rtCbKVeogNlgnKc9YQlCs8=
1a721fn98kfoa56luvt7r7tbr3lokkbo.parts.	3600	in	nsec3	1 1 0 73 1CTL3CE6MAKHFFLSM3DU8UBNLBJVH24C NS DS RRSIG
1a721fn98kfoa56luvt7r7tbr3lokkbo.parts.	3600	in	rrsig	NSEC3 8 2 3600 20250916160709 20250826150709 39855 parts. icXtK+YCLSJ11ly7UZXBHHkTwBJiHN/q0jQM5bxpAKmERcyYyYHXQ2c8eaIIe2WrLyHw87pJe/ThU4P/8EuZ/7dmu2I7sftGpNRZbeW71HzSHeV+vAuWlEfa1Wd7R98NjLqx83zkNy5cqHrGV9RbBqTspv12nvv5yLDVU1LZkOM=
1aaa.parts.	3600	in	ns	ns1.dyna-ns.net.
1aaa.parts.	3600	in	ns	ns2.dyna-ns.net.
1auto.parts.	3600	in	ns	ns05.domaincontrol.com.
1auto.parts.	3600	in	ns	ns06.domaincontrol.com.
1cabura.parts.	3600	in	ns	dns1.registrar-servers.com.
1cabura.parts.	3600	in	ns	dns2.registrar-servers.com.
1ctl3ce6makhfflsm3du8ubnlbjvh24c.parts.	3600	in	nsec3	1 1 0 73 1D5A51SUTQFIIBPRVCNH5ONIEA8CT82I NS DS RRSIG
1ctl3ce6makhfflsm3du8ubnlbjvh24c.parts.	3600	in	rrsig	NSEC3 8 2 3600 20250916160709 20250826150709 39855 parts. VM+PI9rGFlVVkeCWkg+NCGWOIP9zR8+4QQCZYqqSwk/h8e81OosmuWgNtGHxDWcpPjpBFbFDN59xoxYRz/78imwUc8Hv3MDS5labmaphwcaevssXwKF0d+l0uHj+qJyzI/CwCBrOeYwscp2WUChqSZZZ8X/RLycxQb4lAi4eL9Y=
1d5a51sutqfiibprvcnh5oniea8ct82i.parts.	3600	in	nsec3	1 1 0 73 1E1HOI8OMA5FNU1CAF2TRECHC390QHBU NS DS RRSIG
