0a4or95q9mtq0l0alj68j3fvhtlg8uh7.gay.	900	in	rrsig	NSEC3 8 2 900 20260115235549 20260101231149 36750 gay. uW2Ypult460UtvXZLi3hIxyFpe51YTX5MHr0LVxUFcKfYtkVVCKqtKI5Goc7DEIhFnCfjynDfKZ6oXoUKcdltpOwZQVtEVh8FLnQmN2Z0sAJC0AYIh4dVM9AJe94lttaC1XQh7xKCZ2yUG9IMsIaI9YHewgbk1EjoBvo91+wMPqS6RKE0uF8xEal8EElEfhZUmLlJci6hAVyIfFzjuIyZQ==
0a6hsptijmrob1rimgdrk5o10gsk9f18.gay.	900	in	nsec3	1 1 0 - 0ACK3U07ICR09LFMEBEQITVEOHGD98SF NS DS RRSIG
0a6hsptijmrob1rimgdrk5o10gsk9f18.gay.	900	in	rrsig	NSEC3 8 2 900 20260114065531 20251231061008 36750 gay. PDlv/55gbzeyVx0msItsDSf/iAb/1/B143MP0pt54mAF8gDQVFfuwZhXzEgsP1EsDhtJk0pVk3ebnuLKjhuWI6Donibk/65yBf0OBg65wJ2AlXXmMjiREnujA0JsyVdiTvlr1xxg529oOPZnym14T78kUjixpodCcKoBrcSARtmmjtZ5Oc906gm1mXzsbIio2MYvRGd/ByDE/zaKgiOWXg==
0ack3u07icr09lfmebeqitveohgd98sf.gay.	900	in	nsec3	1 1 0 - 0DVK33O7ECQ0TL2J4HG9LR8Q6B8UB3AL NS DS RRSIG
0ack3u07icr09lfmebeqitveohgd98sf.gay.	900	in	rrsig	NSEC3 8 2 900 20260114065531 20251231061008 36750 gay. GT0hhZwsQSvWJUADXz5SgJKdQKwjGJyQ12pLWKGRZCC/kvqBKRuGbENrqXJdMwldomwPHTgu35KRa8GrVhfxQfN0B4ARcNNUVc+Iy5yRmb7ZI/vnNQuXJ5EJl7bPpyGJwGlPE1OyOVPF+GXb9Z8hZotRjFHS+y86a5aSdWIi2aXbKvAas6ksHoU0PPQBEIAlnBMDbW8u7TxdO/8cH1+RCA==
0b0t.gay.	3600	in	ns	dns1.registrar-servers.com.
0b0t.gay.	3600	in	ns	dns2.registrar-servers.com.
0dvk33o7ecq0tl2j4hg9lr8q6b8ub3al.gay.	900	in	nsec3	1 1 0 - 0E6E6VE83UFVRUDK97QI9N8O774N4FD2 NS DS RRSIG
0dvk33o7ecq0tl2j4hg9lr8q6b8ub3al.gay.	900	in	rrsig	NSEC3 8 2 900 20260119151819 20260105145034 36750 gay. NruJ/GMDS7uEtq7sPXFo+BP1TQAN7EGN0SXaHx2fwPTgvAEoqHbjyn/uXOU+8QXvGQ1ArQ7FPmqTHRx4+NhrUl6QUcpFIi8dUo05Ps17IeVd1xyN0n9YmcowujYf9yy/q7VRqIzmb4+iQ2ZR5s+jhxvnR9o+33o28zQk77OSxOchwH7Ais2RjvluvC2C1Okg3VSe7eVqQRJfs8wGmCkdBg==
0e6e6ve83ufvrudk97qi9n8o774n4fd2.gay.	900	in	nsec3	1 1 0 - 0EAD1QA9C0P8STH3QTHTFGE6LBQ80JGR NS DS RRSIG
0e6e6ve83ufvrudk97qi9n8o774n4fd2.gay.	900	in	rrsig	NSEC3 8 2 900 20260119045330 20260105043207 36750 gay. BkKoqCH+XP6HXRPJNFS8pQ/ZAfu54aHFJgiZjSMx/gbLHpNjJogyBFjEv4h1dYBUFFBD+aTyXc+BRpWIwkZaroKjSYcSdSykog7IhnKwyWpzlIJKWX2SuPuy+JkHRkYdJArnYVUt09hUx5bKdnf+mPCFKDFlRUdxRjfIoNk9sMC19vC4JWqbNTCeHkBPcv7RCisbP5yTJ6XZBJHPa9CkEw==
0ead1qa9c0p8sth3qthtfge6lbq80jgr.gay.	900	in	nsec3	1 1 0 - 0EB1IKT2KID2Q57RDBDQG3V00ITIIGLC NS DS RRSIG
0ead1qa9c0p8sth3qthtfge6lbq80jgr.gay.	900	in	rrsig	NSEC3 8 2 900 20260119193121 20260105191920 36750 gay. uYmX/cQZhg/bvMrRefbdZDhYKh2PQGeBWxt0qv2Jupj7mavES2yNtMkOnD6DqXjsqCOLFUst+SfUBWB+LErAm53G/IXgAw+NirmWHdg1qbWPU7dRHZ/Osl0zH/mJ7Nxiab4FHE/NrQiDC3StpJgF0X0+6h8N1vciShVWDaM5SvORo0OTT3xZA/yGco+b/SQRXEPTXvW4PydU/hjB8rtJ9g==
0eb1ikt2kid2q57rdbdqg3v00itiiglc.gay.	900	in	nsec3	1 1 0 - 0EFTTC7CLQJT3KV2IRAFD2AH6BI0HBS9 NS DS RRSIG
0eb1ikt2kid2q57rdbdqg3v00itiiglc.gay.	900	in	rrsig	NSEC3 8 2 900 20260119193121 20260105191920 36750 gay. txIMgr0hlaFwh92DeXJYyso6PUJ87TyPA7XKFX3jdGPd30Iv9PYa3vt4ltAwRAxvBRAdqtjUoG++wPvj6dp3bOUyz5473M9U0dQ9ibg8lgfMnR/YqPOwcfRjavYMGEaL8BFZvmrxdFbSg0UF5KDwZcddHGQXTmPyfYH04qJvKuTs6lEaIBL1nFGZhD+mi73AnnIuk6f6oZaZoDPz5miAEw==
0efttc7clqjt3kv2irafd2ah6bi0hbs9.gay.	900	in	nsec3	1 1 0 - 0EGNFDGMPHMADQK3MH9RFL7LQGUOOEEH NS DS RRSIG
0efttc7clqjt3kv2irafd2ah6bi0hbs9.gay.	900	in	rrsig	NSEC3 8 2 900 20260116121150 20260102120128 36750 gay. kM6RTql3/F0Zq9DHp5wpn59MNJejBsMftygLdAWnVzWWkbUb5T4Ge74U6tBbJ2CXsSXc6k1k8iAl7nOuahLspEc+6zKhZAqNDyFFnt+WjxSAcOc8Gc5eumhQX6QY+h2I8RQ/kjTvENBNKxwhuyN/ZXvGMIiEMiKPa01S6DoU9r5F3jI18M8vyrSJFfcQ5FyWzhjOoN6fckoI1RhhlOuYeA==
0egnfdgmphmadqk3mh9rfl7lqguooeeh.gay.	900	in	nsec3	1 1 0 - 0EI4HC5RL6US56ADR3R73B2RVO5MLE34 NS DS RRSIG
0egnfdgmphmadqk3mh9rfl7lqguooeeh.gay.	900	in	rrsig	NSEC3 8 2 900 20260116121150 20260102120128 36750 gay. fOq9SBB7xRUl4Yn6zn2BxZQFVqvXfm2AZuuE4FaJb3GdSEwXOvfHqMuvjmkpgB6LiIVfCeSAnxffPXMNN3+Xi8eU6z38UDMYVaJ1/RgMdpHMVk0IDSob6LHXuUNws1dYh496lgIWrSufRxBOweX9/d6B1aIDfMLM5DPLif8GUv8frcd8lk4x6hJiHndzH/GhJEJ4pGOiUYeFQmDe4BXHjg==
0ei4hc5rl6us56adr3r73b2rvo5mle34.gay.	900	in	nsec3	1 1 0 - 0EL1LRN98DJ7LLJ6MJQV7TAIQ1OA9ATL NS DS RRSIG
