0d37rh4idk0eoos85l744di9c46bkci4.foo.	900	in	rrsig	NSEC3 8 2 900 20260126132121 20260104132121 21279 foo. XAyMvHaLweRPspZXEAROP2Ou4kIvVHQcbYFG29wKJA8MK5Zoac0TfREmCONRavZbs759ZCg/Eww7UFD4gcPimcpRbzHC5r171+qv7oYi6VY0pkPubLwFv+oGoqRbv7h+J0f9Qg2BTfubWc98BloFOEx+wyMI+16oGzVn0RP6Jic=
0day.foo.	10800	in	ns	1-you.njalla.no.
0day.foo.	10800	in	ns	2-can.njalla.in.
0day.foo.	10800	in	ns	3-get.njalla.fo.
0dbbrpid7oi1po985or3v90avmuh9ck1.foo.	900	in	nsec3	1 0 1 4F2E89E10B33C654 0DBLHBBQRKM9A48EQILRLE8C6CFVCMJ0 NS
0dbbrpid7oi1po985or3v90avmuh9ck1.foo.	900	in	rrsig	NSEC3 8 2 900 20260126132121 20260104132121 21279 foo. FNrh300IBiBYdmoEbDIPCHH2U4G88ZfqyU/PHZ2G3Hdmg40IvjeRnmGWIKBABrTQ4wj2ZvtYCZPqaOg3nRa2hqmMv86reFamSmmdDvop1lDJfz4XPf90ynutS2ORJM9NLZhZe5hx1VJT9g4tXdfRpB4PENjflp8mNfwGJA8asUo=
0dblhbbqrkm9a48eqilrle8c6cfvcmj0.foo.	900	in	nsec3	1 0 1 4F2E89E10B33C654 0DCBNK57TJN1I56A46B7J1AGGH61I3MM NS
0dblhbbqrkm9a48eqilrle8c6cfvcmj0.foo.	900	in	rrsig	NSEC3 8 2 900 20260126132121 20260104132121 21279 foo. f0dfxqx6b7Kp0u04gHE03QDX212N+HDwcWZ7WTvq/TLZyj1/Ec5hKfRGdSOvk30osPGYOr8FCiB8XS93QXUF39RJDYsshf6Pc4CsKkppturYRMNZ/L+Ntq9gzyGBi+5AAHGyzf/0gBSGvE8Ao25IIlXbHWK1DB4VGH9D2uE1Z3E=
0dcbnk57tjn1i56a46b7j1aggh61i3mm.foo.	900	in	nsec3	1 0 1 4F2E89E10B33C654 0DCP97E7J3LAUO2176224O0RHJOQ6MOS NS DS RRSIG
0dcbnk57tjn1i56a46b7j1aggh61i3mm.foo.	900	in	rrsig	NSEC3 8 2 900 20260126132121 20260104132121 21279 foo. lG4va3Xrvn7oz4EJfuFe3LxySxDYj34Gy1XWLpBKSFPbIK1UjX/sGlhGxA0q/C4ZgYbrfWGq5vpW5pXpSTLDCE7qeqamQrAQofUH6nCWO0HdeWVFydau5Qe5132V+lHY4s0roRnKd9Nnn8M4NUIh6ADlCjCNE8vUhk0TYLqdCj0=
0dcp97e7j3lauo2176224o0rhjoq6mos.foo.	900	in	nsec3	1 0 1 4F2E89E10B33C654 0DE5A8MUMHBOAB5B3T4AOHI5QTRM559Q NS DS RRSIG
0dcp97e7j3lauo2176224o0rhjoq6mos.foo.	900	in	rrsig	NSEC3 8 2 900 20260126132121 20260104132121 21279 foo. cX0TuS58WMowIr2EZfoVYPpDebi41sJ4/kjMV/fUxAJkltIp/RxEUsQjsTWQx7epfeu/Te81om3tCM/soH9LpdQpPZ9ofl7DKQb5QwP8S4YrVKz/FVP5yhwKIDOJset2KD3eaK0T57VC7QF7ad2gmB7in71F1rkiHD/iv3z9KAM=
0de5a8mumhboab5b3t4aohi5qtrm559q.foo.	900	in	nsec3	1 0 1 4F2E89E10B33C654 0DJN68LFB25UUU49S9VTIK1MK05ALMVG NS DS RRSIG
0de5a8mumhboab5b3t4aohi5qtrm559q.foo.	900	in	rrsig	NSEC3 8 2 900 20260126132121 20260104132121 21279 foo. KfZeCr0dXdK0HTOA+IoFnFKaYhrKEyXDaOs24A5DU2nldb0nbChVBI4utg4EBexIWlIt6gLyXsYQdr0cinXx/yDFykBQkMhLqTFlkroZqJfeWQ3mM0xV7e72cJpNjzIuVuewYuA38rJHBjKf0UG0EqwKlmQHek23lOZXDi7SOOE=
0djn68lfb25uuu49s9vtik1mk05almvg.foo.	900	in	nsec3	1 0 1 4F2E89E10B33C654 0E4JSA4HHCB20OB4C48AC1HKG7F6S8S0 NS DS RRSIG
0djn68lfb25uuu49s9vtik1mk05almvg.foo.	900	in	rrsig	NSEC3 8 2 900 20260126132121 20260104132121 21279 foo. ItCtuHJ0ttlAaiKezdHVxT0v5RYnDs+0rTnN47xAAcQrnxyl9CR4KD4ofaKKZimYm43DC+QzIC2AIPrI8hykwzAzmRQVPFUadGoKhSvgCR35BPJkpHAsofMkWCGpb+agSqXVRvkN/0dtQsTKRNINOS3KyyJHd0aLv8ojpwgHoFM=
0e4jsa4hhcb20ob4c48ac1hkg7f6s8s0.foo.	900	in	nsec3	1 0 1 4F2E89E10B33C654 0EGE4IMTVVHQC1G8SNKQ453D5GPLHAVA NS
0e4jsa4hhcb20ob4c48ac1hkg7f6s8s0.foo.	900	in	rrsig	NSEC3 8 2 900 20260126132121 20260104132121 21279 foo. aYkdIXWZ4JhjHkzSjVQBBWJNYIhbI/i1bAGYxbv+tn1cvUe5FkZ7kJX0v9qsboC8rtd3SLJksRNpw+HitpbSRbQWLLw/PTjuuiE5GQQxhV25cGHInx1XNIJ+1F2cxZwXayo6vuqCMY3EEy1VbXw03wcT7bjYWnfymxb++AVtfQw=
0ege4imtvvhqc1g8snkq453d5gplhava.foo.	900	in	nsec3	1 0 1 4F2E89E10B33C654 0EHGN1S8IB1R9Q66DE6EBES4I8VCICCE NS
0ege4imtvvhqc1g8snkq453d5gplhava.foo.	900	in	rrsig	NSEC3 8 2 900 20260126132121 20260104132121 21279 foo. JZrNHU3FGsuB0mI7UGvFudhyJm1Q3sze4OQnGkTgoTA9LxGNvBAKPo2Xw/ihhelp++9jEaQZJjglkCtb/KNY0PQ+KMtNRjyMUvJQj1F/ZP0FDlNqsVELm2bp0KWaIS3+4xcE8wHEasjjojrKSMhO9ohQWthWN826J+KCqvQqi+o=
0ehgn1s8ib1r9q66de6ebes4i8vcicce.foo.	900	in	nsec3	1 0 1 4F2E89E10B33C654 0F91H5ME6UUGLJVRTEBM4GK1J9462KT0 NS
0ehgn1s8ib1r9q66de6ebes4i8vcicce.foo.	900	in	rrsig	NSEC3 8 2 900 20260126132121 20260104132121 21279 foo. ARYeYddlGhM5+eYj6R2y9h5sdkuJpFh++6Q+DXw252I10k01KpscXycCbrFdEN4Qji91QcUuLX3Ev+zVk0cFAUbbDRu8Wxu7sYxi1vUWgK3qL8xGE0h2nLvIiIA3auXvWOwlsiZ+yxqj/4hfXfQnI9Ea24RRDEfuGDFK2yjgH80=
0f91h5me6uugljvrtebm4gk1j9462kt0.foo.	900	in	nsec3	1 0 1 4F2E89E10B33C654 0FHBFGMIPHTJMDA9C2K5I5TQ0KCGQF3C NS
0f91h5me6uugljvrtebm4gk1j9462kt0.foo.	900	in	rrsig	NSEC3 8 2 900 20260126132121 20260104132121 21279 foo. eaODKbElXw+g12tC0HNJx9kinFKgqyRVG2f6VMbjw5Kk25ZP+wnhkKGMGkstIw8XZAoeGcYtbcLxUZH/MmO4z1AiyAkjZlzf2VOnfNZecQermvmoMyBGrj/IgsFSZnrOhjcWxn5RqjCcYgDD6rdGEn7p8VbKUg6PQy9Thz+mEZM=
0ff.foo.	10800	in	ns	curitiba.ns.porkbun.com.
0ff.foo.	10800	in	ns	fortaleza.ns.porkbun.com.
0ff.foo.	10800	in	ns	maceio.ns.porkbun.com.
