vegas.	3600	in	soa	a0.nic.vegas. hostmaster.donuts.email. 1769304332 7200 900 1209600 3600
1ppee3kd0fd87q6a85k91n1aiv3homhj.vegas.	3600	in	rrsig	NSEC3 8 2 3600 20260207155919 20260117145919 8685 vegas. qd5cNRjzPE3eHujhqExygk/0xf9RFvk2sXGjE6QHJwhwp5z2nLtjv7s0iOY6Z5BV4N2xHxA0Vmf/9j9+jotDhtwGmn7i2g5Ar1oohoiG6COFBiKf+EGd2q0ifd1ERJMIazhCh2X7ni0hUrd5iINsXiETZaHMns2t9//aoeH4J8k=
1s29cu7ah2lrggf10pshps7n555jtgao.vegas.	3600	in	nsec3	1 1 0 73 1ULV2C7O78CQ9R545T54068N2A26OP92 NS DS RRSIG
1s29cu7ah2lrggf10pshps7n555jtgao.vegas.	3600	in	rrsig	NSEC3 8 2 3600 20260207155919 20260117145919 8685 vegas. rCXjktqTn7nxCTLbLd8LIwQTmJz9I0tiO3lE5TLlH7+e+jPA4ViJN95yycsUcEbAkyoaqSOHu/7MYmu0ZswEuYEfTPUnlf3GAbWQoFeSe7hrk6ahdd4s3Lr5O39KN4TpPBIcP+P/bWqmmCaICJEIUmWIz7HqF/n4LuxQSVsexQc=
1stop.vegas.	3600	in	ns	ns41.domaincontrol.com.
1stop.vegas.	3600	in	ns	ns42.domaincontrol.com.
1ulv2c7o78cq9r545t54068n2a26op92.vegas.	3600	in	nsec3	1 1 0 73 1V77PO4946TLS3JFPL6VGBOHOI4VGPAV NS DS RRSIG
1ulv2c7o78cq9r545t54068n2a26op92.vegas.	3600	in	rrsig	NSEC3 8 2 3600 20260207155919 20260117145919 8685 vegas. Mgk44m2VJNnqQjTBoK9ULZw3tBFXjvf+wJeDofoJfgN7fGrY32hS/221F9SZA282fgo6YeiY8DTtMWFpCsdt6akURwYVcxzCeJYPkz21dyUVGhwphbsWSQmunqHon0WW9XOJ4JSaqmIV2ghvLKxQi3F5S3aAwxhtHdP0oAdFJsY=
1v77po4946tls3jfpl6vgbohoi4vgpav.vegas.	3600	in	nsec3	1 1 0 73 2EU4SK678PFL788PI00DQ1LUI7S5SO8I NS DS RRSIG
1v77po4946tls3jfpl6vgbohoi4vgpav.vegas.	3600	in	rrsig	NSEC3 8 2 3600 20260207155919 20260117145919 8685 vegas. U5OtKyDl4ZiN2u0UoCoJZFv56RfF8gETU5Q11uuNYAT/OWrUuM1tbzFi273WNEnWvWfFbhJL5qAMPujQUBsuz9gWIVfn32LlVi++MKumR4i9t+wppGGHyrPiDskcc3wXmq1d1BzfCq13j22n8Aa5d0jui0y5epzS7Vgoj6UdaLY=
1win.vegas.	3600	in	ns	dns1.storm-pro.net.
1win.vegas.	3600	in	ns	dns2.storm-pro.net.
1x2.vegas.	3600	in	ns	ns41.domaincontrol.com.
1x2.vegas.	3600	in	ns	ns42.domaincontrol.com.
1xbet.vegas.	3600	in	ns	ns1.dnsowl.com.
1xbet.vegas.	3600	in	ns	ns2.dnsowl.com.
1xbet.vegas.	3600	in	ns	ns3.dnsowl.com.
2022.vegas.	3600	in	ns	ns1.fozzy.com.
2022.vegas.	3600	in	ns	ns2.fozzy.com.
2023.vegas.	3600	in	ns	ns1.fozzy.com.
2023.vegas.	3600	in	ns	ns2.fozzy.com.
2024.vegas.	3600	in	ns	ns1.fozzy.com.
2024.vegas.	3600	in	ns	ns2.fozzy.com.
2025.vegas.	3600	in	ns	ns1.fozzy.com.
2025.vegas.	3600	in	ns	ns2.fozzy.com.
2032.vegas.	3600	in	ns	ns51.domaincontrol.com.
2032.vegas.	3600	in	ns	ns52.domaincontrol.com.
20p.vegas.	3600	in	ns	ns45.domaincontrol.com.
20p.vegas.	3600	in	ns	ns46.domaincontrol.com.
20percentlawyer.vegas.	3600	in	ns	ns13.domaincontrol.com.
20percentlawyer.vegas.	3600	in	ns	ns14.domaincontrol.com.
215beltway.vegas.	3600	in	ns	ns37.domaincontrol.com.
215beltway.vegas.	3600	in	ns	ns38.domaincontrol.com.
21nova.vegas.	3600	in	ns	dns1.idp365.net.
21nova.vegas.	3600	in	ns	dns2.idp365.net.
21nova.vegas.	3600	in	ns	dns3.idp365.net.
2222.vegas.	3600	in	ns	ns1.dyna-ns.net.
2222.vegas.	3600	in	ns	ns2.dyna-ns.net.
22vip.vegas.	3600	in	ns	vicente.ns.cloudflare.com.
22vip.vegas.	3600	in	ns	ximena.ns.cloudflare.com.
23g.vegas.	3600	in	ns	ns35.domaincontrol.com.
23g.vegas.	3600	in	ns	ns36.domaincontrol.com.
23win.vegas.	3600	in	ns	ivan.ns.cloudflare.com.
23win.vegas.	3600	in	ns	monroe.ns.cloudflare.com.
24-7.vegas.	3600	in	ns	ns11.domaincontrol.com.
24-7.vegas.	3600	in	ns	ns12.domaincontrol.com.
247lasvegas.vegas.	3600	in	ns	ns1.zxcs.nl.
247lasvegas.vegas.	3600	in	ns	ns2.zxcs.nl.
247lasvegas.vegas.	3600	in	ns	ns3.zxcs.nl.
247mobilenotary.vegas.	3600	in	ns	ns01.domaincontrol.com.
247mobilenotary.vegas.	3600	in	ns	ns02.domaincontrol.com.
24hourattorneys.vegas.	3600	in	ns	ns13.domaincontrol.com.
24hourattorneys.vegas.	3600	in	ns	ns14.domaincontrol.com.
24hourdoctor.vegas.	3600	in	ns	ns57.domaincontrol.com.
24hourdoctor.vegas.	3600	in	ns	ns58.domaincontrol.com.
24hourgolf.vegas.	3600	in	ns	ns69.domaincontrol.com.
24hourgolf.vegas.	3600	in	ns	ns70.domaincontrol.com.
24hoururgentcare.vegas.	3600	in	ns	ns77.domaincontrol.com.
24hoururgentcare.vegas.	3600	in	ns	ns78.domaincontrol.com.
24hrweddings.vegas.	3600	in	ns	ns23.domaincontrol.com.
24hrweddings.vegas.	3600	in	ns	ns24.domaincontrol.com.
24x7.vegas.	3600	in	ns	ns65.domaincontrol.com.
24x7.vegas.	3600	in	ns	ns66.domaincontrol.com.
25percentlawyers.vegas.	3600	in	ns	ns13.domaincontrol.com.
25percentlawyers.vegas.	3600	in	ns	ns14.domaincontrol.com.
25percentlawyersofnevada.vegas.	3600	in	ns	ns13.domaincontrol.com.
25percentlawyersofnevada.vegas.	3600	in	ns	ns14.domaincontrol.com.
28bet.vegas.	3600	in	ns	vicente.ns.cloudflare.com.
28bet.vegas.	3600	in	ns	ximena.ns.cloudflare.com.
2960.vegas.	3600	in	ns	ns67.domaincontrol.com.
2960.vegas.	3600	in	ns	ns68.domaincontrol.com.
2cm.vegas.	3600	in	ns	ns31.domaincontrol.com.
2cm.vegas.	3600	in	ns	ns32.domaincontrol.com.
2eu4sk678pfl788pi00dq1lui7s5so8i.vegas.	3600	in	nsec3	1 1 0 73 2IHM8T9QKRIHK2KAJDUHVGRCNM54M4M5 NS DS RRSIG
2eu4sk678pfl788pi00dq1lui7s5so8i.vegas.	3600	in	rrsig	NSEC3 8 2 3600 20260207155919 20260117145919 8685 vegas. yIii8kJJZ12GrUOS+SmWWgWqbIclQzXHBKpo0zUfTOQhZIXP/oj5PBkiFJWroMSFOsvzbNn7heMdsanJarg3/CYIl15Y9ySYynn5CUweGiZ6zOa/RVelokpqsoh4H82qBHAuCxWXkxUQ/DB95KJYR1j4vhi8GBayYKASmj18R4I=
2gates.vegas.	3600	in	ns	ns25.domaincontrol.com.
2gates.vegas.	3600	in	ns	ns26.domaincontrol.com.
2ihm8t9qkrihk2kajduhvgrcnm54m4m5.vegas.	3600	in	nsec3	1 1 0 73 31NVGL4DHSLLE5L5GH627E249IQ22TQF NS DS RRSIG
2ihm8t9qkrihk2kajduhvgrcnm54m4m5.vegas.	3600	in	rrsig	NSEC3 8 2 3600 20260207155919 20260117145919 8685 vegas. ikoGLm3+SISoIX5Ou7IgThjaF1/pV+aoNnRhizwi3+SRlIy3itsiVEfzPg4CnrdcWYKaa6YxFyJQzEVdpP9qOg4p2jWrSz2jR3qDlg60HPKbn48S3C5W9IJRnL7UQd/WCom74wfgeBJmLTseTAfhsZorMNwe4prRSO0MwpOq9YA=
2ndchance4kidsinc.vegas.	3600	in	ns	ns17.domaincontrol.com.
2ndchance4kidsinc.vegas.	3600	in	ns	ns18.domaincontrol.com.
2pac.vegas.	3600	in	ns	ns39.domaincontrol.com.
2pac.vegas.	3600	in	ns	ns40.domaincontrol.com.
31nvgl4dhslle5l5gh627e249iq22tqf.vegas.	3600	in	nsec3	1 1 0 73 363DPV0J16I7BENMMN18FRM4S2464E4Q NS DS RRSIG
31nvgl4dhslle5l5gh627e249iq22tqf.vegas.	3600	in	rrsig	NSEC3 8 2 3600 20260207155919 20260117145919 8685 vegas. Kb5IWY/LcHT9r6N98HPoc62XTMdqo0K+xex3mI2ylK8eqlmGZbNLsMf9bjjThu7Fe2ch2eRGUifrQ1PXMzEqBxXyABAegs+5qlIs9Ppn8b/dJDfhLR4+R1SmMZNV3pYYGSkVOcHMw4+OtgKBDKH+oLpT/wCiRsIROv5UBuxyJZs=
321.vegas.	3600	in	ns	ns27.domaincontrol.com.
321.vegas.	3600	in	ns	ns28.domaincontrol.com.
32degrees.vegas.	3600	in	ns	ns1038.ui-dns.biz.
32degrees.vegas.	3600	in	ns	ns1071.ui-dns.org.
32degrees.vegas.	3600	in	ns	ns1083.ui-dns.com.
32degrees.vegas.	3600	in	ns	ns1126.ui-dns.de.
3304.vegas.	3600	in	ns	ns05.domaincontrol.com.
3304.vegas.	3600	in	ns	ns06.domaincontrol.com.
3333.vegas.	3600	in	ns	ns1.dyna-ns.net.
3333.vegas.	3600	in	ns	ns2.dyna-ns.net.
337.vegas.	3600	in	ns	ns33.domaincontrol.com.
337.vegas.	3600	in	ns	ns34.domaincontrol.com.
33win.vegas.	3600	in	ns	jocelyn.ns.cloudflare.com.
33win.vegas.	3600	in	ns	tom.ns.cloudflare.com.
360.vegas.	3600	in	ns	ali.ns.cloudflare.com.
360.vegas.	3600	in	ns	merlin.ns.cloudflare.com.
360cars.vegas.	3600	in	ns	ns69.domaincontrol.com.
360cars.vegas.	3600	in	ns	ns70.domaincontrol.com.
360photography.vegas.	3600	in	ns	ns73.domaincontrol.com.
360photography.vegas.	3600	in	ns	ns74.domaincontrol.com.
360productions.vegas.	3600	in	ns	ns71.domaincontrol.com.
360productions.vegas.	3600	in	ns	ns72.domaincontrol.com.
360v.vegas.	3600	in	ns	ns3.afternic.com.
360v.vegas.	3600	in	ns	ns4.afternic.com.
363dpv0j16i7benmmn18frm4s2464e4q.vegas.	3600	in	nsec3	1 1 0 73 39O75TK1UM9IGRQ2OQO5DA8MU2FSBIBU NS DS RRSIG
363dpv0j16i7benmmn18frm4s2464e4q.vegas.	3600	in	rrsig	NSEC3 8 2 3600 20260207155919 20260117145919 8685 vegas. LondX5HTfWVUDlbhbH+F/fmRyMDbilbtMhhqWHWCtLkWiGBl9ii3wK4wRPuGnFYnh1m+/X+KZmcjKYFLDc0c0ptH5Wbr4e/DhKDB+/qKYM+912kBbde6e3Ali/o+csvs/rhfDf9gC4H+8cg6RO2t+iPc0KVehzDn+N30aOSC9u8=
365.vegas.	3600	in	ns	ns1.dnsowl.com.
365.vegas.	3600	in	ns	ns2.dnsowl.com.
365.vegas.	3600	in	ns	ns3.dnsowl.com.
365things.vegas.	3600	in	ns	ns1.djserver.com.
365things.vegas.	3600	in	ns	ns2.djserver.com.
39bet.vegas.	3600	in	ns	vicente.ns.cloudflare.com.
39bet.vegas.	3600	in	ns	ximena.ns.cloudflare.com.
39o75tk1um9igrq2oqo5da8mu2fsbibu.vegas.	3600	in	nsec3	1 1 0 73 3G9LL9RG14QHARSE26GATMH7E4K8JG87 NS DS RRSIG
39o75tk1um9igrq2oqo5da8mu2fsbibu.vegas.	3600	in	rrsig	NSEC3 8 2 3600 20260207155919 20260117145919 8685 vegas. 7NvrW8fSjiFrzLlKNjd8KvDlEe62+L7XQwgAPvreG0+ctMWOhr1vXrawY4QYxpTO4SyT2CIcriw7Z+CfE5IS5w2viFnCCXvZt/ejFQ8ZBpPkTc0fC1a9LUe3qi4GSHzG40xGJdMm8zMiRFZuz35bjTC3UyOVdIFBwfna2J5tD78=
3dayescape.vegas.	3600	in	ns	ns1.bluehost.com.
3dayescape.vegas.	3600	in	ns	ns2.bluehost.com.
3dayescapes.vegas.	3600	in	ns	ns11.domaincontrol.com.
3dayescapes.vegas.	3600	in	ns	ns12.domaincontrol.com.
3dprintandscan.vegas.	3600	in	ns	ns73.domaincontrol.com.
3dprintandscan.vegas.	3600	in	ns	ns74.domaincontrol.com.
3dscan.vegas.	3600	in	ns	dns1.registrar-servers.com.
3dscan.vegas.	3600	in	ns	dns2.registrar-servers.com.
3dscanning.vegas.	3600	in	ns	ns1.3dscanning.com.
3dscanning.vegas.	3600	in	ns	ns2.3dscanning.com.
3g9ll9rg14qharse26gatmh7e4k8jg87.vegas.	3600	in	nsec3	1 1 0 73 3M3LV0D60RE579MO2110L560JEMVJ1V4 NS DS RRSIG
3g9ll9rg14qharse26gatmh7e4k8jg87.vegas.	3600	in	rrsig	NSEC3 8 2 3600 20260207155919 20260117145919 8685 vegas. wxbgCUnERmXHXSKq5qKoW/xLfd3wfRtyjQxD3Jfbin0ec+6k+iBpGs/GK4vaNL0Zn1lkbi6FxU7EdWUobgGoYiwJRI+TJ/mPh5J2Os+NyAL1rIAZ4JIO+h9JOrtqeMWqjtN8shkZQW2EQBUuCqc3U/IkEqghl3Qqk3i8ZHmzj0Q=
3m3lv0d60re579mo2110l560jemvj1v4.vegas.	3600	in	nsec3	1 1 0 73 3SU2S2LIG9NM1Q1T96N40MIUULCSPHBP NS DS RRSIG
3m3lv0d60re579mo2110l560jemvj1v4.vegas.	3600	in	rrsig	NSEC3 8 2 3600 20260207155919 20260117145919 8685 vegas. mVZaEw2V11Xwn1nPasfc2wQZPi7ko2cDoMbAbS9ehwVUpIUy43Xv41Gui2vxBEJ7ZtzEPQJR5ZDQWqt51+pNAmTnbefVTyrsfZteKsIbqgJcomwJLiruv05u9G7Zq73/xTpUXpjM4PHEZdjb3e4xO2yPFCCCF217TCARzlbtQJs=
3rd.vegas.	3600	in	ns	ns17.domaincontrol.com.
3rd.vegas.	3600	in	ns	ns18.domaincontrol.com.
