2r81jrfpg4p5ip8q0n8cjhcurpfmg10u.xn--tckwe.	86400	in	rrsig	NSEC3 8 2 86400 20250901142406 20250825142406 21585 xn--tckwe. cct4bqAO80n0M3vuMSe2nc0KaI4fqxCeoGPkM1DBM7C+6jO167R8y2leqPjs0RUE0dokeBuKl8NwLGevSK4iJ+K4cV9Czf1DVA5rmIzvorIFaAfSRWBQ1CHVaTBHs8sDVJH+xZbJvwIQMLYx2EEgsGg6/8JOgAwR8JX8coX8rr01Rpfv5uoJQ2CaKr7IBrpRS6Xa3DctdHxgEtW9/waldA==
30utb96mp39tglu8afr5sn0qt5m52jo5.xn--tckwe.	86400	in	nsec3	1 1 0 - 33RBAVM35KO27NU760FM4I5S3IQSC10A NS DS RRSIG
30utb96mp39tglu8afr5sn0qt5m52jo5.xn--tckwe.	86400	in	rrsig	NSEC3 8 2 86400 20250901142406 20250825142406 21585 xn--tckwe. QDpljfjSTuXzGyOTD6kgODtYpQfsIiPTVxVoqzGXSpCcprRLYFDqUFff3bC013dIGLS/NTWx8M6bqF/Witimg2WYEtiP083KWgdg9OmkLqz3D67IybgJy1MJ0VSXOSEW/RXX8hc9ScL/4uOdLWFktDoxnhWq53bDftDcXRN6oSGdrCIWaG3g+ep5ffyoZiPOo17NexClWh5c2WDTUTql6g==
3194370.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
3194370.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
3220154.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
3220154.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
3309058.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
3309058.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
3378264.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
3378264.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
33rbavm35ko27nu760fm4i5s3iqsc10a.xn--tckwe.	86400	in	nsec3	1 1 0 - 3971D6TSU5HNQUU0O2FU860JASN27P0U NS DS RRSIG
33rbavm35ko27nu760fm4i5s3iqsc10a.xn--tckwe.	86400	in	rrsig	NSEC3 8 2 86400 20250901142407 20250825142407 21585 xn--tckwe. lqkHKSyiDyqM6ImA0VwZTgd/+zPUcumnOE7DWyRiC4IPsOvp3KIemlL9ZSbj9QUC+/eWoJ/vcjEBCfUhsQ2y4kttnOgPRaodBMuUGAPhVFqvev0VNNz90rrhtGE8N/7GXDdlIYQn5F1VDfcE2RlChZZLV6xMXlBRH5IO2RRMX6I6GLMuKT4I+EkqW3QBucUl1aLUPmsR8ljdWUII3uEuzw==
3419458.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
3419458.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
3419494.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
3419494.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
3451102.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
3451102.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
34595456.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
34595456.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
34629688.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
